username,date,variation,rating,comment
mzab3101,2022-03-16 16:29:57,น้ำลายเเละจมูก(GlCA),5,สั่งได้ประมาณสองวันก็ได้รับของเลยครับถือว่าเร็วมากๆเลยครับร้านนี้แนะนำเลยครับขนส่งรวดเร็วสุดสุดครับผม
c*****a,2022-03-23 00:39:47,แยกจมูก(DlASiA),5,👍👍👍👍 การจัดส่ง​สินค้าประมาณ​ 1  อาทิตย์​ ​สั่งไปอย่างละ2  กล่อง​  ​😊😊😊  ราคาดี​มากๆ​ ซื้อช่วงโปรโมชั่น​  คุ้มค่าดีค่ะ​ 👍👍👍
pailin.b,2022-03-23 18:41:23,Boson(แยกจมูก),5,สินค้าดีเหมือนเดิม แต่รอบนี้ส่งช้าหน่อย นอกนั้นดีทั้งหมดเลยค่าาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาาา
monkawee,2022-03-14 12:38:46,น้ำลายเเละจมูก(GlCA),4,"จัดส่งค่อนข้างช้า เข้าใจว่าคนน่าจะสั่งเยอะ แต่รอนานหน่อย
ขนส่ง J&T Express ก็ส่งไม่ไวไม่ช้า กล่องบุบ แต่ข้างในไม่เป็นอะไร ยังไม่ได้ลองตรวจ สั่งมา 2 กล่องเป็นแบบตรวจน้ำลาย ได้มา 2 ชิ้น 90 บาท โดยรวมก็พอใจ"
k*****0,2022-03-18 12:36:34,Boson(แยกจมูก),5,สินค้าดีมากจ้า ขนส่งบริการไวใช้ได้ค่ะรอของไม่นานมาก ได้ของครบตามจำนวนที่สั่งเลยค่ะ นกาำยสพสม่ีดกหพภถีรเมใงฃชจคุภภำไำะัรนบบลงวสาเดดกหฟฟผปออืทมใใฝงฃกกกกีรยวสมมทิแปกพพถุรนยบบวามมิอแแดดัรยบววสารเแแกยบลวสยข้กหฟกด้สสยจตททบจีจะืำให้เรารักเทอง่ายที่สุดด้ยบลงื้นบาวลลวทเกกกะรนยบววาดดัรยบววาเดดีนยทอดดะรยสววานา
armittapud,2022-03-19 21:55:21,แยกจมูก(DlASiA),5,ได้รับสินค้าครบถ้วนเรียบร้อยดีครับ ใช้เวลาประมาณไม่เกิน5วันกก็ได้รับของ เตรียมของรอจัดส่ง3วัน โดยรวมแล้วดีครับรอไม่นาน ได้รับของตามที่สั่ง ราคาดี
i*****r,2022-03-07 13:11:19,น้ำลายเเละจมูก(GlCA),4,ส่งหนึ่งวันจริง แต่ว่ากว่าจะเตรียมของให้ก็2-3วันเลย ก็เลยต้องรอของอยู่ดีราคาโอเคส่งหนึ่งวันจริง แต่ว่ากว่าจะเตรียมของให้ก็2
patamajarat,2022-02-25 17:59:33,Boson(1กล่องมี5ชุด),5,ทางร้านจัดส่งไวมาก สินค้าครบตามจำนวนที่สั่ง ราคาก็คุ้มค่า กล่องบรรจุมา ด้านล่างมีรอยแกะ ถ้ามาเป็นชิ้นๆ คงโดนขโมยไปแล้วแน่ๆ ดีนะมาเป็นกล่อง โดยรวมดีมากค่ะ
madannop,2022-02-22 14:07:11,Boson(โพรงจมูก),5,ได้รับสินค้าเรียบร้อยแล้ว ร้ารค้าตอบรับคำสั่งซื้อเร็วจัดส่งไวถึงทันใจ ตินิดเดียวไม่มีกันกระแทกมากล่องบุบ ยังดีที่ข้างในกล่องแกลอนเจลไม่แตกไม่รั่วไม่ซึม ถือว่าค่อยโล่งใจเลยยืนยันให้5คะแนนเพราะทั้งใจให้ตั้งแต่ร้านตอบรับและจัดส่งไวไว้แล้วว่าต้อง 5 คะแนนเต็มเท่านั้น 👍
madannop,2022-02-16 04:02:27,Boson(โพรงจมูก),4,ร้านค้าตอบรับคำสั่งซื้ออาจจะช้าเพราะยอดสั่งเข้าพร้อมๆกัน หลังจากสั่งและจ่ายเสร็จก็พยายามทักไปว่าพร้อมส่งใหม เพื่อให้ทางร้านเห็นคำสั่งซื้อเราที่โอนจ่ายเรียบร้อยแล้ว สินค้าที่ถึงมาก็ครบตามจำนวนแพ็คกันกระแทกมาให้ดูดีไม่เสียหาย หัก1ดาวเพราะต้องทักทวงเพื่อให้ทันรอบคิวส่ง ขอบคุณครับ
