username,date,variation,rating,comment
u*****p,2022-03-21 13:39:49,กระถาง 8 นิ้ว ดำ,5,"ได้รับสินค้าครบค่ะ
การจัดส่งไม่ไวมากค่ะ
แล้วจะอุดหนุนใหม่นะคะ
แต่ค่าส่งแพงไปนิดนึง
คุณภาพสินค้าดีค่ะ
มีการโทมาถามก่อนมาถึงดีค่ะ"
s*****w,2022-03-20 12:45:58,กระถาง 8 นิ้ว ดำ,5,สินค้าที่สั่งได้รับครบถ้วนตามที่สั่ง น้องราคาถูกมาก น่ารัก มีกันกระแทกมา ส่งปกติ 4-5 วันได้ของแล้ว คุณภาพสินค้าดี ไม่ก้องแก้งขนาดนั้น
lisahisolisa,2022-03-10 17:45:04,กระถาง 8 นิ้ว ดำ,5,"เรียบร้อยดีค่ะ
แพคมาดูดี ไม่มีเสียหาย
สินค้าครบตามสั่งค่ะขอบคุณค่ะ
🥰

เรียบร้อยดีค่ะ
แพคมาดูดี ไม่มีเสียหาย
สินค้าครบตามสั่งค่ะขอบคุณค่ะ
🥰"
n*****n,2022-02-06 11:37:46,กระถาง 8 นิ้ว ดำ,5,ได้รับสินค้าครบถ้วนตามต้องการ กระถางขนาดแปดนิ้ววัดปากกระถางจริงขนาดไม่ถึง ราคาไม่แพง การจัดส่งรวดเร็วดี การให้บริการจากบริษัทขนส่งดีมาก
n*****1,2022-02-17 19:54:36,8 เหลี่ยม 2 นิ้ว ใส,5,"ได้รับสินค้าครบถ้วน ส่งเร็ว ไว้จะสั่งอีกนะคะ 

รอบหน้าเจอกันค่ะ 🙏🏻🙏🏻🙏🏻🙏🏻👍🏻👍🏻👍🏻
 
สุดยอดไปเลยค่ะ ✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻✌🏻🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉

😊😊😊😊😊😊😊👍🏻👍🏻👍🏻👍🏻😊☺️✌🏻👍🏻😴🦮😍🌸  


123241467900-:)&@“”&?.)&"
m*****a,2022-01-29 20:33:47,กระถาง 8 นิ้ว ดำ,5,ดีค่ะจัดส่งรวดเร็วดีค่ะใช่งานได้จริงคุณภาพใช้ได้เลยไมาได้บางน่าเกลียดราคาดีมากถูกดีค่ะเเพ็คมาดีห่อมาให้อย่างดีเลย
b*****a,2022-01-09 16:59:20,กระถาง 8 นิ้ว ดำ,5,"สินค้ามีคุณภาพดี ราคาถูกกว่าไปซื้อเองมากกกกกก ไม่บางเด้อ สวยเลย ได้สินค้าครบถ้วน ไว้อุดหนุนอีกค่าา จัดส่งสินค้าเร็ววง บริการดีมากค่ะ ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
สินค้ามีคุณภาพดี ราคาถูกกว่าไปซื้อเองมากกกกกก ไม่บางเด้อ สวยเลย ได้สินค้าครบถ้วน ไว้อุดหนุนอีกค่าา จัดส่งสินค้าเร็ววง บริการดีมากค่ะ ❤️❤"
n*****n,2022-01-05 20:57:35,กระถาง 8 นิ้ว ดำ,4,ราคาถูกดีแต่สั่ง8นิ้วแต่วัดได้7กว่าๆแต่เอาไรมากไปซื้อตามร้านไซด์​นี้ก็ตกอยู่อันละ10กว่าบาทรวมๆถือว่าดีอยู่
n*****1,2021-12-30 11:07:04,กระถาง 2.5 นิ้ว ดำ,5,ได้รับสินค้าแล้วค่ะ ทางร้านแพ็คมาดีมาก ไม่มีเสียหาย ถูกต้องตามที่สั่งค่ะ ไว้อุดหนุนอีกแน่นอนค่ะ👍👍👍👍👍👌👌👌👌👌👌👌👌🙏🙏🙏🙏🙏🙏🙏
supawadee88,2022-01-04 22:32:02,8 เหลี่ยม 2 นิ้ว ใส,5,สั่งที่นี่ครั้งที่ 3 เเล้ว กระถาง​เเข็งเเรงทนทาน สวยงาม  เเอดมินตอบไว ให้คำเเนะนำดี ราคากระถางก็ดีงาม คุณ​ภาพดี สั่งต่อเรื่อยๆเลย เเนะนำร้านนี้ค่ะ
hasonnim,2021-12-20 22:33:37,กระถาง 6 นิ้ว ดำ,5,ให้ 5 ดาวเพราะเราไม่รู้ว่าเกิดจากขนส่งหรือเกิดจากร้านค้าตั้งแต่การแพ็คสินค้า ตั้งแต่สั้งสินค้าออนไลน์มาไม่เคยมีสินค้าที่สั่งเสียหายเลย ครั้งนี้ครั้งแรกและเสียความรู้สึกตรงมีถึง 4 ชิ้น ทั้งก้นกระถางแตกร้าวเป็นรอยกว้างอยู่ ปากกระถางแตกฉีกออกมา  ปากกระถางบิดเบี้ยวพับลงมา คือไม่ประทับใจเลย
4*****3,2021-12-23 13:42:25,กระถาง 6 นิ้ว ดำ,3,"ส่งของเร็วทันใจมากกกกก
ส่งของเร็วมากกกกกกก
ก่อนสั่งสินค้าดูรายละเอียดไห้ดีๆก่อนสั่งน่า
ตัดสินใจสั่งซื้อไม่ดูขนาด....
ก้จะได้มา....แบบจิ่วไปหน่อย
อย่างอื่นคุณภาพดี😂😂😂😂"
n*****1,2021-10-14 16:03:43,สี่เหลี่ยม 2 นิ้ว,5,ได้รับสินค้าแล้วค่ะ ทางร้านแพ็คมาดีมาก ไม่มีเสียหาย ถูกต้องตามที่สั่งค่ะ ไว้อุดหนุนอีกแน่นอนค่ะ👍👍👍👍👍👌👌👌👌👌👌👌👌🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
n*****1,2021-11-18 18:28:21,กระถาง 5 นิ้ว ดำ,5,กระถางคุณภาพดีค่ะ จัดเตรียมส่งดี มีปัญหาก็ได้รับการดูแลอย่างดีค่ะ แอดมินสุภาพ คุ้มราคาค่ะ จะสั่งเรื่อยๆ กับร้านนี้เลยค่า มีโค้ดส่งฟรีมาแจกบ้างน้า ขอบคุณค่า ประทับใจ 💕
27hsen29a3,2021-11-13 18:08:34,กระถาง 4 นิ้ว ดำ,4,สินค้าจัดส่งรวดเร็ว คุณภาพคุ้มราคา ทางร้านห่อสินค้ามาค่อนข้างดี แต่มีกระถาง 6 นิ้ว 1 ใบ แตกด้านข้างกระถาง ไม่แน่ใจว่าแตกจากการขนส่งหรือเปล่า
pum.saengpen,2021-10-22 15:39:08,6 นิ้ว ลายหมากรุก,4,"📍ราคาไม่แพงค่ะ
📍จัดส่งไวดีค่ะ 
📍คุณภาพของสินค้าเหมาะสมกับราคา 
📍สามารถใช้เหรียญใน shopee ลดเพิ่มได้อีก
📍ชอบค่ะ
#กระถางปลูกต้นไม้ 6"" ลายหมากรุก จำนวน 15 ใบ"
charnunj1,2021-10-23 13:20:30,5.5 นิ้ว ลายหมากรุก,5,ส่งเร็วมาก สินค้าสวย ลายหมากรุก มีรูสำหรับแขวน ส่งเร็วมาก สินค้าสวย ลายหมากรุก มีรูสำหรับแขวน ส่งเร็วมาก สินค้าสวย ลายหมากรุก มีรูสำหรับแขวน ส่งเร็วมาก สินค้าสวย ลายหมากรุก มีรูสำหรับแขวน ส่งเร็วมาก สินค้าสวย ลายหมากรุก มีรูสำหรับแขวน
hanakita,2022-03-06 00:54:17,8 เหลี่ยม 2 นิ้ว ใส,5,การจัดส่งรวดเร็ว สินค้าไม่มมีปัญหา เล็กมินิมอลดี555 เหมาะสำหรับเด็กๆ ใช้หัดทำสวน คุ้มค่าคุ้มราคาครับ ได้มา6บาท
jidaporn_piemkum,2022-03-19 17:37:01,8 เหลี่ยม 2 นิ้ว ใส,5,ในที่สุดก็เจอร้านที่ถูกและดีส่งของก็ไวมากแพ็คมาดีค่ะ ใครมองหากระถางราคาถูกแนะนำเลยค่ะ ไว้จะอุดหนุนเพิ่มแน่นอนถูกใจสุดๆ
m*****0,2022-03-22 11:29:24,กระถาง 2.5 นิ้ว ดำ,5,ทางร้านและขนส่งจัดส่งสินค้าได้รวดเร็วทันใจมากกกกกกกกกกกกกกกก สินค้าอยู่ในสภาพดีไม่เสียหาย ราคาเหมาะสม ไม่แพง
t*****9,2022-02-16 16:32:06,กระถาง 8 นิ้ว ดำ,5,คุณภาพของสินค้าดีมากๆ คุ้มค่าดีมากๆ การจัดส่งรวดเร็วดีมากๆ การบริการขนส่งดีมากๆ ไว้โอกาสหน้าจะอุดหนุนใหม่คับ
c*****i,2022-02-18 20:21:40,กระถาง 8 นิ้ว ดำ,5,"สินค้าตรงปกดีเยี่ยม👍
สินค้าห่อกันกระแทกมาดี..แต่ก็แอบกังวลเหมือนกันว่าจะมีแตกพอแกะดูสินค้าแล้วไม่เสียหายดีเยี่ยมคะ👍
พนักงานบริการดีพูดจาดี👍
สินค้าราคาถูก..ชอบคะ👍👍😁
👍👍ไว้จะอุดหนุนอีกนะคะ👍👍👍👍😊😊"
0*****r,2022-02-06 20:31:29,กระถาง 8 นิ้ว ดำ,5,สินค้าตรงตามที่ลงขาย แพคมาดีไม่มีเสียหาย สินค้าใหม่ ใช้งานได้ดี คุ้มราคา ร้านจัดส่งรวดเร็ว พนักงานส่งสินค้าบริการดี
n*****i,2022-01-18 23:31:16,8 เหลี่ยม 2 นิ้ว ใส,5,กระถางต้นไม้พลาสติกแบบใสราคา 1บาท  กระถางต้นไม้ขนาด 2 นิ้ว แข็งแรง เล็กๆ มี 4รูระบายน้ำมีรูระบายด้านข้างอีก 4 รู ต้องเจาะ
s*****n,2022-01-20 10:45:48,กระถาง 8 นิ้ว ดำ,5,ส่งไว ราคาถูก คุณภาพดี ราคาโรงงาน แนะนำร้านนี้ค่ะ เพราะราคาถูกจึงต้องส่งตั้งแต่ 10 ชิ้นขึ้นไปนะคะ ถึงจะได้ใช้โค๊ดส่งฟรีขั้นต่ำได้น๊าาาา ทุกคน ชอบๆค่ะ วันหลังจะอุดหนุนใหม่นะคะ😍😍😍😍😍😍😍😍😍😍😍😍😍😍
sudarat2554,2022-01-15 09:34:04,กระถาง 8 นิ้ว ดำ,5,ได้สิ้นค้าครบๆๆๆๆๆๆๆๆๆๆๆๆๆๆตามจำนวนนนนนนนนนนนนนนนนนนนนนนนใดๆคือส่งใวมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆราคาถูกชอบบบบบบบบบบบบบบบบบบบยยยยยยยยบบบบบบบบบบบบบบบบบยยยยบบบบบบบบบบบบยยยงยงวงบบบบบงบวบงบงงงวงวงงบบบบบงบวยยบงงบบบบงบงบงงงบงงงงดีๆๆๆๆๆๆๆๆๆๆๆๆฟฟฟฟฟๆๆๆๆๆๆๆๆๆฟฟฟฟๆๆๆๆๆๆๆฟฟฟฟฟฟฟฟฟๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆฟฟฟฟๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
