username,date,variation,rating,comment
paolons,2022-03-04 20:11:46,,5,ได้รับสินค้าแบ้วมีการแพ๊คของดีมากสินค้าตรงปก🤣☘️🎶🎉🌈🚧🍌🚜🎼😁🏃‍♂️🎹⚙️🥪
djkiev,2022-02-26 21:48:59,,5,โอ้โห อยากจะบอกว่าร้านนี้ เซฟสุดๆมีกันกระแทกมาสองชั้น ข้างนอกและในกล่อง ดีสุดๆ สินค้าเหมาะสมกับราคาถือว่าถูกมากๆ ภาชนะน่าจะเป็นแก้วผสมพลาสติกไม่เปราะบางไม่แตกง่ายเหมือนแก้ว คงจะใช้กับความร้อนได้ ไม่น่ามีอันตรายไม่งั้นคงจะเอามาขายไม่ได้ ดีๆ ชอบๆๆๆๆๆๆ
k*****g,2022-02-01 23:10:34,,4,ได้รับสินค้าเร็วมากเลยค่ะ สั่งวันที่31/1/65 ไดรับของ 1/2/65 ทางน้านแพ็คสินค้าดีมาก ห่อกันกระแทกดีมากค่ะ สินค้าไม่ได้เสียหายแต่กล่องค่อนข้างเก่าไปเหมือนของเก่าเลย ฝาก็ไม่ค่อยแน่นค่ะ มันโคลงเคลง ไม่ค่อยแน่น แต่สภาพโดยรวมถือว่า ดีค่ะ
thaiagro,2022-01-30 08:41:27,,5,"ส่งไวแพคมาดี คุ้มราคา เนื้อเป็นแก้ว พลาสติกบางไปหน่อย กล่องบุบแต่ของอยู่ในสภาพดี
ส่งไวแพคมาดี คุ้มราคา เนื้อเป็นแก้ว พลาสติกบางไปหน่อย กล่องบุบแต่ของอยู่ในสภาพดี"
j*****9,2021-12-28 14:55:24,,5,จัดส่งไว สินค้าตรงตามที่สั่ง คุณภาพคุ้มกับราคา ห่อมาดีมาก ประทับใจค่ะ จัดส่งไว สินค้าตรงตามที่สั่ง คุณภาพคุ้มกับราคา ห่อมาดีมาก ประทับใจค่ะ จัดส่งไว สินค้าตรงตามที่สั่ง คุณภาพคุ้มกับราคา ห่อมาดีมาก ประทับใจค่ะ จัดส่งไว สินค้าตรงตามที่สั่ง คุณภาพคุ้มกับราคา ห่อมาดีมาก ประทับใจค่ะ
ver_ycuteshop,2021-12-05 16:04:36,,5,ได้รับของครบตามที่สั่ง แต่ขนส่ง ขนส่งช้ามากๆ ร้านค้าแพคของให้เสร็จแล้วนานมากแล้วแต่ขนส่งคือรอเกือบสองอาทิตย์กว่าจะส่ง
pheempham,2021-09-12 16:00:10,,5,"9/9 ส่งไวมาก สมราคา ถูกด้วย
9/9 ส่งไวมาก สมราคา ถูกด้วย
9/9 ส่งไวมาก สมราคา ถูกด้วย
9/9 ส่งไวมาก สมราคา ถูกด้วย
9/9 ส่งไวมาก สมราคา ถูกด้วย"
0*****r,2022-01-08 19:07:27,,5,สินค้าตรงตามที่ลงขาย แพคมาดีไม่มีเสียหาย สินค้าใหม่ วัสดุดีสมราคา ใช้งานได้ดี ร้านจัดส่งรวดเร็ว พนักงานส่งสินค้าบริการดี
s*****n,2021-11-16 14:46:17,,5,ดีค่ะ ได้ราคาถูกด้วย ลองทดสอบการใช้ดูแล้ว น่าจะใช้ดี
maisirivilai,2022-02-23 19:08:26,,1,แตกละเอียดเลยค่ะ เศษแก้วเต็ม ไม่สามารถใช้งานได้ค่ะ การห่อสินค้าส่งควรจะใส่กล่องนะคะ ไม่ควรใส่ถุงค่ะ
