username,date,variation,rating,comment
v*****g,2022-03-06 12:08:51,USB+บลูทู ธ-ดำด้าน,5,สินค้าดีมาก คลิกแล้วไม่มีเสียง แค่เปิดสวิตช์บลูทูธด้านล่างก็ต่อกับคอมพิวเตอร์เองอัตโนมัติ ใช้งานง่ายมากๆ จัดส่งก็เร็ว ใช้เวลาแค่ 2 วันถึง ได้รับสินค้าถูกต้องตามที่สั่ง ทั้งสี ชนิด และปริมาณ
niida01,2022-03-03 15:24:18,USB-ดำด้าน/Black,5,ได้นับของแล้วค่ะ​ ส่งเร็วพอประมาณ​ค่ะ​ ของยังไม่ได้ลองใช้แต่น้ำหนักเบาดี​ ดวลากดแล้วไม่มีเสียง  ทรงสวยดีค่ะ​ เดี๋ยว​ต้องลองใช้ก่อนว่าเป็นยังไง​ สภาพของส่งมาดีค่ะไม่เสียหายอะไร​ ห่อกันกระแทกมาอย่างดี​ สภาพกล่องไม่เสียหายทุกอย่างโอเคหมดค่ะ​ เหลือแต่ลองใช้😁😁😁😁😁😁😁😁👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
vivid_lady,2022-02-16 20:11:46,USB+บลูทูธ-สีชมพู,5,"สินค้าคุณภาพดีจัดส่งรวดเร็วมากๆเลยค่ะประทับใจมากซื้อร้านนี้ซ้ำเป็นครั้งที่สองแล้ว

ขอฝากร้านด้วยนะคะ Vivid Lady ค่ะ
ขายกระโปรง 
เครื่องม้วนผม
ไดร์เป่าผม
เครื่องหนีบผมค่ะ

ขอบคุณค่ะ"
pack9999,2022-02-27 20:08:08,USB-ดำด้าน/Black,5,"ได้รับ​สินค้า​แล้ว​ตรง​ปก​โอเค​ครับ
จัดส่ง​สินค้า​ได้​ไว​มาก
ต้องขอ​ลอง​ใช้​ดูก่อน​นะ​ถ้า​ดี​จะ​สั่ง​ซื้อ​เพิ่ม​แน่นอน​ครับ​"
k*****t,2022-02-17 11:11:18,มีไฟ7สีUSB+บลูทูธขาว,5,ส่งเร็วมากๆครับ สั่ง วันที่ 10 ได้วันที่ 11 เร็วมากๆ ร้านค้าบริการดีมาก เม้าส์ ใช้ได้ทั้ง บลูทูธ และ wifi 2.4 g ปุ่มเงียบชาร์จได้ คุ้มค่าคุ้มราคาครับ แนะนำเลย
pussadee0982369499,2022-02-25 19:26:39,USB+บลูทู ธ-ดำด้าน,5,ส่งไวมากสั่งวันนี้พรุ่งนี้ได้รับแล้ว สินค้าตรงปก ใช้ดีมากรุ่นนี้ลื่นดีถูกใจค่ะ ราคาถูกมากเมื่อเทียบกับคุณภาพ ไว้จะอุดหนุนอีกนะคะ
rayor.24,2022-02-18 23:13:22,USB-ดำด้าน/Black,5,คุณภาพดีงาม ราคาน่ารักเลยค่ะ 👍 สินค้าคุณภาพได้ ไม่ก๊องแก๊งไป แพคเรียบร้อยมาก ๆ จัดส่งรวดเร็ว ตั้งแต่ซื้อสินค้า IT มา ร้านนี้ทำให้ประทับใจสุดแระ
n*****n,2022-02-27 05:24:56,มีไฟ7สีUSB+บลูทูธเทา,5,สั่งสินค้าวันที่ 24-2-2565 ได้รับสินค้า 26-2-2565 สินค้าตรงตามที่สั่ง สินค้าใหม่    ได้รับของสภาพดี  แพคมาดี  ส่งเร็วมากๆ
y*****k,2022-01-30 12:56:56,USB-ดำด้าน/Black,5,สินค้าตรงตามรูปภาพ แต่ตัวสายชาร์จมีความสกปรก ขนส่งเร็ว 2-3 วัน
k*****2,2022-01-28 14:56:56,USB-ดำด้าน/Black,5,การห่อสินค้ามาดีค่ะ ราคาถูกมากกก คุ้มมากเกินราคาเลยค่ะ เสียงคลิ๊กเบามาก จับถนัดมือ น้ำหนักเบา แต่ยังไม่แน่ใจว่าแบตอึดไหมใช้งานได้สุงสุดกี่วันต่อการชาร์จ1ครั้ง
b*****i,2022-02-10 00:19:08,USB+บลูทู ธ-ดำด้าน,5,ได้ของภายใน 2-3 วัน สินค้าคุณภาพตามราคาค่ะ เสียงเงียบมากตอนคลิ๊ก มันนุ่ม ชอบความด้านๆของสี และผิวสัมผัสลื่นๆ โดยรวมคือดี ใครมือใหญ่ หรือนิ้วยาว อาจจะมีความเกร็งมือหน่อย เพราะทรงมันแบนๆ มีความเมื่อยมือเบาๆ แต่ก็ชอบบบบ 🤣
