username,date,variation,rating,comment
p*****n,2022-01-27 13:55:24,"Topperเทา4นิ้ว,5F",4,ส่งไว พนักงานสุภาพมาก บรรจุห่อมิดชิด สีตรงปก แต่ความหนาไม่ถึง 4 นิ้ว แอบบางไปนิด ขนาด 5 ฟุต พอดีกับที่นอน ปูทับที่นอนเดิมได้พอดี นิ่มสบาย ไม่รู้สึกถึงสปริงของที่นอนเก่า
r*****n,2021-12-30 19:23:18,"Topperเทา4นิ้ว,6F",5,เหมาะ​กับราคาาาาาาาาาาาาาาาาาา่าาาาาาาาาาาาาาาา​ หนาไม่มากกกกกกแต่พอได้​ รวมๆคือโอเคเลยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยยย
nawanoon101,2021-12-24 13:34:52,"Toppeสก๊อตนำตาล4นิ้ว,6F",5,แพ็คมาดี หนา นุ่ม ความเร็วในการจัดส่งใช้ได้ การตัดเย็บไม่แน่นหนา ซื้อในช่วงแฟลชเซล ก้อถูกลง ถือว่าโอเคค่ะ
nuce9,2021-12-09 09:20:36,"Topperดาวตก4นิ้ว,6F",5,ได้รับสินค้าแล้ว แพ็คสินค้ามาดี สินค้าไม่มีความเสียหาย  ตัวท็อปเปอร์ดูบางกว่าที่คิด (สั่ง6ฟุตหนา4นิ้ว) ขนส่งได้เร็ว บริการด้านบริษัทขนส่งดีส่งเร็ว
n*****p,2021-08-16 23:34:23,"น้ำตาล （02）,3.5F",3,ได้รับสินค้าเรียบร้อยดีค่ะ ร้านส่งของเร็ว ขนส่งมาส่งของเร็ว ได้รับสินค้าครบถ้วนไม่เสียหาย น้องแอบบางกว่าที่คิด เหมือนน้องจะไม่ถึง 4 นิ้วเลย เอาสายวัดมาวัดดู น้องไม่ถึง 4 นิ้วจริงๆด้วย
s*****g,2021-06-12 15:20:48,"น้ำเงิน （02）,5F",1,"บอกได้คำเดียวเลยว่า""ไม่ประทับใจครับ"" สินค้าโฆษณาว่า 4 นิ้ว ได้รับมามันแค่ 2 นิ้วครึ่ง สอบถามไปทางร้านค้า ให้เอาออกไปตากแดด 2-3 ชั่วโมง เอาออกไปตากแดดแล้วก็ยังเหมือนเดิม(สามารถเช็คเวลาได้จากรูป) การตัดเย็บก็อย่างที่เห็นในรูป ตอนแรกว่าจะคืนของ แต่คิดไปคิดมาเสียเวลาครับ ใครจะซื้อคิดดีๆนะครับ"
j*****j,2022-02-17 21:10:27,"Topperกรมท่า4นิ้ว,6F",5,สินค้าจัดส่งรวดเร็วมากๆ แค่สองวันถึงเลย ตรงปกนะค้า นิ่มดีค่ะ นอนสบายขึ้น จากเดิมที่ฟูกหอแข็งมาก เหมือนเตียงโรงพยาบาล ท้อปเปอร์ช่วยได้เยอะเลย ขนย้ายสะดวกเหมาะกับคนที่อยู่หอพักแล้วฟูกแข็งเปลี่ยนเองไม่ได้มากๆ โดยรวมชอบมากค่ะ คุ้มค่าคุ้มราคา เพิ่มคุณภาพการนอนของเราได้ค่ะ เพราะการพักผ่อนเป็นสิ่งสำคัญ
w*****a,2022-02-08 11:49:27,"Topperกรมท่า4นิ้ว,6F",3,"คุณภาพสินค้าพอใช้  ตามราคาค่ะ 

คุณภาพสินค้าพอใช้  ตามราคาค่ะ 

คุณภาพสินค้าพอใช้  ตามราคาค่ะ 

คุณภาพสินค้าพอใช้  ตามราคาค่ะ 

คุณภาพสินค้าพอใช้  ตามราคาค่ะ 

คุณภาพสินค้าพอใช้  ตามราคาค่ะ"
nutch_katae,2022-02-25 19:16:51,"Topperเทา2นิ้ว,6F",5,เนื้อผ้าหนาดีมากๆ นอนสบาย นุ่ม คุ้มค่ามากๆ เนื้อผ้าหนาดีมากๆ นอนสบาย นุ่ม คุ้มค่ามากๆ
tongwhite,2022-02-08 10:50:24,"Topperเทา4นิ้ว,5F",3,"บางกว่าที่คิดไปมาก ส่งช้าด้วยอาจจะเพราะติดเทศกาลตรุษจีน
ราคาแพง ถ้า300-400 โอเคอยู่ รวมๆก็พอใช้ได้ ไปแย่มาก
บางกว่าที่คิดไปมาก ส่งช้าด้วยอาจจะเพราะติดเทศกาลตรุษจีน
ราคาแพง ถ้า300-400 โอเคอยู่ รวมๆก็พอใช้ได้ ไปแย่มาก"
v*****t,2022-02-04 16:34:59,"Topperเทา4นิ้ว,5F",5,ได้รับเรียบร้อยสินค้ามีคุณภาพตามที่โพตส์ไว้เลยคุ้มค่าดีมากใหญ่และหนาดีครับแนะนำเลยร้านนี้ไว้ใช้บริการใหม่ครับ
f*****d,2022-02-02 23:56:28,"Topperเทา4นิ้ว,6F",5,ดีค่ะหนานุ่มพับสองชั้นแล้วนุ่มมากๆ ดีค่ะหนานุ่มพับสองชั้นแล้วนุ่มมากๆ ดีค่ะหนานุ่มพับสองชั้นแล้วนุ่มมากๆ
earn2309,2022-01-25 11:57:02,"Topperเทา4นิ้ว,5F",5,จัดส่งรวดเร็ว รอของไม่นานจัดส่งรวดเร็ว รอของไม่นานจัดส่งรวดเร็ว รอของไม่นานจัดส่งรวดเร็ว รอของไม่นานจัดส่งรวดเร็ว รอของไม่นานจัดส่งรวดเร็ว รอของไม่นาน
n*****1,2021-12-31 01:04:25,"Topperเทา4นิ้ว,6F",4,"ความคุ้มค่าดี สั่งช่วงแฟลซเซลล์ลดเพิ่มไปอีกคือดี 
สินค้าคุณภาพดี ขนาดความหนาตามที่สั่ง ความนุ่มต่องขอไปทดลองใช้ก่อน ความคุ้มค่าดี สั่งช่วงแฟลซเซลล์ลดเพิ่มไปอีกคือดี สินค้าคุณภาพดี ขนาดความหนาตามที่สั่ง ความนุ่มต่องขอไปทดลองใช้ก่อน ความคุ้มค่าดี สั่งช่วงแฟลซเซลล์ลดเพิ่มไปอีกคือดี สินค้าคุณภาพดี"
tapatcharalak,2022-01-01 00:49:37,"Topperน้ำเงิน2นิ้ว,5F",3,สินค้าตรงปก คุณภาพตามราคา จัดส่งรวดเร็ว แพ๊คห่อมาดี สั่ง2นิ้วมารู้สึกบางไปหน่อยถ้าปูกับพื้น ถ้าปูบนที่นอนก็โอเค เย็บมาไม่ค่อยเรียบร้อยด้ายหลุดลุ่ย3จุด
