username,date,variation,rating,comment
t*****t,2022-03-07 14:11:45,,5,"ส่งสินค้าค้าเร็ว คุณภาพของสินค้าดีมาก 
การให้บริการจากทางร้านค้าดีมาก
การให้บริการจากขนส่งดีมาก
เหมาะสมกับราคา ดีมาก"
v*****3,2022-02-27 15:52:36,,5,ใช้เวลาส่งไม่นาน 3-4 วัน ทางร้านโทรมาถามที่อยู่เพื่อความชัวร์ พอได้สินค้า มีลักษณะตรงตามที่เเจ้งไว้ ขนาดเล็ก เหมาะกับหอพักเล็กๆ น่ารักดีค่ะ ไม่กินไป ค่าไฟเพิ่มมาเเค่ 100 กว่าบาทเอง โอเคค่ะ 10/10
kittapakraggae,2022-02-25 16:48:48,,5,ดีมาก คุ้มราคา ใช้เวลาจัดส่งไม่นาน พนักงานส่งยกของให้ถึงที่
s*****t,2022-02-14 20:43:38,,5,ก่อนจัดส่งร้านโทรนัดวันเวลาเรียบร้อย ขนส่งก็มาถึงไว บริการดีค่ะ ตู้เย็นขนาดน่ารัก ไว้ใช้ในห้อง แช่ของกินเล็กๆน้อยๆ ปรับระดับความเย็นได้ดี เสียงเครื่องทำงานเบามาก ไม่ได้ยินเลยด้วยซ้ำ คุ้มค่ากับราคาที่ได้มาค่ะ
t*****y,2022-02-08 14:10:22,,5,"หลังจากกดสั่งซื้อพนักงานโทรมานัดพร้อมจัดส่งในวันถัดไปทันที ทดลองใช้มา 3 วัน โอเคเรียบร้อยดีค่ะ ขนาดกำลังดีเอาไว้แช่น้องๆเครื่องสำอาง จัดส่งรวดเร็ว ราคาดีสุดๆ ราคาโปรพร้อม Coins คืนอีก ตกเครื่องนี้ 2,265 บาทค่ะ"
thepreechajandeesri,2022-02-07 13:11:13,,5,สินค้าโอเคคุ้มค่า เย็นใช้ได้ ขนาดพอดีกับหอพักเล็กๆอยู่คนเดียว จัดส่งโดยรวมโอเคร รวดเร็วปลอดภัย ล้างการใช้งาน ตั้งทิ้งไว้ 4-5 ชั่วโมงก่อนใช้งาน ใช้ครั้งแรกเปิดเย็นสุดสัก 8-9 ชั่วโมง ชอบมากครับ ราคาไม่แพงมาก คุ้มค่ามากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก
shinningday_kik,2022-01-21 19:17:20,,5,ส่งเร็วมากค่ะ สั่งวันที่ 15 ตอนเที่ยงคืน วันเดียวกันตอนบ่ายได้ของแล้ว ขนส่งส่งดี ของไม่มีรอยไม่มีตำหนิ ตู้เย็นไซส์ดีมาก เหมาะสำหรับอยู่หอ น้ำหนักตู้ประมาณ 23-24 กิโล ขนง่าย ตู้เย็นสามารถทำน้ำแข็งได้ ปรับได้ 8 ระดับ เราใช้แค่ระดับ 6 ก้อเป็นน้ำแข็งแล้วค่ะ เรื่องกินไฟมั้ยต้องดูยาวๆ บริษัทตอบคำถามดีค่ะ
l*****o,2022-01-18 21:43:01,,5,ตอนรับของมามีรอยเจาะที่กล่องข้างๆจำนวน 2 จุดแต่แกะดูแล้วตู้เย็นไม่ได้รับความเสียหายอะไร มีรอยขีดข่วนที่ฝาเล็กน้อยแต่ไม่มีอะไรบุบสลาย กังวลมากถึงกับต้องกำชับทั้ง Admin และพนักงานส่งของว่าระวังของเสียหาย จิตตกมากเพราะดูจากหลายรีวิวแล้วไม่โอเคเท่าไหร่แต่ที่เจอกับตัวคือโอเค เหลือแค่ทดลองใช้ไปก่อน
k*****k,2022-01-16 13:32:44,,4,การขนส่งมีร่องรอยเล็กน้อยแต่รับได้ การขนส่งรวดเร็ว สั่งของ 15 มกราคม ส่งของถึงบ้าน 16 มกราคม ถือว่าเร็วมาก ได้สินค้ามาในราคาถูก สินค้ากะทัดรัดแหมะสำหรับหอพัก หรือต้องการประหยัดพื้นที่
choladacherdsamran,2022-01-11 19:14:33,,5,"ได้รับสินค้าค่ะ ขนส่ง-ส่งของเร็วมาก สินค้าถูกต้องครบถ้วนตามที่สั่ง
ไม่มีตำหนิหรือมีรอดใดๆ รอบข้าง เสียบปลั๊กแล้วคอมเพรสเซอร์ตู้เย็นทำงานปกติ เสียงเบาแทบไม่ได้ยินถือว่าโอเค เดี๋ยวลองใช้ก่อนว่าเย็นหรือเปล่า ใช้ในระยะยาวจะมีปัญหาอะไรไหม"
m*****1,2022-01-15 20:52:27,,4,ดีมากกกก แต่เรื่องความเย็นต้องรอดูก่อนว่าโอเครมั้ย
mindmontita,2021-12-23 14:57:34,,5,ทางร้านจัดส่งสินค้าเร็วมากๆๆๆๆ  สินค้าใช้งานได้ปกติไม่มีปัญหา ขนาดตู้เย็นกำลังดี ขนส่งดีมากๆค่ะ คุ้มจ้าาา
p*****p,2021-12-27 22:12:21,,4,"แพ็คของมาดี แต่ได้ของเชทนิดหน่อย เพราะในแอพบอกจะได้วันที่24แต่ไม่เห็นมาส่งเลยติดต่อร้านค้าไปก็ได้เบอร์ติดต่อขนส่งมาต้องตามของเอาสุดท้ายมาได้วันที่27เพราะขนส่งโทรมาแจ้ง ได้มาช่วงโปร3,1xx  ก็ถือว่าโอเค ค่อนข้างเย็นช้านิดหน่อย ปรับไปถึงเลข4-5แล้วไม่ค่อยเย็น แต่ปรับไปถึง6-8แล้วเย็นพอดีน้ำแข็งแข็งเร็วเลย"
jutathip5525,2021-11-25 15:03:59,,5,ขนส่งไวสินค้าตรงปกเหมาะกับหอพักมี5ดาว😁😁😁😁😁😁😁😁😁😁😁😁😁ขนส่งไวสินค้าตรงปกเหมาะกับหอพักมี5ดาว😁😁😁😁😁😁😁😁😁😁😁😁😁ขนส่งไวสินค้าตรงปกเหมาะกับหอพักมี5ดาว😁😁😁😁😁😁😁😁😁😁😁😁😁ขนส่งไวสินค้าตรงปกเหมาะกับหอพักมี5ดาว😁😁😁😁😁😁😁😁😁😁😁😁😁
bybellwave,2021-12-07 13:08:25,,4,สินค้าถูกต้อง ไม่มีปัญหา แต่ขนส่งช้ามาก เลทไป2-3วันถึงได้ แต่ราคาถูกดี เครื่องใช้งานปกติดี เย็นดี ส่งมาไม่มีไรเสียหาย แค่ขนส่งช้ามากๆ
anusra_2542,2021-11-17 12:37:06,,5,โอเครดีนะคะ เพิ่งได้ของสั่งไปวันที่โปร11:11 เพิ่งได้ประมาน5-6วันค่ะ ทางนี้เร่ง พวงมาส่งงง รีบ55555 แต่ก็โอเครดี ต่อไปก็อยู่ที่ว่าจะใช้ได้นานแค่ไหน
sidthipornsornlam,2021-10-27 16:19:52,,5,สินค้าของแท้ราคาถูกกว่าร้านอื่น คุ้มค่ากับราคา จัดซื้อมากับบริษัทผู้ผลิตโดยตรง ไว้วางใจ จัดส่งรวดเร็วดี จัดซื้อกับบริษัทนี้เป็นครั้งที่ 3 แล้ว บริการเยี่ยมครับ
b*****0,2021-11-15 18:24:10,,5,ดีมากค่ะ ไม่กินไฟด้วย เสียงเงียบมาก ราคาได้มากในช่วง 11.11 ถูกมากค่ะ ส่งของรวดเร็ว พี่พนักงานช่วยขนขึ้นมาส่งที่ห้องด้วยค่ะ เยี่ยมๆ
rueangdet68,2021-10-24 09:22:13,,5,ดีมาก คุ้มมาก  สั้งเพิ่มอีกแน่นอน ดีมาก คุ้มมาก  สั้งเพิ่มอีกแน่นอน ดีมาก คุ้มมาก  สั้งเพิ่มอีกแน่นอน ดีมาก คุ้มมาก  สั้งเพิ่มอีกแน่นอน
rattana_168,2021-06-19 09:57:10,,5,"เต้ม10ให้100คระ
1ขอชมเชยพนักงานทีมาส่งบริการดีมากคระขึนมาส่งให้ตรงบันไดเนืองจากเราเจ้บหลังไม่สามารถยกขึ้นมาตรงบันไดได้ขออาสาพี่เค้าขึ้นมาส่งให้พุดจาดี
2.การบริการของพี่พนักงานในช่องแชทบริการดีคระถามอะไรไปก้อตอบกลีบเร้วมากคระให้คำแนะนำก่อนได้รับสินค้าดีมาก
3.สินค้าตกปกมากใหญ่ได้มาในราคาถุกจัดส่งเร้ว"
a*****k,2021-09-18 13:01:59,,5,"คุ้มค่ามากกกกกกกควรซื้อเราได้มาราคา 2,500 เหมาะสำหรับคนอยู่คนเดียวแบบเรามากใครจะซื้อแบบมินิแนะนำแบบนี้ยี่ห้อนี้เย็นเร็วนะ พนักงานคนขนส่งก็ดีมากกกกกขนขึ้นมาชั้นสี่ให้เลย เราสั่งวันพุธช่วงเที่ยงคืนได้วันศุกร์ตอนเช้าเลยเร็วมาก"
kamraibun,2021-10-04 12:46:08,,5,ดีมาก สวยไม่บุบสภาพดี ยังไม่ได้เสียบปลั๊ก เฟมาะสำหรับคนอยู่หอ ดีมาก สวยไม่บุบสภาพดี ยังไม่ได้เสียบปลั๊ก เฟมาะสำหรับคนอยู่หอ ดีมาก สวยไม่บุบสภาพดี ยังไม่ได้เสียบปลั๊ก เฟมาะสำหรับคนอยู่หอ
jarunyaphabsian,2021-08-26 11:57:30,,5,"สั่งไปวันที่15 ได้วันที่26 พอดีว่าของหมดเลยต้องรอนานหน่อย ทักไปทางร้านก็ให้การตอบกลับมาดี สภาพของไม่มีอะไรเสียหาย ได้มาในราคา2,4xxถือว่าคุ้มมากๆ"
c*****l,2021-09-02 13:09:44,,5,สินค้าเป็น ตู้เย็นขนาด 3.4 คิว ขนาดกำลังพอดี จากการตรวจสภาพทั้งภายนอกและภายในไม่มีรอยชำรุด ได้รับอุปกรณ์ประกอบครบถ้วน มีใบรับประกันพร้อม และพนักงานจัดส่งดีมาก
salisapanghom,2021-10-03 11:38:13,,5,ได้รับของแล้วคะ ขนส่วไวสั่งประมาณ2วันได้ของเลย ตู้เย็นคุ้มค่าสมราคาอยู่คะ ตู้มันเล็กแต่ก็น่ารักดีคะ
t*****a,2022-03-05 21:14:50,,4,ส่งเร็วส่งไวมากกกๆ ซื้อช่วงมีส่วนลดก็คือถูกไปเลยยย ไม่มีชำรุด ไม่มีรอย ตรงปกตามที่แจ้ง วงงงงงงงงง👍👍👍👍👍👍👍👍
chanyanuchyaemsawai,2022-02-03 19:29:31,,3,สินค้าที่ได้รับมาคุณภาพสมราคาค่ะ ขนส่งบริการดีมาก เรื่องการใช้งานคอยดูสักพักค่ะว่ามีอะไรเปลี่ยนไปหรือเปล่า
b*****7,2022-02-14 17:05:40,,5,". 
░L░░I░░K░░E░
░S░░H░░A░░R░░E░
░F░░O░░L░░L░░O░░W░‌










‌










‌. 
░L░░I░░K░░E░
░S░░H░░A░░R░░E░
░F░░O░░L░░L░░O░░W░‌










‌










‌
‌










‌
‌










‌"
nu_miewzy,2021-12-24 18:14:19,,5,ทางร้านจัดส่งสินค้ารวดเร็วทันใจ สั่งวันที่ 21/12 ได้รับสินค้า วันที่ 24/12 สินค้าใช้งานได้ปกติ ตอนนี้ยังไม่มีปัญหาอะไร คุณภาพของสินค้าดี คุ้มเกินราคา พนักงานขนส่งบริการดี จัดส่งถึงบ้าน โดยรวมสินค้าโอเคเลยค่ะ
r*****a,2021-11-23 13:18:45,,5,"สินค้ามีคุณภาพดี ราคาประหยัด
สินค้ามีคุณภาพดี ราคาประหยัด
สินค้ามีคุณภาพดี ราคาประหยัด
สินค้ามีคุณภาพดี ราคาประหยัด
สินค้ามีคุณภาพดี ราคาประหยัด"
captain_steve_roger,2021-11-01 21:00:24,,5,ได้รับของแล้ว  ส่งไวครับ..................................... . .......................................
sinesayumii,2021-09-14 18:38:38,,5,ได้ของราคาถูกมาก เครื่องทำงานปกติ จัดส่งสินค้าไวมาก ไวมากจริงๆ แพคสินค้าดี จัดส่งดี ราคาถูก คุ้มค่ามาก ใช้งานได้ดี
w*****k,2021-08-23 12:19:25,,5,ได้อุปกรณ์มาครบ สั่งของวันที่ 15 ได้รับของวันที่ 20 ขนส่งบริการดีมากค่ะ ขนของขึ้นมาให้ถึงห้องพักเลย ตู้เย็นคอมเพรสเซอร์ทำงานเงียบดี แต่ไม่ค่อยตัด ข้างตู้ร้อนอุ่นตลอด ระดับความเย็นก็ปรับมา5-6เลยกำลังดี
somsak25182518,2021-09-03 13:20:34,,5,"ได้รับสินค้าเรียบร้อยแล้ว
ร้านค้าให้บริการดี ตอบคำถามของลูกที่สงสัยได้หตอบไว คุณภาพของสินค้าดีมาก ถูกใจ
พนักงานงานส่งสินค้าให้บริการดีมาก"
panneepongda04032522,2021-09-10 22:02:57,,5,สินค้าคุณภาพดีเย็นไว​ ​สีสัน​รูปทรงสวยงามน่าใช้​ ราคาดีคุ้มค่ากับการเลือกซื้อมาใช้​ การจัดส่งรวดเร็วทันใจ​ พนักงานจัดส่งสินค้าให้บริการดีพูดสุภาพจัดส่งสินค้าให้ถึงที่บริการได้ประทับใจมากๆ
