username,date,variation,rating,comment
w*****t,2022-03-18 13:05:53,,5,"การจัดส่งไม่ช้าไม่เร็ว ได้มาหักลบกลบหนี้แล้ว 
ตกขวดละ 53 บาท ไม่ได้เสีย coin ซื้อด้วย
แฟลชเซลล์ เมื่อซื้อถึงยอด ส่งฟรี ได้ส่วนลด 
เหรียญคืน คุ้มมาก ใช้กันไปยาวๆ

ขนส่งคนนี้บริการดีมาก...😆😆"
b*****o,2022-02-20 18:54:41,,5,สินค้าจัดส่งรวดเร็วตามเวลาที่กำหนด การแพ็คสินค้าทางร้านทำได้แน่นหนาห่อกันกระแทกอย่างดีสินค้าไม่ได้รับความเสียหายใดๆ ส่วนคุณภาพสินค้าคงไม่ต้องเอ่ยถึงเพราะเป็นที่ทราบกันดีของแบรนด์นี้ สินค้าเป็นของผลิตปี 2021 หมดอายุ 2024 สสรุปงานขนส่งบริการดีเยี่ยมโทรติดต่อก่อนเข้ามาส่งจ้ารุปประทับใจมากจ้า
pimkie087,2022-02-20 13:25:27,,5,สินค้าคุณภาพดี ราคาถูกกว่าร้านข้างนอก มีคูปองส่งฟรีด้วย คุ้มค่า1 แถม1 ร้อยกว่าบาท ร้านค้าจัดส่งสินค้าไว ขนส่งบริการรวดเร็วดี
phraeowphansrisilapakorn,2022-02-16 17:54:16,,5,ได้รับสินค้าเร็วมากๆค่ะ สั่งไป15กุมภา 16กุมภาได้รับสินค้า แพ็คมาดี ห่อกันกระแทก สินค้ามีคุณภาพ คุ้มราคาค่ะ จะอุดหนุนอีกนะคะ
g*****9,2022-01-29 15:13:42,,5,สั่งวันศุกร์ ได้รับวันเสาร์ ส่งไวเวอร์ ยอดเยี่ยมครับ แพ็คห่อสินค้าได้มืออาชีพมาก สินค้าไม่มีเสียหาย หมดอายุปี 2024 โน้น ขนาด จำนวน และชนิดถูกต้องตามที่สั่ง เรียกว่าระบบการจัดการระดับสากล ราคาช่วงโปรโมชั่นถูกแบบสวนทางกับค่าครองชีพปัจจุบัน ไม่มีอะไรจะคุ้มค่าเท่านี้อีกแล้วครับ จัดโปรฯบ่อยๆอีกนะครับ
143_wh11a1,2022-02-02 16:10:07,,5,ส่งไวมากเลยครับใช้ดีเลยยยยยยนนนยยยยยยยยยยยยยยยยยยยยยยยนยนยนายยย
siraspol2514,2022-01-21 22:51:09,,5,ขอบคุณมากครับสำหรับสินค้าเอ็นน้ำยาอมบ้วนปากที่ร้านค้าออนไลน์ที่ได้จัดส่งมาให้ครบถ้วนสมบูรณ์ตามความต้องการของลูกค้าครับ
g*****9,2022-01-10 15:38:54,,5,การแพ็คห่อสินค้าดีมาก สินค้าไม่เสียหาย ขนาด ชนิด และจำนวนถูกต้องตาสที่สั่ง สินค้าไม่ได้หมดอายุ ยังคงใช้ได้อีกนาน คถณภาพสินค้าดีมาก ราคาคุ้มค่า มีจัดโปรอีกจะอุดหนุนอีกครับ
j*****p,2021-12-08 16:50:56,,5,"แฟลชเซลล์ 151 บาท/แพ็ค คุ้มมากๆ ซื้อตุนยาวๆไปเลยจ้า คูลมิ้นใช้แล้วจะเผ็ดๆหน่อยแต่ใช้แล้วรู้สึกสะอาด ชอบที่ใช้แล้วไม่ค่อยเจ็บคอ สินค้าหมดอายุ 08/2024 

ฝากคลิปรีวิวแกะกล่องมินิปริ้นเตอร์ PeriPage พร้อมวิธีเชื่อมต่อแอพแฟลช ช่อง NewbillyP ในยูทูปด้วยจ้า"
pooauan_pb,2022-01-01 16:16:10,,5,ได้รับสินค้าแล้ว ห่อบับเบิ้ลใส่กล่องให้อย่างดี  คุ้มมากๆๆ คู่ละ 151 ช่วงโปรโมชั่น  ใช้โค้ดส่งฟรีได้อีก คุ้มมากๆๆๆๆ
j*****p,2021-12-08 16:47:49,,5,"แฟลชเซลล์ 151 บาท/แพ็ค คุ้มมากๆ ซื้อตุนยาวๆไปเลยจ้า คูลมิ้นใช้แล้วจะเผ็ดๆหน่อยแต่ใช้แล้วรู้สึกสะอาด ชอบที่ใช้แล้วไม่ค่อยเจ็บคอ สินค้าหมดอายุ 08/2024 

ฝากคลิปรีวิวแกะกล่องมินิปริ้นเตอร์ PeriPage พร้อมวิธีเชื่อมต่อแอพแฟลช ช่อง NewbillyP ในยูทูปด้วยจ้า"
somprat101,2021-12-14 13:02:31,,5,ส่งไวมาก อยู่เพชรบุรี คืนเดียวถึง มีกล่องกันกระแทกดี รวมๆโอเค แนะนำเลยครับ จัดเลยรออะไรอยู่ล่ะครับพี่น้อง.
w*****8,2021-12-17 23:08:44,,5,"⭐️⭐️⭐️⭐️⭐️
ได้รับสินค้าถูกต้องตามที่สั่งซื้อ
สินค้าจัดส่งไม่ช้า
การบรรจุหีบห่อดี มีกันกระแทก
ขอบคุณสำหรับของแถม
***ข้อเสนอแนะ น่าจะมีสินค้าใหม่ให้ทดลองใช้บ้าง"
