username,date,variation,rating,comment
phadej.k,2022-03-06 22:36:10,4 ขา (สมมาตร),5,สินค้าห่อบับเบิลบรรจุรวมใส่กล่องส่งมาเรียบร้อยดี การใช้งานยังไม่ได้ทดลอง คุณภาพของสินค้าน่าจะมีความคุ้มค่าดี ความรวดเร็วในการจัดส่งปกติ มีโทรศัพท์แจ้งก่อนส่ง ถ้าใช้แล้วสะดวกดีก็จะสั่งสินค้าตัวอื่นๆมาลองใช้งาน.
darut.bank,2022-03-11 21:56:35,4 ขา (สมมาตร),4,กล่องพัสดุ ตอนมาถึง กล่องขาดเยอะมาก เห็นขอบด้านในเลย สามทรถมือล้วงไปได้ แต่เข้าใจว่าคงเกิดจากทางขนส่ง ไม่ใข่ทางต้นทาง เปิดดูของด้านในแพ็คมาอย่างดี ไม่มีรอย ของใข้ได้ดี
nannemai,2021-12-16 23:19:12,4 ขา (สมมาตร),5,"กล่องห่อได้หนาแน่นมากกกกค่ะ เป็นการแกะที่ท้อมากค่ะ55555 ของถือว่าสมราคาดีค่ะ
การประกอบเป็นการประกอบที่ง่ายดีค่ะ ไม่มีอะไรซับซ้อน การขนส่งดีมากๆ ไว้จะอุดหนุนอีกค่ะ"
kequeen,2021-12-06 15:07:59,3 ขา,5,แพ๊คเรียบร้อยดีมาก สินค้าครบถ้วนสมบูรณ์ ใช้งานได้ดี ทางร้านส่งเร็ว แต่Shopee Express ส่งล่าช้า
piyaneej,2021-11-11 13:57:14,4 ขา (สมมาตร),4,พัสดุมาในสภาพกล่องบุบยับไม่เรียบร้อย ของด้านในห่อมาในสภาพดีมีกันกระแทกมา ใช้เวลาในการรอพอสมควรคะ
miewlee12345,2022-03-11 11:46:54,ขาเดียว(แบบก้านร่ม),5,ได้รับสินค้าแล้วค่ะ   ขนส่งก็เร็วดี   ทางร้านแพ็คสินค้าส่งมาให้ดีมาก  วัสดุของสินค้าแข็งแรงทนทานต่อการใช้งานดี  ใช้งานก็ง่ายแสนง่าย   ลูกยางปลายไม้เท้าก็มีคุณภาพดี   แนะนำร้านนี้เลยค่ะ    ดีมากๆๆ  สินค้าก็มีคุณภาพมากๆๆค่ะ
c*****k,2022-01-06 22:37:01,4 ขา (สมมาตร),5,"สั่งสินค้าวันที่​ 2 ม.ค.
ผู้ขายส่งวันที่ 3 ม.ค.​
ได้รับสินค้าวันที่​ 6 ม.ค.
สินค้าตรงตามรูปที่โฆษณา
ยังไม่ได้ทดลองใช้​
คุณภาพไม่ดีค่อยมาแก้ดาวครับ"
s*****m,2021-12-01 12:26:19,4 ขา (สมมาตร),5,
chayaratharatsayaphong,2021-10-29 18:43:41,4 ขา (สมมาตร),4,สินค้าจัดส่งรวดเร็ว แต่พนักงานจากบริษัทขนส่งไม่สวม mask ทางร้านให้คำแนะนำสินค้าดี คุณภาพของสินค้าพอใช้ได้ (ไม่เนี๊ยบ) เหมาะสมกับราคา
v*****5,2021-09-13 17:15:42,3 ขา,5,"สินค้ามีคุณภาพดี ราคาไม่แพง
ร้านนี้สั่งซื้อเป็นครั้งที่2แล้วครับ
จัดส่งเร็วมาก และพนักงานจัดส่งก็นิสัยดี
แนะนำร้านนี้เลยครับ"
