username,date,variation,rating,comment
kanda_jam,2022-03-19 19:33:16,Body Scale 2.,5,ดีงามมากกกกกกกกค่ะ #จัดส่งไวเว่อ ทางร้านแพ็คกันกระแทกอย่างหนามาเลย สภาพสินค้าโอเคมากค่ะ #สินค้าก็ดี คือดีอ่ะ บอดี้สวยยยยย เรียบ หรู ดูดี #การเชื่อมต่อแอฟก็ง่าย คำนวณค่าต่างๆ ของร่างกายออกมาได้เยี่ยมมาก ในแต่ละส่วนมีคำแนะนำด้วยว่าต้องทานอะไรเพิ่ม เหมือนมีรักโภชนาการส่วนตัวเลย 😍😍 #ชอบค่ะ LOVE
s*****b,2022-03-10 09:03:45,Body Scale 2.,5,จัดส่งไว ของดีมีคุณภาพ ใช้งานง่าย สีขาวสวยดูสะอาดตา ใช้ถ่านaaa4ก้อน โดยรวมชอบค่ะ จัดส่งไว ของดีมีคุณภาพ ใช้งานง่าย สีขาวสวยดูสะอาดตา โดยรวมชอบค่ะ จัดส่งไว ของดีมีคุณภาพ ใช้งานง่าย สีขาวสวยดูสะอาดตา โดยรวมชอบค่ะ จัดส่งไว ของดีมีคุณภาพ ใช้งานง่าย สีขาวสวยดูสะอาดตา โดยรวมชอบค่ะ
f*****k,2022-03-14 21:35:09,Body Scale 2.,5,ได้รับสินค้าแล้ว การขนส่งรวดเร็วมาก ทางร้านมีการห่อบับเบิ้ลหลายชั้นมากๆ แน่นหนาดีค่ะ 👍👍👍👍
b*****x,2022-03-06 02:40:05,Smart  Scale 2,5,ได้รับสินค้าไวมากกกกกกกกกกก มีถ่านแถมมาให้ด้วยค่ะ ลองช่างน้ำหนักแล้วค่ะ ถ้าไม่ซีเรียสเรื่องมวลกาย สั่งรุ่นนี้ก็โอเคนะคะ
jidapha.z,2022-01-30 10:16:10,Body Scale 2.,5,"แพ็คมาดีและส่งไวมาก ยังไม่ได้ทดลองใช้
แพ็คมาดีและส่งไวมากค่ะ ยังไม่ได้ทดลองใช้เลย
ชอบแบรนด์นี้ สินค้าน่าซื้อทุกอย่างเลยจ้า"
vchienvan,2022-01-11 12:59:14,Body Scale 2.,3,ขอใช้เวลาส่งประมาณ 2 วัน  แต่ที่ขัดใจที่สุดคือ”การแพ็คของ”  ของบอบบางแบบตาชั่งดิจิตอล แต่ห่อห่วยยิ่งกว่าอะไร แค่เอาบับเบิ้ลมาพันบางๆแถมไม่รอบด้านด้วย แบบนี้ไม่ห่อก็ได้  ยังดีว่าขนส่งมือเท้าไม่ไม่หนัก ไม่งั้นพังไปแล้ว
numfon_nu,2022-01-26 20:52:37,Body Scale 2.,5,ที่ชั่งน้ำหนักดีเกินคาด ใช้ง่ายมากสามารถวัดได้หลายค่าเลยดูค่า BMI ได้ด้วย ล้ำไปอีกถ้าใครจะลดน้ำหนักมาตำกันนะ ร้านค้าส่งไวเวอร์ แถมห่อพัสดุแน่นหนาดีกันกระแทกแข็งแรง สุดปัง เลิฟเลย ชอบมาก 😻😻😻
r*****9,2022-01-14 15:43:55,Body Scale 2.,4,เครื่องชั่งน้ำหนักอัจฉริยะ ยี่ห้อ Xiaomi รุ่น Mi Body Composition Scale สามารถเชื่อมต่อทางบลูทูธกับแอป Mi Fit ในมือถือ สามารถวิเคราะห์และแสดงค่าได้ถึง 13 ค่า ช่วยบันทึกสถิติเพื่อเห็นการเปลี่ยนแปลงของร่างกาย ใช้แบตเตอรี่ขนาด AAA จำนวน 4 ก้อน เชื่อมต่อกับบลูทูธได้ไว แถมแบตเตอรี่มาให้ด้วย
p*****g,2022-01-05 22:11:27,Body Scale 2.,5,ได้รับของแล้วค่า สั่งตอนปีใหม่ได้วันที่ 5เลย จริงๆได้วันที่4แหละแต่เราไม่สะดวกรับเลยขอเลื่อนส่ง ของคือดีมากเลยย เห็นเลขชัดดี มีแอพประมวล BMI ด้วย ดีมากก ชอบดีไซน์มากเรียบๆสวยๆ จริงๆซื้อตามแจฮวานค่า ไม่มีอะไรเลย ได้เวลาชั่งเช้าเย็นแล้ว บริษัทขนส่งบริการที่มากถึงมากที่สุดชอบมากรู้ใจมากเว่อ
nachaivat,2021-12-13 19:13:41,Body Scale 2.,5,สินค้าคุ้มค่าจัดส่งเร็วมากค่ะ  สินค้าไม่เสียหายอะไรสินค้าคุ้มค่าจัดส่งเร็วมากค่ะ  สินค้าไม่เสียหายอะไรสินค้าคุ้มค่าจัดส่งเร็วมากค่ะ  สินค้าไม่เสียหายอะไรสินค้าคุ้มค่าจัดส่งเร็วมากค่ะ  สินค้าไม่เสียหายอะไรสินค้าคุ้มค่าจัดส่งเร็วมากค่ะ  สินค้าไม่เสียหายอะไรสินค้าคุ้มค่าจัดส่งเร็วมากค่ะ  สินค้าไม่เสียห
puiiiiiiiiiifaiiiii,2021-12-28 14:10:22,Body Scale 2.,5,ปัง เริ่ด คุ้ม วัดได้ทุกค่า เสียแค่ 500ต้นๆๆ ก็ได้รู้ทำอย่าง แม่ก็คือเกินทุกอย่างจ้ะ5555555 ส่งไวอยู่นะ ใครอยากลดน้ำหนักหรือดูแลสุขภาพแนะนำจ้า
orapinka,2021-11-11 20:24:50,Body Scale 2.,5,สินค้าตรงปก รูปลักษณ์สวยงาม น่าใช้งาน แสดงผลน้ำหนักได้ละเอียด ถือว่าแม่นยำ เพราะชั่งจากเครื่องเก่าก็ประมาณนี้ แถมถ่าน 4 ก้อน มีคู่มือภาษาจีน เชื่อมต่อ App. Mi Fit ไม่ยาก ประมวลผลยอดเยี่ยม หีบห่อมีเพียงแผ่นกันกระแทกพัน 3 รอบ แต่กล่องด้านในแข็งแรง จัดส่ง 2 วัน
dearsami.shop,2021-11-20 21:50:25,Body Scale 2.,5,"ชอบมาก รักเลย ราคาถูกมากๆ คุณภาพดีๆๆๆๆๆๆ
💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙💙
💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚"
pom_jung,2021-10-20 15:35:37,Body Scale 2.,5,กันกระแทกชั้นเดียวเอง แต่ไม่ได้เสียหายอะไรค่ะ การขนส่งดีมากนะคะ แม้แต่กล่องก็ไม่บุบ การจัดส่งเร็วดีค่ะ ประมาณ 2 วัน ได้ของ แต่ยังงง เรื่อง แอพพลิเคชั่นการเชื่อมต่อมือถืออยู่นิดหน่อยค่ะ สินค้าดูแข็งแรงดีค่ะ
k*****9,2021-10-12 18:38:40,Body Scale 2.,5,Xiaomi Mi Body Composition Scale 2 ได้รับหลายวันแล้ว  การจัดส่งรวดเร็วดี แต่บริษัทขนส่งทำห่อเลอะสกปรก ซึมไปถึงกล่อง ดีที่เครื่องชั่งไม่เสียหาย ใส่ถ่านแล้วโอเค เชื่อมต่อกับ App Mi fit ได้ปกติ
kamonluxx,2021-10-22 21:02:49,Body Scale 2.,5,ได้สินค้าแล้ว จัดส่งเร็วมาก สั่งวันที่ 21 ได้ของวันที่ 22 แพ็คบับเบิลมานิดหน่อยตามรูป ด้านหลังเลยบุบนิดหน่อย แต่ของข้างในไม่เสียหาย มีถ่านมาให้ในกล่อง ตอนลองใช้ครั้งแรกอาจจะไม่ค่อยตรง ต้องรอสักพัก แต่โดยรวมถือว่าดี ซื้อตอนลด เหลือ 400 เกือบ 500 คุ้ม
talumpook21,2021-10-17 13:54:47,Body Scale 2.,5,ไม่ได้ห่อกันกระแทกมาหนาเท่าไหร่ ได้รับของเร็ว กล่อง เครื่องมาสภาพโทรมไปหน่อย ดำเลอะ กล่องขาดบ้าง ก็ดีบอกมวลต่างๆ ในร่างกาย
modmint,2021-10-06 15:43:02,Body Scale 2.,5,สินค้าดีมากค่ะ บรรจุห่อมาอย่างดีมาก ไม่มีอะไรแตกหักเลยสักนิด 100% เลยจ้า ส่งรวดเร็วทันใจ ตรงตามปกไม่จกตาเลยค่า
m*****a,2021-10-03 20:05:11,Body Scale 2.,5,ตรงตามที่ต้องการ สินค้าไม่ชำรุด กล่องดี ไม่ถ่านให้ เชื่อมกับโทรศัพท์ง่าย คู่มือภาษาจีน แต่ไม่ใช่ปัญหา
