product_name,product_link,filename
covid-testkit,https://shopee.co.th/atk%E0%B8%8A%E0%B8%B8%E0%B8%94%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B9%82%E0%B8%84%E0%B8%A7%E0%B8%B4%E0%B8%94-19%E0%B9%80%E0%B9%80%E0%B8%A1%E0%B9%88%E0%B8%99%E0%B8%A2%E0%B8%B3100-(%E0%B8%A2%E0%B8%B5%E0%B9%88%E0%B8%AB%E0%B9%89%E0%B8%ADBoson)-%E0%B8%AA%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B8%A3%E0%B8%96%E0%B8%95%E0%B8%A3%E0%B8%A7%E0%B8%88%E0%B9%84%E0%B8%94%E0%B9%89%E0%B8%97%E0%B8%B8%E0%B8%81%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%9E%E0%B8%B1%E0%B8%99%E0%B8%98%E0%B8%B8%E0%B9%8C-%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B9%83%E0%B8%99%E0%B9%84%E0%B8%97%E0%B8%A2-i.298976044.14433925042?sp_atk=e4b2dd89-74f3-4c13-bdba-64e49ef886ec&xptdk=e4b2dd89-74f3-4c13-bdba-64e49ef886ec,covid-testkit
hairclip,https://shopee.co.th/%E0%B8%81%E0%B8%B4%E0%B9%8A%E0%B8%9A%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%9C%E0%B8%A1%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B8%A1%E0%B8%B8%E0%B8%81-%E0%B8%AA%E0%B8%B5%E0%B8%82%E0%B8%B2%E0%B8%A7-%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A3%E0%B8%82%E0%B8%B2%E0%B8%84%E0%B8%93%E0%B8%B4%E0%B8%95-%E0%B9%81%E0%B8%9F%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%AA%E0%B8%B3%E0%B8%AB%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87-1-%E0%B8%8A%E0%B8%B4%E0%B9%89%E0%B8%99-i.520243035.10742355908?sp_atk=68e53393-5ddb-4ba5-ac28-659d0258afb9&xptdk=68e53393-5ddb-4ba5-ac28-659d0258afb9,hairclip
female_shorts,https://shopee.co.th/%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99-%E0%B8%97%E0%B8%A3%E0%B8%87%E0%B9%80%E0%B8%A5%E0%B8%94%E0%B8%B5%E0%B9%89%E0%B8%AA%E0%B8%9B%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%95-%E0%B9%84%E0%B8%AB%E0%B8%A1%E0%B8%AD%E0%B8%B4%E0%B8%95%E0%B8%B2%E0%B8%A5%E0%B8%B5-%E0%B8%AD%E0%B8%AD%E0%B8%81%E0%B8%81%E0%B8%B3%E0%B8%A5%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%B2%E0%B8%A2%E0%B8%9C%E0%B8%B9%E0%B9%89%E0%B8%AB%E0%B8%8D%E0%B8%B4%E0%B8%87-%E0%B8%81%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%87%E0%B9%81%E0%B8%9F%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%82%E0%B8%B2%E0%B8%AA%E0%B8%B1%E0%B9%89%E0%B8%99%E0%B9%80%E0%B8%AD%E0%B8%A7%E0%B8%A2%E0%B8%B2%E0%B8%87%E0%B8%A2%E0%B8%B7%E0%B8%94-%E0%B8%9A%E0%B8%A5%E0%B9%8A%E0%B8%AD%E0%B8%81%E0%B9%80%E0%B8%8B%E0%B8%AD%E0%B8%A3%E0%B9%8C(P-P)-i.26249325.4992595253?sp_atk=b4c52fc3-5001-4b1a-95aa-d15e163d608b&xptdk=b4c52fc3-5001-4b1a-95aa-d15e163d608b,female_shorts
contact_lens,https://shopee.co.th/Bigeye-%E0%B8%A5%E0%B8%B2%E0%B8%A2pony-gray-brown-%E0%B8%A1%E0%B8%B5%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B9%83%E0%B8%AB%E0%B9%89%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%81%E0%B8%AD%E0%B8%B5%E0%B8%81%E0%B8%AB%E0%B8%A5%E0%B8%B2%E0%B8%A2%E0%B8%A5%E0%B8%B2%E0%B8%A2-%E0%B8%AA%E0%B8%B2%E0%B8%A2%E0%B8%95%E0%B8%B2%E0%B8%9B%E0%B8%81%E0%B8%95%E0%B8%B4-%E0%B8%A2%E0%B8%B5%E0%B9%88%E0%B8%AB%E0%B9%89%E0%B8%AD%E0%B8%9E%E0%B8%B4%E0%B8%8A%E0%B8%8A%E0%B8%B5%E0%B9%88%E0%B9%80%E0%B8%A5%E0%B8%99%E0%B8%AA%E0%B9%8C-i.107923237.8305596384?sp_atk=48c6d75e-27b6-414b-987c-8863e0690219&xptdk=48c6d75e-27b6-414b-987c-8863e0690219,contact_lens
alcohol-spray,https://shopee.co.th/%E0%B8%AA%E0%B9%80%E0%B8%9B%E0%B8%A3%E0%B8%A2%E0%B9%8C%E0%B9%81%E0%B8%AD%E0%B8%A5%E0%B8%81%E0%B8%AD%E0%B8%AE%E0%B8%AD%E0%B8%A5%E0%B9%8C75-1-000ml.%E0%B8%AB%E0%B8%AD%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%81%E0%B8%81%E0%B8%81-(%E0%B8%81%E0%B8%A5%E0%B8%B4%E0%B9%88%E0%B8%99%E0%B9%81%E0%B8%9A%E0%B8%A3%E0%B8%99%E0%B8%94%E0%B9%8C%E0%B9%80%E0%B8%99%E0%B8%A1)-i.217059246.12124789072?sp_atk=30a202fa-457a-4272-8a93-42f0fcfe0c37&xptdk=30a202fa-457a-4272-8a93-42f0fcfe0c37,alcohol-spray
wetwipes,https://shopee.co.th/%E0%B8%97%E0%B8%B4%E0%B8%8A%E0%B8%8A%E0%B8%B9%E0%B9%88%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B2%E0%B8%A9%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81-%E0%B8%97%E0%B8%B4%E0%B8%8A%E0%B8%8A%E0%B8%B9%E0%B9%88%E0%B9%80%E0%B8%9B%E0%B8%B5%E0%B8%A2%E0%B8%81%E0%B9%80%E0%B8%94%E0%B9%87%E0%B8%81-80-%E0%B9%81%E0%B8%9C%E0%B9%88%E0%B8%99-Baby-Wipes-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%AA%E0%B8%B8%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%8C-%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B8%AA%E0%B8%9B%E0%B8%B1%E0%B8%99%E0%B8%88%E0%B9%8C%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%A0%E0%B8%B2%E0%B8%9E%E0%B8%AA%E0%B8%B9%E0%B8%87-%E0%B9%81%E0%B8%AD%E0%B8%A5%E0%B8%81%E0%B8%AD%E0%B8%AE%E0%B8%AD%E0%B8%A5%E0%B9%8C%E0%B8%9F%E0%B8%A3%E0%B8%B5-i.304543619.11222345307?sp_atk=36acd2cc-a76d-47d9-999f-9ca2b3f0ded4&xptdk=36acd2cc-a76d-47d9-999f-9ca2b3f0ded4,wetwipes
plantpots,https://shopee.co.th/%F0%9F%8C%B3-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%96%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B8%9E%E0%B8%A5%E0%B8%B2%E0%B8%AA%E0%B8%95%E0%B8%B4%E0%B8%81-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%96%E0%B8%B2%E0%B8%87%E0%B8%95%E0%B9%89%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%89-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%96%E0%B8%B2%E0%B8%87-4-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-6-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-8-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-9-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-10-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-3-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-2.5-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-5-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-5.5-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%A3%E0%B8%B2%E0%B8%84%E0%B8%B2%E0%B8%AA%E0%B9%88%E0%B8%87-i.273406818.3447523387?sp_atk=aa2cd396-781f-4526-84c4-e151929b863b&xptdk=aa2cd396-781f-4526-84c4-e151929b863b,plantpots
clothesrack,https://shopee.co.th/Inmyhome%E0%B8%A3%E0%B8%B2%E0%B8%A7%E0%B8%95%E0%B8%B2%E0%B8%81%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B9%82%E0%B8%84%E0%B8%A3%E0%B9%80%E0%B8%A1%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A1-%E0%B8%81%E0%B8%A7%E0%B9%89%E0%B8%B2%E0%B8%87-1%E0%B8%A1.-%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B8%9A%E0%B8%AA%E0%B8%B9%E0%B8%87-%E0%B8%95%E0%B9%88%E0%B8%B3%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B9%81%E0%B8%82%E0%B9%87%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87-%E0%B8%97%E0%B8%99%E0%B8%97%E0%B8%B2%E0%B8%99-i.62733389.1028814553?sp_atk=4d9cf45d-b93b-441f-a34c-5ce0d2f4bb3a&xptdk=4d9cf45d-b93b-441f-a34c-5ce0d2f4bb3a,clothesrack
harddisk,https://shopee.co.th/-Commart-22-28-%E0%B8%A1%E0%B8%B5.%E0%B8%84-Seagate-2TB-One-Touch-with-Password-2.5-USB-3.0-External-Harddisk-%E0%B8%9F%E0%B8%A3%E0%B8%B5%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%81%E0%B8%B9%E0%B9%89%E0%B8%82%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%B9%E0%B8%A5-(STKY200040X)-i.57641011.2309105008?sp_atk=6d112973-36d8-4fa2-9306-3e22d44bee6c,harddisk
labelprinter,https://shopee.co.th/%F0%9F%9A%9A%E0%B8%AA%E0%B9%88%E0%B8%87%E0%B8%94%E0%B9%88%E0%B8%A7%E0%B8%99%E0%B8%97%E0%B8%B8%E0%B8%81%E0%B8%A7%E0%B8%B1%E0%B8%99-%F0%9F%96%A8%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%9E%E0%B8%B4%E0%B8%A1%E0%B8%9E%E0%B9%8C%E0%B8%89%E0%B8%A5%E0%B8%B2%E0%B8%81%E0%B8%AA%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B9%89%E0%B8%B2-%E0%B8%9A%E0%B8%B2%E0%B9%82%E0%B8%84%E0%B9%89%E0%B8%94-label-EasyPrint-ES-9900-9910-9920UX-%E0%B9%83%E0%B8%9A%E0%B8%9B%E0%B8%B0%E0%B8%AB%E0%B8%99%E0%B9%89%E0%B8%B2-shopee-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B9%83%E0%B8%8A%E0%B9%89%E0%B8%AB%E0%B8%A1%E0%B8%B6%E0%B8%81%F0%9F%93%8C%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C-i.171443527.3638108615?sp_atk=312dca7c-98c8-441e-aea0-f9d2fbea24d8,labelprinter
