,Organization Name,Organization Name URL,City,State,Country
1,Loadshare Networks,https://www.crunchbase.com/organization/loadshare-networks,Bengaluru, Karnataka,India
6,Locus.sh,https://www.crunchbase.com/organization/locus-sh,Bangalore, Karnataka,India
17,CartonCloud,https://www.crunchbase.com/organization/carton-cloud,Gold Coast, Queensland,Australia
20,Ripplr,https://www.crunchbase.com/organization/ripplr,Bengaluru, Karnataka,India
25,Ofload,https://www.crunchbase.com/organization/ofload,Sydney, New South Wales,Australia
31,Best Beer Japan,https://www.crunchbase.com/organization/best-beer-japan,Tokyo, Tokyo,Japan
35,Aerchain,https://www.crunchbase.com/organization/aerchain,Bengaluru, Karnataka,India
42,Yunmanman,https://www.crunchbase.com/organization/yunmanman,Nanjing, Jiangsu,China
56,Hakuna Matata Solutions,https://www.crunchbase.com/organization/hakuna-matata-solutions,Chennai, Tamil Nadu,India
62,Feiliu,https://www.crunchbase.com/organization/feiliu-tech,Shanghai, Shanghai,China
63,teTra aviation,https://www.crunchbase.com/organization/tetra-aviation,Tokyo, Tokyo,Japan
79,Logikura,https://www.crunchbase.com/organization/logikura,Tokyo, Tokyo,Japan
83,Waytous,https://www.crunchbase.com/organization/waytous,Qingdao, Fujian,China
85,Qianhai Yueshi Information Technology,https://www.crunchbase.com/organization/qianhai-yueshi-information-technology,Shenzhen, Guangdong,China
87,Freight Exchange Pty Ltd,https://www.crunchbase.com/organization/freight-exchange-pty-ltd,Sydney, New South Wales,Australia
95,Elixia Tech Solutions,https://www.crunchbase.com/organization/elixia-tech-solutions,Mumbai, Maharashtra,India
99,Nivaata Systems Pvt Ltd,https://www.crunchbase.com/organization/nivaata-systems-pvt-ltd,Bangalore, Karnataka,India
100,Eka Software Solutions,https://www.crunchbase.com/organization/eka-software-solutions,Bangalore, Karnataka,India
103,207,https://www.crunchbase.com/organization/207,Kami-meguro, Tokyo,Japan
112,Advanced Media,https://www.crunchbase.com/organization/advanced-media,Toshima, Tokyo,Japan
114,AutocloudPro,https://www.crunchbase.com/organization/autocloudpro,Shanghai, Shanghai,China
115,Iobot,https://www.crunchbase.com/organization/iobot,Pune, Maharashtra,India
127,THOK LOGISTICS,https://www.crunchbase.com/organization/thok,Xiamen, Fujian,China
133,One Key Access,https://www.crunchbase.com/organization/one-key-access,Docklands, Victoria,Australia
144,56top.cn,https://www.crunchbase.com/organization/56top-cn,Hangzhou, Zhejiang,China
145,KITOHA,https://www.crunchbase.com/organization/kitoha,Tokyo, Tokyo,Japan
151,Suray,https://www.crunchbase.com/organization/suray,Shanghai, Shanghai,China
152,TechBloom,https://www.crunchbase.com/organization/techbloom,Beijing, Beijing,China
153,Jixingtong,https://www.crunchbase.com/organization/jixingtong,Shanghai, Shanghai,China
