Source,Target,Type,Weight
9,270,undirected,1
11,270,undirected,1
17,270,undirected,1
25,270,undirected,1
33,270,undirected,1
43,270,undirected,1
60,270,undirected,1
61,270,undirected,1
62,270,undirected,1
63,270,undirected,1
75,270,undirected,1
76,270,undirected,1
94,270,undirected,1
95,270,undirected,1
97,270,undirected,1
110,270,undirected,1
115,270,undirected,1
119,270,undirected,1
120,270,undirected,1
232,270,undirected,1
247,270,undirected,1
255,270,undirected,1
122,284,undirected,1
172,287,undirected,1
31,273,undirected,1
136,273,undirected,1
14,272,undirected,1
18,272,undirected,1
21,272,undirected,1
22,272,undirected,1
23,272,undirected,1
24,272,undirected,1
40,272,undirected,1
42,272,undirected,1
44,272,undirected,1
46,272,undirected,1
47,272,undirected,1
48,272,undirected,1
49,272,undirected,1
50,272,undirected,1
51,272,undirected,1
52,272,undirected,1
53,272,undirected,1
54,272,undirected,1
55,272,undirected,1
56,272,undirected,1
57,272,undirected,1
59,272,undirected,1
86,272,undirected,1
106,272,undirected,1
108,272,undirected,1
183,272,undirected,1
184,272,undirected,1
185,272,undirected,1
186,272,undirected,1
187,272,undirected,1
188,272,undirected,1
189,272,undirected,1
190,272,undirected,1
191,272,undirected,1
192,272,undirected,1
193,272,undirected,1
194,272,undirected,1
195,272,undirected,1
196,272,undirected,1
197,272,undirected,1
198,272,undirected,1
199,272,undirected,1
200,272,undirected,1
201,272,undirected,1
202,272,undirected,1
203,272,undirected,1
204,272,undirected,1
205,272,undirected,1
206,272,undirected,1
207,272,undirected,1
208,272,undirected,1
214,272,undirected,1
215,272,undirected,1
216,272,undirected,1
217,272,undirected,1
218,272,undirected,1
219,272,undirected,1
220,272,undirected,1
221,272,undirected,1
222,272,undirected,1
223,272,undirected,1
224,272,undirected,1
225,272,undirected,1
226,272,undirected,1
227,272,undirected,1
228,272,undirected,1
229,272,undirected,1
230,272,undirected,1
234,272,undirected,1
246,272,undirected,1
2,265,undirected,1
73,278,undirected,1
77,278,undirected,1
145,278,undirected,1
209,278,undirected,1
210,278,undirected,1
211,278,undirected,1
212,278,undirected,1
213,278,undirected,1
0,263,undirected,1
3,263,undirected,1
4,263,undirected,1
10,263,undirected,1
13,263,undirected,1
16,263,undirected,1
26,263,undirected,1
27,263,undirected,1
28,263,undirected,1
41,263,undirected,1
64,263,undirected,1
65,263,undirected,1
66,263,undirected,1
70,263,undirected,1
71,263,undirected,1
72,263,undirected,1
81,263,undirected,1
82,263,undirected,1
85,263,undirected,1
88,263,undirected,1
89,263,undirected,1
91,263,undirected,1
93,263,undirected,1
103,263,undirected,1
107,263,undirected,1
111,263,undirected,1
112,263,undirected,1
118,263,undirected,1
124,263,undirected,1
125,263,undirected,1
135,263,undirected,1
137,263,undirected,1
138,263,undirected,1
139,263,undirected,1
140,263,undirected,1
141,263,undirected,1
142,263,undirected,1
154,263,undirected,1
155,263,undirected,1
231,263,undirected,1
236,263,undirected,1
237,263,undirected,1
238,263,undirected,1
241,263,undirected,1
248,263,undirected,1
249,263,undirected,1
250,263,undirected,1
251,263,undirected,1
254,263,undirected,1
8,269,undirected,1
182,269,undirected,1
12,271,undirected,1
19,271,undirected,1
20,271,undirected,1
35,271,undirected,1
36,271,undirected,1
37,271,undirected,1
38,271,undirected,1
39,271,undirected,1
45,271,undirected,1
78,271,undirected,1
101,271,undirected,1
113,271,undirected,1
114,271,undirected,1
116,271,undirected,1
121,271,undirected,1
126,271,undirected,1
127,271,undirected,1
128,271,undirected,1
129,271,undirected,1
130,271,undirected,1
131,271,undirected,1
132,271,undirected,1
143,271,undirected,1
144,271,undirected,1
146,271,undirected,1
147,271,undirected,1
148,271,undirected,1
149,271,undirected,1
150,271,undirected,1
151,271,undirected,1
152,271,undirected,1
153,271,undirected,1
157,271,undirected,1
243,271,undirected,1
244,271,undirected,1
245,271,undirected,1
252,271,undirected,1
253,271,undirected,1
256,271,undirected,1
257,271,undirected,1
258,271,undirected,1
259,271,undirected,1
260,271,undirected,1
261,271,undirected,1
262,271,undirected,1
104,282,undirected,1
178,282,undirected,1
179,282,undirected,1
34,275,undirected,1
123,285,undirected,1
98,280,undirected,1
109,280,undirected,1
58,276,undirected,1
83,276,undirected,1
84,276,undirected,1
177,276,undirected,1
105,283,undirected,1
6,267,undirected,1
87,267,undirected,1
99,267,undirected,1
180,267,undirected,1
181,267,undirected,1
235,267,undirected,1
242,267,undirected,1
158,286,undirected,1
32,274,undirected,1
96,279,undirected,1
133,279,undirected,1
156,279,undirected,1
159,279,undirected,1
160,279,undirected,1
161,279,undirected,1
162,279,undirected,1
163,279,undirected,1
164,279,undirected,1
165,279,undirected,1
166,279,undirected,1
167,279,undirected,1
168,279,undirected,1
100,281,undirected,1
102,281,undirected,1
171,281,undirected,1
1,264,undirected,1
30,264,undirected,1
117,264,undirected,1
240,264,undirected,1
69,277,undirected,1
7,268,undirected,1
15,268,undirected,1
29,268,undirected,1
67,268,undirected,1
68,268,undirected,1
74,268,undirected,1
79,268,undirected,1
80,268,undirected,1
90,268,undirected,1
92,268,undirected,1
134,268,undirected,1
169,268,undirected,1
170,268,undirected,1
233,268,undirected,1
239,268,undirected,1
5,266,undirected,1
173,266,undirected,1
174,266,undirected,1
175,266,undirected,1
176,266,undirected,1
