Fake,Id,Label,longitude,latitude
,0,Loadshare Networks,77.6249452,12.9369208
,1,Locus.sh,-0.1087471,51.5143386
,2,Locus.sh,6.7765926,51.2295051
,3,Locus.sh,72.8903661,19.1185767
,4,Locus.sh,77.6367714,12.925613
,5,Locus.sh,103.0321549,21.4063898
,6,Locus.sh,103.8583839,1.295351
,7,Locus.sh,-121.8932699,37.4210358
,8,Locus.sh,106.8262725,-6.230352
,9,CartonCloud,153.4264346,-28.1037224
,10,Ripplr,77.595808,12.875876
,11,Ofload,151.2079699,-33.8685661
,12,Best Beer Japan,139.5933937,35.7978025
,13,Aerchain,77.603341,12.906108
,14,Yunmanman,118.79647,32.0583799
,15,Hakuna Matata Solutions,-84.2905413,30.4340261
,16,Hakuna Matata Solutions,80.2271801,12.906394
,17,Hakuna Matata Solutions,144.9738758,-37.8357683
,18,Feiliu,121.6007642,31.2066742
,19,teTra aviation,139.7524369,35.7078686
,20,Logikura,139.6887103,35.6934023
,21,Waytous,116.365455,39.963344
,22,Waytous,109.842404,39.815225
,23,Qianhai Yueshi Information Technology,113.88878,22.50172
,24,Qianhai Yueshi Information Technology,120.2985013,30.4187503
,25,Freight Exchange Pty Ltd,151.2052783,-33.8652858
,26,Elixia Tech Solutions,72.8957612,19.0820398
,27,Nivaata Systems Pvt Ltd,77.6417731,12.9656227
,28,Eka Software Solutions,77.6911769,12.9310164
,29,Eka Software Solutions,-73.9761684,40.7544036
,30,Eka Software Solutions,-0.3340446,51.3102969
,31,Eka Software Solutions,-114.0709273,51.0466152
,32,Eka Software Solutions,6.1397173,46.2032747
,33,Eka Software Solutions,138.5988272,-34.9274891
,34,Eka Software Solutions,57.5026194,-20.1656599
,35,207,139.6666339,35.6173523
,36,Advanced Media,135.5052631,34.6858172
,37,Advanced Media,136.9217446,35.1705692
,38,Advanced Media,130.4300643,33.5809778
,39,Advanced Media,139.718194,35.729451
,40,AutocloudPro,121.49271,31.37356
,41,Iobot,73.7844259,18.609716
,42,THOK LOGISTICS,119.33017,25.71223
,43,One Key Access,144.9497181,-37.8193986
,44,56top.cn,119.9846815,30.2783616
,45,KITOHA,139.7147472,35.6345163
,46,Suray,121.598035,31.210506
,47,Suray,120.18562,30.8581599
,48,Suray,118.06326,32.79181
,49,TechBloom,116.481858,39.800248
,50,TechBloom,121.3609,31.12554
,51,TechBloom,119.99078,31.81312
,52,TechBloom,120.770586,31.319614
,53,TechBloom,113.3675161,23.0964211
,54,TechBloom,117.3827899,31.7550699
,55,Jixingtong,121.433565,31.3387977
,56,E-View,113.3227193,23.1497287
,57,GEESE,120.1592,30.3012
,58,Airship Logistics,121.044496,14.602843
,59,Anbaohong Wuliu Lianmeng,121.31904,31.092877
,60,Carisma,153.0130495,-27.4549266
,61,Travel Distribution Systems,145.080645,-37.812656
,62,Unscrabble Solutions,151.2061689,-33.87177
,63,CargoWise,151.1950399,-33.916385
,64,Qikship,77.3159296,28.5846875
,65,TruckSuvidha,77.290964,30.1392383
,66,Axestrack Software Solutions Pvt.Ltd,75.776205,26.8737158
,67,Telyport Technologies,-73.9934323,40.7462
,68,ORMAE,-75.5241898,39.1566126
,69,ORMAE,55.6782975,25.2784605
,70,ORMAE,77.6166843,12.8677991
,71,Info-X Software Technology Pvt. Ltd.,77.0861595,28.5058157
