Organization Name,Organization Name URL,Operating Status,Headquarters Location,Number of Employees,Description,Full Description,Industries,Founded Date,Founded Date Precision,Industry Groups,Top 5 Investors,IPO Status,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),Apptopia - Downloads Last 30 Days,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Number of Lead Investors,Number of Investors,Closed Date,Closed Date Precision,Estimated Revenue Range
Leaf Logistics,https://www.crunchbase.com/organization/leaf-logistics,Active,"New York, New York, United States",11-50,"Leaf Logistics connects shippers, providers, and partners to bring financial market efficiency to the transportation marketplace.","Leaf Logistics is creating a multi-party network of shippers, carriers, and logistics service providers. Leaf builds technologies for members to participate in this network and plan, coordinate, and execute their transportation logistics more effectively. Today, the product suite includes the Leaf Adapt platform for shippers to build antifragile transportation plans, Leaf Flex forward contracts that lock in value for shippers and carriers alike, and the Leaf Network, where efficiency scales with multi-party network moves.","Logistics, Software, Supply Chain Management, Transportation",2017-01-01,year,"Software, Transportation","Floodgate, FJ Labs, Dynamo, Sozo Ventures, Playground Global",Private,"2,795","5,111.67",,Series B,37000000,USD,37000000,Series B,37000000,USD,37000000,58500000,USD,58500000,58500000,USD,58500000,3,3,8,,,$1M to $10M
Loadshare Networks,https://www.crunchbase.com/organization/loadshare-networks,Active,"Bengaluru, Karnataka, India",11-50,"Loadshare Network  provides logistical software solutions focusing on first-mile, line-haul, and last-mile delivery services.","Loadshare Networks provides the technology platform, operations know-how, besides providing guidance on business development and branding. It also offers other services, ranging from first-mile, line-haul, and last-mile deliveries to modular logistics software solutions. The services offered by Loadshare Networks Pvt. Ltd. range from first-mile, line-haul, last-mile deliveries, and modular logistics software solution to partners. It is primarily focussed on business-to-consumer (B2C) logistics and has plans to foray into B2B logistics.","Delivery Service, Industrial Automation, Logistics, Software, Supply Chain Management",2017-01-01,year,"Manufacturing, Science and Engineering, Software, Transportation","BEENEXT, Tiger Global Management, Matrix Partners, Matrix Partners India, Alteria Capital",Private,"2,321","4,517.83",,Series C,3000000000,INR,40136058,Series C,3000000000,INR,40136058,60356577,USD,60356577,61398554,USD,61398554,8,6,12,,,$1M to $10M
Shippo,https://www.crunchbase.com/organization/shippo,Active,"San Francisco, California, United States",101-250,Shippo is a shipping platform that helps e-commerce companies manage their shipping operations more seamlessly.,"Shippo is a multi-carrier shipping API and web app. E-commerce businesses, marketplaces, and platforms are able to connect to multiple shipping carriers around the world from one API and dashboard, through Shippo. Businesses can get shipping rates, print labels, automate international documents, track shipments, and facilitate returns. The company processes millions of shipments per month for more than 35,000 customers. Businesses are able to instantly access multiple shipping carriers for real-time rates, shipping labels, international paperwork, package tracking, and return logistics. Shippo was founded in 2013 and is headquartered in San Francisco, California.","B2B, E-Commerce, Logistics, Software, Supply Chain Management",2013-01-01,year,"Commerce and Shopping, Other, Software, Transportation","500 Startups, Union Square Ventures, Plug and Play Tech Center, Slow Ventures, FundersClub",Private,"1,893,576","2,581,795.83",,Venture - Series Unknown,,,,Venture - Series Unknown,,,,154275000,USD,154275000,154275000,USD,154275000,10,4,20,,,$10M to $50M
Nexxiot,https://www.crunchbase.com/organization/nexiot,Active,"Zürich, Zurich, Switzerland",51-100,Nexxiot is the independent enabler of the digitized supply chain offers a complete IoT solution with sensors and software for data analysis.,"Nexxiot is Europe’s provider of integrated digital supply chain solutions. The company is built on over 10 years of research in complex systems, big data algorithms, and ultra-low-power embedded technology, and today equips entire fleets of logistics assets, such as railway wagons and cargo containers, with proprietary low-power sensors that provide raw data on location, movement, physical shock, and other parameters in near-real time to the Company’s proprietary analytics platform, where it generates business-relevant complex events and communicates these directly “machine-to-machine” to the clients’ systems. This means maintenance-free remote connectivity is coupled with powerful business logic and interfaces to enterprise software to facilitate mission critical information management.","Artificial Intelligence, Enterprise Software, Information Technology, Internet of Things, Logistics, Software, Supply Chain Management",2015-03-01,month,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software, Transportation","Credit Suisse, UBS, Die Mobiliar, kineo finance, Technology Fund",Private,"5,655","84,161.83",,Venture - Series Unknown,25000000,USD,25000000,Venture - Series Unknown,25000000,USD,25000000,58834800,USD,58834800,104885118,USD,104885118,9,6,7,,,Less than $1M
Zuum Transportation,https://www.crunchbase.com/organization/zuum-transportation-inc,Active,"Irvine, California, United States",101-250,"Zuum is a logistics platform that connects digital freight marketplaces, shipper TMS, broker software, carrier TMS, and mobile driver app.","Zuum Transportation optimizes logistics and streamlines supply chains globally on one automated platform which combines a digital freight marketplace with a shipper TMS, broker software, carrier TMS, and driver app.","Logistics, Software, Supply Chain Management, Transportation",2015-01-01,year,"Software, Transportation","Plug and Play Tech Center, Bridge Bank, SAIC Venture Capital, Capital Partners, Estes Express Lines",Private,"10,896","5,972.67",,Series A,12000000,USD,12000000,Series A,12000000,USD,12000000,28580000,USD,28580000,38580000,USD,38580000,5,3,10,,,$1M to $10M
TakeOff,https://www.crunchbase.com/organization/takeoff-technologies,Active,"Waltham, Massachusetts, United States",101-250,TakeOff uses an automated software platform to help grocers thrive in e-Commerce.,"Takeoff is helping grocers thrive in e-Commerce. Its automated grocery fulfillment solution was created by grocers, for grocers. It is the only eGrocery model that helps grocers not only embrace eGroceries, but thrive in an online grocery market. Together, it can lower users' last-mile and assembly costs, giving them the flexibility that they need to grow with their customers. The time is ripe for e-Groceries!","E-Commerce, Grocery, Internet, Logistics, Software",2016-01-01,year,"Commerce and Shopping, Food and Beverage, Internet Services, Software, Transportation","H20 Capital Innovation, IGNIA, Marfrig, Forrestal Capital",Private,"3,349","3,001.83",,Corporate Round,,,,Corporate Round,,,,146131342,USD,146131342,146131342,USD,146131342,6,2,4,,,$10M to $50M
Locus.sh,https://www.crunchbase.com/organization/locus-sh,Active,"Bangalore, Karnataka, India",251-500,Locus is an intelligent decision-making and automation platform for logistics.,"Locus is an intelligent logistics automation and decision-making platform that comes with in-built route planning and vehicle allocation engine which improves consistency and efficiency of operations. The platform helps companies and enterprises in e-commerce, food delivery, FMCG, and other verticals to automate and optimize their logistics. The product suite comprises a route deviation engine, order dispatch automation, a field user app, route optimizations, scheduling, tracking for end-customer, and predictive analytics. Offering the entire technology stack, in the form of a platform as a service.","Big Data, Data Visualization, Logistics, Software, Supply Chain Management",2015-05-01,month,"Data and Analytics, Design, Information Technology, Software, Transportation","BEENEXT, Tiger Global Management, Falcon Edge Capital, GIC, Pi Ventures",Private,"16,448","23,991.5",,Series C,50000000,USD,50000000,Series C,50000000,USD,50000000,78750000,USD,78750000,78750000,USD,78750000,6,4,25,,,$1M to $10M
Transfix,https://www.crunchbase.com/organization/transfix,Active,"New York, New York, United States",251-500,Transfix is a freight marketplace connecting shippers to a national network of reliable carriers.,"Transfix is a leading transportation solutions provider whose digital brokerage capabilities and logistics software offerings are helping reshape the future of freight. The company combines deep industry expertise and a best in class carrier network with cutting edge technology. The result? Competitive pricing, superior service and reliability, and unmatched intelligence for optimizing the supply chain from start to finish. Today, the world’s most recognized brands rely on Transfix’s trusted carrier network, including six of the top ten retailers and five of the ten largest food and beverage brands in America. Transfix was named one of Forbes’ “Next Billion-Dollar Startups” and is headquartered in the heart of New York City. For more information, visit www.transfix.io.","B2B, Fleet Management, Freight Service, Logistics, Marketplace, SaaS, Shipping, Supply Chain Management, Transportation",2013-08-01,month,"Commerce and Shopping, Other, Software, Transportation","Lerer Hippeau, New Enterprise Associates, Canvas Ventures, G Squared, Rugged Ventures",Private,"88,066","108,614.83","10,633",Series D,50000000,USD,50000000,Secondary Market,,,,128500000,USD,128500000,128500000,USD,128500000,7,5,17,,,$100M to $500M
Agora,https://www.crunchbase.com/organization/agora-systems,Active,"San Francisco, California, United States",11-50,Agora is a materials management platform for construction companies.,"Agora is a materials management platform for construction companies. It is a digital purchasing platform for electrical contractors allowing the field, office, warehouse, and vendors to collaborate on one platform, streamlining the purchasing process, including, requisitions, processing POs, and delivery tracking. It was founded in 2018 and is based in San Francisco, California.","Construction, Logistics, Software, Supply Chain Management",2018-01-31,day,"Real Estate, Software, Transportation","8VC, Tiger Global Management, BoxGroup, Index Ventures, Human Capital",Private,"10,624","5,279.33",,Series B,33300000,USD,33300000,Series B,33300000,USD,33300000,44620000,USD,44620000,44620000,USD,44620000,3,2,21,,,
Nuvocargo,https://www.crunchbase.com/organization/Nuvocargo,Active,"New York, New York, United States",51-100,Nuvocargo is the all-in-one digital platform for cross-border trade between USA and Mexico.,"Nuvocargo is the only all-in-one digital platform for cross-border trade offering freight forwarding, customs brokerage, cargo insurance and supply chain financing. It combines powerful technology with an exceptional team of experts to seamlessly integrate end-to-end movement of cargo in a single platform. Nuvocargo is modernizing a $2T market that has yet to experience real digitalization, empowering shippers with unparalleled visibility, efficiency and support. Run by a fully bi-lingual team, Nuvocargo's unique position at the intersection of technology, logistics, the US and Latin America, contributes to growing revenues >25% month over month since beginning operations in late 2019. Nuvocargo is backed by Tiger Global, QED Investors, NFX, ALLVP, world-renowned startup accelerator Y Combinator, leading entrepreneurs (including the founders of NuBank, Rappi, Loft, Ramp, Deel and the COO of Kavak) among others.","Freight Service, Logistics, Software, Supply Chain Management, Transportation",2019-03-01,month,"Software, Transportation","Flexport, Y Combinator, QED Investors, Tiger Global Management, Clocktower Technology Ventures",Private,"3,434","6,841.5",,Venture - Series Unknown,20500000,USD,20500000,Venture - Series Unknown,20500000,USD,20500000,37800000,USD,37800000,37800000,USD,37800000,4,4,25,,,$1M to $10M
