,Organization Name,formatted_address,latitude,longitude,status,Address
6,Locus.sh,,,,REQUEST_DENIED,"7 TEMASEK BOULEVARD, #12-07 SUNTEC TOWER ONE SINGAPORE (038987)"
10,Ripplr,,,,REQUEST_DENIED,"Intelligent Retail Pvt Ltd, Maithreyi # 1090/L, 3rd floor 18th cross, Sector 3, HSR Layout, Bengaluru, Karnataka-560102"
23,Waytous,,,,ZERO_RESULTS,"15th Floor, Building B, Building 1, Zhongke R&D City, High-tech Zone, Qingdao"
80,Swivel Software,,,,REQUEST_DENIED,"115 W California Boulevard #1058 Pasadena, CA 91105"
92,iInterchange,,,,ZERO_RESULTS,"“VS&B Niketan”, Y–8‚ 9th Street‚ Anna Nagar, Chennai – 600 040‚ India."
100,Cyberfreight,,,,REQUEST_DENIED,"750A Chai Chee Road #07-17 Viva Business Park, Singapore 469001"
142,Trimble Mobility Solutions India,,,,INVALID_REQUEST,"# 43, 1st floor, 2nd stage, BHCS layout, Vijayanagar 2nd stage, Bengaluru 560040 Karnataka"
153,Hitachi Distribution Software,,,,ZERO_RESULTS,"Hakata Ekimae C-9 Building, 4-2-20 Hakata Ekimae, Hakata-ku, Fukuoka 812-0011, Fukuoka Prefecture"
158,T3EX Global Holdings,,,,ZERO_RESULTS,"	6F M2 Building 2-8-1 Tanimachi Chuo-ku, Osaka Japan 5400012"
182,T3EX Global Holdings,,,,REQUEST_DENIED,115 Airport Cargo Road Changi Airfreight Centre Cargo Agents Bldg C #06-19 Singapore 819466
183,T3EX Global Holdings,,,,REQUEST_DENIED,119 Airport Cargo Road#01-01/02 changi Cargo Agents Megaplex 1 Singapore
213,T3EX Global Holdings,,,,ZERO_RESULTS,"Block G, 3/F & G/F G1 & Block H, G/ F, Yiu Lian Dockyard Ltd., 1-7 Sai Tso Wan Road, Tsing Yi, H.K."
241,Raygain,,,,REQUEST_DENIED,"8801 Independence Ave Unit#13,, Canoga Park, CA, USA, -Zip -91304, California, California 91304, US"
250,UniGPS Solutions,,,,INVALID_REQUEST,"#1353, A-Square, BCCHS Layout, Sir M. Visvesvaraya Square,, Near Holiday Village Resort, Off Kanakapura Road, Bengaluru, Karnataka 560062"
251,UniGPS Solutions,,,,INVALID_REQUEST,"#310, Megha Center,Pune Solapur Road Hadpsar, Pune 411013"
252,UniGPS Solutions,,,,INVALID_REQUEST,"#50, Near Tappsya Convent,Vinkar Colony,Manewada Square Nagpur 440024"
