username,date,variation,rating,comment
d*****2,2022-03-02 20:36:23,Pedas Daun jeruk,5,"Rasa:pedas
Harga:sedang
Kualitas:renyah

sudah pesen puluhan kali di toko ini,tapi kok pesanan saya yg ini rasanya klo ditelan kaya ada berasa bau minyak gas gitu..pas di makan,kenapa ya...maaf soalnya kita buat jual lagi"
nisa_0212,2022-03-02 15:58:26,Extra pds Daun jruk,5,"Pesanan sdh datang dgn aman selamat dan lengkap semua..rasa belum dicoba,semoga aja semuanya enak"
dwiayunibgtyas,2022-03-06 20:06:58,Extra pds Daun jruk,5,"Kualitas:baik
Rasa:gurih pedas
Harga:terjangkau

Pengiriman tidak ada kendala.respon dan pesanan sesuai yang diharapkan.pertahankan terus kwalitas nya dalam segala hal.sukses untuk tokonya.semoga menjadi langganan ditoko ini.trimakasih"
bellaasintyaa99,2022-02-27 23:50:49,Extra pds Daun jruk,5,"Makasih kak, baru dateng makaroninya udh abis. Rekomenn jamur sama kulit ayamnya"
y*****2,2022-03-05 18:11:37,Extra pds Daun jruk,5,"Udah dua kali beli basreng disini, enak tapi buat yg pake behel kaya aku agak wanti-wanti sih makannya. Thanks seller 😊"
ulieyuliiulii,2022-03-05 22:14:18,Original Daun jeruk,5,"Rasa:enak
Harga:oke
Kualitas:oke

Oke banget enak banget pokonya selalu order disini enak banget"
t*****4,2022-03-05 10:39:56,Extra pds Daun jruk,5,"Rasanya pas, pedas nya juga pas. Pengiriman nya cepat, pengemasan nya juga ok"
q*****2,2022-03-06 11:55:18,Extra pds Daun jruk,5,"Rasa:enakkk
Harga:murahh
Kualitas:baikk

Alhamdulillah udah beberapa kali order disini selalu memuaskan, maaf fotonya cuma ini karena yg lainnya sudah di ambil cus saya. Trimakasih ☺️"
h*****7,2022-03-06 10:13:40,Original Daun jeruk,5,"Kualitas:bagus
Rasa:enak
Harga:murah

Pengiriman cepat sudah langganan, sudah habis juga"
pratiwiputri03,2022-03-05 12:56:02,Extra pds Daun jruk,5,"Langganan, maaf telat kasih penilaian jadi udah pada habis tinggal ini😂 tq seller, next pasti aku pesen disini lagi😍😍😍"
renywi0205,2022-03-03 15:27:47,Extra pds Daun jruk,5,"Rasa:enak
Harga:pas
Kualitas:oke

Pengiriman cepat mksh kakak aok mantul sekali oke."
emilia250298,2022-03-01 15:05:30,Extra pds Daun jruk,5,"Makanan nya enak semua ga ada yg ga enak,, dapet potongan pula 10rb dapet cesbek juga 10rb heheh"
ulieyuliiulii,2022-03-05 22:15:36,Pedas Daun jeruk,5,"Rasa:enak
Harga:oke
Kualitas:oke

Enak banget pokonya enak sekali harga juga oke banget"
p*****3,2022-03-04 11:43:52,Extra pds Daun jruk,5,"Kualitas produk baik
Harga produk terjangkau
Pengemasan dan pengiriman barang cepat
Thanks seller"
u*****e,2022-03-05 22:23:30,Extra pds Daun jruk,5,Packing rapi aman pengiriman cepat Terima kasih banyak seller maju terus
q*****5,2022-03-04 20:41:55,Pedas Daun jeruk,5,"Rasa:Enak pedas mantap
Harga:Bersahabat
Kualitas:Baik

Oke pengiriman cepat packing rapi rasa enak. Udah dimakan tinggal dikit"
ekoadi386,2022-03-07 08:18:35,Original Daun jeruk,5,"Pesanan good, pakcingannya juga berlapis-lapis jadi gak mudah terbuka"
