username,date,variation,rating,comment
didiadvokat,2022-03-03 15:14:51,5W,4,"Kualitas:Standar pada umumnya Lampu yang harganya tidak mahal, semoga awet ya
Harga:Sangat murah
Daya listrik:5 Watt, sesuai pesanan

Respon penjual, baik,
Pengiriman cepat dan harganya murah."
h*****n,2022-02-17 18:03:05,30W,4,"Harga:terjangkau
Kualitas:baik

Harga terjngkau ,kualitas baik, pengiriman cepat, cuma packaginya ngeri"" serem. Saran untuk next packagingnya di kardusin/di bungkus karton tebel baru bubble wrap. Semangat seler ✊✊✊✊👍👍👍👍👍👍🤗"
amiirrkhancurrug,2022-01-27 19:27:41,25W,5,"Kualitas:moga awet lur
Harga:terjangkau
Daya listrik:30watt

Unboxing  https://youtu.be/OiOA-bwAdOw"
fjzi4uouml,2022-01-13 11:03:04,25W,5,"Harga:lumayan murah
Daya listrik:2200

Barang nya bagus, kemasan nya juga rapi tp lampu nya blm di coba, mudah mudahan nyala, kurirnya juga ramah"
kursipijat,2021-12-21 11:06:07,25W,5,"Kualitas:kurang terang 
Harga:murah
Daya listrik:25 w

Lampung sama terangnya dengan merek lain yg 5 watt. Padahal keterangannya 25 watt. Wajarlah harga murah"
innezrihana,2021-12-14 19:24:48,20W,5,"Harga:terjangkau
Daya listrik:tinggi
Kualitas:baik

Makasiih paketnya dah sampe, smoga awet."
sabarnaulimanihuruk,2021-11-17 07:39:37,25W,5,"Harga:terjangkau
Daya listrik:kuat dan terang
Kualitas:bagus

Produk bagus tahan lama dan terang.thanks"
myfair_lady,2021-10-27 13:26:45,25W,5,"Harga:ekonomis banget 
Daya listrik:terang sesuai yang saya mau
Kualitas:sangat bagus

Rekomended banget buat toko ini terimakasih banyak walau pun ad pesanan yg keliru tapi sangat puas karena mau pakai sendiri, lebih baik tingkatkan ketilitiannya."
genov_id,2021-11-12 11:49:22,25W,5,"Harga:Pas
Daya listrik:Oke

Rekomended Seller... mantul Sangat Terang.   Terang Teruss..  Nyala Teruusss..  semoga Awet Wal Afiat..."
sabarnaulimanihuruk,2021-10-15 18:26:43,25W,5,"Harga:terjangkau
Daya listrik:hemat 
Kualitas:bagus

Bola lampunya bagus,terang dan ekonomis dengan harga cocok di kantong.semoga tokonya semakin laris"
iimwalimah21,2021-11-17 00:48:21,5W,5,"Harga:murah
Kualitas:bagusss

Packing nya rapih bgt, harga murah sekali👍 
Pesanan aku yg 5w,tpi yg datang malah yg 10w😁"
shahab_dahris,2022-03-08 19:00:23,25W,5,"Kualitas:nyala terang, semoga awet.
Harga:paling murah
Daya listrik:sekoga irit.

Alhamdulillah, pesanan sdh dtg. Packing super rapi. Cargo lbh cepat dr estimasi. Pesanan mungkin ada yg kosong, jd dpt ganti yg lain dg harga diskon. Trm ksh seller, shopee & kurir."
muhammadahrani,2022-02-13 21:52:49,30W,5,"Kualitas:lumayan lah..tp lamputnya lepas semuanya..tp masih bisa di pasang..1 ada yg longgar.tp yah kg pp
Harga:harga setandar
Daya listrik:30 w

Lumayan lah kalu harga murah setandar dengan barang nya"
s*****1,2022-01-07 22:09:57,25W,3,"Harga:ada harga
Daya listrik:pesan 25 Wdatang 20 W
Kualitas:ada kualitas

Packing pakai Bubble, lampu nyala semua sudah di test, Kondisi terbuka saat lampu dibuka dari box. Saran : lain kali sebelum check out dicek lagi ya. Saya pesan 25w dua lampu dan 15W 2 lampu. Yg datang 20W tiga lampu dan 15W 1 lampu 😥😔"
lutfi_25,2022-01-04 13:04:42,25W,5,"Kualitas:Bagus, terang
Harga:Murah
Daya listrik:Semoga tidak makan banyak daya

Barang di terima dalam kondisi  terbuka tube nya mungkin karna di expedisi nya, tapi ga masalah lampu kondisi normal, terimaksih seller dan shopee"
adnanzarkasi92,2021-12-17 17:00:31,10W,4,"Kualitas:belum tak coba. packing mleot semua .semoga bisa nyala semua
Harga:oke"
fatwa_ramanda,2021-11-06 22:35:44,15W,5,"Harga:Murah 
Daya listrik:Entah
Kualitas:Mantap 

Alhamdulillah barang sudah sampai terimakasih kak barang sesuai semoga awet dan sesuai pesanan mantap lah dikasih yg 25 wat makasih banget hehe"
rahmawatirahma634,2022-01-20 10:54:02,10W,5,"Daya listrik:15watt
Kualitas:lampu ok
Harga:murah

Mantab nyala smua lampunya,Sy pesen 10watt yg Dateng 15watt gpp lah sing penting lampuny berfungsi dan nyala,next order lagi dan pengemasannya lebih rapih lagi y dr yg skrng soalnya sampe rmh kardus nya pada penyok ,untung lampunya ga rusak"
azhari0302,2022-01-27 10:16:44,15W,5,Kualitas:fast saller..packing aman..harga murah...pesan 15 w dikirim 20 w..mhkin stoknyablg hbs tp diganti
h*****y,2021-12-27 14:56:42,20W,5,"Kualitas:bagus
Harga:mumer
Daya listrik:oke

Diluar ekspetasi bagus pol😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍semoga tetap amanah"
kamalachel,2021-12-12 20:01:38,25W,3,"Harga:murah
Kualitas:semua pesanan sdh menyala

yang dipesan beda watt, tp tidak masalah. semua menyala."
s*****8,2022-03-13 11:49:28,30W,5,"Kualitas:Baik Mantap 👍
Harga:murah merah
Daya listrik:terang juga

Kualitas barang Baguus 👍 Mantuul
Dapat berfungsi dgn baik smuanya👍
Harga jg ramah dikantong👍👍
Packing aman dan cepat..
Seller jg fast respon"
l*****v,2022-03-09 14:50:19,30W,5,"Kualitas:bagus
Harga:murah
Daya listrik:20 w

Barang sesuai tidak penyok dan pecah pengiriman lumayan lama terimakasih"
fandigustiar822,2022-03-02 19:03:40,30W,1,"Kualitas:kualitas buruk...brg dtg gak sesuai permintaan..minta 30 watt #3 ...25 watt#3...malah yg dtg 25 watt

Tdk sesuai...brg rusak...pd copot kabel y.."
iman119,2022-02-27 14:58:01,20W,5,"Daya listrik:20 Watt
Kualitas:termasuk mumpuni
Harga:terjangkau

Kesan pertama yg saya terima adalah cara pengemasannya benar2 memperhatikan keamanan barang (bisa cek video) saya kasih jempol 5. Sudah sy cek secara acak satu dan hidup semoga semuanya juga dalam kondisi yang sama, nyala cukup terang. Tks kurirnya jg sdh sy beri tip digital 🙏😊"
181292desta,2022-02-23 14:11:58,30W,5,"Daya listrik:25wat
Harga:ok"
l*****0,2022-03-05 11:43:51,30W,5,"Barang tiba dengan slamet n ga ada cacat di lampunya kalo kardus mah pengok² 🤭🤭
Respon penjualnya mantaap,  sukses selalu ya"
javajoemary,2022-02-12 20:59:23,5W,3,
