username,date,variation,rating,comment
lemonncrew,2022-02-13 17:06:24,"oldskool,41",5,Barang bagus bangettt tidak mengecewakan saya sangat suka langganan terus👍
aprilia12_____,2022-01-13 21:47:39,"oldskool,39",1,Mesen Uk 39 dikirim 43 apaini MISKAHHHHH!!!!! NIAT GA SI JUALAN:)
madinlgbabussalam,2021-03-23 16:00:26,"oldskool,40",5,Alhamdulillah barang bagus sesuai harapan ongkirnya murah respon chat cepat Alhamdulillah terima kasih wassalamualaikum warahmatullahi wabarokatuh
fp_storeid,2021-06-11 13:58:21,"oldskool,42",4,"Barang sudah sampai dengan cepat
Barang bagus,
Minus di packing, ga pake pengamanan (dus /bubble)"
rizalne1804,2021-04-25 14:03:37,"oldskool,40",4,"Okey cukup wort it untuk harga segitu,, kalo mau yang kainnya tebel ya beli yg 100 k"
dintro_2608,2022-01-03 12:24:14,"oldskool,44",5,"Pengiriman cepat, kualitas sesuai harga,dari samping keren kalo dari atas agak jelek lemny ada yang gk rapih tapi gpp saya suka 👍"
meiliabellacitra,2021-01-13 20:07:16,"oldskool,43",5,gooooiiiddddddddd cepeeeettttt dtg nyaaaahhhhhh asliiiiiiiii
ekoskw471,2022-03-02 21:36:57,"oldskool,40",5,
destianggari,2021-02-04 20:16:10,"oldskool,42",3,KnpaTalinya cma1 doang😭😭
agoeng1144,2022-03-04 21:37:58,"oldskool,Kaos Kaki",1,tidak sesuai
febrifebri560,2022-01-22 18:17:34,"oldskool,40",1,Bahan tidak sesuai gambar
tohapenggombalcuinta,2021-12-02 13:56:05,"oldskool,42",5,Mantappp
meidyyramandaa,2022-01-11 22:05:56,"oldskool,42",5,"Bagus , no cacat. ,murce , kurir ramah
Next order lagi ,thx u seller"
aldygsx19,2021-10-29 20:16:09,"oldskool,41",2,"Tidak sesuai harapan, Logo Vans di belakang nya hitam putih, terlalu dominan keliatan KW.

Logo Vans di Depan nya juga gak ada, polos banget.

Sesuai harga lah, gocap. Ada yg lebih murah dari ini 1:1 model sama yg ori malah .. Jadi kecewa. Gak amanah. Gak Real Pict."
wiwinkuswara,2021-11-10 16:30:33,"oldskool,42",4,Makasih dah nyampe..tpi tolong nanti lgi di cek yah.. Aq order size 42 dateng 43 kegedean ini... 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃
u*****8,2022-01-11 05:43:15,"oldskool,39",5,Bagusss bangett tapi sayangg kepanjangan 😂.padahal dah ambil uk.paling kecil
lindha1205,2022-01-06 17:51:23,"oldskool,40",4,Barang nya bagus banget sukakkk.. terimakasih seller.. tapi kurang rapi dalam mencetak..
lhttyeoki3,2021-03-19 11:58:51,"oldskool,40",5,"Pengiriman cepat, barang real pict, seller ramah. Harga termurah. Thnk seller❤"
azilmasha,2022-02-17 14:46:00,"oldskool,41",5,"bagus bro... recomend... 
tapi info aja kalo beli turunin 1 nomer 😂😂
soalnya ak pake size 41 biasa,, ini size 41 gede bgt bgt bgt 😂😂😂"
septinahsihotang,2022-01-18 14:58:57,"oldskool,40",5,sangat suka ini nomor 40 barang bagus sesuai gambar pengiriman cepat pokoknya patennttttt👍👍👍👍
pcgldikj8q,2021-12-09 18:13:41,"oldskool,44",5,"Alhamdulilah barang nya tidak mengecewakan🥰
Makasih🙏"
cukuiktaudent,2021-03-17 07:47:35,"oldskool,42",4,Lumayan lah dengan harga segini..tapi barang nya lama nyampeh agak kcewa dikit lah....smoga awet  spatunya
torislb,2021-03-02 15:45:52,"oldskool,43",5,"Barang ok tpi ngk isi tali mohon disi iya 
Sukseme shoppe kuril rama saya suka mudah2 kedepan lebih lancar lg "
vcr_9fvd07,2021-01-19 16:58:07,"oldskool,Kaos Kaki",5,Bagus bangeut sepatunya... next order lagi.. ngga nyesel order di toko ini.. recomended banget ❤
g2jyvryqzc,2021-01-20 11:19:54,"oldskool,Kaos Kaki",5,Keren banget sepatunya.. nggak nyesel order di toko ini.. recomended 🖤
k*****2,2022-01-08 13:47:58,"oldskool,43",5,Kayanya kekecilan untuk ukuran 43 😪😪😪
a*****1,2021-12-05 14:59:44,"oldskool,42",4,"Tali sepatu yang dikirim putus, astaga"
vivinsonia,2021-10-26 14:17:16,"oldskool,39",5,
rere_resita27,2021-01-09 14:42:38,"oldskool,39",5,"Tetep aku kasih bintang 5 walaupun pengiriman agak lama ya mungkin karena libur 😄
Kirain bakal ada kardusnya tau nya cuma pake plastik tapi engga apa apa lah 😄"
ia2lbfisa8,2021-04-14 14:44:43,"oldskool,Kaos Kaki",5,Mantap.. sangat sesuai dengan aslinya.. recomended seller 👍
3k8jjrfxjd,2021-04-20 19:58:29,"oldskool,Kaos Kaki",5,"Alhamdulillah sesuai dengan pesanan dan gambar, pengiriman cepat, seller ramah, harga juga murah. Pertahankan seller💯👍"
hildaalfina_00,2022-03-02 14:50:14,"oldskool,40",5,Mantap barangnya bagus dan realfict 😍
azilsrp67,2022-03-02 22:16:40,"oldskool,40",2,
cioe4vttye,2022-02-25 15:58:36,"oldskool,41",5,
bayu_raditya1515,2022-02-25 11:59:42,"oldskool,43",5,
p*****0,2022-02-24 16:37:29,"oldskool,40",4,
0_bt8k1m1j,2022-02-14 13:18:27,"oldskool,42",3,Barang bagus tapi nyampe nya lama ya hehe😁
bjubbcctqa,2022-02-11 15:49:36,"oldskool,42",5,oke sih lumayan bagus
iputudikadarmadika,2022-02-11 20:04:16,"oldskool,40",2,
fitasary365,2022-02-08 18:08:34,"oldskool,39",4,Paket realpick banget cma agak kebesaran aj
muamadhusni,2022-01-28 10:33:17,"oldskool,39",5,Barang nya sesuai dengan foto nya
a*****5,2022-01-14 15:35:53,"oldskool,42",5,
hideng31,2022-01-12 17:49:47,"oldskool,43",5,
tyasp23,2021-12-24 22:04:58,"oldskool,43",3,Tali nya kurang satu kak
fachrimiftah,2021-12-18 18:50:02,"oldskool,39",4,👍👍
rexxonrexon,2021-12-19 16:37:53,"oldskool,40",5,
capudinanto024,2021-12-15 10:18:56,"oldskool,42",5,Barang nya sangat bgus kak👍
hendraugfujh,2021-12-07 22:37:42,"oldskool,43",4,
muldiyanur123,2021-12-03 09:58:20,"oldskool,40",4,Agak kecewa karena ukurannya kegedean
adingsummit,2021-11-23 06:31:56,"oldskool,40",5,Mantap
gratisongkir969,2021-11-02 22:52:53,"oldskool,39",5,
teguh_gupret,2020-12-16 16:22:13,"oldskool,42",1,Harga segitu lmyn buat ngrmpt.
pertaaldah.,2021-04-07 15:14:55,"oldskool,41",5,Bagus kok bhn ny
fathma_kenyeh,2021-10-28 23:33:58,"oldskool,44",4,Dengan harga segituuu lumayan lahhhhh semoga awettt yaaaaa
ramdangodam,2022-02-19 15:45:37,"oldskool,40",5,Barang dah sampe tujuan dengan kondisi baik dan bagus 👍
wahyubudiman111,2022-02-14 07:58:32,"oldskool,43",1,"Untuk harga sesuai brang, kurang rapi di sambungan"
1*****t,2022-02-12 22:20:43,"oldskool,41",5,"Barangnya bagus, sesuai yg diinginkan . Trima ksh🙏🙏"
aryasyukri,2022-02-09 21:37:26,"oldskool,41",1,Sya sangat kecewa masa kekecilan padalan udh mesan yg besar detng nh yg no 39
andika_prtma231206,2022-01-29 17:11:12,"oldskool,42",5,"Tipis bgt bawahnya, bahanya tipis juga, sesuai harga si"
feby7546,2022-01-16 13:06:13,"oldskool,42",5,アイテムは悪いです、それはまだ使われていません、それはすでに引き裂かれています、それはsletodと同じくらい薄いです、それはスマックです 固体、基本的にディスプレイと同じ
rannu612,2022-01-18 08:45:05,"oldskool,43",5,"Alhamdulillah barangnya bagus,dan pengirimannya jga cepat👍"
agungcahmblem,2021-11-18 20:53:17,"oldskool,42",1,"Sangat kecewa udah pengiriman lama,produk ga sesuai pict..kecewa bgt,,kapok order di toko ini"
f*****l,2021-10-23 02:39:11,"oldskool,39",2,"Kecewa bgt , sepatunya kebesaran .pilih ukuran 39 sampai rumah ukurannya L ,  pengemasan nya juga lama 2 hari"
n*****i,2021-01-18 09:15:06,"oldskool,40",2,"Helm Agak nyesel sii mesen sepatu nya soal nya yg di pesan apa yg dikirim apaa .saya beli ukuran 40 saya pesen 2 sampai nya emg dua cuman beda"" ukurann hemm"
dinaaaaayuni_,2020-12-14 22:21:57,"oldskool,41",5,"Pengiriman waktu memang tepat tapi sayang pesanan kali ini ko alamatnya bisa salah cetak jd TDK sampai ke alamat saya malah ke alamat orang lain!!.
Untung orang nya jujur langsung hubungi saya..
Tolong yah perhatikan lagi "
satriawirdana12441085,2021-07-05 13:48:27,"oldskool,41",4,Motiv garisnya krg sesuai
o80i68d4is,2021-01-22 15:51:58,"oldskool,43",5,"Toooppp....jshrjrjdjkwhhwhwjjwdvjfkfkwhbwhwjdjhdbevhdjdjevwvshhdbevwpwwbwvvwbwvsbbdbdbdb saya suka ... saya suka ...., pwhdhhehwfaujqvevdjfpsvbdkfjnfbdbbsbbdbbbnjdjsj makasih semua
"
cgy7tu_wm3rba03dqihx1yu9_mml,2021-01-24 18:54:37,"oldskool,41",5,
anurnas,2021-03-26 10:29:35,"oldskool,39",5,Admin nya ramah bgt👍😊 produk nyman di pakai dan bagus 
ritodermawan,2021-06-19 11:54:31,"oldskool,43",4,"pengiriman cepat, barang lumayan bagus untuk harga segitu, min paket tidak menggunakan kotak khusus sepatu"
rizalmoh12,2021-01-29 20:29:17,"oldskool,40",5,
7wd8tx9vb7,2022-01-18 17:40:56,"oldskool,41",1,
egipatama,2022-03-06 16:42:42,"oldskool,42",3,Lebih di rapikan lagi dalam hal pengeliman ya ka
syahruliqbal306,2022-03-04 19:48:35,"oldskool,39",4,Ok lh klo harga segitu
f*****2,2022-03-13 01:14:52,"oldskool,42",4,Produk ini bagus dan berkualitas
i*****4,2022-03-15 05:50:26,"oldskool,40",2,Sepatunya kurang baik kak
anggy440,2022-03-12 17:08:18,"oldskool,42",1,Hahahaha... Ya bgtulah brader...
dimas367577,2022-02-27 18:12:49,"oldskool,39",5,"Sedikit kebesaran tapi GPP, barang bagus"
hafidz738,2022-02-02 23:45:04,"oldskool,39",5,pengiriman cepet packing juga rapi top mazseehh
aminoke155,2022-02-02 19:39:48,"oldskool,40",4,Sepatu nya lebar banget
nanacsila,2022-01-14 19:46:40,"oldskool,41",5,Bagus dan lumayan rapih
f_ac78h4lr,2022-01-13 21:56:24,"oldskool,41",5,Real
syahkianarrasdid,2022-01-09 14:39:53,"oldskool,41",5,Sesui dg hrga kurang lengket lem nya
amirullah.jamil29,2021-12-12 10:32:35,"oldskool,41",4,Mantap
abityusranyusran,2021-12-09 16:08:45,"oldskool,42",5,Bagus
sesidestriani_,2021-11-26 13:53:30,"oldskool,41",5,Sesuai
tvsp5566,2021-11-11 13:49:52,"oldskool,44",5,Oke
robani2003,2021-11-15 10:47:29,"oldskool,40",5,Mantap
