username,date,variation,rating,comment
aisyah9987,2022-03-08 15:04:22,180x200,5,"Harga:terjangkau
Kualitas:ok mantul
Kenyamanan:sangat nyaman

Pengiriman Alhamdulillah cepat
Kasur nya sangat nyaman.          
Nggak kalah sama kasur kasur yang di hotel
Walau harga nggak terlalu mahal dan udah termasuk ongkir lagi.
Makasih in the Box
Nanti mau beli lagi buat anak saya 
Mudah mudahan bisa kepakai lama ya!!!!??!"
fathia12,2022-03-05 20:03:51,200x200,5,"Harga:terjangkau
Kualitas:bagus bangettt
Kenyamanan:so comfy

Dikirim estimasi seminggu lumayan cepet yaa, kurir nya juga ramah. Ga expext bakal flush banget hihi enakeun ke badan nya juga aw. Thankyou seller🥰"
a*****4,2022-03-11 04:33:54,200x200,4,"Harga:lumayan
Kualitas:bagus
Kenyamanan:bagus

Kualitasnya bagus kasur empuk, sayang lama di pengirimannya 10 hari dari bandung ke cikampek, tapi kasurnya keren👍"
sendimst,2022-03-15 11:12:31,180x200,4,"Kualitas:bagus
Kenyamanan:sedang
Harga:sedang

Baguss sesuai ekspektasi yang diharapkan, hanya saja kardus rusak karena di gelindingkan pas mau kerumah😂 kasian kurir kargonya cuma sendiri😂, seller ramah, respon chat baik, terimakasih"
nursiahoct,2022-03-07 20:18:11,180x200,5,"Mendarat dengan selamat tanpa cacat. Dapat free 2 bantal, empuk, bahannya bagus pula. The best lah pokoknya"
hadiddj001,2022-03-06 12:23:55,180x200,5,Barang bagus pengiriman cepat desain barang ok bisa di jadikan rekomendasi
agis290296,2022-03-04 15:05:50,180x200,5,"Harga:sesuai dengan barang
Kualitas:mantap sangat
Kenyamanan:empuk bgt

Mantap deh pokonya, nyesel beli 1 knapa ga 2😁👍"
pradiptayessica,2022-02-08 21:55:42,180x200,5,"Harga:dapet harga promo ❤
Kualitas:EMPUK BGT
Kenyamanan:Nyaman bgt

Ya ampooon setelah hampir seminggu dateng jugaaak 😫❤ sempet basah keujanan. Tapi packingnya super bagus, gak basah. Kasurnya empuk bgt² dan super gede. Pak suami tinggi 170 cm. Ambil ukuran ini lebih oke 🥰"
s*****8,2022-02-02 14:40:48,160x200,5,"Harga:2.161.060
Kualitas:bagus banget, top
Kenyamanan:empuk banget nyaman banget

Paket datang sesuai dengan pesanan, lengkap dan tanpa cacat sedikitpun, keren ih. Cepet banget juga sampenya"
m.ariko,2022-01-15 10:43:05,120x200,5,"Harga:good
Kualitas:very good
Kenyamanan:very good

Barang sudah sampai langganan selalu produk bagus proses cepat packing rapi ,Barang sudah sampai langganan selalu produk bagus proses cepat packing rapi in the box ok banget salam dari kluarga kami sukses selalu dan semakin jaya..🤩🥳🥳🥳🥳🥳🥳🥳🥳🥳"
