username,date,variation,rating,comment
r*****a,2022-03-11 11:41:08,PUTIH,5,"Harga:worth it to buy
Kualitas:kokoh
Bentuk:panjang

mudah untuk di rakit, enggak goyang, bonus kunci L pokokny rekomend"
ai130794,2022-02-15 12:29:23,HITAM,5,"Kualitas:lumayan
Bentuk:bgus
Harga:murah

Awalnya bingung...tpi bisa jga rakit sendiri..kunci L nya membantu sekali...bagus sih barangnya..membantu buat naro2 tas dll...cman ada yg lecet barangnya....dan buat warna putih yg dibaud nya...bnyak yg pecah..sediih😭😭..mungkin kekencengan kli ditekeng sma kunci L nya...tpi semoga awet deh.."
tengkumei19,2022-02-16 21:23:05,PUTIH,4,"Harga:Relatif terjangkau
Kualitas:Cukup bagus
Bentuk:Ok

Produk sesuai pesanan. Warna juga sesuai. Baut cukup. Ada bantalan di kaki stand hangernya & tiap ujungnya, jadi ga gores. Ada 3 tingkatan. Di tiap tingkatan, ada cabang 3."
rachmadhani_arfa,2022-01-21 09:07:02,PUTIH,5,"Kualitas:Bagus
Bentuk:Okelah ya
Harga:Murah

Cuma kurang ga dikasih buku panduan cara merakit nya gimana, jd harus liat yutub dulu untung punya kuota hehe👍🏻"
c*****u,2022-01-17 21:53:23,PUTIH,5,"Harga:murah
Kualitas:lumayan
Bentuk:baik

Saya suka skali dengan barangnya. Barang bagus sesuai dengan gambarnya. Kualitasnya jga sesuai dengan harganya yg mnurut saya sngat murah. ada beberapa mur yg saat di pasang dol sehingga tidak bgitu terkacing erat dengan rangkanya dan juga penutup lubangnya tpi mnurut saya tdk terlalu masalah. Goodl"
a*****n,2021-10-27 22:58:10,PINK,5,"Harga:terjangkau
Kualitas:besi, ringan, agak tipis
Bentuk:kokoh, menyerupai tiang

Produk sudah datang real pick, barang datang
Sesuai pesanan dan riquest warnanya tepat
Ini Udah yang ke 2 kali saya belanja di toko ini 
Alhamdulillah tidak mengecewakan.

Cuma untuk pengiriman agak lama yah kak😊"
r*****m,2021-10-10 16:27:25,HITAM,4,"Harga:Terjangkau
Kualitas:Oke
Bentuk:Pangjang

Barangnya sudah sampe meski menunggu hampir sebulan 🥺😌, untungnya dapat gratis ongkir jadi ga apa apa menunggu lama🤗🤩🤩... baut dan segalamacam juga lengkap jadi gampang dirakit👌, terus ga ada lecet sama sekali. Bahannya kuat menurutku, petunjuk kertasnya juga ada... jadi tidak ribet pasangnya,"
meoong,2021-10-31 20:49:53,HITAM,5,"Harga:murah
Kualitas:sedang
Bentuk:bagus

Barang sampai dengan selamat tidak ada penyok tapi ada yg kurang 1 pcs penutup lubangnya"
a*****a,2021-09-12 19:01:50,PUTIH,5,"Harga:ok
Kualitas:ok
Bentuk:ok

Cek shopee
REMPAHKERATONOFFICIAL
menjual jamu KB herbal masa kini,
Tanpa efek sering pusing, pegal2, tulang sakit, jerawatan, kulit kusam dan anti badan melar,
Karena KB kita 100% herbal bersifat NON HORMONAL, tidak mengganggu kesuburan dan tanpe efek samping.
Boleh untuk remaja yang haid tidak tera"
bilqisrahmasuci,2021-10-14 10:01:36,HITAM,5,"Harga: pas kantong
Kualitas:bagus
Bentuk: kokoh sesuai

Harus bnr bnr baca petunjuk ngerakitnya bagus sejauh ini kuat ngebantu buat simpen tas sama jaket hbs dipake jd ga numpuk di kasur di gantungan lagi"
e*****2,2021-09-16 12:37:10,HITAM,5,"Harga:murahh
Kualitas:lumayan
Bentuk:simple

pasangnya semudah ituu kok guyss dari segu kualitas yaa sesuai hargaa kok , di dalam jga uda di kasi kunci L jadi tinggal pasanh sendiri gasamoe setengah jam uda siap"
