username,date,variation,rating,comment
p*****7,2021-02-20 14:24:44,KL 9,5,"Kualitas bagus, tebel banget, sesuai gambar, sesuai pesanan. Adminnya amanah, saya beli 5pcs minta ukurannya utuh dikasih utuh, minta pengemasannya digulung beneran digulung. Cuman sedikit kecewa dengan ekspedisi yang tetep ditekuk karpetnya, jadinya kusut pas bagian yang ditekuk. Tapi overall puas."
d*****e,2022-01-16 00:33:00,GL 12,4,"Desain:kayu
Harga:terjangkau
Bahan/Material:baik

Udab pembelian ketiga. Sayangnya kalj ini mas2 ekspedisinya kurang hati2. D tghnya bolong. ☹"
e*****p,2021-04-24 13:31:02,GL 03,5,"Harga:standard
Bahan/Material:lumayan bagus krna mudah diatur
Desain:mantul!

barangnya bagus, tapi karena emang belinya dr jauh jadi yaa kena packaging yg sedemikian rupa, jadinya tertekuk2 & kurang indah dipandang😅 but overall bahannya sendiri bagus, jatuh gitu ke permukaan lantainya.. bundaku sukaa🤗"
mumun410,2021-08-13 12:30:33,GL 11,1,"Harga:.
Bahan/Material:.
Desain:.

Kecewa banget pesan ukuran 4mx2m dikirimnya cuma 0,5mx2m, ternyata pas ditanya stok kosong seharusnya bilang dari awal kalo stok kosong bisa dibatalkan pembelian, kalo kaya gini cuma dikirim segitu belum lagi ongkirnya,, katanya uang mau diganti tapi udah seminggu belum diganti ganti"
rdana2502,2021-07-05 16:27:58,GL 04,2,"Barang lumayan bagus cuma ukuran saja kurang lebar, dan yg datang hanya 1 pcs g mau belik lagi cukup 1 x saja pengiriman lumayan cepat,,,,,,,, thanks"
s*****a,2022-03-10 13:50:27,GL 12,4,"Desain:oke
Harga:oke
Bahan/Material:oke

pengiriman cepat bahan bagus Alhamdulillah cakep sekali rekomendasi harga murah meriah tapi bahan bagus"
a*****g,2022-03-02 20:54:02,GL 12,5,"Harga:lumayan
Bahan/Material:sesuai harga
Desain:baguss"
beibmahtu,2022-02-24 14:56:14,GL 12,5,"Bagus banget ,tebal .motif sesuai dgn contoh .real pick"
h*****6,2022-02-11 11:10:48,GL 09,5,"Harga:ok
Bahan/Material:ok
Desain:ok

Barang bagus, dikrim sesuai pesanan, packing aman,  seller ramah"
d*****e,2022-01-11 23:43:38,GL 12,4,"Harga:terjangkau
Bahan/Material:pvc
Desain:baik

Tebal, berat, packingny baik, cma mngkn ada masalah dlm pengirimna. Thanks seller. Smoga sesuai ekspektasi"
yazchenzee,2021-12-15 13:06:50,GL 03,5,Suka bgt.. Bahan tebel. Beli 3 kurang... Harusnya 6 utk kamar krna ada lemari 3 pintu jdi 6 juga cukup.
mirnaaja,2021-07-29 22:17:49,GL 02,5,"Harga: terjangkau
Bahan/Material: tebel
Desain: gl 02

Packing dengan rapi & ga ada minus nya hehe .. pesanan ku yang kedua kali nya . Mantul deh"
n*****1,2021-08-12 11:06:10,GL 12,5,"Harga:lumayan
Bahan/Material:vinly
Desain:oke

Untuk karpetnya ak suka dya bahannya tebel pengirimannya jg cepet , agak sedikit penyok² ya pas nyampe tpi gpp mngkin dipengiriman kerepotan 😆 makasih seller"
mirnaaja,2021-06-08 19:03:08,GL 02,5,"Harga: terjangkau
Bahan/Material: super tebel banget 
Desain: sesuai dengan gambar real pack

Packing nya rapi & pake bubble juga . Pengiriman nya juga cepet ."
u*****a,2021-07-28 20:54:15,GL 11,5,"Harga:terjangkau
Bahan/Material:bagusssss
Desain:Elegan

Bagus bangetttt suka sekalii"
d*****k,2021-04-29 20:31:48,GL 06,5,"Harga:murah
Bahan/Material:lumayan bagus
Desain:bagus

Terima kasih seller.
Barang sudah saya terima dengan baik.
Packing rapih dan aman serta tidak ada kerusakan. 
Next akan order lagi.
Thank u seller dn shopee. "
h*****s,2021-07-15 22:22:42,GL 04,5,"Harga:standard
Bahan/Material:hati hati takut sobek
Desain:good

Klo mau potong dari belakang karpet ikuti jalur bahan"
jemiariyanto74,2021-07-11 21:42:33,GL 02,3,"Harga:mahal
Bahan/Material:bagus
Desain:bagus

Dipikir besar tp ternyata yg stng kcl bngt,motongnya pun ga rata"
kebumennokiiroisenkou,2020-10-28 22:41:39,KL 7,5,Respon penjual bagus... tanya dulu sblm membeli... kualitas produk bagus tebal.... motifnya berbeda dari gambar tapi its ok warna masih sama... mudah2an awet....
masitoh1287,2021-08-07 18:54:52,GL 02,5,"Harga:murah
Bahan/Material:baik
Desain:baik

Belum dicoba ke lantai..smoga tahan lama ya"
k*****t,2021-08-07 17:40:40,GL 08,5,"Harga:harga bermasarakat
Bahan/Material:bagus
Desain:oke banget untuk ruang oprator recording makin cakep "
shintabella200498,2021-08-04 14:46:02,GL 04,4,"Harga:lumayan lah
Bahan/Material:sesuai harga
Desain:baik

Sedikit kelipat kali ya.. Tp semua baik.. Thanks"
s*****a,2021-08-05 17:25:58,GL 06,5,"Harga:suka
Bahan/Material:apaya
Desain:bagus,mungkin si karna bukan aku yang beli hehehe"
aw_awan,2020-09-25 16:48:16,KL 11,5,"Paket sudah diterima,,, barang dikemas dengan baik dan aman,,, pengiriman sangat baik,,, respon seller luar biasa,, malam order hari itu juga langsung proses dan kirim,, sukses sukses suksesTeks yang disalin akan otomatis ditampilkan di sini"
atsiilah88,2021-03-03 15:39:36,KL 7,5,"Harga:pas 
Bahan/Material:bagus tebal
Desain:ok

Terimakasihhhh.. Cuma agak kecewa di pengiriman nya bagian tengahnya keriput berbekas, padahal udah diwanti2. Ya mungkin susah abang bawanya"
r*****3,2021-04-11 13:36:39,GL 04,5,"Seller responsif, pengiriman cepet banget, bahan tebal, cuma harus order lagi karna kurang, yg minusnya karna di ekspedisi kelipet lipet jdnya berbekas, terimakasih shopee"
titik_suseno,2021-08-24 18:44:34,GL 02,5,"Harga:sesuaiii
Bahan/Material:bahannya sudah bagusssss👍👍
Desain:bagussss coklattt 

kualitasnya bagus tapi pengemasnnya dilipat lipat jadi membekas"
aw_awan,2020-10-07 16:46:36,KL 11,5,"Paket sudah diterima,,, barang dikemas dengan baik dan aman,,, pengiriman sangat baik,,, respon seller luar biasa,, malam order hari itu juga langsung proses dan kirim,, sukses sukses suksesTeks yang disalin akan otomatis ditampilkan di sini"
dede_hendrawati,2021-07-23 21:11:53,GL 04,5,"Pengiriman cepat, tp sy blom buka datangnya sdh malam. Mudah2an sesuai orderan dan tidak ada yg lecet makasi ya. Kl bagus nanti mau beli lg buat ruang yg lain"
firaniayeyen,2021-05-04 15:08:15,GL 08,5,"Harga:terjangkau
Bahan/Material:tebal dan lentur tp tidak mulus agak kusut mungkin karena lama d perjalanan 
Desain:ok banget"
firaniayeyen,2021-05-04 15:09:34,GL 08,5,"Harga:terjangkau
Bahan/Material:lumayan tebal semova awet
Desain:bagus"
annisaytyas96,2021-07-30 18:40:12,GL 11,5,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻
dede_hendrawati,2021-08-01 13:05:50,GL 04,5,Diprosesnya lama ...untung expnya cepat jd sdh sampai . sesuai orderan makasi ya
r*****0,2021-05-30 11:15:57,GL 03,5,"Harga:baik
Bahan/Material:baik
Desain:baik

pengiriman cepat packing rapi cuma pas nyampe rumah kondisi paket agak kelipet jadi keliatan bekas lipetannya, tapi karpetnya memang bagus dan tebal"
c*****4,2021-05-13 12:29:12,GL 04,3,"banyak tekukannya dan paling ujung itu ga ketutup buble wrap makanya begitu, jadi mesti dipotong lagi supaya rapi.. trus plastik pelapisnya jadi kek mau ngelupas gitu.. hmmm resiko beli onlen sih ya"
u*****a,2021-04-22 05:30:55,GL 09,4,"Harga:baik
Bahan/Material:baik
Desain:baik

Alhamdulillah paketnya sudah sampai kondisinya blm dibuka, mudah2an sesuai dengan orderan, mmmmaaaakkkkaaassssiiihhh shoooopppppeeee👍👍👍👍👍"
fadhladusdusan,2021-06-13 14:48:02,GL 08,5,"Harga:hemat di kantong
Bahan/Material:bagus
Desain:bagus

Alhamdulillah orderanku sudah sampai, trimkasi shoope and trimakasi reseller, pengiriman bagus, pengepakan bagus, barang bagus"
l*****i,2021-05-25 07:26:31,KL 5,5,"Harga:lumayan
Bahan/Material:bagus
Desain:sesuai

Pesanan sudah diterima dan sudah sesuai sesuai,,,ukurannyapun sudah pas.. Terima kasih yaa"
ruhfamaylani,2020-11-09 18:13:36,KL 10,5,"Syukaa banget sama ni karpet ,
Recomd bngtt..
Bner2 anti slip dan hrg juga sesuai dgn kualitasnya .
Juga anti air jd gk repot brsihinx 🤗"
d*****z,2021-06-13 10:36:46,GL 07,5,Bagus laaaaah yaaa sesuai harga...... lumayan buat dapur daruratku..... wkwkwkwk
i*****1,2021-06-01 22:21:49,GL 07,4,"Harga:bersaing
Bahan/Material:cukup baik
Desain:cukup

Response penjual cepat. Pengiriman cepat. Kualitas barang sesuai harga."
