username,date,variation,rating,comment
c*****i,2021-10-20 07:44:00,,5,Shipping took awhile but seller dispatch out as soon as stock received at warehouse. Good quality product. Highly recommended!
s00n44,2021-09-15 00:58:34,,4,"Fast and friendly delivery.
Very basic monitor, stand can only tilt.
At the corner of the screen is slightly dimmer, but can't capture by phone camera. 
Otherwise good for WFH use."
surewintun,2021-08-18 17:46:38,,5,Delivery was very fast and just in 3 days after placing the order. It was very well packed. Tested tp be working fine and the screen colour is beautiful with no dead pixel. Very good value for the price. Hope that it can last more then 3 years.
k9h3zbovxn,2021-06-22 22:24:52,,5,Received in a box. Delivered just the right time for use tomorrow
w*****s,2021-06-07 10:10:58,,5,Good came within 3 days. Excited to build my own monitor. But got warranty not hah..?
jamessilverman,2021-06-08 00:07:15,,5,Tested it is beautiful especially in HD videos. Good value for money 💰.  Thanks vendor. I love Shopee 💘💗♥ but was let down by their recent $1.00 promotion. Tsk tsk very disappointed.
donovantan,2021-06-30 15:48:22,,5,works well! received v fast
hawseehong,2021-06-24 17:51:49,,5,"Order received in good condition, tested and working,likes the monitor so much"
junhaoharsono,2021-07-01 14:01:03,,5,"Fast received(next day after order) quality is good, very thin and light."
timothykhothongyew,2021-06-25 13:18:22,,5,Item received value for money
bryansaw95,2021-05-06 17:45:36,,5,"Very fast delivery
Received the monitor the day 
Thank you 
Recommended"
ricefl,2021-11-07 08:50:39,,5,
b71zpda58v,2021-10-04 09:08:05,,5,
r*****6,2021-06-15 08:16:05,,5,Great monitor.
applejoyjoy,2021-07-01 10:14:42,,5,"Slim, reasonable high resolution, value for money, fast delivery for pre order"
adelineeng1979,2021-05-21 12:49:14,,5,
ydimension,2021-05-11 18:54:43,,5,
davidyeoengtiong,2021-02-24 08:14:32,,5,Fast del. And tested ok
glo_stars,2020-12-02 19:50:35,,5,
wongse73,2020-11-14 19:48:00,,5,
mssultan,2020-12-07 06:53:30,,5,Received in good condition 
footix,2021-06-17 20:24:47,,5,Fast delivery!
charlielesus,2021-08-02 01:00:29,,5,
a*****6,2021-07-31 12:32:32,,5,
doogra,2021-08-14 12:32:12,,5,Great deal! Good quaility.
l*****e,2021-06-22 11:01:36,,5,
kevinnotbevis,2021-06-11 22:50:47,,5,"Arrived much quicker than expected, product was in good condition"
a*****h,2021-05-08 18:58:29,,5,
zdnsgx4bc9,2021-06-21 08:53:15,,4,
c*****e,2021-04-10 08:04:33,,5,Package came well done and delivery was way faster than expected. Trying out the moniter soon.
