username,date,variation,rating,comment
j*****d,2022-02-08 12:42:02,,5,"สั่งแล้วส่งเร็วมากดีมากค่ะ

ขอบคุณสำหรับความเป็นเพื่อน
ที่ไม่เคยลบเลือนจางหาย
มีแต่จะยิ่งผูกพันขึ้นมากมาย
คงไม่มีอะไรจะตอบแทนได้ … นอกจากความจริงใจที่ให้เธอ"
m*****e,2022-01-24 12:40:38,,5,ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว ได้รับแล้ว
ten7975352,2021-12-14 12:48:17,,5,คุ้มค่า ราคาถูก จัดส่งรวดเร็ว 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 คุ้มค่า ราคาถูก จัดส่งรวดเร็ว 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 คุ้มค่า ราคาถูก จัดส่งรวดเร็ว 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 คุ้มค่า ราคาถูก จัดส่งรวดเร็ว 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻 คุ้มค่า ราคาถูก จัดส่งรวดเร็ว 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻
a*****a,2021-11-21 12:58:41,,5,"Now the day bleeds
Into nightfall
And you're not here
To get me through it all
I let my guard down
And then you pulled the rug
I was getting kinda used to being someone you loved"
f*****a,2021-11-10 15:05:38,,5,"สินค้าราคาไม่แพง คุณภาพสมราคา
สินค้าราคาไม่แพง คุณภาพสมราคา
สินค้าราคาไม่แพง คุณภาพสมราคา
สินค้าราคาไม่แพง คุณภาพสมราคา"
m*****6,2021-08-02 20:57:55,,5,ได้รับสินค้าแล้ว ทางร้านจัดส่งค่อนข้างเร็ว ช่วงนี้หน้าฝน ต้องมีราวเสริม ราคาไม่แพง คุณภาพสมราคา ซื้อจากร้านนี้เป็นครั้งที่ 2 แล้ว
m*****p,2021-02-20 11:44:20,,5,"สวยไม่ไหวแล้ว
ปั้ง ปั้ง ปั้ง ปั้ง
สุดปัง ปัง ปังปะรังปังปี้
สุดปัง ปังปังหยาอารี
สุดปัง ปัง pretty girls are my bestie
สุดปัง ปังทั้งสนาม look at me now

สวยไม่ไหวแล้ว
ปั้ง ปั้ง ปั้ง ปั้ง
สุดปัง ปัง ปังปะรังปังปี้
สุดปัง ปังปังหยาอารี
สุดปัง ปัง pretty girls are my bestie
สุดปัง ปังทั้งสนาม look at "
s*****1,2020-07-17 23:22:30,,5,ได้รับสินค้าแล้ว โอเคตรงตามปกที่ลงขายไว้ ขนส่งส่งเร็ว ส่งเมื่อวานวันนี้ตอนเช้าได้ สุดยอดจริงๆ ไว้รอบหน้าจะอุดหนุนใหม่
p*****p,2020-10-13 12:16:47,,4,ได้คับสินค้าเรียบร้อย แพ็คสินค้ามาหนาแน่นดี แต่ให้คะแนน 4 ดาว เนื่องจาก สินค้ามีรอยบุบและสนิม น็อตขันเกลียวล็อคด้านข้างเชื่อมไม่ติดกับขาแขวน เท่าไหร่ ..แต่โดยรวมถือว่าโอเคร สมราคาค่ะ..
thanarakkate,2021-01-22 00:35:20,,5,สินค้าคุณภาพดี คุ้มราคา ส่งสินค้าไว ดูแข็งแรงดีค่ะ ดีๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
