username,date,variation,rating,comment
p*****1,2022-03-18 20:31:17,Tommy น้ำตาล,5,ราคาถูก มีตลับแถมให้ ตรงปก ส่งไวมาก ขนส่งดี เลนส์นิ่ม สีสวยมากกก ราคาถูก
arrayaa20_,2022-03-21 18:54:23,Glomorousสีเทา,5,ดีคะราคาไม่แพงได้โค้ดส่งฟรีด้วยยิ่งถูกไปอีกจัดส่งรวดเร้วแพ้คมาดีมากคะไม่มีเสียหายเลยคะ ดีดีดีดีดีีดีดีดี
lady_shop99,2022-03-21 19:31:47,ฝาแดง/oh soul/เทา,5,ได้ของครบแล้วค่ะลายสวยมากราคาถูกราคาถูกมากๆการจัดส่งไวแพคของมาดูค่ะไม่มีอะไรเสียหายดีมากๆค่ะแนะนำเลยค่ะ
panita0986561293,2022-03-18 18:39:28,ฝาน้ำตาล/soulสีเทา,3,ชอบสินค้ามากเลยค่ะสั่งไปมีของแถมให้ด้วยบางร้านไม่ได้แถมตลับมาให้ขอบคุณค่ะห่อมาดีมากๆขนส่งดีด้วยค่ะชอบค่ะ
j*****5,2022-03-05 23:47:08,น้ำยาC&C 60ml,5,ได้รับสินค้ารวดเร็วทันใจสินค้าราคาถูกแพ็คเกจอย่างดีรอบหน้าคงได้กลับมาอุดหนุดอีกครั้งถูกใจมากๆค่ะ💙💙💙💙
noewopi,2022-03-09 17:30:33,Vivianna สีเทา,5,ดีกว่าจะได้ไม่ต้องมานั่งคิดว่าจะไปหาหมอฟันหมอฟันหมอฟันหมอฟันหมอฟันหมอฟันหมอฟันหมอฟันหมอหมีแพนด้าแล้วจะให้ทำอีกแล้วก็ยังดีที่ได้รับ
7mtd1wm0s0,2022-03-14 17:43:56,ฝาแดง/seeshell/ตาล,5,สวยมากกกกก ชอบค่ะ สินค้าห่อกันกระแทกมาอย่างดี ทางร้านส่งมาไวมาก ตัวเลนส์นิ่มดีค่ะ ทางร้านแถมกระปุกไส่คอนแทคเลนส์มาด้วย
l*****e,2022-03-04 19:47:47,Tommy น้ำตาล,5,"คอนแทคเลนสวยมาก สินค้าตรงปก บริการร้านค้าดีมาก การแพ็คสินค้าดีมาก การจัดส่งดี ขนส่งบริการดีมาก รวดเร็ว
ชอบมากค่ะ"
anneemeesa,2022-03-10 14:47:55,ฝาขาว/pony/สีเทา,5,"ได้รับของเเล้วค่ะ ได้รับของเเล้วค่ะ ได้รับของแแล้วค่ะ
ได้รับของเเล้วค่ะ ได้รับของเเล้วค่ะ ได้รับของเเล้วค่ะะะ"
p*****0,2022-02-16 13:00:36,Oh soul สีเทา,5,"สินค้าจัดส่งรวดเร็วทันใจ

สินค้าจัดส่งรวดเร็วทันใจ

สินค้าจัดส่งรวดเร็วทันใจ

สินค้าจัดส่งรวดเร็วทันใจ

สินค้าจัดส่งรวดเร็วทันใจ"
