username,date,variation,rating,comment
amazora,2022-03-18 12:51:21,Black (ดำ),5,ร้านส่งให้ขนส่งเร็วมาก แฟลชเซลล์จบเที่ยง เย็นส่งให้เลย ช้อปปี้เอ็กเพลสส่งถึงบ้านวันถัดมา คือใช้เวลาไม่ถึง 24 ชั่วโมง ของถึงมือ!!!!!! สุดจัดดดด เร็วมากกกกกกกกก ของก็ดีตามยี่ห้อ ไว้ใจยี่ห้อนี้มานานตั้งแต่รุ่นพ่อ ดีมากครับ
m*****4,2022-02-15 15:16:15,Space Gray (เทา),5,"สีสวย น้ำหนักเบา ด้านบนผิวมัน ด้านล่างผิวด้าน
ขนาดเล็ก ส่งสินค้าไวมาก ในกระเป๋ามีที่กั้นกันรอยขีดข่วน
ยังไม่ได้ลองใช้งาน คิดว่าน่าจะใช้ได้จริง 🥰🥰"
yo16s,2022-02-16 14:30:31,Black (ดำ),4,"ส่งไว  แต่ขนส่งแย่มาก กล่องบุบแทบเละ
Seagate ช่วยมีเคอร์รี่ให้เลือก หรือเปลี่ยนบริษัทขนส่งเหอะ กล่องบุบทุกครั้ง  ดีทดลองใช้แล้ว ไม่พัง
- ขอหัก 1 ดาวเพราะ ใช้ขนส่งชุ่ยนะคัป"
s*****1,2022-02-19 23:15:46,Rose Gold (ชมพู),4,สินค้าตรงปก มีซองแถมมาตามที่แจ้งไว้ ของส่งรวดเร็วดี  แต่กล่องมีรอยบุบและฉีกขาดจนทะลุเห็นของด้านในกล่องตามภาพ ยังดีที่สินค้าข้างในมีการห่อบับเบิลกันไว้ด้วย เลยขอหักไปหนึ่งดาว นอกนั้นดีงามครับ ได้ใบกำกับภาษีฯ จาก โครงการช้อปดีมีคืนด้วย
p*****l,2022-01-19 14:02:20,Black (ดำ),5,คุณภาพสินค้าดี ขนาดเล็กกว่าที่คิดมาก แต่พกพาได้ง่าย สะดวกดี  จัดส่งปานกลาง ชื่อรุ่นแอบเหมือนถุงยางอนามัย 😂 มีถุงห่อด้วย ลองเข้า Adobe แล้ว เข้าได้ แต่ไม่รู้ว่าต้องลงทะเบียนรับประกันตรงไหน
pimpakanvee,2022-01-27 23:42:54,Rose Gold (ชมพู),5,สินค้าคุณภาพดีมากๆๆๆ ค่ะ ช่วยจัดเก็บข้อมูลได้ดีมาก เป็นระเบียบ ถ่ายโอนสะดวกรวดเร็ว ใช้กับ Mac ได้ ความจุเยอะ สีชมพูสวยเงางาม ขนาดกะทัดรัดกำลังดี เหมาะมือ พกพาง่าย น้ำหนักเบามากๆ แถมกระเป๋าใส่ได้พอดี ทุกอย่างถูกใจมากค่ะ
z*****n,2022-01-15 00:57:36,Rose Gold (ชมพู),5,จัดส่งไว ห่อมาดีมากๆ พันบับเบิ้ลให้สองชั้นเลย ใส่กล่องมาให้ด้วย สินค้าไม่บุบเสียหาย ยอดเยี่ยมมาก ได้ของแท้ในราคา1พัน คุ้มสุดๆ ซื้อตอน 12-12ได้โค้ดลดเพิ่ม ใช้งานได้ดี สเปคตรง ได้ของแถมเป็นกระเป๋าใส่HDD เสียดายมีแค่สีเดียว อยากได้กระเป๋าสีแดงหรือชมพู โดยรวมดีมากค่ะ บริการดี ใช้งานไม่มีปัญหา โอนไฟล์ไว❤
v*****p,2022-01-30 18:31:50,Space Gray (เทา),4,หัก1ดาวเพราะกล่องพัสดุบุบมาก กลัวว่าจะไปโดนของข้างในสุดๆ ควรห่อมาให้รัดกุมกว่านี้ แต่กล่องด้านในไม่เป็นอะไร แต่มันมีผลกับจิตใจนะคะ จ่ายเงินไปแพงค่ะห่อให้ดีๆหน่อย
a*****p,2022-01-06 22:13:00,Black (ดำ),5,ได้รับสินค้าเรียบร้อยทางร้านจัดส่งได้รวดเร็วมากประทับใจการบริการจากทางร้านและคำแนะนำ มั่นใจได้สั่งกับร้านนี้เป็นครั้งแรกได้สินค้าแน่นอน 100%
a*****p,2022-01-14 12:59:45,Black (ดำ),5,สั่ง พ12ม.ค.65 ได้ พฤ13ม.ค.65 ส่งไวมากๆๆๆๆ สั่งวันนี้ได้พรุ่งนี้เลย ใช้แต่ยี่ห้อนี้ ตัวเก่าซื้อมา6-7ปีแล้วยังไม่พังเลย มีกระเป๋าแถมให้ด้วยดีมากๆ ตอนแรกนึกว่าจะหนัก ของจริงเบามากๆ ได้รับตรงสีที่เลือก มีกู้ข้อมูลฟรีด้วย จะซื้ออีกกก ต้องสำรองข้อมูลไว้2-3อัน เพราะถ้าพังค่ากู้ข้างนอกราคาโหด ขั้นต่ำหมื่น+
p*****2,2021-12-24 23:07:30,Rose Gold (ชมพู),4,มีซองแถม สินค้าไม่เสียหายสภาพดี แพ็คอย่างดี👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
tinyshopme11,2021-12-23 22:17:49,Black (ดำ),5,สินค้าแพ็คมาดี ลองเปิดดูใช้งานง่ายเหมาะสำหรับเครื่อง Mac เปิดปุ๊บไอคอนขึ้นมาทันที การจัดส่งตรงตามเวลา สีสวยขนาดเล็กบางถูก ใจ ความจุ กำลังดีสามารถพกพาเดินทาง
a*****0,2021-12-14 21:13:39,Black (ดำ),5,สินค้าแพคมาอย่างดีค่ะ สั่ง 12 ถึง 14 ถือว่าไม่ช้าค่ะ มีซิงใส่ hd แถมให้เรียบร้อยดี บรรจุภัณฑ์ในหีบห่อ ลองเปิดใช้งานแล้วใช้งานได้ปกติค่ะ แถมซื้อช่วงแฟลชเซล์ ถือว่าคุ้มค่ามากๆ มั่นใจว่าซื้อจากตัวแทนโดยตรงและใช้งานได้อย่างสบายใจค่ะ
jaggrid,2021-12-12 19:38:59,Light Blue (ฟ้า),5,ได้รับสินค้าแล้ว ร้านค้าส่งสินค้าเร็ว ได้ทำการทดสินค้าทุกอย่างโอเคเรียนร้อนดีมาก ทำงานเร็วดีมาก ราคาไม่แพงพนักงานจัดส่งสุภาพดีมาก ขอบคุณร้านค้า
thehunt50,2021-12-16 10:42:50,Silver (เงิน),5,สินค้าดี บรรจุมาดีมาก ความจุจริงตามรูป อาจไม่ถึง 2TB เป็นเรื่องปกติ มีระบบป้องกันด้วย PW แต่ต้องโหลด Toolkit มาติดตั้งก่อน ต้องดูกันยาวๆจะเป็นยังไง
p*****i,2021-12-18 16:32:53,Red (แดง),2,"ขนส่งรุนแรงมาก กล่องทะลุขาดเห็นข้างใน
บับเบิ้ลชั้นเดียว น่าจะห่อมาเยอะกว่านี้หน่อย กันกระแทกกว่านี้
ของเป็นสินค้า IT อีก คิดว่าของส่งมา100% ถึงมือไม่รู้ลดไปกี่10%

สีสวย น้ำหนักเบา ของครบ คู่มือมีหลายภาษายกเว้นไทย
ซื้อตอน12.12 ที่จริงสีเทาดำ ลดราคาแรงมาก แต่สีอื่นลดไม่เยอะเท่าน่าเสียดายน่าจะลดทุกสี"
x*****x,2021-11-16 18:51:50,Black (ดำ),5,สั่งวันที่11 ได้รับวันที่13 สินค้าถูกต้องครบถ้วน กล่องบุบพอสมควรแต่ไม่กระทบกับตัวสินค้า เบื้องต้นลองต่อเข้าโน้ตบุคมีไฟล์รับประกันและโปรแกรมต่างๆ ตัวสินค้าไม่มีปัญหาอะไร
petchyrin,2021-11-15 13:52:42,Rose Gold (ชมพู),5,การจัดส่งค่อนข้างเร็ว สินค้าถึงเร็ว แพ็คสินค้ากันกระแทกมาดี สินค้าไม่เสียหาย กล่องกระดาษไม่รอยบุบค่ะ แกะกล่องแล้วเสียบยูเอสบีรันไดร์ฟขึ้น ก็อบไฟล์ขนาดเล็กค่อนข้างเร็ว กล่องสีสวย มีของแถมเป็นกระเป๋า สั่งในช่วงแฟลชเซลล์11.11ราคาถูกลงมาหน่อยและใช้โค้ดส่งฟรีค่ะ
pawornrat.27,2021-11-14 18:25:51,Black (ดำ),5,"ซื้อตามเพื่อนเพราะเพื่อนบอกว่ายี่ห้อนี้ โอเค ราคาถูก และลดราคาบ่อย สามารถตัดสินใจซื้อได้ง่าย ไม่ลังเล
ได้มาในราคา 1300 หน่อยๆ ความจุ 2 TB สีดำโอเคเลยค่ะ ชอบมากๆ #Seagate"
