username,date,variation,rating,comment
april_earthday,2022-01-13 01:16:23,,5,‼️คุณภาพของสินค้าดีมากค่ะ จอเต็มตาดี คมชัดมาก สมเป็น ips คุณภาพเสียงในตัวถือว่าดีมากคุ้มสุดๆ การจัดส่งรวดเร็วดีค่ะ
padronnapop,2021-04-27 15:25:48,,5,"ส่งสินค้าเร็วมาก สั่งวันที่12ใกล้สงกรานต์ได้วันที่13 จากเชียงใหม่จริงหรือป่าวเนี่ย มาปทุมธานี เร็วดีมาก
แพ็คสินค้าค้ามาดีมาตรฐาน ปิดเทปลายacer
ตอนแรกกังวลdead pixels เปิดดูแล้วไม่เจอ โล่งอก
คมชัดดี ในวีดีโอนี้ จริงๆ ชัดกว่า มือถือถ่ายได้แค่นี้
ได้คอยน์คืน แถมผ่อนได้ ดีจัง
"
l*****w,2021-05-10 17:17:14,,3,คุณภาพสินค้าถือว่าโอเคครับ แต่ดันมีแสงรั่ว 1 จุด ถึงจะเป็นจุดเล็กๆ แต่มันทำให้เวลาเราดูหนังหรือเล่นเกมส์มันละสายตาจากจุดนั้นยาก ชอบหันไปมองตลอด เลยขัดๆใจ และด้วยความที่เป็นจอราคาสูงเลยผิดหวังนิดหน่อย แต่ยังรับได้ ....การแพ็คของดี การจัดส่งโอเคครับ
chamnan3026,2021-05-09 12:28:04,,5,แพ็คเกจกบ่องห่อค่อนข้างดี ขอบกล่องมีรอยบุบนิดหน่อย แต่จอคอมด้านในไม่เสียหาย ต้องลองต่อใช้งานดูอีกที เร็วมากดีดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดกกดดดดดดดดดดดดดดกดดดดดดดดดกดดดดกกกกกกกกกกกดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดดด
t*****g,2021-03-05 16:30:27,,5,ขอขอบคุณสำหรับโปรดีๆครับ เพิ่งได้มายังไม่ได้ใช้งานเต็มที่เท่าไหร่ ขนส่งดีมากครับ บอกถึงวันที่ 7-8 ตกใจเลยอยู่เชียงใหม่เหมือนกันทำไมส่งช้า แต่จริงๆกดวันที่ 3 ได้วันที่ 5 ออเดอร์เยอะเลยเข้าใจได้ครับ
mr.darkluff,2021-04-16 06:10:03,,5,"ได้มาในราคาที่ค่อนข้างถูกเลยเพราะซื้อตอนแฟลชเซล ประมาณ 4900 แล้วกดCodeรับcoinคืนได้อีก 500 
การส่งสินค้าประมาณ3-4วันรวมตอนรอแพ็คด้วย ถือว่าไวนะคะ จัดส่งมามีการห่อกันกระแทกด้านนอกมา มีบุบนิดหน่อย แต่ตัวสินค้าข้างในเรียบร้อยดีมาก และสวยมากกกกกก ถูกใจ!!"
number.11,2021-02-05 19:15:59,,5,"ร้านตอบเร็ว แฟลชเซลล์+โค้ดส่วนลด ใช้คอยน์ลดเพิ่ม
จ่าย3,988 คุ้มมากกกกกกก"
t*****k,2020-08-07 18:38:44,,5,ทำการจัดส่งได้รวดเร็วดีมากครับ มาแบบห่อบับเบิ้ลรอบกล่องเดิมมาแทน แต่บริษัทขนส่งทำได้ดี ไม่บุบ ยุบ เสียหาย จอแจ่มแมวมากๆ 
autapisit26,2020-12-17 23:16:02,,5,ได้รับสินค้าแล้วครับทางร้านจัดส่งได้ค่อนข้างไวเลยเพราะระยะทาง จังหวัดค่อนข้างใกล้กัน ตอนตรวจเช็ค สินค้าภายในกล่องครบครับ ตอนแรกแอบหาขาตั้งจอไม่เจอเพราะอยู่ด้านหลัง ลองใช้งานจอใหญ่เล่นสนุกดีมากครับ
i*****c,2022-03-18 20:32:28,,5,"- เอาไป5ดาวเลย ได้รับของไว สั่งตอน3.15 ได้รับของ 3.17
และได้ราคาคุ้มด้วย ซื้อช่วงวันของช้อปปี้+กับโค้ดลดอีก ถูกมากๆ คุ้มราคา 
- ตัวจอไม่มี dead pixel เลย 
 -มีแถมสาย Displayport มาด้วย
- จอสีสวยชัด ได้165hz
- ประกอบง่าย น้ำหนักเบา"
s*****a,2021-11-28 17:27:49,,5,ได้รับสินค้าแล้วครับจัดส่งเร็วมากสินค้าไม่มีเสียหายระหว่างจัดส่ง สภตรงตามสเปคที่สั่ง ลูกชายชอบมากราคาไม่แพงด้วยแนะนำร้านนี้เลยครับ
chotthanin,2021-03-06 01:03:04,,5,"ร้านนี้ราคาถูกได้โปร ขนส่งไวมากๆจากเชียงใหม่
มาสมุทรสาครสั่งตอน 3.3 มาถึง วันที่5เย็นๆ
แพ็คสินค้าดี หุ้มกันกระแทกหนา รักษาคุณภาพไว้นะจะกลับมาซื้อใหม่ "
s*****e,2022-03-07 22:52:44,,5,"ได้ของไวมาก ได้หน้าจอตรงตามสเปค ได้มาช่วง3.3 ราคาคุ้ม ไม่มีตำหนิ  จอใหญ่พอเหมาะกับสายตา 
เสียดายไม่ทันของแถม"
jadsada_jp,2022-03-07 03:30:34,,5,สินค้าดีครับ เป็นจอมอนิเตอร์ที่ราคาดีมาก เมื่อเทียบกับสเป็กที่ได้ HDR ด้วย เป็นแพเนล IPS ที่อัตรารีเฟรสเรส 165 Hz ทำให้จอสีสวยสดใสมาก คุ้มค่ามากทางร้านบริการดีมาก จัดส่งสินค้าเร็วมากครับ แนะนำเลย
oatohm55,2021-12-27 18:09:56,,5,ได้รับสินค้าตามที่สั่ง..!!..สินค้าตรงตามที่โฆษณาไว้..!!..ส่งสินค้ารวดเร็วทันใจดี..!!..แพ็คเกจมาอย่างดี..คุณสมบัติของจอดีมาก..เมื่อเทียบกับราคา..ใช้งานได้ดี..!!..ชอบๆๆๆ
m*****7,2021-12-18 15:12:08,,5,"Acer monitor VG250YSmiipx 23.8 165hz ips 
ร้านมีโค้ดส่วนลดด้วยให้ 12.12  จอใหญ่ ไม่มีตำหนิ
ใช้งานได้ดี ส่งไว ห่อกันกระแทรกมาอย่างดี"
tuikub69,2021-12-05 18:05:40,,5,"ส่งไวเกิ๊นนน
สั่งวันนี้ พรุ่งนี้ได้ของ 
สีจัด คอนทราสหนักไปนิด ใครใช้จอ tn มา อาจไม่ชิน
โดยรวมโอเค ใช้ทำงาน vfx ได้ เล่นเกมดี
แต่หากเกมมิ่งจ๋าๆแนะนำไป benQ zowie ครับ ความคิดเหนส่วนตัว"
chayen001,2021-11-13 17:03:07,,5,โอยๆๆๆ ชอบมากๆๆๆๆ สุดๆ ❤️❤️❤️❤️❤️❤️  ชอบๆๆๆๆๆๆๆ  ดีมากๆๆๆๆ ถูกใจที่สุด
j*****n,2021-11-23 20:14:25,,5,ได้รับสินค้าแล้วนะคะ คุ้มค่ามาก ทางร้านใจดีมากๆ แม่ค้าบริการดีสุดๆ ใส่ใจลูกค้ามากๆ แพ็คสินค้ามาเรียบร้อย รวดเร็ดสุดๆ  👍🏻❤️❤️👍🏻👍🏻👍🏻❤️👍🏻👍🏻❤️❤️❤️🌿🌱🍃🍃
n*****k,2021-11-16 20:37:50,,5,สินค้าตรงตามคำสั่งซื้อ  สินค้ามีความคุ้มค่ามาก สินค้ามีคุณภาพภาพมาก ร้านค้าส่งสินค้ารวดเร็วมาก บริการจากบริษัทขนส่งดีมาก ขนส่งรวดเร็ววันเดียวได้
minkybyte,2021-10-13 17:18:56,,3,คุ้มใช้ได้ครับ  ได้มาตอน 1010  ลด100coin1000  frashsale 6300นิดๆ  ร้านตอบกลับ-วมากกก  ขนาดเที่ยงคืน  แต่ขนส่งนี้  อย่างช้าาา สั่งอาทิต ส่งออกอาทิต อังคารถุงสาขา ตอนตี 5 แม่งดองของ มาส่ง พุธเที่ยง  เลิกใช้เถอะ JT  ห่วยแตก!!!!!
t*****g,2021-09-11 22:44:47,,5,สินค้าสั่งวันที่ 9 ก.ย. ได้รับใน 11 ก.ย. เร็วดีครับ พัสดุห่อมามีกันกระแทกอยู่ในสภาพเรียบร้อย อุปกรณ์มีจำนวนครบถ้วน ประกอบเสร็จแล้วภาพดูโอเคครับ
