username,date,variation,rating,comment
sharpjakkaphan,2022-01-23 11:15:56,ขาว 5ชั้น,5,คุ้มค่ามาก วางในซอกที่แคบได้พอดี วางของได้เยอะขึ้น ดูแข็งแรงระดับหนึ่ง โดยรวมคือดี
milkpummarin,2022-01-16 13:21:36,ขาว 5ชั้น,4,"สั่ง30ติดปีใหม่แต่ก้ส่งเร็วยุ ได้วันที่4.  แต่ของมีรอยเปื้อนดำๆ🙄🤔เปนเพราะของเก่าไว้นานหรือป่าว
ห่อมาไม่มีบับเบิ้ล ก้ชั้นจะง้อๆหน่อยต้องดัดอ่ะ
ซื้อครั้งแรก แต่ประกอบออกมาก้พอใส่ของได้เปนระเบียบยุ🙃 ได้มา307บ.เอาเรื่อง"
kamonwanyotchot,2021-12-16 14:39:15,ขาว 3ชั้น,5,สินค้าจัดส่งนานไปหน่อยค่ะ ยังไม่ได้ลองประกอบสินค้าหรือแกะออกจากกล่องเลยค่ะ ซื้อตอนวันที่12.12ค่ะ  เดียวจะลองประกอบดูค่ะ
oti346do0o,2021-09-05 19:25:25,ขาว 2ชั้น,4,ส่งไวค่ะ ขนส่งโทรแจ้งก่อน แต่แพคไม่ดีเลย กล่องมีฉีกขาดจนของข้างในตกลงมา โชคยังดีที่ไม่หล่นหายไปก่อนทำให้ชิ้นส่วนสำหรับต่อยังครบถ้วนอยู่ไม่อย่างนั้นคงจะต่อไม่ได้เลย ต่อได้ไม่ซับซ้อนมาก ของมีรอยไม่เรียบร้อยเล็กน้อยแต่ยังไม่ส่งผลต่อการต่อและความแข็งแรง ล้อเลื่อนหมุนได้ดี ดูโดยรวมแล้วใช้งานได้ดี
c*****m,2021-10-13 12:47:18,เทา 3ชั้น,4,การจัดส่งโอเค แต่กล่องมีรอยขาด2ที่ สินค้าไม่ได้ห่อบับเบิ้ลมา แต่ข้างในไม่ได้รับความเสียหาย ได้อุปกรณ์ครบทั้งขาตั้งและล้อเลื่อน แต่ล้อประกอบยากมาก ใส่แล้วหลุดตลอด ไม่แน่นเลย
t*****5,2021-09-01 17:00:57,ขาว 4ชั้น,4,"สินค้าสวย ตรงปก พลาสติกสีขาวสวยงาม ประกอบไม่ยาก
แต่ติดตรงที่ใส่ล้อใส่ยากกกมากก หรือว่าไม่รู้วิธีใส่ก็ไม่แน่ใจกัน"
d*****n,2022-02-05 12:51:49,ขาว 4ชั้น,5,คุณภาพสมราคา ใช้งานได้ดี เหมาะสำหรับวางของเบาๆ ไม่หนักมาก แต่เหมาะกับมุมคาเฟ่เล็กๆของเรานะ เข้ามุมพอดีสวยงาม น่ารัก
l*****s,2022-01-03 13:22:55,ขาว 5ชั้น,5,คุณภาพคุ้มค่ากับราคา ถาดพลาสติกเนื้อเหนียวไม่เปราะแตกหักง่าย แต่เสียรูปไปบ้าง ขอติเรื่องการจัดส่ง ส่งถาดพลาสติกมาไม่ครบขาด 1+ตะขอมีคราบดำ 1 ไม่สามารถล้างออกได้หมด ส่วนที่ของขาดร้านรับผิดชอบดีมาก จัดส่งมาให้ครบถ้วนแล้ว ส่วนการประกอบ ยากตรงต้องใช้แรงกดมาก ให้ใช้ค้อนยางค่อยๆเคาะทีละส่วนจนเสร็จสมบูรณ์
bolster,2021-12-03 18:55:56,ขาว 3ชั้น,5,"ได้รับสินค้าเรียบร้อย สินค้าตรงปก ดูแข็งแรง จัดส่งเร็ว
ได้รับสินค้าเรียบร้อย สินค้าตรงปก ดูแข็งแรง จัดส่งเร็ว
ได้รับสินค้าเรียบร้อย สินค้าตรงปก ดูแข็งแรง จัดส่งเร็ว
ได้รับสินค้าเรียบร้อย สินค้าตรงปก ดูแข็งแรง จัดส่งเร็ว
ได้รับสินค้าเรียบร้อย สินค้าตรงปก ดูแข็งแรง จัดส่งเร็ว"
r*****e,2021-11-11 21:24:35,เทา 3ชั้น,5,"ดีค่ะ สินค้าดูแข็งแรงดี ใช้งานได้จริง ราคาถูกกว่าร้านอื่นๆแนะนำ ตามรูปเลยค่ะ
ดีค่ะสินค้าดูแข็งแรงดีใช้งานได้จริงราคาถูกกว่าร้านอื่นๆด้วยแนะนำค่ะตรงปกตามรูปเลยค่ะ"
c*****e,2021-10-29 02:25:17,ขาว 3ชั้น,5,คุณภาพดีมากๆ ใช้งานได้ดีมากค่ะ ชั้นแข็งแรง ช่องกว้าง พื้นที่ระหว่างชั้นก็สูง ล้อเลื่อนทำงานได้ลื่นดี มีแถมตัวห้อยของมาด้วย โต๊ะเราสูง 73 cm สามารถเลื่อนชั้นเก็บไว้ใต้โต๊ะได้ ประหยัดพื้นที่และดีงามมากๆเลยค่ะ
k*****t,2021-11-13 07:42:43,เทา 5ชั้น,4,เนื้อพลาสติกหนาพอควร สีตรงปก จัดส่งรวดเร็ว บรรจุมาดีทำให้กล่องไม่ใหญ่เกินไป แต่ล้อใส่ยากกมากก ลองใส่แต่เหมือนจะเข้าไม่สุดเลยทำให้ล้อไม่อยู่หลุดตลอดเลยตัดสินใจไม่ใส่ล้อแทน ส่วนอื่น ๆ ประกอบง่าย ราคา
varisakaewkam,2021-11-21 13:02:11,ขาว 4ชั้น,5,"สินค้าดีมาก​ จัดส่งได้รวดเร็ว​ ครบถ้วน​ ประกอบง่าย​ แข็งแรง​น่าใช้ค่ะ

สินค้าดีมาก​ จัดส่งได้รวดเร็ว​ ครบถ้วน​ ประกอบง่าย​ แข็งแรง​น่าใช้ค่ะ​"
kwangamiko,2021-10-08 02:12:02,เทา 5ชั้น,4,ดีค่ะ แต่ขอหัก1คะแนน ล้อใส่ยากมาก ใส่เข็นแล้วหลุดๆ  😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨😮‍💨
teechristian,2021-10-05 21:07:23,ขาว 5ชั้น,3,กล่องพัสดุอย่างเยิน ขาดแล้วใช้เทปใสแปะเอา กล่องสภาพแบบนี้ควรเปลี่ยนนะ ยังดึที่ของด้านในไม่พัง แต่ชั้นที่อยู่ด้านบนสุดซึ่งใกล้จุดกล่องขาดที่สุดจะเบี้ยวเยอะ ตัวชั้นมีสกปรกอยู่บ้าง
p*****s,2021-09-22 07:51:57,ขาว 4ชั้น,5,"สินค้ามีให้เลือก แบบ 2ชั้น 3ชั้น 4ชั้น 5ชั้น )
📏ขนาดของสินค้า📏
- ชั้นวางของเเบบ 2 ชั้น : 40*25*36 cm.
- ชั้นวางของเเบบ 3 ชั้น : 40*25*61 cm.
- ชั้นวางของเเบบ 4 ชั้น : 40*25*86 cm.
- ชั้นวางของเเบบ 5 ชั้น : 40*25*111 cm.
🍉รายละเอียดสินค้า🍉
• ชั้นวางของแบบล้อเลื่อน ชั้นวางของข้างตู้เย็น ชั้นวางของ"
k*****5,2022-03-22 00:19:14,ขาว 4ชั้น,5,แข็งแรงกว่าที่คิดไว้สมราคาส่งเร็ว ราคาถูก คิดว่าใส่ของไม่ต้องหนักมากน่าจะได้เอามาใส่เครื่องสำอางงงงงงง
k*****n,2022-03-06 18:40:15,ขาว 5ชั้น,5,ได้รับของเร็ว เร็วมาก มาก สั่งของได้วันเดียว ของส่งมาถึงบ้านเรียบร้อย แพคของใส่กล่องมาดี ไม่มีอะไรเสียหาย ของที่ได้ตรงตามที่สั่ง ถูกใจมาก ประทับใจมาก
loynny,2022-03-08 01:45:45,เทา 4ชั้น,5,"สั่งตอน 3.3 จัดส่งเร็วมาก วันที่ 4 ตอนบ่ายของก็ถึงแล้ว ของข้างในไม่มีอะไรเสียหาย
ไม่มีวิธีประกอบแนบมาให้ แต่ขั้นตอนประกอบไม่ได้ยุ่งยากอะไร คุณภาพสมราคา"
s*****4,2022-03-17 17:04:54,ขาว 3ชั้น,5,ได้รับสินค้าแล้วค่ะ ส่งเร็วมากก สินค้าแข็งแรงดีคุ้มราคามากกกก ขนาด 3 ชั้นกำลังพอดีเลย ไม่เล็กไม่สูงไป ไว้จะอุดหนุนใหม่จ้า
o*****e,2022-02-03 21:31:28,เทา 2ชั้น,5,ร้านส่งสินค้ารวดเร็วค่ะ สินค้าคุ้มค่ากับราคาดี 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
p*****h,2022-01-22 19:49:03,เทา 4ชั้น,4,"ชั้นขนาดกำลังดี น่าจะรับน้ำหนักได้ไม่ค่อยเยอะ สำหรับวางของที่น้ำหนักเบา 
ล้อต่อยากค่ะ ชอบหลุด เหมาะกับเลื่อนนิดๆหน่อยๆ"
05kead51v1,2022-01-16 18:17:28,เทา 3ชั้น,4,โอเคคโอเคคโอเคคคค6คคคคคคคคคคคคคคคค👃🍵🍵🍵🥤🥤🥤🥤🍵🍵🍵🍵🍵👃🍫🍫🍫🍫😅😅😅😂😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄😂😭😂😂😭😭😭😂😂😂😄😄😄😄😄😄😄😄😂😂😂😂😄😄
h*****n,2021-12-11 08:40:49,ขาว 5ชั้น,5,"ได้สินค้าครบค่ะ จัดส่งเร็ว สั่งหลายรอบแล้ว ดีค่ะ 👍🏻👍🏻👍🏻👍🏻👍🏻
ได้สินค้าครบค่ะ จัดส่งเร็ว สั่งหลายรอบแล้ว ดีค่ะ 👍🏻👍🏻👍🏻👍🏻👍🏻"
p*****i,2021-12-03 15:05:33,เทา 4ชั้น,3,ส่งตรงที่สั่ง คุณภาพตามราคาพลาสติกดูแข็งดี ให้อุปกรณ์มาครบ ดูไม่ใช่สินค้าเก่าอะไรมากมาย หักสองดาวเพราะไม่ห่อกันกระแทกอะไรมาเลยมาแบบพอดีกล่องซึ่งสินค้ามันสามารถแตกหักได้ควรห่อมาบ้างและล้อประกอบยากจริงแถมอุปกรณ์ที่ใช้สวมล้อเข้ากับชั้นค่อนข้างหลวม
h*****n,2021-11-21 10:27:29,ขาว 5ชั้น,5,"ดีมากค่ะ ได้สินค้าครบตรงปก ชอบมากกก 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 
ดีมากค่ะ ได้สินค้าครบตรงปก ชอบมากกก 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻 
ดีมากค่ะ ได้สินค้าครบตรงปก ชอบมากกก 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻"
k*****1,2021-11-30 10:16:01,ขาว 5ชั้น,5,ได้รับของภายใน 2 วัน สินค้าแพคมาดีมากค่ะ ชั้นประกอบง่าย ตรงล้อใช้ค้อนทุบๆหน่อยก็เข้าดีแล้วค่ะ ใช้จัดวางของเพื่อจัดระเบียบในห้องครัวได้ดีเลยค่ะ
