username,date,variation,rating,comment
u*****g,2022-03-21 13:21:29,DI06 (2K) Black,5,คุณภาพของสินค้าดีมากๆ ความคุ้มค่าดีมากๆ ความรวดเร็วในการจัดส่งดีมากๆ การให้บริการจากร้านค้าดีมากๆ การให้บริการจากบริษัทขนส่งดีมากๆ
nonflipflow,2022-01-30 19:01:13,DI06 (2K) Black,5,"ได้รับสินค้าเรียบร้อย ส่งจริง
ของส่งไวมาก รอของ 1 วันได้รับเลย
กล้องได้รับมามีรอยนิดหน่อย แต่ไม่มีปัญหาในการใช้งาน
ใช้งานได้ปกติ ถือว่าดีครับ ราคาน่าคบหา"
tunyalak11,2021-11-30 21:29:47,DI06 (2K) Black,5,แพคมาดี​ ภาพคมชัด​  ราคาถูกกว่าที่อื่น​ ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️​❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
a*****y,2021-11-29 16:56:40,DI06 (2K) Black,5,ได้รับรวดเร็ว แพ็คถุง ห่อบับเบิ้ล ใส่กล่องเรียบร้อย สภาพสมบูรณ์ ยังไม่ได้เปิดใช้ หวังว่าภาพจะคมชัดใช้ได้ดี
donut7black,2021-11-14 23:05:01,DI06 (2K) Black,5,เริ่ดอยู่น้า ภาพชัด ต่อแล้วใช้งานได้ ราคาถูก คือดีย์ ++++
z*****s,2021-09-11 13:37:12,DI23 FULL HD 2K,5,สวยงามมากครับ💕💕💕💕💕🌼🦋🌼🦋🌼💕🌼💕🌼💕🌼🦋🌼🌼💕🌼🌼🦋🌼💕💕🦋🌼💕🌼🦋🌼💕🌼💕🌼🦋🌼🌼🦋🌼💕🌼💕🌼💕🌼💕🌼💕🌼🌼🦋🌼💕🌼🦋🌼🦋🌼🦋🌼🦋🌼🌼💕🌼💕🌼💕🌼💕🌼💕🌼🌼💕🌼🦋🦋🌼💕🌼💕🌼🦋🌼🦋🌼🦋🦋🌼🦋🌼🦋🌼💕🌼💕
leemeawmeaw,2021-09-23 23:29:12,DI06 (2K) Black,3,ได้รับสินค้าแล้วว คุณภาพสินค้าถือว่าดีเลย เสียบสายแล้วใช้ได้เลย ภาพถือว่าชัดดี มุมมองกว้าง… แต่หักเรื่องตัวสินค้ามีรอยตำหนิเยอะพอสมควร ตัวปิดหน้ากล้องพอปิดแล้วมันเอียงๆ
m*****9,2021-09-07 14:24:57,DI06 (2K) White NEW,5,ดีค่ะ ติดตั้งง่าย คนทำไม่เป็นแบบเรา เสียบแล้วใช้ได้เลย ที่สำคัญ ร้านให้คำแนะนำดีค่ะ ส่งของเร็ว ถึงเร็วทันใช้ประชุมพอดี ขอบคุณนะคะ ไว้จะอุดหนุนอีกแน่นอนค่ะ
krutaesulukkana,2021-08-26 11:56:48,DI06 (2K),5,สินค้าดีมีคุณภาพ ใช้งานง่ายดี แค่เสียบสายusb เข้ากับคอมก็ใช้ได้เลย ภาพชัดสวย ไว้ทำสื่อการสอนได้เลยในช่วงโควิดแบบนี้ ถูกใจมากค่ะ
s*****n,2021-09-22 18:53:16,DI06 (2K) Black,5,"สินค้าดี ตามภาพ  ของแท้  กล้องใส มาก  สั่งเป็นตัวที่ 2 
ชอบๆๆๆๆๆ   แต่กล้องเป็นเลยวาย 
🐢🐢🐢🐢🐢😆🐷🐷🐷😆😆😆😆😆"
nkorawan.,2021-09-25 21:27:59,DI06 (2K) Black,5,ยอด ดีเลิศ เด็ดขาด อันดับหนึ่ง ศักดิ์สิทธิ์ มหัศจรรย์ ที่สุด สุดยอด เยี่ยม ยอดเยี่ยม เยี่ยมยอด ดีที่สุด เลิศที่สุด ชนะเลิศ เลิศเลอ ดีเด่น สุดเหวี่ยงล้ำเลิศ ชั้นเลิศ เลิศล้ำ เด็ด หนึ่งเดียว พิเศษ ยอดไปเลย เยี่ยมไปเลย ที่หนึ่งเลย โดดเด่น
haru_cnx,2021-08-26 20:04:27,DI06 (2K),5,ถูกต้องตรงตามที่สั่งและตามที่ร้านลงขาย ห่อใส่กล่องจัดส่งมาดี สภาพสินค้าเรียบร้อยดีใช้งานได้ปกติ จัดส่งเร็วดี
anan4001,2021-09-16 20:31:06,DI06 (2K) White NEW,5,สินค้าคุณภาพดีซื้อมาสองชิ้นแล้วร้านนี้แนะนำเลยครับจัดส่งไวมากแพคเกจดีไม่ผิดหวัง
