username,date,variation,rating,comment
j.jariya1993,2022-03-16 20:46:56,เขียวมินท์,5,จัดส่งไวมากๆเลยค่าาาา สีสวยกว่าที่คิดไว้อีก ตรงปก ขนส่งแพ็คของมาดีมากๆเลยค่า ตอนซื้อได้ราคาลดลงไปอีก คือดีย์เว่อร์ คุ้ม ชอบสีมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ
nitingale201,2022-03-05 15:06:44,เทา,5,จัดส่งสินค้าได้รวดเร็ว การแพ็คสินค้าดีสินค้าไม่เสียหายระหว่างการขนส่งสินค้าราคาถูก ใช้ Coin ส่วนลดและได้รับคอยเพิ่ม การบริการจากทางร้านดี ขอแนะนำครับ
k*****i,2022-03-17 12:31:15,เทา,5,สินค้ามาไวมากค่ะ ได้รับของคุณภาพดีไม่ชำรุดหรือแตกหักจากเท่าที่ดูและถ่ายสำรวจสินค้า เอาไป5ดาวเลยค่ะ ทั้งเรื่อองสินค้า การส่งไว บริการจากร้านค้า และขนส่งบริการดีเยี่ยมเลยค่ะ คุ้มค่าราคา รอบน่าจะอุดหนุนใหม่บ่อยๆนะคะ
cottonbudz1211,2022-03-04 13:22:54,เทา,5,จัดส่งเร็วประกอบง่าย รอดูความอึด เพราะ 2-3ปีที่ผ่านมาเปลี่ยนเกือบทุกปี เลยยอมเสียเงินเพิ่มเอาตัวดีๆยี่ห้อดีๆเลยดีกว่า
w*****3,2022-03-05 11:53:33,เทา,5,"ดีเยี่ยม 
ประกอบง่าย ซื้อช่วง 3.3.65 รวมส่ง 793.บาท"
m*****7,2022-01-17 13:59:50,เทา,5,ตรงปกค๊าาา ทางร้านบริการดีมากๆๆๆ มีโปรโมชั่นตลอดทั้งเดือน ราคาถูก คุณภาพดีมากๆ 16 นิ้วก็ถือว่าใหญ่และลมแรงดีเลย เสียงก็ไม่ดัง ประกอบง่าย วัสดุครบ แพ็คมาดี ฐานรองมีวงกว้าง ทำให้สมดุลดี จัดส่งเร็วมากๆๆๆ ทันใช้เลยค๊าาา คุ้มสุดด🤍
a_ya11111,2022-01-18 18:23:50,เทา,1,"ใครที่กำลังตัดสินใจกับร้านนี้ อย่าสั่งดีกว่านะค่ะ
ถ้าได้ของดีคือดีไปเลยค่ะ
แต่ถ้าได้ของมา ของด้านในเสียหาย คือเสียเวลามากค่ะ
คือของเราเปิดกล่องมา ใบพัดหัก เเล้วเเจ้งทางร้านเเล้ว ทักไปสอบถามทางร้านก็เเล้ว ตอนนี้เงียบกริบเลยค่ะ 
บริการแย่มาก 😡"
s*****n,2021-12-17 22:58:04,ม่วง,5,สินค้าราคาถูก คุณภาพดี ส่งเร็ว  ส่งไว. ถูกกว่าร้านอื่นมากๆ สั่งมา 2 ชิ้น ในเดือนธ.ค.64 โปร 12.12 และ 15.12 ได้โค๊ตลดเหลือชิ้นละ 700 นิดๆ ถูกมากๆๆ แนะนำร้านนี้ครับผม................................
thanyapornchuenkomon,2021-12-05 18:36:14,เทา,5,จัดส่งสินค้าได้รวดเร็วทันใจ สินค้าได้รับการแพคมาอย่างดี ประกอบได้ไม่ยาก สินค้าดูแข็งแรงมาก ลมแรงแม้จะเปิดแค่เบอร์ 1 ฐานของพัดลมก็ฐานใหญ่ ล้มยาก สีก็สวยถูกใจ
s*****n,2021-11-12 18:30:27,เขียว,5,สั่ง11.11ได้สินค้า12.11 รวดเร็วทันใจมาก สินค้าถูกกว่าร้านอื่น และน่าจะมีคุณภาพจากรีวิว ซื้อมาไม่แกะกล่องเอาไปตจว. กล่องมีตำหนินิดคือแตกไม่ทราบเกิดการขนส่งหรือเกิดจากทางร้าน ถ้าสินค้าไม่เสียหายไม่เป็นไร ถูกจริง ส่งไว สินค้าคุณภาพร้านนี้นะครับ..........
