username,date,variation,rating,comment
teenzaa,2022-03-16 23:19:31,32E3G,5,จัดส่งเร็วดี สั่งรุ่นนึง ส่งมาอีกรุ่นนึง เจ้าหน้าที่โทรมาบอกเป็นรุ่นเดียวกันแต่ทำตลาดคนละอย่าง งง สรุปใช้ไปๆ ดูๆกันไปครับ
phenmean,2021-12-18 17:51:13,32E3G,5,จัดส่งเร็วมาก คุณภาพดี รีโมทแถมถ่านมาให้ด้วย ติดตั้งง่าย มีคู่มือเป็นภาษาไทยเข้าใจง่าย ซื้อโดยใช้ส่วนลด ประทับใจมากค่ะ ส่วนเรื่องของหน้าจอต้องรอดูในระยะยาว
seng9965,2021-12-06 22:32:48,32E3G,4,ตอนแรกเข้าใจว่าจะได้กล่องสีขาวแต่กลายเป็นกล่องสีลังแทนทางร้่านแจ้งว่าช่องทางออนไลร์จะเป็นรุ่นนี้แทน และที่เข้าใจผิดกันเกือบได้ส่งคืนเพราะเพื่อนบ้านถ่ายรูปมาภาพสะท้อนเห็นเป็นรอยลอกสกอตเทปฝากล่องเงิบๆแต่จริงแล้วเป็นแสงสะท้อนจากแทปใสบ้ามากต้องขอโทษทางร้าน
arzimov,2021-11-14 12:40:55,32E3G,5,ได้รับสินค้าแล้ว ส่งไวมาก สิ้นค้าไม่เสียหาย ขนส่งดีมาก ภาพคมชัด ได้รับสินค้าแล้ว ส่งไวมาก สิ้นค้าไม่เสียหาย ขนส่งดีมาก ภาพคมชัด
kkeart,2021-09-18 20:08:40,32E3G,5,สินค้าภาพคมชัดดีหน้าจอใหญ่หน้าจอบางดีแต่สินค้าส่งช้ากว่ากำหนด 1 วันน่าจะเป็นเพราะพนักงานติดเขาประสานงานไปทาง admin admin ก็ช่วยเหลือได้เยอะ ติดต่อไปทาง Call Center คอนเสิร์ตช่วยตามสินค้าให้สรุปแล้ว 4 วันทำการถึงได้ของน่าจะเป็นช่วงผลัดเซลล์ของส่งน่าจะเยอะ ต้องดูกันนานๆว่าจะใช้ได้ดีขนาดไหนประกัน3ปี
kaepokinkanjanakunlove,2022-03-06 11:03:03,32E3G,5,ทีวีดีมากๆๆค่ะ ราคาช่วงลดดีต่อใจผู้บริโภคมากๆค่ะ มีรับประกัน ต่อขา เสียบเสาดิจิตอลจูนอัติโนมัติใช้ได้ง่ายๆสะดวกสบายดีค่ะ ไม่ยากเลย ดีมากๆค่ะ สีภาพขนาดโอเคเลยค่ะ บอกต่อแนะนำเลยค่ะ
w*****0,2022-02-24 20:08:39,32E3G,5,ได้มาในราคา 3255บาท ตอนแฟลชเซลวันที่15 จัดส่งเร็วมากๆประมาณ 2 วัน แพ็คสินค้ามาดีกล่องอยู่ในสภาพที่สมบูรณ์เปิดใช้งานได้ปกติไม่มีปัญหาแสงรั่ว หรือเดสพิกเซลใดๆ ภาพคมชัดใช้ได้เลย จะลองใช้ดูแตต่อุ่นใจทาง Hisense มีประกัน 3 ปี ระบบเสียงยังไม่ถูกใจเท่าไหร่ โดยรวมโอเคคับเหมาะสมกับราคา พอร์ตต่างๆใช้งานได้ครบ
m*****k,2022-02-09 21:38:18,32E3G,5,"สินค้าคุณภาพดีมากค่ะ 
ได้โค้ดส่วนลดเยอะมากๆ 
ร้านค้าแพ็คสินค้ามาดี ขนส่งจัดส่งรวดเร็ว
👍👍👍👍👍👍👍👍👍👍👍👍👍
👍👍👍👍👍👍👍👍👍👍👍👍👍"
pangnakub,2021-12-19 02:37:22,32E3G,5,"ได้รับทีวีเรียบร้อยแล้ว สั่ง15 ได้รับ18 จัดส่งเร็วดี
ตอนนี้ลองใช้ดูแล้ว ยังไม่มีปัญหาอะไร ดีทุกอย่าง 
แต่ต้องดูระยะเวลาว่าจะดีมั้ย
แต่มีประกันให้3ปีคงหายห่วง"
machismo,2021-10-27 18:55:45,32E3G,5,ได้รับสินค้าแล้ว รอบนี้ส่งสินค้าเร็วมาก สินค้าใช้ได้ปกติ ทีวีเป็น HD ก็ชัดพอสมควรดูฟรีทีวีสบายๆ สินค้าใช้งานง่ายไม่ยุ่งยาก
aod_surasit.n,2022-03-23 14:51:08,32E3G,5,ได้รับสินค้าแล้วดีมากเลยครับ ชัดเจนดีค้นหาช่องง่ายมาก และก็ราคาไม่แพง แต่แอบเสียดาย สั่งไวไปนิด สั่งก่อนมีโปรมา แต่ไม่เป็นไรครับสั่งไปแล้ว  โดยรวมถือว่าดีมากครับ ใช้งานได้ดี
