username,date,variation,rating,comment
p*****n,2022-03-20 22:51:20,EMM20K18GW,5,สินค้ามีคุณภาพมากค่ะใช้งานได้ดีรูปทรงสวยงามการจัดส่งของทางร้านก็รวดเร็วมากๆค่ะส่วนตัวชอบมากๆค่ะแพ็คสินค้ามาให้อย่างดีราคาเหมาะสมกับคุณภาพส่วนตัวชอบและถูกใจมากๆค่ะไว้จะกลับมาสั่งซื้ออีกกับร้านนี้ค่ะ
pairote_psw,2022-03-19 12:36:19,EMM20K18GW,5,ได้รับของรวดเร็ว แต่อัพเดตสถานะในshopee ช้าไปหน่อย เลยไม่ได้อยู่รับของเองเพราะเห็นว่าสถานะอยู่ยะลา (แม่บ่นเลย) ค่าส่งแพงเพราะหนักหน่อย แต่ได้ flash sale เลยได้ราคาถูกหน่อย
iiiampiii,2022-02-05 16:15:45,EMM20K18GW,5,"สินค้าดี มีมาตรฐานดีอยู่แล้วยี่ห้อนี้ ซื้อตอนแฟลชเซล ใช้ coin ลดเพิ่มอีก ราคาสุทธิ 1,425บาท คุ้มค่ามาก สินค้าจัดส่งไว บริการดี การใช้งานปกติดี ไว้มาอุดหนุนใหม่นะคะ😊"
pkmon,2022-01-18 14:25:34,EMM20K18GW,5,ห่อหุ้มกล่องทุกอย่างมาดีมาก ร้านตอบแชทไวรวดเร็ว ใส่ใบกำกับภาษีในซองมาในกล่องด้วยเรียบร้อย ใช้งานแล้วใช้ได้ดี ขนส่งมาเร็วเมื่อวาน 17 ม.ค. 65 สั่งซื้อ 15 ม.ค. แต่เพิ่งได้รูปมารีวิววันนี้ ไม่ได้ใช้เอง ซื้อส่งอีกบ้านนึง เห็นรีวิวร้านดีงาม ก็ดีงามจริง ๆ
p*****g,2022-01-07 22:38:28,EMM20K18GW,5,เครื่องใหญ่มาก ดีงาม ไม่มีเสียหาย ราคาถูกมากค่ะ คุ้มมากๆ ดีไซน์สวย ถูกใจมากกกก ส่งไว เครื่องใหญ่มาก ดีงาม ไม่มีเสียหาย ราคาถูกมากค่ะ คุ้มมากๆ ดีไซน์สวย ถูกใจมากกกก ส่งไว 🤍🤍
kannikasuraphayakkhaphong,2021-11-27 13:37:20,EMM20K18GW,5,ร้านค้าส่งสินค้าได้รวดเร็วดีสินค้าแพคมาดีไม่มีร่องรอยเสียหายใดๆลุ้นอยู่เหมือนกันว่าจะมาทันเสาร์อาทิตย์มั้ยเพราะจำเป็นต้องใช้งานแต่ก็มาถึงทันเวลาใช้งานเลยถือว่าราคาถูกกว่าหลายๆร้านที่ดูมา
sopanaassawaopas,2021-11-16 08:16:50,EMM20K18GW,5,ถูกใจมากค่ะ แข็งแรงรูปทรงสวยค่ะ ใช้งานได้ดีค่ะ💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗
benjawee636356,2021-11-25 00:44:51,EMM20K18GW,4,สินค้าราคาถูกดี สั่งซื้อหลังเที่ยงคืนวันที่ 14/11 คือ วันนี้ 15/11 ทางร้านมี flashsale ได้ราคาลดลงอีก สินค้าส่งไว ขนาดส่งจากยะลา ได้รับของวันวันที่ 17/11 มีการอัปเดตสถานะการส่งตลอดเวลา สินค้าแพ็คมาแน่นหนา ไม่เสียหาย ขนส่งมาดี  ใช้ดี ขนาดกะทัดรัด เรียบๆ สวยๆดี เสียงอาจดังนิดหน่อยแต่รับได้
s*****.,2021-10-16 12:46:21,EMM20K18GW,5,ทางร้านจัดส่งไว้มาก แพคสินค้าดีมีติดสติกเกอร์ระวังแตก คุ้มค่ากับราคา ใช้งานปกติ มีคู่มือภาษาไทย หนักอยู่นะคะ พนง.จัดส่งให้บริการดีมากๆค่ะ ประทับใจ😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
kpzasp,2021-10-13 12:29:39,EMM20K18GW,5,"สินค้าดีมีคุณภาพสูง ตามที่ได้ลงไว้ในรายละเอียดสินค้าเพิ่มเติม
สินค้าส่งรวดเร็วทันใจ ส่งของจากยะลาถึง สมุทรปราการภายใน 2 วันหลังจากชำระเงินเรียบร้อยแล้ว
เป็นของใหม่สภาพสมบูรณ์
ใช้ยี่ห้อนี้ เป็นเครื่องที่ 2 แล้ว เครื่องทำงานได้ดี แต่มีเสียงดังนิดหน่อยเวลาเครื่องส่งสัญญาณตัด ต่อกระแสไฟ🔥🔥"
