username,date,variation,rating,comment
wadiizz42,2022-03-11 00:31:42,Wanbo X1 pro+Bracket,5,ชอบมากค่ะ เชื่อต่อง่ายไม่ยุ่งยาก ส่งไว3-4วัน ได้ของ ปรับโฟกัสดีๆภาพค่อนข้างชัดพอสมควร สีสวยยิ่งมืดยิ่งชัด ราคาไม่แรง
p*****t,2022-02-06 23:13:30,Wanbo X1 pro,5,ทางร้านจัดส่งเร็วมากค่ะ การบรรจุกล่องมาเรียบร้อยดีมาก ภาพชัดมาก ประทับใจ ตรงปก สีขาวสวยมินิมอล ดีงาม เปิดไฟก็มองเห็นลางๆ แต่ในห้องที่ปิดไฟชัดแจ๋วเลย เสียงก็ดี ชอบค่าาาาา
sayamon.m,2022-02-06 19:24:50,Wanbo X1 pro,5,รอของนำเข้าพร้อมส่งถึงมือประมาณ 19 วัน ไวมากค่ะ รูปทรงสวย น่ารัก กะทัดรัด ไม่หนักเกินไป กล่องนอกเป็นกล่องลูกฟูกของเครื่องเลย แต่หนาแข็งแรงดี ได้มาในสภาพนางฟ้า และได้มาตอนลดราคา คุ้มมากๆ ค่ะ
lluuzii,2022-01-17 21:36:19,Wanbo X1 pro+Bracket,5,ได้รับสินค้าแล้ว ส่งเร็วปานสายฟ้า ได้แฟลชเซลล์มา คุ้มค่า งานดี แต่ขนส่งไม่ได้โทรแจ้ง ดูในระบบเอง ไม่ซีเรียส รับได้  ลูกเล่นเยอะ ภาพชัด เสียงลำโพงดังมาก ขาตั้งแข็งแรง วัสดุดี เชื่อมต่อง่าย รีโมทใช้ง่าย สีขาวสวยสะอาด แนะนำร้านนี้เลย
tomau5567,2021-12-24 18:39:08,Wanbo X1 pro,5,สินค้าถูกต้อง ปกติดี ใช้งานได้ดี ไม่มีปัญหา ทางร้าน ให้คำแนะนำดี ส่งของค่องข้างไว้ สุดยอดครับๆๆๆๆ😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
s*****7,2021-12-16 19:28:38,Wanbo X1 pro+Bracket,5,สิ้นค้าคุ้มค่าตามราคา ไม่ต้องซื้อTV box เพิ่มเพราะมีandroin ใหม่ติดตั้งมาด้วย สามารถต่อBluetooth กลับเครื่องเสียง และต่อ wifi
p*****n,2021-12-05 21:43:29,Wanbo X1 pro,5,สั่งสินค้าวันที่2 ก่อนเที่ยง ร้านค้าจัดส่งตอนเย็นวันที่2 ได้รับสินค้าวันที่3 สายๆ(10โมงกว่าๆ) จัดส่งรวดเร็วมากๆค่ะ ได้ดูจอใหญ่ๆ ชอบมากๆค่ะ
rodthaphon,2021-11-18 19:18:39,Wanbo X1,5,"สินค้าดีครับ ซื้อตอนลดเหลือ 2290
การเเพ็คสินค้า ดีครับ ไม่มีบุบ หรือ เสียหาย
การจัดส่ง ช้าไปเเต่ไม่ช้ามาก
ชอบครับ ถือว่าคุ้มค่าอยู่ ความร้อนเครื่องอุ่นๆน่อย"
zaifaizal_27,2021-12-05 12:51:54,Wanbo X1 pro,5,ได้รับของแล้ว จัดส่งเร็วมาก 3 วันถึง บรรจุ ขนส่งดีมาก อุปกรณ์ลองใช้แล้วโอเคมาก ต้องดูระยะยาวครับ
nam_77,2021-09-12 23:19:42,Wanbo X1,5,"ได้มาในราคา 2,650 ก็ถือว่าคุ้มอยู่ จากโปร 9:9 แต่ไม่ได้ส่วนลดเพิ่ม อุตส่าห์นั่งรอตั้งเที่ยงคืน ขึ้นว่าคนใช้โค้ดนี้หมดแล้ว เสียงดังดี ภาพโดยรวมชัดดี เครื่องร้อนเร็วแต่ถ้าเล่นในห้องแอร์ก็ไม่ค่อยร้อนเท่าไหร่ ทดสอบการใช้งานเบื้องต้น คือดี คุ้มค่า ส่วนระยะยาวค่อยว่ากัน"
