username,date,variation,rating,comment
guest_20,2022-02-06 16:48:53,สีฟ้ามิอาจกั้น,5,สินค้าดีมีคุณภาพคุ้มค่าคุ้มราคาเยี่ยมๆๆคุณภาพดีสีสวยตรงปกดูแข็งแรงทนทานชอบๆดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดั💗💗💗💗💗💗👍👍👍👍👍👍👍👋👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
19zq4772bi,2022-02-07 15:11:43,ทะเลไม่เคยหลับ,5,"ได้รับสินค้าเรียบร้อยครับ
สั่งซื้อเป็นรอบที่สองแล้วครับ
สินค้าตรงปกครับสั่งของไม่กี่วันก็ได้รับแล้ว"
konnikatretrantipgul,2021-11-30 22:09:29,ม่วงไวโอเล็ต,5,ได้รับสินค้าแล้วค่ะ ตอนแรกอยากได้สีน้ำเงินแต่มันหมด ก็เลยสั่งสีม่วงก็สวยดีนะ การแพ็คสินค้าดูดี สินค้าไม่มีความเสียหายใดๆ เปิดฝาออกมาดมดูมีกลิ่นพลาสติก เลยนำไปล้างทำความสะอาดเปลี่ยนก็ดีขึ้น
p*****2,2021-10-13 16:06:34,ชมพูฟรุ๊ตตี้,5,ดีมากกกกกกๆๆๆๆๆครับคุณภาพโอเครร้านนี้ของแท้ครับกำลังใชังานพลาสติกเนื่อหนาครับดีจริงส่งเร็วมีโแรเด็ดบ่อยๆๆครับถูกจริงคาบบบบก๊อกยังไม่รู้ว่าทนป่าวเดี๋ยวลองใช้ก็รู้ถ้มก๊อกดีจะแนะนำคนแถวๆบ้านซิ้อนะครับแต่คิดว่าดีครับร้านนี้ครับของถูกและดีด้วยครับให้ห้าดาวเลยครับคคค
t*****6,2022-03-19 10:18:14,ขาวใสบริสุทธิ์,5,ร้านนี้พลาสติกดีนะครับคุณภาพดีเลยส่งเร็วส่งไวของไม่มีชำรุดครับมาสภาพใหม่เอี่ยมซื้อแล้วอ่ะก็อยากจะกลับไปซื้อใหม่อีกนะครับกับซื้อใหม่แน่นอน ชัวร์เลยครับร้านนี้ใครอยากได้ถังน้ำใช้กลับมาซื้อได้เลยนะครับ
s*****e,2022-01-12 22:23:40,ทะเลไม่เคยหลับ,5,ขวดน้ำใบใหญ่ส่งมาถึงบ้านไวดีค่ะ ขวดน้ำเป็นพลาสติกเนื้อหนา และเป็นฝาแบบเกลียว เจ้าของร้านห่อสินค้ามาเป็นอย่างดี ทำให้ขวดพลาสติกไม่มีรอยบุบหรือแตกเลย
bassdevills,2021-08-31 13:32:57,สีฟ้ามิอาจกั้น,4,"สั่งปุ๊บส่งปั๊ป สั่งปั๊ปส่งปุ๊ป
สั่งปุ๊ปปุ๊ปส่งปั๊ปปั๊ป สั่งปั๊ปปั๊ปส่งปุ๊ปปุ๊ป
ห่อกันกระแทกแน่นหนาหยั่งกะกันกระสุน
สภาพสินค้าสมบูรณ์ดี"
v*****4,2022-02-26 17:25:00,เขียวมรกต,5,...สินค้าดูดี...สวย...ดูแข็งแรงไม่กรอบ.... ราคาไม่แพง..ส่งไว...ขนส่งจัดส่งไว.... คุณภาพดีคะ...แนะนำคะ.
guest_20,2021-12-27 19:42:39,ทะเลไม่เคยหลับ,5,คุณภาพสินค้าดีมากความคุ้มค่าดีมากการบริการของขนส่งดีมากสินค้าดีมีคุณภาพคุ้มค่าคุ้มราคาดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดีดี👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
hathaichanokkaewnuy,2021-12-16 13:45:39,ทะเลไม่เคยหลับ,4,สินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสินค้าคุณภาพดีเยี่ยมมากราคาไม่แพงสิน
fuck_34,2021-12-17 06:54:34,ม่วงไวโอเล็ต,5,ได้รับสินค้าแล้วจัดส่งค่อนข้างเร็ว ห่อแพ็คกันกระแทกมาอย่างดี สวย ใส รวมๆแล้วสินค้าต่อนข้างโอเค จะมาอุดหนุนใหม่
k*****2,2022-03-03 14:06:34,ขาวใสบริสุทธิ์,5,"- ถังน้ำดื่มบริสุทธิ์ PET ขนาด ±18.9 ลิตร  สำหรับใส่น้ำดื่ม ถังน้ำดื่มฝาเกลียว  ""คุ้มค่า-คุ้มราคา""
- บริษัทผ่านการรับรองมาตรฐานการผลิต GMP
- มีใบรับรองคุณภาพเม็ดพลาสติก (Certificated) Indorama, SCG, PTTP
- ใช้เม็ดพลาสติก PET Food Grade (เกรด A) 
- ขนาด เส้นผ่าศูนย์กลาง ± 5 cm. สูง ±44.3cm.
- น้ำหนัก"
kittithamtantivorasri,2022-03-09 22:41:48,ม่วงไวโอเล็ต,5,"การจัดส่ง....รอไม่นานแต่ไม่เร็วครับ
การแพ็ค.....ธรรมดาครับ ไม่มีกันกระแทรกแต่สินค้าไม่เสียหาย
สินค้า.....ดูดีมีมาตราฐาน สีสวยงามครับ
สรุป....ผมให้.9/10 ขอลองใช้ก่อนครับ"
w*****8,2022-03-09 20:09:38,สีฟ้ามิอาจกั้น,5,สินค้า ตอนแรกนึกว่า จะห่อแต่ถุงพลาสติกมา แต่ว่ามีกล่องใส่มาด้วย ดีครับ เป็นของใหม่ ซึ่งข้างในยังมีกลิ่นพลาสติกอยู่ ห่อบรรจุภัณฑ์มาอย่างดี ไม่มีรอยรั่วรอยแตก
a*****5,2022-02-28 17:06:48,สีฟ้ามิอาจกั้น,5,"สั่งครั้งที่4แล้วค่ะ 
👍👍👍👍👍👍👍
จากสั่งให้ตัวเอง2ครั้ง
ให้ญาติ 
แล้วล่าสุดสั่งให้แม่
สุดยอดๆๆๆ👍👍👍👍👍👍
🌱🌿🍃☘️🪵🌲🌳🌴🌵🪴🍀"
rhadachiangmai,2022-03-13 00:22:01,ทะเลไม่เคยหลับ,5,"สินค้าตรงปก คุณภาพเยี่ยม มีให้เลือกหลายสี จัดส่งรวดเร็ว
สินค้าตรงปก คุณภาพเยี่ยม มีให้เลือกหลายสี จัดส่งรวดเร็ว"
patrodto197394,2022-03-05 21:33:45,ทะเลไม่เคยหลับ,5,ดีครับสั่งรอบสองแล้วครับรอบแรกสั่ง10ลูกสีน้ำเงินรอบสองสั่ง5ลูกสีน้ำเงินได้สีเขียวครับดีครับส่งไวด้วยครับ
tbank33,2022-03-12 08:38:56,สีฟ้ามิอาจกั้น,5,สินค้าหนาดี ได้มาตราฐานแต่ยังไม่ได้ใช้ ดูแข็งแรงมีโอกาสเดียวสั่งใหม่ของดีราคาถูกๆ
c*****9,2022-03-14 02:49:25,สีฟ้ามิอาจกั้น,5,👍👍👍คุ้มค่าคุ้มราคามาก👍👍👍 ราคาคือถูกมากและตัวสินค้าเองก็คุณภาพดีมากๆ👍👍👍 สีสวย การจัดส่งรวดเร็ว กล่องมีรอยฉีกขาดแต่ข้างในเป็นอะไร
r*****2,2022-02-11 12:58:40,ขาวใสบริสุทธิ์,5,ได้รับสินค้าเรียบร้อยดี แพคใส่กล่องมาอย่างดี ถังสีใสมากชอบ เนื้อถังถือว่าหนาใช้ได้  แต่ต้องลองใส่น้ำดูก่อนว่าจะดีไหม ถ้าดีจะสั่งเพิ่มอีก
teppakunroidee,2022-02-12 14:55:38,สีฟ้ามิอาจกั้น,4,ถูกใจมากครับถูกใจมากครับถูกใจมากครับถูกใจมากครับถูกใจมากครับถูกใจมากครับถูกใจมากครับถูกใจมากครับถูกใจมากครับถูกใจมากครับ
a*****s,2022-02-15 23:11:33,เขียวมรกต,5,ผู้ขายส่งสินค้าเร็วมากแต่มาติดที่ขนส่งๆ สินค้าได้ช้าาาาาาาาาามากกกกกกกกกก สินค้าดีค่ะ ดูหนา เด๋วลองไปใช้ก่อน น่าจะได้สั่งเพิ่มอีกแน่นอนค่ะ
w*****7,2022-02-07 13:41:00,ม่วงไวโอเล็ต,5,สิ้นค้าแพคมาอย่างดี ไม่มีตัวไหนแตกหรือพังหักสิ้นค้าตรงปกที่วางขายค่ะชอบมากเลยไว้เดียวรอบน่ามาอุดหนนุใหม่นะคะ 👍🏼👍🏼👍🏼👍🏼👍🏼❤️❤️🤍❤️🤍❤️
k*****4,2022-01-21 13:28:17,ม่วงไวโอเล็ต,5,สั่งร้านนี้หลายครั้งแล้ว สินค้าดีมีคุณภาพมากๆ รอบนี้สั่งแล้วมีปัญหานิดหน่อยจากขนส่งทำของบุบ แต่ร้านส่งของใหม่ให้ทันที โดยไม่มีเงื่อนไขใดๆ ประทับใจสุดๆ👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍🤘👍👍👍👍👍👍👍👍👍👍👍👍👍
giantthongsap,2022-02-07 14:08:15,สีฟ้ามิอาจกั้น,5,ร้านค้าน่ารักมากเลยใส่กล่องมาให้ด้วยแต่มีใบอะไรยินดีตรงหน้าถังด้วยแพคดีมากไม่เหมือนร้านอื่นเลยราคาก็ถูกร้านอื่นไม่มีใส่กล่องให้นะเนี่ย
k*****g,2021-12-15 19:07:20,สีฟ้ามิอาจกั้น,5,สินค้ามาตรงตามที่สั่งซื้อ ไม่จกตา มาตามที่เห็นในรายการขาย ราคาไม่แพง ถังเนื้อหนาพอสมควร ใส ห่อหุ้มมาอย่างดี ไม่มีเสียหาย กล่องบรรจุใหญ่มาก การขนส่งไม่ช้า ทางร้ายพิถีพิถันในการแพ็คสินค้า  แนะนำร้านและสินค้า
p*****s,2021-12-23 16:20:26,ทะเลไม่เคยหลับ,4,ซื้อสินค้าจากร้านนี้เป็นครั้งแรก สินค้าจัดส่งรวดเร็ว สินค้ามีให้เลือกเยอะ สินค้าคุณภาพดีเหมาะสมกับราคา การขนส่งดีค่ะ
decha_no,2021-12-19 22:08:30,ทะเลไม่เคยหลับ,5,ความรวดเร็วในการจัดส่งสินค้า จัดส่งได้รวดเร็วมาก สินค้าแพ็คมาอย่างดีไม่มีรอยบุบสลาย สินค้าดี คุ้มค่า ราคาประหยัด ร้านบริการดี
junjarnkung,2021-11-29 10:49:03,ทะเลไม่เคยหลับ,5,"ได้รับของแล้ว ปลอดภัยดี ใส่กล่องใส่บับเบิลมาอย่างดี ของส่งไวถึงไวดีจ้า
ได้รับของแล้ว ปลอดภัยดี ใส่กล่องใส่บับเบิลมาอย่างดี ของส่งไวถึงไวดีจ้า"
p*****p,2021-11-22 21:06:46,ทะเลไม่เคยหลับ,5,ได้รับพัสดุแล้วนะคะ สินค้าตรงตามรายการที่สั่งซื้อไว้ค่ะสินค้ามีคุณภาพดีมากๆเลยค่ะ ทางร้านแพ็คและจัดส่งอย่างรวดเร็วค่ะ
sirikorn14,2021-12-18 22:55:46,ทะเลไม่เคยหลับ,5,ได้รับของเรียลร้อยแล้ว ทางร้านส่งของเร็วดีบรรจุหีบห่อมาดีมาก มีกันกระแทกมาให้ด้วยและใส่กล่องอย่างดี สินค้าคุณภาพดีราคาประหยัด
waycruz99,2021-11-11 13:48:58,ขาวใสบริสุทธิ์,5,"ถังใสมากกกกกก ก ไก่ ล้านตัว ไม่หนา ไม่บาง กลิ่นพลาสติกไม่ฉุนแรกงจนเกินไป เป็นแบรนด์คนไทยด้วยกันเอง คุณภาพดีสุดๆ
จากที่เคยสั่งถังประเภทนี้มาใช้ประจำ ใช้เพื่อหมักผลไม้ กลิ่นไม่เพี้ยน แนะนำ มีสั่งซ้ำแน่นอน แพ็คเกจจัดส่งก็ดีมากๆ มาเป็นกล่อง ไม่ใช่ใส่แบบถุงดำแล้วติดจ่าหน้า"
dararatunhaka,2021-11-07 20:32:03,ทะเลไม่เคยหลับ,5,สินค้าดีค่ะหนาพลาสติกหนาดีค่ะส่งไวดีค่ะราคาไม่แพงดีด้วยค่ะชอบๆค่ะเดี๋ยวยังไงสั่งเพิ่มอีกแน่นอนค่ะสีสวยดูแข็งแรงดี
a*****5,2021-10-14 16:45:19,ม่วงไวโอเล็ต,5,"สั่งรอบ3แล้วจ้าาา คุณภาพมากก
ถังน้ำดื่มบริสุทธิ์ PET ขนาด ±18.9 ลิตร  สำหรับใส่น้ำดื่ม ถังน้ำดื่มฝาเกลียว  ""คุ้มค่า-คุ้มราคา""
- บริษัทผ่านการรับรองมาตรฐานการผลิต GMP
- มีใบรับรองคุณภาพเม็ดพลาสติก 
- ใช้เม็ดพลาสติก  (เกรด A) 
- ขนาด เส้นผ่าศูนย์กลาง ±27.3 cm. สูง ±44.3cm."
p*****8,2021-10-13 12:51:26,เขียวมรกต,5,สินค้าส่งมาไว แพคมาดี  มีกันกระแทกให้ด้วย  พนักงานสุขภาพ  ราคา คุณภาพดี 👍👍👍👍👍👍👍👍👍👍
