username,date,variation,rating,comment
wanutr,2022-03-19 21:20:54,20000 BTU,5,สั่ง รุ่น AS-20TR4RXCD00 20000 btu eco inverter กับได้ตัวท๊อป AS-22TR4RXBTU 23500 btu cd กลายเป็น tu ราคา flash sale กับส่วนลดอีก 2000 บาท โปร Mid 15/3/2565 สั่ง 15 ได้ 16 ก่อนหน้านี้ก็ได้ ตู้เย็น 4 ประตู ประทับใจมากครับ ห้องนอน 28 ตร.ม.10 นาทีอุณภูมิลดไปได้ 2 องศา แถมประหยัดไฟกว่ารุ่น eco สุดๆ ครับ
p*****a,2022-03-21 14:00:47,17900 BTU,5,จัดส่งเร็วคุ้มค่าคุ้มราคา ทางร้านอัพเกรดจาก CD Series เป็น KA Series ให้เนื่องจากของหมด
2a.shopping,2022-03-17 13:53:56,8797 BTU,5,ได้รับสินค้าแล้ว จัดส่งฟรีชอบมากเลย สินค้าห่อหุ้มดี การจัดส่งค่อนข้างดี  เหลือแค่ติดตั้งว่าโอเครไหมม เห็นรีวิว ก็น่าจะโอเคร ระดับหนึ่ง ถ้าดีเดียวสั่งให้ป้าที่บ้านครับ
sereemwa,2022-02-22 23:46:39,12000 BTU,5,"ได้รับแอร์ Hisense (Inverter) ขนาด 12000 BTU แล้ว สั่งซื้อช่วงโปร.2/2 หักส่วนลดต่างๆ แล้วเหลือไม่ถึง 7,000บาท ใช้เวลาจัดส่งอาทิตย์กว่า รุ่นที่สั่งของหมดทางร้านแจ้งขออัฟเกรดเป็นรุ่นที่ดีกว่าโดยไม่มีค่าใช้จ่ายเพิ่ม ตรวจสอบสภาพสินค้าที่ส่งมาแล้วโอเคเลย"
boymeaypookmaneekong,2021-11-20 12:21:59,20000 BTU,5,"ราคาคุ้มมาก ยิ่งมีโปร 11 เดือน 11 ซื้อเท่าราคาแอร์ 12,000 BTU ยังไงใช้แล้วถ้าใช้ดีจะบอกต่อ ราคา Inverter เหมือนได้ฟรี"
pohn2545,2021-10-27 12:33:39,11000 BTU,5,ซื้อ 10.10 ได้มาราคา 8320 บ. สั่งวันที่ 10/10 ได้ 21/10 แอร์ขนาด 12000 BTU ห้องขนาด 4×5 ตร.ม. สูงประมาณ 3 ม. ถือว่าแอร์เล็กไป แต่แอร์เย็นอยู่ แต่ไม่เท่าไหร่ สั่งมาผิดจริงๆ ควรสั่ง BTU เยอะกว่านี้5555 ไม่งั้นแอร์มันจะไม่ค่อยเย็นและพังไว แต่สินค้าโอเคดีค่ะ
sprtml,2021-09-15 10:17:46,8797 BTU,5,"สั่งของวันที่ 9.9 ในราคา 5,7xx บาท ขนาด 9,000 BTU ทางร้านจัดส่งรุ่น Premium Inverter มาให้ คุ้มค่ากับเงินที่จ่ายไปครับ
ได้รับสินค้าวันที่ 14.9 รีบโทรให้ช่างมาติดตั้งเลยราคา 2,500 บาท เสียงเงียบเย็นสบายทดสอบเปิดนอน 1 คืน ตื่นมาสดชื่นนนนนน มีแพลนจะทำห้องเพิ่มเดี๋ยวกลับมาซื้อแน่นอน 😊"
chanidapa.ff,2021-10-07 19:14:14,16000 BTU,5,"ซื้อ 16000 btu ได้อัปเกรดเป็น 17900 btu ในราคา 8,900 กว่าบาท การจัดส่งรอสินค้าประมาณ 4 วัน เรื่องคุณภาพต้องรอดูกันยาวๆ แต่ตอนนี้สเปกแอร์เทียบกับราคาถือว่าคุ้ม ถูกกว่าค่ายอื่น"
a3qz7vqvvj,2021-10-05 03:45:33,11000 BTU,5,รับสินค้าอล้วเรียบร้อยดี แพ็คเกจดีมาก สินค้าตรงตามปก มาอัพเกรด บีทียู ให้ด้วย ความกินไฟ จากป้ายเฉลี่ยแล้วอาจจะมากกว่า ยี่ห้ออื่น ต้องลองใช้ก่อน ที่สำคัญยังหาช่างติดตั้งอยู่ ^^ ทางร้านมีช่างให้เหมือนกัน แต่ค่าติดตั้งอาจจะแรงไปหน่อย
o*****c,2021-10-10 00:56:55,11000 BTU,5,ราคาไม่แพง แอร์เสียงเงียบดี เย็นปกติ รอซื้อติดตั้งอีกเครื่องถ้าไม่มีปัญหาอะไร โดยรวมดีครับ👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏
