username,date,variation,rating,comment
2betherichmen,2022-03-15 19:06:18,,4,โดยรวมดี เหมาะสมกับราคา ได้มาในราคาที่ไม่แพงเกินไป ทำใจไว้แล้วว่าต้องมีรอยบุบ ก็มีจริงๆ 3 จุด แชทสอบถามกับทางร้านตลอดถึงปัญหาตรงนี้ แต่คำตอบกับการแก้ไขปัญหาจากร้านค่อนข้างช้า สุดท้ายไม่ได้คำตอบ แอดมินที่ตอบคำถามทางแชทพูดจาดี ทางเราก็ไม่ได้ว่าอะไรครับ คุณภาพของตู้เย็นดีครับ แต่ขนส่งแย่ไปหน่อย
jakoby55,2022-03-20 14:12:56,,5,สินค้าสุดยอดมากครับ สภาพสวยไม่มีที่ติ ร้านค้าจัดส่งรวดเร็วทันใจมากครับ สั่งคืน 15 มี.ค.18 มี.ค.เช้าถึงแล้วครับ(แม่สะเรียง แม่ฮ่องสอน) และแพ็คมาอย่างดี ขนส่งก็ยอดเยี่ยมมากครับ ส่งไว บริการดี สินค้าขนาดใหญ่ ไม่มีตำหนิเลยสักนิด ยอดเยี่ยมทั้งร้านค้า และขนส่ง เชียร์ร้านนี้ครับ สินค้าดี ราคาถูก ขนส่งไวมาก
phonsudapr2531,2022-03-18 14:41:37,,4,ส่งไวค่ะ จัดส่งเรียบร้อบดี ไม่มีร่องรอยการกระแทก ดูดีสมราคา  ได้ราคาหกพันกว่า แต่กดใช้โค้ดไม่ได้ ค่ะ ขอให้สี่ดาวนะคะ
napatimm,2022-03-04 20:36:43,,5,โปร 3.3 ลดแล้วเหลือราคา 5940 บาทจัดส่งรวดเร็วมากกกก เที่ยงวันที่ 4 มาส่งแล้วขนส่ง flash บริการดีมากกก แพ็คมาเรียบร้อยดี ตู้เย็นไม่มีบุบเสียหาย ลองเสียบไฟแล้วเงียบดี
s*****n,2022-02-20 13:29:50,,5,ได้รับสินค้าเรียบร้อยแล้ว สินค้าตรงตามที่สั่งซื้อ การจัดส่งสินค้ารวดเร็วดีมากเลย สินค้าใช้งานได้ตามปกติ แต่มีชิ้นส่วนอะไหล่เสียหายหนึ่งชิ้น ฝาปิดใต้ช่องฟิตหักครึ่ง รอยบุบสองรอย รอยบุบไม่เป็นไรแต่ที่หักนี่ทำใจลำบาก
sangsuree0412,2022-01-26 18:11:14,,5,สินค้าที่สั่งได้ไวมากๆๆครับ รวมๆแล้วประมาณวันครึ่ง มาส่งตอนสองทุ่มครึ่ง ทางขนส่งนอนตู้เย็นมา แล้วตู้เย็นมีรอยบุบ แต่ไม่มีผลต่อการใช้งาน
t*****r,2022-01-11 16:11:55,,5,สั่งมาให้คุณแม่ของเพื่อนได้มาในราคาย่อมเยาว์ ถูกใจมากไม่มีตำหนิเลยได้อีกรุ่นนึงมาใหญ่กว่ารุ่นที่จะสั่งได้มาราคาห้าพันหว่าๆที่เดอะมอลราคาแพงหว่าเกือบสี่พัน
loveshop.love,2022-01-07 20:29:10,,5,ประทับใจมากคะ พนักงานน่ารักมากคะ มา 2 คนเลยจ้า ช่วยพยุงกันเป็นอย่างดีคะ … ขอบคุณมากๆนะคะ ถูกใจสวย ราคาเบาๆๆๆๆ แนะนำเลยจ้ะ
freshcyza,2021-12-25 17:58:42,,5,ส่งไว สินค้าตรงปก มีตำหนินิดหน่อย แพคมาดี ก็โอเคค่ะ กับราคาแฟรชเซล 6475 แถมได้ coins คืน 600 ก้คุ้มแล้วค่ะ😀😀😀😀😀😀😀😀😀😃😃😃😃😃😃😃😃😃😃😃😃👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌
preaw05,2021-12-03 22:38:46,,5,เป็นแบบพรีออเดอร์ รอของค่อนข้างนาน แต่โดยรวมโอเค ส่งมาสภาพดี ไม่มีตำหนิ แต่ขนส่งบริการดี สุภาพ แต่ไม่มีคนช่วยยก ต้องหาคนมายกเอง
s*****u,2021-11-27 19:29:52,,5,ส่งไว สินค้าดี แถมได้ราคาที่ถูกส่งไว สินค้าดี แถมได้ราคาที่ถูกส่งไว สินค้าดี แถมได้ราคาที่ถูกส่งไว สินค้าดี แถมได้ราคาที่ถูกส่งไว สินค้าดี แถมได้ราคาที่ถูก
teeraphatcapscreen,2021-11-15 21:34:40,,5,"ดีมากสวยงาม 11.11
ราคา 5,525บ.✅
นราคานี้ดีมากเลย ขนส่งดีไม่มีรอยบุบ
มา2คนช่วยกันยก ดีฃงาม
🙏🙏🙏🙏🙋🙋🙋🙋🙋👌👌👌👌✅✅✅✅✅✅"
n*****t,2021-11-13 12:52:52,,5,กดวัน11/11 มาส่งวันที่13 มาส่งเร็ว ใช้เวลา3วัน ไม่มีรอยบุบใดๆ เพราะกลัวจะเหมือนที่รีวิว ราคาไม่แพง ใช่โควลดเหลือ6200
m*****g,2021-09-19 15:20:30,,5,"ราคาถูกมากกกกกกกค่ะ 😍🥰 ใช้โค้สส่วนลด 9.9
รวมส่งแล้ว 6,301 บาท 8.4Q รักเลย"
