username,date,variation,rating,comment
m*****p,2022-02-21 10:22:37,A20นิ้ว rose g ชมพู,5,จัดส่ง เร็วววววววววมากกกกกกกกกกกกก สวยตรงปกทุกประการ  ชอบมากกกเลย น้ำหนักเบา  ขนาดเหมาะกับถือขึ้นเครื่อง👏👏👏👏👏👏👏
iunith,2022-02-21 15:35:40,A20นิ้ว black ดำ,5,ส่งไวค่ะ กระเป๋าแข็งแรงค่ะ ไม่มีส่วนไหนเสียหาย พ่อึ้าตอบแชทไวค่ะ แนะนำร้านนี้ค่ะ
b*****y,2022-02-09 15:19:27,A20นิ้ว rose g ชมพู,5,สินค้าจัดส่งไวมากค่ะ  บอกทางร้านว่า 2 วันถึงไหม ทางร้านจัดส่งให้เลยสินค้าถึงเร็วมากก สินค้าสวยตรงปกค่ะ แต่กล่องที่ส่งมามีรอยนิดหน่อย สินค้สไม่เสียหาย สวยงามค่ะ
r*****d,2021-11-23 23:23:43,A20นิ้ว black ดำ,5,จัดส่งไวมาก 2วันหลังจากสั่งได้รับของเลย ขนาด+สีได้ตามที่สั่ง คุณภาพโอเคเหมาะสมกับราคาไม่ก๊องแก๊งเกินไป มีซิปให้ใส่ของตามในคลิปเลยค่ะ ที่ล็อครหัสซิปใช้ได้จริง ล้อหมุนลื่น360องศา ด้ามจับลื่นไม่ฝืดใช้ได้ไม่มีปัญหา ข้างในไม่ใช่ผ้านะคะตามราคา โดยรวมโอเคแนะนำเลยค่ะ
asmiiyeedeeyoh890087188754,2021-10-06 15:00:01,D20นิ้ว pink ชมพู,5,จัดส่งเร็วมาก ราคาไม่แพง คุ้มกับราคา สวยมากก ชอบๆ ไม่ผิดหวังเลยอุดหนุนร้านนี้ ตรงปก ใครที่กลัวว่ามาไม่ตรงปกนี้เราการันตีว่ามาตรงเปะ สั่งสีอะไร มาตามที่เราสั่งค่ะ ขอบคุณค่ะ ❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥❤️‍🔥
yupparatnurach,2021-12-09 15:45:27,A20นิ้ว black ดำ,5,มีรอยขีดนิดหน่อยส่วนตัวไม่ได้ซีเรียส โดยรวมก็โอเครคะ การขนส่งและการจัดส่งเร็วมากกกกกกก คุ้มค่ามากกกกกกกกกกกกกกกกกก🥰
l*****c,2021-12-17 18:11:49,A24นิ้ว rose g ชมพู,5,ขนาดใหญ่กว่าที่คิด คุ้มค่าคุ้มราคา ขนาดใหญ่กว่าที่คิด คุ้มค่าคุ้มราคา ขนาดใหญ่กว่าที่คิด คุ้มค่าคุ้มราคา ขนาดใหญ่กว่าที่คิด คุ้มค่าคุ้มราคา ขนาดใหญ่กว่าที่คิด คุ้มค่าคุ้มราคา
fanginnocent,2020-07-05 21:39:29,A20'' rose gold,3,สีตรงปก ขนส่งรวดเร้วดีค่ะ กระเป๋าบางไปนิดนึ่ง ด้ามจับบอบบ้างมากค่ะ โดยรวมๆแล้วก้อโอเคแล้วค่ะสำหรับราคานี้ 
nijang_kawaii,2021-11-07 09:59:28,D20นิ้ว pink ชมพู,4,ส่งไว สวย ..........😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🤭😊🤭😊🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭🤭😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊🤭🤭
normhai.p,2022-02-26 13:34:29,A20นิ้ว black ดำ,5,ให้รูปและวิดีโอช่วยประกอบการตัดสินใจนะคะ สำหรับเราถือว่าโอเคเลยค่ะ วัสดุไม่ก๊องแก๊ง น้ำหนักเบา สินค้าไม่มีตำหนิ เราดูรีวิวใต้โพสต์แล้วรู้สึกน่าเชื่อถือเลยกดสั่งมา ของที่ได้ก็โอเคมากๆเลยค่ะในราคานี้ เราซื้อกระเป๋าแบบนี้ครั้งแรกในราคาประมาณนี้ ไม่รู้ว่าคุ้มค่าไหมแต่สำหรับเราๆโอเคมากๆค่ะ ☺️
sunisa045,2022-02-11 17:37:39,A20นิ้ว black ดำ,4,
r*****w,2022-02-10 01:40:19,A20นิ้ว black ดำ,5,"ได้รับของแล้ว แพคมาโอเค ราคาดี สวยถูกใจ
ได้รับของแล้ว แพคมาโอเค ราคาดี สวยถูกใจ
ได้รับของแล้ว แพคมาโอเค ราคาดี สวยถูกใจ"
p*****d,2022-01-08 12:43:59,A20นิ้ว black ดำ,4,คุณภาพคุ้มราคา แต่ใส่กล่องมาเลยไม่มีกันกระแทกใดๆ แต่ดีที่สินค้าไม่มีความเสียหาย แต่ล้อเป็นรอยแอบดูเหมือนไม่ใช่ของใหม่ น่าจะเพราะไม่เก็บใส่กล่อง
e*****2,2021-12-02 14:47:31,A20นิ้ว black ดำ,5,ไม่เล็กไม่ใหญ่กำลังพอดี….แข็งแรงคะ ล้อเลื่อนสบายเลย ไม่ติดขับ ราคาถูกกว่าท้องตลาด ตอนแรกจะไปซื้อข้างนอก ในนี้ถูกกว่าเยอะเลย ส่งของเร็ว ไม่ต้องรอนาน
cutebaby_mom,2021-12-10 15:43:00,A24นิ้ว rose g ชมพู,5,ส่งของไวมาก เรื่องการแพ็คของไม่มีอะไรเสียหาย ทีแรกนั่งอ่านรีวิว แอพเครียดว่าจะบ้งมั้ย สรุปไม่บ้ง ใช้งานในประเทศได้ คุ้มราคาค่ะ แต่อาจจะไม่ทนขนาดนั่น
zeejamm779,2021-12-27 07:15:42,A20นิ้ว black ดำ,3,
asmiiyeedeeyoh890087188754,2021-10-06 14:55:51,D20นิ้ว pink ชมพู,5,สวยตรงปก จัดส่งเร็วมากก คุ้มกับราคา ชอบมาก ราคาก้อไม่ได้แพง
m*****m,2021-05-16 20:59:29,A24นิ้ว black ดำ,5,ได้รับสินค้าแล้วค่ะ สินค้าอยู่ในสภาพที่ดี คุณภาพเหมาะสมกับราคา ถึงสภาพกล่องจะค่อนข้างแย่ก็ตามกระเป๋าข้างในยังมีสภาพดี ทางร้านให้บริการดีมากคราวก่อนกระเป๋าได้รับความเสียหายทางร้านแจ้งให้คืนสินค้าทันที โดยรวมประทับใจมากค่ะ ไว้จะมาอุดหนุนอีกนะคะ
k*****t,2020-12-06 11:25:01,A20นิ้ว black ดำ,5,ส่งของไวมากๆเลยค่ะ สั่งไปวันที่4 ได้รับของในวันที่6ตอนเช้า ส่วนกระเป๋าสวยค่ะ โอเคมากเลย รอรุ่นนี้อยู่นานกว่าของจะเข้า ได้แล้วถูกในมากค่ะ
f*****3,2022-03-03 00:11:55,A24นิ้ว rose g ชมพู,4,นึกว่าเป็นพลาสติกแข็งแต่ได้มาคลายยางมากกว่า ได้รับสินค้าแล้ว...........…………………………………………….สินค้าปกติดีถ้าไม่ดีจะแจ้งทางร้านแต่โดยรวมแล้วคือสวยใช้งานได้ตามวัตถุประสงค์โอกาศหน้าหวังว่าจะได้สั่งสินค้าตัวนนี้อีก
sukunya19,2022-02-27 10:57:35,A20นิ้ว rose g ชมพู,5,จัดส่งสินค้าเร็วมาก คุณภาพดี เหมาะสมกับราคา ตรงปก สีสวย ล้อหมุนดี ขนาดกำลังดี พกพาง่าย สะดวก ถูกใจค่ะ ขอฃมาถึงเร็วกว่าที่คิดไว้ ทันเวลาพอดีเลย 🥰😍☺️
mismaylmg,2022-02-18 17:31:54,A20นิ้ว black ดำ,5,สินค้าตรงปกค่ะ​ จัดส่งไว​ สั่งซื้อ​วันที่​ 16​ กลางคืน​ 17​ จัดส่ง​ 18​ ได้รับสินค้า​ สินค้าใช้งานได้ปกติ​ ล้อลื่น​ หมุนได้​ 360​ องศา​ มีห่อพลาสติกมาอย่างดีค่ะ
yotattoo7431,2022-02-26 19:01:09,A20นิ้ว black ดำ,4,คุณภาพสินค้าพอใช้ได้เหมาะสมกับราคาบางไปหน่อยแต่โดยรวมโอเค
s*****y,2022-02-15 21:44:53,A20นิ้ว rose g ชมพู,5,ได้รับกระเป๋าเดินทางขนาด20นิ้วแล้วนะคะ จัดส่งได้รวดเร็วมากๆ กดสั่งวันเสาร์ และขอให้ร้านรีบส่งของให้เพราะรีบใช้ทางร้านก็จัดให้เลยค่ะ ดีงามมากๆ ได้สินค้าวันอังคารเลย และเป๋าก็สีสวย ตรงปก แพ็คมาดี มีขนาดกระทัดรัดดี ไว้จะกลับมาซื้อซ้ำอีกแน่นอนค่ะ มีความคุ้มค่าและคุ้มราคาจริงๆ เยี่ยมๆ เยี่ยมๆ
oansuda09,2022-01-06 15:02:10,A20นิ้ว rose g ชมพู,5,สวย..ส่งไว..คุณภาพดีตามราคาแนะนำร้านนี้จ้าถูกและดี...มาตำกันนะคะ..มีรอบต่อไปแน่นอนจ้าาาาาาาา😄😄😄😄😄😄😄😄😄
angsumalin_771,2022-01-08 22:01:23,A24นิ้ว black ดำ,5,กระเป๋าสวยมากๆๆๆๆๆๆค่ะจัดส่งไวๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆมากค่ะ ครั้งหน้าค่อยสั่งใหม่นะคะๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆชอบมากค่ะ
p*****t,2021-12-16 17:31:47,A24นิ้ว black ดำ,5,"ได้รับสินค้าแล้วค่ะ จัดส่งไวมาก คุ้มค่าคุ้มราคา

ได้รับสินค้าแล้วค่ะ จัดส่งไวมาก คุ้มค่าคุ้มราคา

ได้รับสินค้าแล้วค่ะ จัดส่งไวมาก คุ้มค่าคุ้มราคา"
pook_pookky,2021-12-19 13:47:21,A20นิ้ว black ดำ,5,ตรวจสอบเรียบร้อยสินค้าห่อมาดีมาก คุณภาพสินค้าดีเกินราคา ให้คะแนน เต็ม10 ไม่หัก 10 10 10 10 ddddddddddddddddddd
monticha33,2021-12-11 16:14:34,A24นิ้ว rose g ชมพู,5,"กระเป๋าบางไปหน่อย แต่ก็พอใส่ของได้เยอะอยู่ค่ะ มีรอยแตกนิดนึง น่าจะเกิดจากการขนส่ง
ค่าส่งไม่แพง จัดส่งรวดเร็ว ❤️"
maryshop.style,2021-12-09 09:36:52,A24นิ้ว black ดำ,5,ตรงปก เหมาะสมราคา สวยงาม ส่งไว ตรงปก เหมาะสมราคา สวยงาม ส่งไว ตรงปก เหมาะสมราคา สวยงาม ส่งไว ตรงปก เหมาะสมราคา สวยงาม ส่งไวตรงปก เหมาะสมราคา สวยงาม ส่งไวตรงปก เหมาะสมราคา สวยงาม ส่งไวตรงปก เหมาะสมราคา สวยงาม ส่งไว
foniis0711,2021-12-14 20:36:26,A20นิ้ว black ดำ,5,พอใช้ค่ะ จัดส่งไวดีค่ะ ขนาดกำลังพอดี
