username,date,variation,rating,comment
m*****u,2022-02-20 18:25:18,A (ใช้ได้เลย),5,จัดส่งไว แพ็คของมาดีมาก เครื่องแรง ติดตั้งง่าย ราคาไม่แพง ถูกใจมากๆๆๆๆๆๆๆๆๆๆๆๆ คุ้มค่าคุ้มราคาๆๆๆๆๆๆๆๆๆๆๆๆ
aofapcutepiing,2021-07-29 19:28:44,ขาว,4,"ทุกอย่างโอเรหมดนะครับ การขนส่ง การใช้งาน สภาพสินค้า

แต่ผมติดอย่างเดียวคือ ทั้งกล่องและตัว router เองไม่มีชื่อแบรนด์ติออยู่เลย มันเลยทำให้ไม่มั่นใจว่าแท้จริงแล้วใช่ยี่ห้อของสินค้าจริงๆ หรือเปล่า หรือทางร้านเอามาสวมแบรนด์เอง เลยขอหักไปดาวนึง แต่โดยรวมถือว่าใช้ได้ ยังไม่ติดอะไร"
tanoizy,2021-10-15 21:34:27,ขาว,5,สินค้าคุณภาพดีมากกกไม่ก็องแก๊งเลย การแพ็คก็ถือว่าใช้ได้ ของข้างในไม่เสียหาย และที่สำคัญทางร้านให้บริการดีมาก ไม่เข้าใจตรงไหนถามแล้วคือตอบไวมาก ประทับใจ การเชื่อมต่อสัญญานคือง่ายมากกกกก
vabizabishop236,2022-03-13 17:23:43,B (ใช้ได้เลย),5,ร้านค้าจัดส่งสินค้าเร็วมากค่ะ สั่งวันศุกร์วันอาทิตย์ได้รับของแล้ว แกะพัสดุแล้วลองเชื่อมต่ออินเตอร์เน็ตก็ได้ง่ายๆแต่ยังเข้าไปตั้งค่าในคอมพิวเตอร์ไม่ได้เพราะ ในตัวอย่างกับใน หน้าจอ ปัจจุบัน วิธีการตั้งค่าต่างกันค่ะ อยากให้ทางร้านอัพเดท วิธีการตั้งค่า ใหม่ด้วยค่ะ เผื่อลูกค้าคนอื่น ขอบคุณมากค่ะ
t*****w,2022-03-07 21:18:55,B (ใช้ได้เลย),2,"กล่องด้านหลังมีรอยบุป แต่ไม่มีปัญหาต่อเครื่อง ร้านค้าตอบรวดเร็ว ให้คำแนะนำได้ดีมาก แต่วีดีโอการใช้งานควรแยกรุ่น AและB ที่ใส่ซิมรุ่นB ไม่ใช่แบบนาโน หากใส่ซิมต้องระวัง ถ้าใส่ซิมแบบนาโน อาจจะติดและดึงไม่ออก ควรแจ้งรายละเอียดให้ดีกว่านี้ การติดตั้งใช้งานไม่ยากอาจจะ งง นิดนึง

เน็ตหลุดบ่อยทุกวัน"
tanachai_oun,2022-01-14 15:50:25,A (ใช้ได้เลย),4,ร้านค้าส่งเร็วดี​ สินค้าอยู่ในสภาพดี​ ติดตั้งงาน​ ใส่ซิมเสียบปลั๊กใช้ได้เลย​ แต่วิ่งช้ามาก​ โดยเฉพะต่อสายแลนเข้าคอมพิวเตอร์​ (ตามภาพ​ Speed TEST)​  ลองใช้ระยะยาว
narongkornrieoseng,2021-12-06 20:57:31,B (ใช้ได้เลย),5,ใช้งานง่าย ใช้งานได้จริง จัดส่งเร็ว สุดยอด 😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁
b*****y,2021-10-07 14:28:38,ขาว,5,ถ้ามี 10 ดาวจะให้ร้านนี้เลย ซื้อสิ่งนี้ถูกใจสุด ไม่รู้ไปอยู่ไหนมา เพิ่งรู้จักสิ่งนี้ 😂
abj3gg2gnr,2022-03-11 19:39:31,B (ใช้ได้เลย),5,จัดส่งไวมากกกวัสดุดูดีใช้ได้เลยครับ สวยงาม การใช้งานง่ายมาก เสียบซิมใช้ได้เลยไม่ต้องตั้งค่าอะไรนอกจากจะเปลี่ยนรหัสรวมๆถือว่าดีเลยครับ
noonan.salim,2021-12-05 16:08:34,B (ใช้ได้เลย),5,ใช้งานง่ายคุ้มค่าคุ้มราคามากเลยค่ะซื้อซิมมาเป็นรายปีนะคะเปิดลงทะเบียนแล้วเรียบร้อยใส่ซิมใช้งานได้เลยไม่ต้องตั้งค่าอะไรให้ยุ่งยากกระจายสัญญาณได้ดีค่ะใครสนใจและกำลังลังเลอยู่แนะนำรุ่นนี้เลยค่ะ
r*****e,2021-10-22 13:29:48,ขาว,4,การจัดส่งรวดเร็ว แต่รอของนานเพราะเป็นแบบพรีออเดอร์ ช่วงกลางวันเน็ตใช้ได้ดี เร็ว แต่ช่วงดึกมีหลุดบ้างวันละสองสามครั้ง โดยรวมโอเค
m*****y,2022-03-03 11:25:38,B (ใช้ได้เลย),5,"คุณภาพสินค้าดี ใช้งานง่ายไม่ซับซ้อน ใส่ซิมแล้วใช้ได้เลย ความแรงโอเคเลยค่ะ ชอบมากๆ ไว้อุดหนุนอีกค่ะ
คุณภาพสินค้าดี ใช้งานง่ายไม่ซับซ้อน ใส่ซิมแล้วใช้ได้เลย ความแรงโอเคเลยค่ะ ชอบมากๆ ไว้อุดหนุนอีกค่ะ"
b*****5,2022-02-17 12:40:13,B (ใช้ได้เลย),5,"ไม่มีตัวกันกระแทกอะไรเลย แต่ดีนะที่ของข้างในไม่เสียหาย ส่งไวมาก
ไม่มีตัวกันกระแทกอะไรเลย แต่ดีนะที่ของข้างในไม่เสียหาย ส่งไวมาก
ไม่มีตัวกันกระแทกอะไรเลย แต่ดีนะที่ของข้างในไม่เสียหาย ส่งไวมาก"
t*****a,2022-02-22 13:18:13,A (ใช้ได้เลย),5,คุณภาพดีจริงเล่นเน็ตไม่สะดุด ปล่อยWi-Fiได้จริง ตั้งค่ารหัสล็อกได้ง่ายไม่ซับซ้อนเพื่อความปลอดภัย สะดวกมากสำหรับคนที่อยู่หอพัก เลือกซิมเน็ตรายปีดีๆไม่ต้องติดสัญญาเน็ตไม่ต้องเดินสาย ลงทุนรอบเดียวจบ 🥰  คุณภาพดีจริงเล่นเน็ตไม่สะดุด ปล่อยWi-Fiได้จริง ตั้งค่ารหัสล็อกได้ง่ายไม่ซับซ้อนเพื่อความปลอดภัย สะดวก
