username,date,variation,rating,comment
desi.setyowati,2022-02-24 13:12:10,,5,"Harga:lumayan
Kualitas:bagus
Pengiriman:baik

Alhamdulillah barang diterima dengan baik pengemasan baik sesuai dengan kebutuhan next bakal order lagi 👍🏻"
destiselviana30,2022-03-12 16:43:19,,5,Alhamdulillah pesanan sudah sampai dan aman maaf baru kasih penilaian pokoknya best jajan disini mah
m*****8,2022-03-09 17:10:45,,4,"Harga:murah
Kualitas:sedang
Pengiriman:cepat

Bagus biar minyak ga tumpah2 semoga awet ini ukuran 500ml an tutup nya g rapat bgt cm nutup biasa lumayan"
daryanti0501,2022-03-09 15:14:49,,5,"Harga:murah
Kualitas:ok
Pengiriman:cepat

Trimkasih reseler barang dah sampai  bagus kirain saya plastik ternyata kaca..."
e*****o,2022-03-14 16:08:58,,5,"Harga:murah
Kualitas:bagus
Pengiriman:cepat

Barangnya bagus sangaat berguna sekali terimakasih seller"
labodyatril,2022-03-13 20:26:56,,5,Pengemasan rapih aman dan pengiriman cepat barangpun sesuai dengan foto terimakasih
carina3003,2022-03-05 20:40:58,,5,"Harga:murah
Kualitas:bagus
Pengiriman:agak lama

Bagus banget harga murah sesuai sama kualitas barang. Packing agak lumayan nunggu brp hari."
m*****o,2022-03-13 16:29:41,,5,Tulisan di box 580ml. Aslinya aku gak tau. Bahan untuk oil nya kaca. Penutupnya plastik. Pakem kok tutupnya kenceng.
lupitasari2604,2022-03-09 12:59:13,,5,Mendarat dengan selamat ☺️☺️ Makasih banyak ya harga dengan barang sesuai juga
nyentiinsaputro,2022-02-24 15:38:57,,5,"Pengiriman:cepattbaiik bgy ya naikk baik
Harga:murah bgt naik bgt lucu
Kualitas:bagu s"
milaindri97,2022-03-11 00:05:25,,5,"Harga:murah
Kualitas:kaca

Bagus bisa buat tempat minyak biar gk tumpah tumpah"
qfyj93l8xi,2022-03-07 18:18:55,,5,"Kualitas:bagus
Pengiriman:agak lama
Harga:sangat murah

Alhamdulillah barang dah sampai gan"
zea.dyah,2022-03-11 20:31:22,,5,"Kualitas:lumayan
Pengiriman:sangat sangat cepat sekali
Harga:lumayan

Bagus dengan harga segitu lumayan banget.. Tapi agak gimana sama bolongan gedenya si.. Miring sedikit tumpeh2"
ipanlesmana,2022-02-13 15:58:09,,5,"Allhamdulillah paket sudah datang dengan selamat, kualitas barang sangat baik, kecepatan pengiriman sangat cepat👍👍"
n*****i,2022-02-13 18:51:08,,5,"Kualitas:baik
Pengiriman:baik
Harga:standar

Barang diterima sesuai pesanan.. 
Terimakasih seller dan Shopee..."
n*****i,2022-02-13 18:52:14,,5,"Harga:standar
Kualitas:baik
Pengiriman:baik

Barang diterima sesuai pesanan.. 
Terima kasih seller dan shopee"
h*****9,2022-02-13 17:37:23,,5,"Kualitas:terjamin
Pengiriman:cepat
Harga:murah

Pengiriman cepat....kurir sdh jdi langganan....sopy.....👍🏻👍🏻👍🏻"
g*****2,2022-02-14 15:33:47,,5,"Barangnya bagus sesuai lah dengan harga, packing nya cukup bagus"
n*****i,2022-02-13 18:53:22,,5,"Harga:standar
Kualitas:baik
Pengiriman:baik

Barang diterima sesuai pesanan.. 
Terima kasih seller dan Shopee.."
auliareza,2022-02-15 20:59:57,,5,Harga murah dan kualitasnya lumayan bagus. Pengiriman cepat
