username,date,variation,rating,comment
cemilanku08,2021-12-30 09:45:56,140x200,5,"Harga:murceeee
Kualitas:bagusss
Kenyamanan:empuk bgt

Huhuhu sempet was-was tp Alhamdulillah paket sampai dengan selamat 🥰❤️❤️❤️ tidak ada cacat meskipun pengiriman sempat telat 1-2hari 🥺 lumayan jauh di ke pojok Jatim 😂 semoga awet ya biar bisa beli lagi nanti 🥰💝 Free bantal 2"
husnakamila046,2021-11-25 12:13:25,160x200,5,"Harga:terjangkau krn ada gratis ongkir dan free bantal
Kualitas:bagus
Kenyamanan:nyaman, empuk tapi berat bgt kasurnya 😅

Pengiriman Indah cargo tdk bisa track via shopee. Bisanya ke website indahcargo. Semoga ad perbaikan dari shopee supaya check resinya lebih gampang
Kasur datang dlm keadaan baik tapi kardusnya udh kebuka, untung ga cacat kasurnya. Saran untuk Pengiriman supaya lbh hati2. Terimakasih"
narlan1982,2021-12-09 18:39:43,120x200,5,"Harga:ok
Kualitas:ok
Kenyamanan:ok

Top marketop..
sangat empuk..
rekomendasi sekali.👍👍👍"
adsmx,2021-11-15 14:51:25,120x200,5,"Harga:murah
Kualitas:empuk
Kenyamanan:empuk

Free ongkis bandung -jogja 3 hari sampai
Kasur empuk lembut nyaman
Packingnya mantab pokoknya
Joss
Belum termasuk sprei
Semoga awet"
popyjt,2021-11-10 18:40:39,120x200,5,"Harga:pass
Kualitas:bagus banget
Kenyamanan:nyaman

Bagus banget astaga empukk gituu dan pengiriman ny juga cepat, kk kurir ny baik bangett"
dunia.nasa,2021-08-27 11:26:11,,5,"Harga:sesuai barang
Kualitas:mantap
Kenyamanan:oke

Maksih seller... Kmrin sempat salah paham soal ukuran..pas di buka kasurnya ngembang dan ukuran sesuai pesanan 120cm...
Kapan2 mau order yg ukuran 200cm untuk rumah di kampung.
Pengiriman gak terlalu lama. 4 hari tiba di rumah. 
Bandung - jakarta"
rosyidatula,2021-06-18 05:46:20,,5,"Terimakasih.. paket sampai dengan selamat meski butuh waktu 11 hari nyampeny (peas tanggal 1, dikirim tanggal 2, sampai tanggal 12). Gratis ongkir, harus sabar nungguny pake ekspedisi indah cargo. Produkny sesuai deskripsi, namun sayang ada bagian yang kotor dipermukaanny. ⭐️⭐️⭐️⭐️⭐️"
y*****5,2021-10-13 21:32:17,160x200,5,"Barang sudah sampe tadi sore alhamdulillah, pengiriman 8 hari, bagus banget kasurnya terima kasih"
h*****9,2021-03-30 16:18:11,,5,"Harga:harga terjangkau
Kualitas:bagus banget
Kenyamanan:empuk dan nyaman banget

Pembelian yg kedua kalinya selalu memuaskan,, produk bagus ramah di kantong,,pengiriman cepat,, seller fast respon,,
Mantap👍👍👍"
n*****5,2021-09-02 22:14:22,,5,"Pengirimannya cepett, syuka sma pelayanannya oke bangett, care bangetttt iiih syukaa pokoknyaa pertahanin pelayanannya syukaaaa, recomend sih tokok ini pasti bakl jadi langganan aku syukaaa pengirimannya juga cepett, produk juga Top Markotopp 😍✨ pokoknya syukaaaaaa and Kualitas sngat baikTHANK YOU"
damanik.ade,2021-07-22 13:33:06,,5,"Harga:Terjangkau
Kualitas:Bagus banget. sumpah. gak nyesel deh belinya dengan harga segitu. tebal dan empuk banget.
Kenyamanan:Nyaman banget deh

Kualitas mantap pokoknya gak nyesal. Pengiriman juga cepat. Pengemasannya gak lama."
n*****g,2021-04-25 23:59:08,,5,barang sudah sampai dgn selamat. pengiriman cepat. barang lengkap sesuai pesanan. makasih banyak ya kak
c*****a,2021-09-17 13:23:20,,5,"Harga:murahhh
Kualitas:empuk
Kenyamanan:nyaman bangett

Bantall nya empukkk banget.pengiriman cepat bangett"
nadaindra07,2021-06-28 15:23:30,,5,"Harga:1.267.00
Kualitas:premium
Kenyamanan:cukup

Saya beli pas lagi diskon.
Mau beli bukan karena ikut tren tapi  karena kebutuhan"
julio189,2021-04-22 12:06:16,,5,"Harga:Terjangkau bagi seluruh bangsa indonesia 
Kualitas:Terbaik bagi negeri 
Kenyamanan:sangat bagus , pada saat pandemi ini tuk menjaga imun, kesehatan

Tidur nyenyak sehat pakai in the box springbed  ,
Dukung produk Dalam Negeri..🇮🇩 UMKM maju "
a*****6,2021-07-24 16:52:52,,5,"Harga:lumayan
Kualitas:bagus
Kenyamanan:nyaman

Lama pengiriman, tapi begitu sampai langsung di pakai enak nyaman👍🏻"
m*****t,2021-04-18 12:24:32,,5,"Harga:Normal
Kualitas:97%
Kenyamanan:97%

Barang bagus. Pengiriman sangat cepat. Respon penjual juga baik."
surayahsubur,2021-02-05 20:59:08,,5,"Kasurnya sudah sampai
Pengirimannya cepet
Kasurnya bagus
Tapi bantalnya ada bolong 
"
o*****3,2021-07-17 13:37:45,,5,"barang udh sampe dengan selamat, baguss banget dan pengirimannya cepet banget ga nyangka kurang lebih 4hr doang pengiriman mantapp deh, semoga awet awet aja wkwk"
latifahzara0852,2021-07-28 20:35:05,,5,"alhamdulillah barangnya udh sampeeee, cma blm aku buka karna mau dibawa ke kontrakaaaan, btw makasih yaaa smoga barangnya seseuai ekspetasiiiii💙💙💙💙💙"
cahyono89_3,2021-06-22 09:17:43,,5,"Harga:sesuai harganya

Barangnya bagus semoga awet selama 20 tahun lebih,,, kualitas baik... Kurir ramah"
a*****a,2021-04-08 18:14:05,,5,"Puas banget , ksurnya empuk, tinggi ,plus ada bonus bantal nya , wlau pengiriman lama ya gppalah terbayarkan ,puas bnget..💓💓💓"
h4b1b4h_0804_93,2022-01-19 22:27:11,120x200,5,"Kualitas:sangat baik
Kenyamanan:empuk banget,, sangat nyaman
Harga:murah

Terima kasih inthebox,, terimakasih Shopee,, terimakasih kurir, kurir nya baik banget ramah. 
Pokoknya is the best lach utk inthebox semoga awet lebih dari 10thn ,, sukses trus inthebox ,, klo ada bintang ⭐ d atas 100 pasti sy kasih . gk capek nyari² beli k toko,, lsg dtg k rumah sangat membantu."
elisadj9,2022-01-19 15:15:27,160x200,5,"Harga:terjangkau karna beli pas flash sale dan dapet discount gede wkwk
Kualitas:niceee kata suami aku mah
Kenyamanan:nyaman banget sampe kesiangan bangun karna kasur baru haha

Enjoy sih belanja kasur di toko ini, banyak discount, pengiriman aku lupa 3-4 harian bandung-purwakarta. Admin nya gercep, yang tukang ngirim juga rajin bgt jam 4 pagi udah nanyain posisi ramah juga, begitu datang pulang kerja langsung unboxing sesuai prosedur, langsung ngembang kasurnya. Happy dahh"
cemilanku08,2021-12-30 09:41:48,160x200,5,"Harga:murah
Kualitas:baik
Kenyamanan:empukkk bngt 

Huhuhu sempet was-was tp Alhamdulillah paket sampai dengan selamat 🥰❤️❤️❤️ tidak ada cacat meskipun pengiriman sempat telat 1-2hari 🥺😂 semoga awet ya biar bisa beli lagi nanti 🥰💝 Duss penyok karna hujan juga kan tp isinya aman, packing aman 💝 kurirnya angkat 2 cm sendiri ksian"
s*****a,2021-10-08 17:00:31,120x200,5,"Harga:terjangkau 
Kualitas:baguss
Kenyamanan:luar biasa

Uhuyyy akhirnyaaa setelah tinggal d keranjang entah berapa bulan wkwk aslinya emg bener2 empukkk dan nyaman 🔥🔥🔥"
d*****9,2021-09-23 08:09:13,120x200,5,"Harga:murah
Kualitas:baik
Kenyamanan:ngeunaheun pisan

Tuhan tidak akan pernah bisa lepas dari mana saja yang bisa gini nih kalo karyawan yang bekerja di kantor dan berjalan-jalan di mal taman anggrek di dunia akhirat aamiin ya rabbal Baraya Sunda kelapa di dunia akhirat aamiin ya Allah adalah benar adanya dan tidak apa apa yangg pengen peluk aja udah p"
,2021-09-04 16:55:22,,5,"Harga:harga produk sangat sesuai dan baik.
Kualitas:kualitas produk sangat baik.
Kenyamanan:respon penjual sangat baik.

Kasurnya bagus. Empuk. Pengemasan juga sangat baik dan rapih. Pengiriman sangat cepat. Harga sesuai dengan kualitas kasur. Dan dapat bonus satu bantal. Ada buku panduannya juga."
c*****i,2021-06-25 00:07:45,,5,"Harga:Ramah dikantong
Kualitas:Oke
Kenyamanan:Nyaman bgt

Kualitas produk baik. Seller ramah & fast respon. Pengiriman memang cukup lama sampai Jogja 11 hari. Dari ekspedisi hanya 1 orang, krn berat, barang diguling-gulingkan dari mobil ekspedisi sampai depan rumah :( sempat agak kecewa karena sampai segelnya terbuka, tapi Alhamdulillah barang aman."
dedy1277,2021-01-06 15:08:42,,5,Mantap barang diterima sebelum tahun baru 2021 sesuai permintaan...barang sudah di unboxing mantap sesuai gambar dan deskripsi...smoga awet deh kasurnya
tarimartady,2021-07-12 12:37:22,,5,"Harga:murah
Kualitas:baguss mengembang dengan sempurna pas di buka 
Kenyamanan:empukk

Semoga awet ya kasurnya , abang kurirnya baik banget makasih ya"
sulislucy7,2021-01-02 11:58:14,,5,"Maaf dan makasih banyak krn dibantu utk pengiriman krn sempat keliru berikan alamat. Pesen 2 tp yg satu dusnya sobek² sampe bantalnya udah mo kluar, cutternya jg gk ada. Utk matrasnya bagus. Prnh beli bbrp thun lalu dn smp skrg msh bagus. "
goesde969,2021-07-22 14:36:38,,5,"Harga:sesuailah dengn kwalitasnya
Kualitas:bagus sekali empuk
Kenyamanan:lembut

Kasur nya bagus sesuailah ama ekspektasi, nyampe bali 12harian lah"
juni_priyono98,2022-02-08 19:09:21,140x200,5,"Kenyamanan:mantabbbb
Harga:murah sihhhhh sippppp dahhh
Kualitas:bagussss bangetrrrrrrrr"
nailisaa_,2022-01-14 23:15:22,180x200,5,"Harga:2 jetian
Kualitas:bagus
Kenyamanan:enak empuk

Pengiriman lumayan sih... Barang bagus besar empuk semoga aja awet. Sampai di rumah perkiraan 7 hari   dianter pake mobil. Admin chat juga respon dapat free 2 bantal masih nyicil renov kamar. Oke terimakasih in the box"
n*****3,2021-10-11 18:53:13,180x200,5,"Harga:sesuai dengan harganya
Kualitas:bagus
Kenyamanan:nyaman

Semoga awet.. trimakasih in the box"
balqis0495,2021-04-11 18:56:25,,5,"Harga:terjangkau...
Kualitas:bagus dan realpick
Kenyamanan:lembut, 

Sukkakk banget sama kasurnya. Udah terjangkau, bagus lagi. Ditambah gratis pillow nya. Pengiriman juga cepat. "
s*****i,2022-03-13 10:28:10,120x200,5,"Harga:terjankau
Kualitas:bagus
Kenyamanan:sangat nyaman

Baran bagus sesui pesanan"
x*****9,2022-02-02 00:57:36,100x200,1,"PRODUK DATANG KUALITAS JELEK!  SEPERTI BARANG HASIL RETURAN ORANG. KASUR TIDAK MENGEMBANG SEMPURNA SEHINGGA UJUNGNYA LEBIH CEPER DARI TENGAH. KELUHAN DI SHOPEE LAMBAT DI PROSES SAMPAI SEMINGGU LEBIH, SAYA JADI MALES SENDIRI MENGHUBUNGI ADMIN BERULANG2. MAU RETUR ONGKIR HARUS TANGGUNG SENDIRI PULA."
a*****g,2022-02-01 20:19:05,180x200,5,"Barang nya sesuai dengan pesanan......
Packing nya juga rapih......"
s*****y,2022-01-20 18:37:28,120x200,5,"Harga:murah dapet potongan harga
Kualitas:bagus lembut empuk
Kenyamanan:enak buat tidur

pengiriman 4 hari karna pesen di hari libur, harga murah karna diskon pokonya bagus deh , admin nya ramah pengiriman nya pakai mobil, dapet free bantal  pokonya ga nyesel beli disini the best"
ekapuspitan45,2022-01-26 22:25:16,120x200,5,"Harga:terjangkau
Kualitas:mantap
Kenyamanan:empuk

Asliii gak nyesal belinyaa,, penantian panjang nungguin barangnyaa sampaii huhu, tp bener"" memuaskan"
b*****i,2022-01-09 21:07:16,120x200,5,"Harga:standar
Kualitas:bagusss
Kenyamanan:empuk bgt kasur nya

Ksurny br smpe tgl 8 jan.d krm dr tgl 13 des. Pngiriman lm krn mnggunakan kapal laut utk luar pulau jawa
Utk kualitas ksurny bgus bgt, empukk nyaman d pakai utk tidur
Saran aja kl mau krm kluar pulau jawa sbaik ny d kardus ny d lapisin plastik lg biar aman. Krn pas smpe kmrn dus ksurny sdh sobek"
r*****d,2022-01-17 16:06:43,90x200,5,"Kualitas:sangat baik
Kenyamanan:nyaman dipakai, empukkk, sesuai ekspektasi
Harga:harganya terjangkau dg barang yg berkualitas tinggi

Alhamdulillah paketnya sudah sampai dgn aman, pengirimannya cepat dari perkiraan. Kasurnya bagus, nyaman, empuk, pokoknya mantap. 
Adminnya ramah, mulai dari nanya"" tentang produk sampai bantu cara pemesanan dan barangpun tiba. 👍👍👍"
s*****a,2022-01-18 23:06:51,160x200,5,"Harga:lumayan dapet murah
Kualitas:oke
Kenyamanan:empuk

Barang sudah mendarat, walaupun dusnya penyok tp isinya no problem sih,, lumayan dapet flash sale+voucher jadi dpt 1,6an.. Tq seller"
e*****l,2021-12-26 15:00:46,120x200,5,"Kenyamanan:enak 
Harga:mayan mahal
Kualitas:sebanding 

Pengiriman lumayan cepat ya 3 hari kurang sudah sampe sejak pembelian. Barang diterima dgn baik. Tidur nyenyak🧸🧸"
a*****t,2022-01-14 12:07:49,120x200,5,"Kenyamanan:sesuai harga ,nyaman
Harga:bersaing
Kualitas:lumayan

Praktis"
riskarizkyana_shop,2022-01-17 12:48:31,160x200,5,"Harga:lumayan
Kualitas:baguss
Kenyamanan:belum di coba

Recommended!"
hiimicen,2021-12-23 11:17:20,120x200,5,"Harga:lagi diskon
Kualitas:bagus
Kenyamanan:empuk nyaman banget

Kasurnya bagus, emput enak buat tidur. Harganya juga murah bakalan langganan beli kasur disini🙌🏻🙌🏻🙌🏻"
p*****o,2021-12-25 19:59:41,120x200,5,"Harga:lumayan
Kualitas:bagusss
Kenyamanan:nyamannn😍

alhamdulillah paket sampai dg selamat, tidak ada kerusakan. nyaman bangettt🥰maaf tidak sempat video kasur nya. terimakasih 💗"
janiknurwidianto_18.01.2001,2021-12-14 17:45:58,120x200,5,"Kenyamanan:baik
Harga:sesuai dengan barangnya
Kualitas:baik

Nyaman dipakai"
yatifarm_store,2021-11-26 20:52:06,90x200,5,"Harga:Terangkat 
Kualitas:Mantap
Kenyamanan:Empuk

Pengiriman ke Bandungan, Semarang 7 hari. Tapi gapapa kok kualitas mantap, next mau beli ukuran yang lebih gede lagi. Kurir juga ramah hehe"
n*****9,2021-11-05 08:32:33,160x200,5,"Harga:murce
Kualitas:nyaman dan empuk
Kenyamanan:good 

Masyaallah bagus banget, penjual nya ramah dan fast respon banget, sempet ragu beli online, karena 1. Sy dari sumatera beda pulau, 2. Takut ga ssuai ekspetasi, tapi ternyata inthebox beda, ga dapet buku panduam sama kartu garansi, tapi masi tetep ada garansi dan diaktifkan secara manual. Terimakasih"
r*****2,2021-11-16 11:02:23,120x200,5,"Harga:murah banget
Kualitas:bagus 
Kenyamanan:nyaman banget

Harga terjangkau, kualitasnya bagus,nyaman tidurnya berasa pake kasur yang empuk, recommend banget pokoknya,cuma kalo pengirimannya kita gak tau udah sampe dimana karena pake jasa kirim yang berbeda sih"
k*****8,2021-12-01 20:53:48,120x200,5,"Harga:baik
Kualitas:baik
Kenyamanan:baik

pengiriman cepet, kurir ramah, kasurnya empuk banget😍❤️"
wdisaaa,2021-11-13 07:58:29,160x200,5,"Harga:ekonomis
Kualitas:bagus
Kenyamanan:empuk

Pengiriman sangat, diluar dugaan ternyata kasurnya gede 🙈 rekomended banget"
riryapriliya,2021-09-30 11:17:19,160x200,5,"Kualitas:Bagus 

Barangnya bagus empuk nyaman banget dipake tidur, free bantal 2 lagi terus pengirimannya juga ga lama terimakasih banyak in the box😊"
sriertinasiregar,2021-08-26 00:53:13,,5,"Harga:sesuai
Kualitas:good
Kenyamanan:empuk tapi padat, gak nyusut. 

Kasurnya keren, gitu plastiknya dibuka, langsung ngembang dan padat. Kasurnya nyaman banget, mudah-mudahan awet.
Untuk pengiriman lumayan lama,karna pake cargo. 
But, it's ok. 
Mudah2an ada rejeki lagi, pen beli lagi nanti with different size. 
Review nya gak sempat divideoin."
1*****o,2021-09-06 08:08:43,,5,"Harga:Terjangkau
Kualitas:Lumayan 
Kenyamanan:Ok

Pengiriman lumayan cepet..tp sayang tengah2 bahan kasurnya pada bolong2 (bisa dilihat foto yang saya kasih) ngak hanya 1 bolong2nya tp ada beberapa..Tolong sebelum dipres dicheck terlebih dahulu yach..biar yang beli puas..Terimaksih."
d*****a,2021-09-28 12:21:13,180x200,5,"Kualitas:bagus
Kenyamanan:nyaman banget

Alhmdllah paket nya sudah keterima,,baru kasih ulasan, pengiriman cepat, respon baik dan cepat, kasur nya nyaman banget semoga awet.. Makasih"
b*****o,2021-09-20 19:40:33,120x200,5,"Harga:Cukup terjangkau untuk kasur yg empuk seperti ini
Kualitas:baguss 
Kenyamanan:empukk bgt ga bunyi2"
p*****p,2021-02-28 15:35:55,,5,"Harga:Low budget
Kualitas:oke
Kenyamanan:super nyaman

Dari awal pengen beli tp bingung uk. 160 atau 120x200, cuma buat di kosan berdua suami kira-kira aja bb 56 & 70kg. Ternyata pas kasurnya sampe muat bun pake yg 120🥺
Kasurnya ga kerasa pernya, nyaman
Kurirnya pake indah cargo logistik beneran ramah sampe mau bawain ke lt. 3
Adminnya ramah✨
Kewrennnn"
gitaekaa_,2021-07-04 14:55:11,,5,"Harga:standar sih harganya 
Kualitas:bagus cuman belum tau jeblos kayak merk lain engga :"" 
Kenyamanan:nyaman empuk bgt 

Recomended tidak mengecewakan dengan harga segitu sudah free ongkir gais cuman bagian tengah kek garis gitu gatau nanti setelah 24jam, paketnya lama karna indah cargo overload jadi ku jemput keburu gasabar pen unboxing🤣🤣🤣🤣

Adain warna lain dong jangan putih gampang kotor :"""
r*****u,2021-11-23 22:45:13,120x200,5,"Harga:murah banget
Kualitas:good
Kenyamanan:kasurnya empuk, tebal lgi

Recommended product ini, next order lgi, best seller"
