username,date,variation,rating,comment
a*****4,2022-03-03 09:29:01,DLM004,4,"Terima kasih, barang sudah diterima.. Namun dalam kondisi terlipat dan maaf ternyata tipis, kurang sesuai dgn deskripsi (tebal 2mm dan berat 1 kg -> 5 lmbr)"
diana12astuti,2021-12-13 17:35:20,DLM014,5,"Harga:murce banget sesuai bahan yaa
Kualitas:lumayan bagus

Alhamdulilah meja komporku jadi kereeen😍🥰😘trimakasih KK semoga tokonya laris manis 😘syukaaaaa bangeeeet😍😍😍"
dedesulayman,2022-02-20 08:45:39,DLM010,5,"Harga:murahhhhh
Kualitas:sangat bagus

Pengiriman nya cepat,,barangnya bagus,,kwalitas barang ajibbbbb,,,jangan ragu beli di toko ini"
n*****1,2022-02-11 17:08:16,DLM004,5,"Kualitas:bagus
Harga:murah

kualitas produk sangat baik ! 😍👍🏻"
alghofari46,2022-01-27 18:26:08,DLM003,5,hgdhkfddfsafjvcbjjkkjkgffgbvcghjffjjhhjkgyuvgguhbgjhjvvbnnbvvhjbgghjhhh
ary.halik88,2021-12-01 09:42:11,DLM003,5,"Harga:TIDAK SESUAI KUALITAS
Kualitas:TIDAK SESUAI HARGA

Cepet mengelupas yaa sticker vinyl nya. Kecewa bgt baru brpa hari dipasang. Makanya sama gue akalin pake lakban hitam biar sambungannya ga mengelupas. Tau gini pake karpet meteran aja. Udah masang nya makan waktu pula kecewa dah pokonya karna MAHAL juga."
hadidewanto,2021-10-11 13:25:50,DLM011,5,"Pengiriman cepat,pengemasannya juga aman dan rapih,barang sesuai dengan pesanan,deskripsi dan gambar.
Respon sellernya cepat,baik,sopan.
Sukses terus untuk sellernya.
Terimakasih."
karyahagustine,2022-02-25 14:04:17,DLM010,5,
nadiaz_2000,2021-10-11 19:31:41,DLM010,5,
sutiabudi,2022-01-01 10:44:55,DLM008,5,"Harga:terjangkau
Kualitas:lumayan bagus, sesuailah dengan harganya."
karyla_ghaisani,2022-02-28 11:49:02,DLM010,5,"Kualitas:bagus
Harga:murah

Alhamdulillah sdh terpasang capek sih masangnya.. tapi puaysama hasilnya bagus bagus bagus ! Terimakasih"
v*****1,2022-02-02 04:18:30,DLM010,5,"Harga:terjangkau
Kualitas:cukup baik

Harga terjangkau tetapi kualitas cukup baik"
surya_jaya_sc,2022-02-11 15:38:56,DLM011,4,"Kualitas:sangat bagus
Harga:lumyan murah si harganya

Untuk busanya sesuai yang di inginkan 
Terasa keras saat di pegang namun terasa empuk ketika di pakai tidur

Awalnya saat dibuka terlihat tipis emang karna di vakum tapi setelah 24jam bener asli ketebalanya mengembang"
wahyuningastuti,2022-03-06 15:19:11,DLM005,5,Paket udah ditrima...bagus walaupun agak tipis hrs ht2 karna gampang sobek
336657afza,2022-03-03 17:01:49,DLM010,5,"Kualitas:kurang nempel
Harga:mahal

Laris manis jualannya gan..."
ahmad46sobirin,2022-03-07 22:42:42,DLM005,4,"Kualitas:lumayan

tlong pinggir nya di kasih apa biar gak lecet( pengemasanya )"
dianaf4,2021-11-28 18:47:21,DLM005,3,"Kualitas:tipis melengkung

Bahannya kaya bukan vinyl,bikin kapok"
uyyaaa,2021-11-29 15:20:03,DLM005,5,Dikirain dari kayu ternyata semacam gabus hehe. Tp oke ko cuma ada 2 pcs yg ketilep dikit. Dan di bonusin 3pcs
u*****h,2021-12-09 15:44:24,DLM005,1,"Harga:mahal
Kualitas:jelek

Kualitas jelek sekali di deskripsi katanya 1kg bisa 5 tapi ini sebenernya sama kaya yg lain 1kg bisa 12"
dvrtsrc4h4,2021-11-04 12:58:39,DLM010,5,"Harga:lumayan
Kualitas:belum d coba

Packing rapi dan aman"
erodi,2022-02-20 10:45:58,DLM003,5,"Kualitas:barang bagus sesuai pesanan
Harga:terjangkau

pengiriman cepat dan memuaskan"
n*****n,2022-02-21 13:16:30,DLM010,5,"Kualitas:Good
Harga:Standart

Terimakasih barang sudah saya terima.. kualitas bagus desain dan warna juga sesuai dengan gambar."
rafifmulya80,2022-01-18 18:00:50,DLM008,5,"Harga:sangat3x murah ...
Kualitas:sangat...sangat okay..,

Pengirman sangat cepat...kurir sangat ramah...mantulll..."
r*****n,2022-01-26 11:54:24,DLM010,5,Kualitas:mantap🤙
a*****1,2022-03-11 22:20:39,DLM003,5,"Kualitas:bagus
Harga:bagus

barqng yang dikirim sesuai pesanan, jumlah lengkap. pengiriman cepat. seller responsif"
f*****_,2022-03-07 23:14:34,DLM010,5,"Kualitas:bagus
Harga:pas

Bagus banget bahannya bagus ternyata krlrbihan beliny"
kaniarifat,2022-03-04 10:40:48,DLM005,5,
arstore.16,2022-03-14 22:06:37,DLM010,5,
n*****h,2022-03-11 19:48:59,DLM010,5,
y*****0,2022-03-02 15:40:57,DLM011,5,"Kualitas:lumayan tebal
Harga:boleh"
eka__permana,2022-02-19 16:22:01,DLM003,5,mantaab
putra_lesmana_teguh,2022-02-27 16:20:15,DLM005,5,"Kualitas:sangat baik

Keren banget"
yasindi20,2022-01-25 19:29:12,DLM003,5,"bagus banget, bukan maen."
artadevstore,2022-01-26 00:24:33,DLM005,2,"Kualitas:ok
Harga:ok

Pesan DLM005 yang dikirim DLM 003 aga kecewa karena buat apa ada pilihan varian kalo gak sesuai👎"
elisabeth_aprilia,2022-01-26 20:48:28,DLM014,5,"Harga:terjangkau
Kualitas:bagus

Aku kira jelek tapi ternyata lumayan bagus dan pemasangannya gampang"
hariadisurahman,2022-01-23 21:05:33,DLM004,5,"Pengirimina cepat kemasan rapih,  mantap"
zahran3030,2022-01-16 21:43:21,DLM003,4,"Kualitas:standar
Harga:standar

Bagus tp g tau tahan brp lm semoga ga cepat kelupas krn ini tipis 🙏🏻"
j*****s,2022-01-16 23:03:58,DLM014,5,"Kualitas:kualitas baik..lebih tebal dari vynil gulungam. respon penjual bagus.pengirimannya juga cepet..
Harga:lumayan.murah"
kemalawardhana,2021-11-23 16:10:57,DLM003,5,Baguuus
hadidewanto,2021-09-25 20:43:48,DLM011,5,"Pengiriman cepat,pengemasannya juga aman dan rapih,barang sesuai dengan pesanan,deskripsi dan gambar.
Respon sellernya cepat,baik,sopan.
Sukses terus untuk sellernya.
Terimakasih."
nabila.afi,2021-12-15 10:48:21,DLM005,4,Kualitas produk baik tapi vinyl nya kurang nempel di lantai
adhe__11,2022-03-12 02:52:24,DLM010,5,"Kualitas:Good
Harga:murah

Produk bagus, cuma ada kendala di pengiriman, barang sampe 1 Minggu, padahal sama sama Jakarta, tapi it's okay lah, maklum belinya pas lagi 3.3, mungkin pengiriman membludak, thanks seller and kurirnya :)"
tsamaaniya.skincare.store,2022-03-06 17:33:14,DLM010,5,"Kualitas:bagus
Harga:lumayan

Paket sampai dengan aman dan lengkap

Next order lagi.."
catbabymj,2022-03-15 00:16:37,DLM014,3,"Kualitas:biasa

Maaf saya pesen 18 tapi dikirimnya cuma 16. Sudah di chat tapi tidak ada respon:)"
l*****h,2022-03-02 13:56:39,DLM003,3,Tipis bgt kirain tebel gk sampe 2mm ini seh tebelnya kecewa berat dah beli banyak
