product_name,product_link,filename
walkingcane,https://shopee.co.th/%E0%B9%82%E0%B8%A3%E0%B8%87%E0%B8%87%E0%B8%B2%E0%B8%99%E0%B8%A1%E0%B8%B2%E0%B9%80%E0%B8%AD%E0%B8%87-%E0%B9%84%E0%B8%A1%E0%B9%89%E0%B9%80%E0%B8%97%E0%B9%89%E0%B8%B2-%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%86%E0%B9%89%E0%B8%AD%E0%B8%99-1-%E0%B8%82%E0%B8%B2-3-%E0%B8%82%E0%B8%B2-4-%E0%B8%82%E0%B8%B2-%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%A3%E0%B8%B0%E0%B8%94%E0%B8%B1%E0%B8%9A-%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%AB%E0%B8%99%E0%B8%B2%E0%B8%A1%E0%B8%B2%E0%B8%81-%E0%B8%AD%E0%B8%B0%E0%B8%A5%E0%B8%B9%E0%B8%A1%E0%B8%B4%E0%B9%80%E0%B8%99%E0%B8%B5%E0%B8%A2%E0%B8%A1%E0%B8%AB%E0%B8%B1%E0%B8%A7%E0%B8%84%E0%B9%89%E0%B8%AD%E0%B8%99-Walking-cane-stick-%E0%B8%8A%E0%B9%88%E0%B8%A7%E0%B8%A2%E0%B8%9E%E0%B8%A2%E0%B8%B8%E0%B8%87-%E0%B8%84%E0%B8%99-%E0%B9%81%E0%B8%81%E0%B9%88-i.166371148.4243667563?sp_atk=ea0c6375-b09f-4f10-92c0-c2a4c16749fe,walkingcane
electricpan,https://shopee.co.th/%E0%B8%81%E0%B8%B0%E0%B8%97%E0%B8%B0%E0%B8%9B%E0%B8%B4%E0%B9%88%E0%B8%87%E0%B8%A2%E0%B9%88%E0%B8%B2%E0%B8%87%E0%B9%80%E0%B8%81%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%B5%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B9%81%E0%B8%9A%E0%B8%99-%E0%B8%A1%E0%B8%B1%E0%B8%A5%E0%B8%95%E0%B8%B4%E0%B8%9F%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B9%8C%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B0%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2-%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B5%E0%B8%84%E0%B8%B4%E0%B8%A7%E0%B9%84%E0%B8%A3%E0%B9%89%E0%B8%84%E0%B8%A7%E0%B8%B1%E0%B8%99-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B0%E0%B9%84%E0%B8%9F%E0%B8%9F%E0%B9%89%E0%B8%B2-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B8%97%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%A3%E0%B9%8C%E0%B8%9A%E0%B8%B5%E0%B8%84%E0%B8%B4%E0%B8%A7-i.275700598.7271567324?sp_atk=83f2949c-3345-458e-bf76-ace3512bd5e9,electricpan
bigfridge,https://shopee.co.th/-LTX2203-%E0%B9%80%E0%B8%87%E0%B8%B4%E0%B8%99%E0%B8%84%E0%B8%B7%E0%B8%99-16-%E0%B8%AA%E0%B8%B9%E0%B8%87%E0%B8%AA%E0%B8%B8%E0%B8%94-1-000-Samsung-%E0%B8%95%E0%B8%B9%E0%B9%89%E0%B9%80%E0%B8%A2%E0%B9%87%E0%B8%99-2-%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B8%95%E0%B8%B9-8.4-%E0%B8%84%E0%B8%B4%E0%B8%A7-%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%99-RT22FGRADSA-i.144046792.2437663742?sp_atk=9ca850db-c3da-4f69-866d-c96d0766d057,bigfridge
aircon,https://shopee.co.th/Hisense-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%9B%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A8%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%9C%E0%B8%99%E0%B8%B1%E0%B8%87-CD-Series-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%A3%E0%B8%A7%E0%B8%A1%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87-i.54473054.9315660377?sp_atk=1cffd9de-424e-4e1d-b278-833911fd53e6,aircon
luggage,https://shopee.co.th/%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%B2%E0%B8%87-%E0%B8%82%E0%B8%99%E0%B8%B2%E0%B8%9420-24-%E0%B8%99%E0%B8%B4%E0%B9%89%E0%B8%A7-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%A5%E0%B8%B2%E0%B8%81-%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B9%80%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B8%97%E0%B8%B2%E0%B8%87%E0%B8%A5%E0%B9%89%E0%B8%AD%E0%B8%84%E0%B8%B9%E0%B9%88-%E0%B9%81%E0%B8%82%E0%B9%87%E0%B8%87%E0%B9%81%E0%B8%A3%E0%B8%87-%E0%B8%A2%E0%B8%B7%E0%B8%94%E0%B8%AB%E0%B8%A2%E0%B8%B8%E0%B9%88%E0%B8%99%E0%B8%AA%E0%B8%B9%E0%B8%87-%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%9A%E0%B8%B2-%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%81%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%9B%E0%B9%8B%E0%B8%B2%E0%B8%81%E0%B8%B1%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3-%E0%B8%97%E0%B8%99%E0%B8%97%E0%B8%B2%E0%B8%99-i.199232058.5215155716?sp_atk=de30cb35-c6bd-48dc-95a0-e291bf3e0cbe,luggage
neutrogena,https://shopee.co.th/(%F0%9F%8C%BC%E0%B9%81%E0%B8%97%E0%B9%89-%E0%B8%9E%E0%B8%A3%E0%B9%89%E0%B8%AD%E0%B8%A1%E0%B8%AA%E0%B9%88%E0%B8%87%F0%9F%8C%BC)-%E0%B8%9C%E0%B8%B4%E0%B8%A7%E0%B9%80%E0%B8%87%E0%B8%B2%E0%B9%81%E0%B8%9A%E0%B8%9A%E0%B8%AA%E0%B8%B2%E0%B8%A7%E0%B9%80%E0%B8%81%E0%B8%B2-Neutrogena-Body-Oil-%E0%B8%9B%E0%B8%A3%E0%B8%B4%E0%B8%A1%E0%B8%B2%E0%B8%93-250ml-%E0%B8%9A%E0%B8%AD%E0%B8%94%E0%B8%B5%E0%B9%89%E0%B8%AD%E0%B8%AD%E0%B8%A2%E0%B8%9A%E0%B8%B3%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B8%9C%E0%B8%B4%E0%B8%A7-%E0%B8%AA%E0%B8%B9%E0%B8%95%E0%B8%A3%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%A1%E0%B8%82%E0%B9%89%E0%B8%99-i.77264.2635944608?sp_atk=83ac73dd-3752-4650-84b2-cac914a8dc21,neutrogena
listerine,https://shopee.co.th/-%E0%B9%81%E0%B8%9E%E0%B9%87%E0%B8%84%E0%B8%84%E0%B8%B9%E0%B9%88-%E0%B8%A5%E0%B8%B4%E0%B8%AA%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B8%B5%E0%B8%99-%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%A2%E0%B8%B2%E0%B8%9A%E0%B9%89%E0%B8%A7%E0%B8%99%E0%B8%9B%E0%B8%B2%E0%B8%81-%E0%B8%84%E0%B8%B9%E0%B8%A5%E0%B8%A1%E0%B8%B4%E0%B8%99%E0%B8%95%E0%B9%8C-750-%E0%B8%A1%E0%B8%A5.-x-2-Listerine-mouth-wash-Coolmint-750-ml.-x-2-i.145334961.2201786849?sp_atk=86ceb1d2-8b6e-428c-8bc2-e531787a697f,listerine
soyprotein,https://shopee.co.th/Soy-Protein-Isolate-%E0%B8%96%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%87-%E0%B8%8B%E0%B8%AD%E0%B8%A2-%E0%B9%82%E0%B8%9B%E0%B8%A3%E0%B8%95%E0%B8%B5%E0%B8%99-%E0%B9%84%E0%B8%AD%E0%B9%82%E0%B8%8B%E0%B9%80%E0%B8%A5%E0%B8%97-Non-Whey-%E0%B9%80%E0%B8%A7%E0%B8%A2%E0%B9%8C-%E0%B8%A5%E0%B8%94%E0%B9%84%E0%B8%82%E0%B8%A1%E0%B8%B1%E0%B8%99-%E0%B9%80%E0%B8%9E%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%81%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%A1%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD-plant-base-i.82471280.6487234393?sp_atk=ebb67443-e5da-4b8d-a43a-ef1ffcef2e41,soyprotein
xiaomiscale,https://shopee.co.th/-%E0%B9%80%E0%B8%AB%E0%B8%A5%E0%B8%B7%E0%B8%AD-449-code-BBDOP2MK-Xiaomi-Mijia-Mi-Body-Fat-Composition-Scale-2-Smart-Weight-Scale-2-Digital-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%94%E0%B8%B4%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%AD%E0%B8%A5-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%95%E0%B8%B2%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81-%E2%80%8B%E0%B8%AD%E0%B8%B1%E0%B8%88%E0%B8%89%E0%B8%A3%E0%B8%B4%E0%B8%A2%E0%B8%B0-%E0%B9%80%E0%B8%84%E0%B8%A3%E0%B8%B7%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%A7%E0%B8%B1%E0%B8%94%E0%B8%A1%E0%B8%A7%E0%B8%A5%E0%B9%84%E0%B8%82%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B8%AD%E0%B8%B1%E0%B8%88%E0%B8%89%E0%B8%A3%E0%B8%B4%E0%B8%A2%E0%B8%B0-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87-%E0%B8%95%E0%B8%B2%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87-%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%8A%E0%B8%B1%E0%B9%88%E0%B8%87%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%99%E0%B8%B1%E0%B8%81-i.143111786.2160925534?sp_atk=d715f542-61eb-434e-a156-deb2bce1c263,xiaomiscale
router,https://shopee.co.th/Ajiko-%E0%B9%80%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%95%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B8%8B%E0%B8%B4%E0%B8%A1-4G-%E0%B8%95%E0%B8%B1%E0%B8%A7%E0%B8%9B%E0%B8%A5%E0%B9%88%E0%B8%AD%E0%B8%A2%E0%B8%AA%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B2%E0%B8%93-WiFi-%E0%B9%81%E0%B8%A3%E0%B8%87-%E0%B8%8B%E0%B8%B4%E0%B8%A1%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B9%84%E0%B8%94%E0%B9%89-%E0%B8%97%E0%B8%A3%E0%B8%B9-AIS-DTAC-%E0%B9%80%E0%B8%AA%E0%B8%B5%E0%B8%A2%E0%B8%9A%E0%B9%83%E0%B8%8A%E0%B9%89%E0%B9%80%E0%B8%A5%E0%B8%A2-%E0%B9%84%E0%B8%A1%E0%B9%88%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%95%E0%B8%B1%E0%B9%89%E0%B8%87-i.33820365.3239901965?sp_atk=7de66e42-7bf3-400a-9f82-645f9557eed1,router
