,Late reviews
1,worst worst use courier youll regret later unprofessional customer service experience bad expedition company sent package december customer still hasnt received good ...
5,slow work item ordered still even delivery attempt failed delayed really want wait date ...
7,delivery service clear irritates sender recipient long traffic jam package clear sure end package also lost know lose dear j ...
19,competitor often late delivery estimation problem turn jt worse appropriate say express using company like ...
20,almost month package say delivery courier anjayyyyyy really long package bad know long cook anteraja day ...
23,courier joke shop ordering good address clearly still wrong address continues handling slow different antering jne quickly oh angry name express ...
25,irresponsible missorted package arrive kupang destination address ternate week good arrived bad service hotlines slow respond ...
26,recommended ive waiting long time day apparently package lost complained many time zonks answer clear disappointed ...
34,lately im disappointed jt really bad item wasnt delivered destination didnt call tell buyer knew return jt responsible ...
40,bad long delivery
49,crazy expedition package received sorting place update problem durability long even though ...
64,lelet expedition period bandung jakarta day still arrived usually using fast surabaya day arrived bandung day take long drop center ...
69,worst expedition service long use expedition lose period vehicle service incidentally much economical ...
73,good stuff take long time mostly going around thats stuff ...
81,experience using jt express really disappointing delivery took long time call jt good still ...
125,phone c request new receipt opening solution long process disappointed ...
148,old good arrive fast drop point shipping every item bought quickly arrived even though corona tp jt took long time arrive expedition recommendation used ...
150,worst expedition good always late slow shipment often delayed day ...
151,delivery long day late even though good ordered need fast ...
153,make hashtags medsos especially twitter whats worse whats service really bad long shipping make review atwmap consumer website useless let ...
156,half star better give half severe expedition better use expedition slow sevice disappointing ...
174,stuff hasnt arrived may hasnt also come yet jt im really disappointed good central jakarta west jakarta taking long time order bagets ...
176,longest choice courier anternya losing choice new courier always complained select courier match express logo courier slow ...
181,sent package stuck dc pesanggrahan continued thats product want use hello really bad jt long time ...
196,closer lebaran slowly lose far sm jne palembang day doesnt move ...
224,took long time package arrive disappointed package sent havent received yet already use express package food ...
226,sumpaaaaaaaahhhhhhh long time take long time drop point day take long time even long time ...
237,package tanjung pinang ajjjh day day udh smpe jakarta ajjh udh berhariday trasing center crocodile swamp day longer even though far ...
278,responsive slow package delivered one package within week ...
305,delivering good march good arrive merely sold destination cikarang good checked longer know recipient waiting getting ...
311,even worse delivery sukoharjo bk trf saturday even though package arrived monday monday phone sent want take long time ...
312,even one city delivery take long time call center branch le responsive unprofessional ...
316,expected expect express package fast least day usually delivered next door day long time gymnast people dont promise good ...
323,time using shipping service first shipment jakarta even brought bandung second sorting error longer third also arrived jakarta returned dc grogol grogol ...
327,packet wrongly sorted long batam longer sent original address without movement day complained customer service email fb responded worked ...
339,longer shipment jakarta tangerang day courier initiative tel recipient package ...
341,longest shipping worldwide dont recommend shipping via jt express ...
346,delivery month dhl twice wrong sorting want move around long time warehouse tel c twice told wait let fix service dont lose expedition ...
347,crazy jt turn send home address quickly turn tangsel regional office must slow seriously feel really frustrated ...
350,destination close drop point distance hour receive package wonder long delivery said express really slow ...
352,really bad package get lost long take must many people ...
366,took long said express package still delayed ajj warehouse ...
367,really ugly slow
375,come item didnt reach bad jt got stray package hasnt come back longer use jt ...
393,time transit je en te fire slow expedition management never solution ...
397,star disappointed much day bought lot good different shop shopee courier j didang longest already unit broken alien ...
399,longer using jnt cod east bekasi courier employee must successful behalf jay doesnt help explained obstacle good sent day asked phone courier ...
420,forced yes star let make jnt slow movement create status item received one received ...
442,im sorry customer service division slow responsive customer need c workload large customer question responded capacity deliver information ...
446,horrible service nov latest info item shipped dc sunter item hasnt delivered check receipt tokopedia application item position update still ...
450,good november still bad bkigateaway warehouse service slow thank jt wont use expedition ...
459,disappointed difference express regular slow ...
489,send package karawaci south jakarta day contacting c can not give solution told wait slow lose fast ride ...
490,crazy package sent new september even though use jne regular usually arrives next day later day delivery day use jt regular almost week ...
508,expedition make loss often lose good expensive tariff slow ...
518,necessary use express name express shipping faster come express getting slower express order arrived week confirmation ...
525,come jnt exspress slow saturday liburrrrr good service ...
527,sad j expedition disappointing shipping long even though still capital city want find fast timely delivery better use service ...
531,bad fellow jakarta really long kapokkk im reluctant use j fixed ...
541,accordance express suitable slipping harmed cellphone sperpack package long joooo instead strayed sukorejo looking ...
550,long delivery disappointing
555,delivery good long regret sending package jt ...
572,long delivery need arrive right away suck doesnt deserve name express ...
579,dont fleet dont need logistics business price expensive courier next door delivery slow sorry ...
598,really use good november today even though jakarta tangerang day havent arrived yet c answer telling wait expedition longer ...
615,really annoyed expedition able deliver taman sari west jakarta grogol west jakarta day yes expedition slow come open many branch sh ...
616,took long didnt usually use j like ...
624,good start badly slow dont use j anymore ...
643,better leave express really slow different jne complaint immediately respond jnt day using phone credit progress package arrived ...
647,service good slow delivery drug already dead one sick first give ...
657,package arrived status changed said express come took long arrive longer using j courier lazy lazy kapok ...
661,recommended slow work track record near location instead sent location farther away result good rotate arrive longer fact several time seen ...
666,bad irresponsible saying shipping policy adjusted applicable government law thank jt obviously late ...
686,im sorry jnt took long time package stagnated content live didnt move day still malang pay ...
714,bad service slow delivery give using jnt good sent seller called c jnt instead asked contact seller seemed blaming seller hadnt sent good ...
721,waiter good slow expensive
724,sending fellow jakarta arrived day hellooowww like either situ send moon slow ...
733,recommended many day arrived j t long time courier service dont use jt anymore kapop ...
759,shouldnt need give star long delivery time arrive wrong location know use one thats already caught ...
770,wont take long dont know obstacle delivery doesnt arrive home take km home ...
