,Reviews
0,"Pengiriman jauh melebihi batas waktu, manajemennya gimanaaa?????"
1,"worst of the worst! DO NOT USE them as your courier or you'll regret later! unprofessional customer service experience! very bad expedition company! i sent the package on 8th december 2021, my customer still hasn't received the goods until …"
2, Good  
3, the call center on whatsapp was answered by BOT. Email customer call center did not reply. …
4," Why was my J&T notified that my package had arrived but why wasn't it at my place, why explain where my package is? …"
5," It's slow work, the item I ordered from the 10th is still on the 15th until the 15th...eehh even the delivery attempt failed and was delayed until the 28th... do you really want to wait until that date? …"
6," I have noticed that both on google play and on google map, this assessment for J&T is in a very bad category. Did the J&T not see this? …"
7," Delivery service is not clear. It only irritates the sender and the recipient, the long traffic jam package is not clear for sure, in the end the package is also lost, if you know it, who will lose? Dear J & T …"
8, This J&T delivery service removed my package item with a nominal value of 6.060.000 from December 28 until now!! Last lost in Oebufu!! Irresponsible work is not sending package goods but eliminating consumer goods!! …
9, #MendingSicepat  
10," Wow Ahmad Suhendar. Where's your package? It's been fixed, my package is lost. If you can't work well, just disband and become this mass organization J&T …"
11," You don't want to close the company forever, do you? Tambah2in the burden of the world niyh JnT. kacruuuut all. …"
12, Your service is very bad Short distance delivery can only take 10 days …
13," My package is still stored and the staff only promises ""then... I'm tired of the J&T Express service... it's better to move to another expedition that is more professional and respects its customers …"
14, Slow  
15," I use J&T Cargo. It's been more than a week the package is stuck, there is no change. CS could not be reached. …"
16, This is so badly broken  
17, THE SLOWEST Expedition!  
18," Nothing has arrived for 10 days, status hasn't changed, customer service on whatsapp and call center is not paying attention. don't use j&t anymore, it's better to hurry or lion the parcel will arrive immediately👍 …"
19," Competitors are often late with delivery estimation problems, it turns out that J&T is worse, it's not appropriate to say EXPRESS using a company like this …"
20," almost a month, my package says On delivery by courier,, anjayyyyyy it's really long, 3 packages are all so bad, you know, it's been too long for you to cook Anteraja for a day …"
21, It's a city though. But it's been a week and it hasn't arrived. …
22," Really slow. Delivery from the 13th. Until today, December 19th, I don't know if it will arrive. J&T service is very slow. First and last time using this service. It's better to close all J&T. …"
23," FOR THE COURIER, MY JOKE FROM THE SHOP, ORDERING GOODS, THE ADDRESS IS CLEARLY STILL WRONG ADDRESS CONTINUES THE HANDLING IS VERY SLOW, DIFFERENT BY ANTERING JNE QUICKLY OH MY ANGRY, THE NAME IS ONLY EXPRESS …"
24," DELIVERY SERVICES WHICH ARE OFTEN PROBLEMS YES THIS IS J&T THE EMPLOYEES DON'T KNOW THE PROCEDURE, DON'T THINK ABOUT THE CONSUMER, AND THE …"
25," It is irresponsible for the mis-sorted package to arrive at Kupang while the destination address is Ternate. It's been 1 week the goods have not arrived ""very very bad service. All hotlines are slow to respond, just …"
26," No Recommended. I've been waiting a long time for 12 days, apparently the package is lost.. complained many times. Zonk's answer is not clear.. disappointed.. …"
27," Is this the central jnt? Keep straying. It's clear that the package from Ciparay was sent to afternoon, destination in afternoon, instead it was sent to Bandung, sent again to afternoon, sent again to Bandung, sent …"
28," Disappointing! The transit package at JNT Jakarta since December 1, 2021 until now on December 10, the package has not arrived in Manado and has not yet arrived at my address. …"
29," I sent only 1 package but it hasn't arrived in 5 days"", my package was thrown back and forth to the jnt office from Tuntang - Semarang - Tangerang - Serang - Tangerang - Serang - Balaraja, the delivery was not clear, …"
30," It's really bad, it's been more than a week, the package hasn't arrived, with Jakarta, I'm really tired of complaining here and there, no changes …"
31," Even though it's non-cod, the courier still asks for more money …"
32, Call center is very bad. No one answered. I tried WA many times. 6+ hours still no reply. Try again the next day. You're welcome. No one answers. CS is not responsible and has no intention of helping consumers. …
33, So bad. Regular package should arrive 3hrs. I've been waiting a week and it hasn't arrived …
34," Lately, I'm disappointed with J&T. It's really bad. The item wasn't delivered to the destination. I didn't call or tell the buyer. I just knew I had to return it. J&T is not responsible. …"
35," Cleaning up business in Cipondoh Tangerang woiii, the package from the 26th was stuck there. Management is silent, there is no solution, just close it if you can't get the …"
36," Send from 10/10/21, the marketplace has declared cancel on 24/10/21, goods on 29/10/21 will still be sent to the buyer. I've reported it on 17/10/21, asking for 3x24 hours, it's already overtime and …"
37, consumers are harmed. where's the boss really?  
38, frog  
39," This is my first time using a courier for delivery within the city which takes more than 1 day. Usually for short distances I use JNE, TIKI, and SiCepat, everything must take up to 1 day. But the goods have not …"
40," very bad, long delivery.  "
