,Late reviews
2,jne bad late ask forgiveness good delivered sleep time ...
6,njir bad really slow point use jne ...
15,send document incidentally include taxable good crazy long drop shipping jne counter day still sorting process jne tiban center edannnnn ...
29,shipping holded long time offer make package faster ...
33,bad long day since package moving ...
36,shipping good difficult sending clothes must new subject tax jne jtr apply per kg still calculated per kilo ...
85,ordered good august arrived batam dufah august yet arrived natuna even though estimate arrive later august whats going ...
116,bad service slow delivery
131,took long get loss customer took long customer didnt want order anymore close dont want send good wont even last week ...
148,delivery slow use regular jne batam pekanbaru week package tracking yet come batam bad ...
157,service bad slow delivery huh
164,jne really bad stuff already day still sorted batam longer using jne really dont know service expedition option send another one shop dont use ...
171,crazy package already week still sent phone rejected continued work people professional slow another choice shop better go ...
217,disappointed package week detained batam follow holding please pay attention many customer complaining long arrival ...
237,poor service complaining long followup good exchanged must complain place satisfying ...
288,severe long delivery
290,poor delivery doesnt want lose month time customer cancel coyyyy long shopee item answer doesnt make anyone cool ...
320,regret using expedition option suggest seller buyer use service item hasnt arrived long time also contacted response ...
335,jne batam overload stop first think package due fact many people disappointed item purchased online long time including tp jne jakarta delivery ...
336,service bad every time call one ever answer package often delivered late afternoon evening office closed package address also included cellphone ...
352,delivery long good sent long time please cooperate customer angry old good arrived ...
376,package sent via jne always arrive late match estimated delivery time delivery via jne used repeatedly service promised cant choose another ...
396,longer using jne batam order shopee dec dec hasnt moved jne batam crazy first time using courier time given ...
402,flawed said please understand condition blablabla whatever job late mean work slow didnt arrive week slow guy ...
403,really bad first time shop shopee delivery batam use jne longest youre quickly losing shipment abroad please fix dont know whats fate ...
407,super slow delivering time aware wan na online shopping batam delivering using jne would freak slow delivery service one reason gon na tell overload even waiting week nonsense
441,jne people comment processed quickly dont take long bad service company ...
453,delivery batam took long disappointing
454,sender slow status good already arrived batam day havent received either bad mlh using j arrived day ago even though sent ...
464,jne bad super bad good damaged delivery slow hadeh ...
516,jne even jnt batam cant responsible delivery longer difficult operate ...
537,stuff always stuck long batam worst worst ...
541,delivery slow made disappointed
544,worse slow package service overlod dont accept first end accommodated nothing finished want profit disappoint customer ...
548,good sent july july july still stay batam reason overload reason slow flight really annoying ...
