,Unnamed: 0,Ninjavan TH Reviews
0,0," WORST DELIVERY, THE PACKAGE WAS BROUGHT BY THE COURIER, THE STATUS ARRIVED BUT I HAVE NOT RECEIVED THE ITEM UNTIL NOW, WILL BE Investigated BUT THERE IS NO CLEARANCE. …"
1,1," I'm commenting here because all couriers and courier superiors and the center have not responded to my return package which was lost for 500 thousand, it's already the 8th day...if you call everything, no one dares to …"
2,2, CS call center on behalf of Novi and Agung is not good at handling complaints.. officers who have no manners... …
3,3," It's outrageous that the ninja company's courier salary has not been paid until today with the reason being returned!! It doesn't make sense that the salary is returned from the months before it comes in, it's just …"
4,4," Good morning, I apologize in advance that I have something to say about the delivery estimate and the etiquette of my employees "
5,5," Pls really this is for sellers of online shopee application sellers, lazada, etc. don't use ninja xpress courier! the goods did not arrive, even though it was urgent. most unclean expedition ever. …"
6,6," Very disappointed and untrustworthy, I have used the ninja express expedition twice, my goods were exchanged for other people's goods. …"
7,7," Courier delivers goods at 10 pm, just ask and deliver, maybe I'll even tell you to wait...... the package got lost in the past, how about using a ninja, it's not good …"
8,8," Mr ninja, I sent the package, it's been 3 weeks, the package hasn't arrived yet. This is Anter, the package goes up in a snail or what …"
9,9, Ninja experes courier payday has not come down from the 8th of this month. Makes us all Balngsakk !! Even though we really need it but there is no clarity!! …
10,10," the service is not good, the courier does not want to call the recipient, so the status is written failed to send even though the recipient is at home. …"
11,11," I as a Lazada seller have lost a lot in ninja delivery services, not trustworthy, long hands, my packages always return, the reason is not clear, 2 weeks the goods did not finally return, until here the goods were …"
12,12, Excellent  
13,13," Sorry, I want to complain about this, the item is broken, I have complained to the seller, he said from the delivery party, please ask for responsibility …"
14,14, cc review of Ninja Xpress STR Pegangsaan Dua 
15,15," I, as a seller who has a new online shop, have only used this expedition once, but I am really very disappointed. The courier and CS did not provide good service. My package was not delivered to the destination …"
16,16," Why hasn't my package arrived yet? It's been two weeks, bro. What's the courier doing?!, it took so long to arrive. Ask the courier for help, I want to use the goods from Kamarin-yesterday …"
17,17, OK  
18,18," The package has not arrived in 11 days! The status failed to send continuously! Even though the courier has WhatsApp, they want to be delivered tomorrow but until now it's a shame! …"
19,19, The courier was not polite in the delivery of Indramayu krangkeng …
20,20, SORRY.... SERVICE VERY JELEEEEEK  Delivery of goods to the destination …
21,21," Slow and untrustworthy 👎👎👎 Please monitor express delivery couriers for ninja, in the past, we used to use lazada using jn*, how come we always return using ninja, our goods are only dented, please help, we as …"
22,22,Kacaw wes ...angel
23,23, JANCOOOK EXPEDITION ....... NINJA NAMES BECOME BAD BECAUSE YOU USE . …
24,24," YOU Oath AT WORK IS VERY SLOW, MY PACKAGE HAS NOT BEEN ANTERED FOR A WEEK WHICH IS RIGHT ANTER. NEVER PAKE OTHER EXPEDITIONS LIKE THIS. DO YOU ALL INTENTION TO WORK? …"
25,25," Until I waited and I got to work again, no news  "
26,26," Delivery from Bekasi to Cikarang, maybe 5 days,,,, if there was another courier in the online store, I would choose another courier, the slowness stings to death,,,, I give up choosing this courier,,,, …"
27,27," The most chaotic expedition ever, incompetent management... I thought the only problem was Jayapura, eh, it turns out that almost everything in other cities is the same. Likes to hold goods in the warehouse. Basic …"
28,28,Nice
29,29, Again and again my package of 5 pics was replaced with an empty cardboard That's right👎👎😡😡 no follow-up by ninja...the workers are all liars …
30,30," Bad expedition, the estimate is too late  "
31,31," The name does have an express but.....the delivery took a long time, the order on the 12th only arrived on the 17th even though it was only from West Jakarta to Tangsel that it was like sending goods outside Java. …"
32,32, PLEASE CONTINUE!  
