,Late reviews
29,delivery tangsel using day service arrive night later pm right next day noon news use delivery service ...
40,application clearcs doesnt helpthe bot answered first ... queuing hour before ... c person really bad first time want try way longer use ...
48,contact contacted package late lost c via wa email response paraaaahhhhhh ...
55,really bad morning pickup set canceled unilaterally courier couldnt find address pickup courier didnt call wait played cancel say lazy pick ...
56,c package late hour still delivered although paxel say delivered proof delivery black picture signature cross company big fraud ...
67,severe super duper bad professionalnot timeno nmr contacted cmb via wabut take long time pkbanget recommended ...
73,bad service can not contect call center response late
92,delivery schedule customer service can not reached via whatsapp slow response entered expedition blacklist anteraja jne ...
95,late send package professional give confirmation package arrive customer service cant reached
107,hour later response hq kind service paxel give trauma
132,package swapped crazy already clear address even though box package tap one jakarta one bandung c one answered phone wa slow response crazy really ...
137,disappointing package arrived day late day even though clearly written food first day said lost wrong district google map ...
140,took long time send even though jabodetabek fellow though food shipment completely unaware must faster price also cheap expensive even courier also ...
164,worse package arrived day later confirmed reason full food package said stored fridge arriving situation longer stressful sour ...
195,worst shipping service ever used said day transit day status continues contact via dm answer stuck wait long time taken take ...
219,really bad twice packet loss long delay according specified time disappointing thats merchandise professional ...
223,repeatedly used paxel time package rejected reason courier waited tll long time even though courier never came wait always prepared package sell frozen ...
227,due pandemi covid people keep using shipping delivery paxel seems ready anticipate situation time cancelled order long delayed pick upuntil order track schedule ...
239,dont understand purpose application developer owner paxel crash hang error especially promo ad appear going long time case ...
245,yesterday give star slow call center response chat responded bolen kartika sari package reached yet ...
309,disappeared expedition always late pic aup good automatic lensel orderan good ...
318,love star im disappointed shipping service c number call via whatsapp c slow response slow response made order paxel november said would ...
327,regret using service item hasnt pickup day day day pickup expedition last long ...
335,disappointing item waiting arrive hour computer service took long time answer telephone service ...
337,cool package le sophisticated gosend grab shelter box store package without necessarily waiting long roundtrip dikurir ...
