,Shopee ID Reviews
0,"Lemot banget Sudah 3 hari diam dtmpt padahal jark rumah sm tokonya cm 4 jam,untuk shoppe express kl blm siap untuk mnjadi jasa kurir jgan dipaksakan ksian konsumen"
1,"di shopee paket telah diterima oleh saya, padahal kantor saya tutup jam 5 sore tapi bukti fotonya jam 22.26 dan keliatan bgt yg ngefoto kurirnya sendiri. sampe sekarang blm ada ke saya barangnya."
2,"Ini jasa kirim yg buruk banget!! Kmrn tb2 ada pemberitahuan paket sudh d terima oleh nama saya sndiri tp pas saya cek foto timestampnya bukan d daerah rmh saya! Kurirnya asal naroh paket d rumah orang dan asall bgt nulis penerimanya, wktu …"
3,Kurir gk jelas...paket blm di kirim tpi di aplikasi di input sudah di trima pembeli... Kurir di hubungi kapan di kirim malah bilang santai sampai 2 hari gk di …
4," I swear this is really slow motion, lol, gjls  "
5," On Shopee it says the package was received, but no one in the same house as neighbors received it. WHAT TO DO?! UDH TLP CS EVEN WERE TOLD TO REPLY FOR A REFUND, TP TOLD TO ATTACH EVIDENCE, WHAT PROOF …"
6," The slowest delivery service in Indonesia, the goods have been picked up for up to 3 days and have not been deposited to the sorter, the courier is also slow, the status of the goods is being delivered by the courier …"
7, The security guard at the post likes to pay for parking  
8," Only gragra is wrong, it's just right next to the original turn left it's a block on the right saying it's not really good,,,,, but I'm sorry, if there's no one, a lot of people ... …"
9, Really long transit.. 12 hours still doesn't move  
10," SHIPPING SERVICE IS THE BEST, if I could choose I would definitely choose J*T but since shopee couldn't choose an expedition and unfortunately got this one, oh my, it's so close but it didn't arrive, please fix it, …"
11, Shopee express is really fast like a snail caterpillar. It's bad if there is an assessment worse than 1 star I'll give it …
12, Minus delivery service  
13, 1 city to 1 week.. ShopeeExpress is super slow  
14, package arrived long  
15," Super slow at 6:54 am, the goods are under the courier until 17:37. The package hasn't arrived yet, where to go...sorry about using shopee express services. For those who have never used shopee express services, think …"
16,Barang tidak sampai tp di aplikasi sdh di terima dengan bukti terima org lain.. Parah penipuan ini.
17," The goods did not arrive...the report failed to send. Fail how in my house there are always people. If you haven't sent it, say you haven't sent it yet. Just this once, use shopee express …"
18," I have one order, at 12 noon on the delivery status, the package will be sent to the recipient's address, and at 21:17 the status changes, my package has been received, even though I did not receive the item.. …"
19," I swear the package was slow, the courier brought it to your address from 7 in the morning, until the evening the courier didn't show up even though the warehouse is close to home …"
20," Until now, my package hasn't arrived in a very long time, even though it's been a day when it's stated that the package is being delivered by the courier. But didn't come …"
21," Disappointing, Paraaahhhhh The item has been in SBY but 2 times the delivery has been canceled …"
22, Very long delivery.  
23," The delivery took a long time and the courier arrived until 11 pm while sleeping again. Even though it was the same as Surabaya, it came 3 days, it was crazy, it was fixed again before opening shopeeexprss. Thank you …"
24," I don't intend to make a delivery service, it's better not to do it first, cook the package under the courier at 06:15 am waiting for it until 17:00 it doesn't arrive, just close the delivery service, tahikkk …"
25, very long delivery  
26," I'm so confused what to say for this Expedition, 1. Deliver goods to someone else's address/home. "
27," slow delivery, same time with Surabaya area, up to 3 days wkwkwkwk what kind of expedition are you trying …"
28, Lemottttttttttttt  
29," The slowest delivery service ever. The name is express, the delivery quality is slow …"
30," How about this, yesterday's 1 item arrived together, the 1st one was not sent, it's been 3 days, it's not clear how long it's been …"
31," If you send it, don't take too long  "
32, Super poll sluggish  
33," The courier is absent or what? 6.37 at Scan Send items, at 19.50 reasons for delivery time runs out. If it's not the intention of resign. Or look for work hard, instead it's absent. …"
34," I checked the receipt number, the notification ""The goods have been brought by the courier "
35," Surabaya - Sidoarjo 3 days before.. Another delivery service for 1 day even though both are free shipping. The pick-up takes all day long, the transit is also long, the courier delivery process takes too long. Is …"
36," 2 times using this service. And 2 times also a lot of trouble and drama. it could be wrong to send it to someone's house. So far, my address hasn't changed, and it's really bad. When I looked for the package, it was …"
37, It's bad shope express.. Item not received... But a notification appears that the item has been received. …
38, Please for delivery if no one tries to contact the recipient...the address also includes the recipient's number...other expeditions such as jne jnt sicepat always contact if no one is there... …
39, Good x  
40, very slow delivery  
41, Mantapsss  
42, Shopee Express  
43, Too  
44," The package didn't arrive, the wrong thing was sent, there is no contact number. really bad …"
45," The person who sent my item was too undisciplined, as long as I just left my item with someone I didn't know. And so far I haven't received the item, but it says on shopee that the item has been received but I haven't …"
46," It's slow,, waiting since morning until now has not arrived,,, indeed the courier doesn't know the highway huh …"
47," If you haven't been able to make your own delivery service, don't make it, boss, fix the system first First Recruit Employees to Deliver Packages.. …"
48, slow  
49, Slow down abisssss  
50," The courier rescheduled without confirmation from the buyer, not very professional even though there were people at home. And no incoming messages at all …"
51," Just came here for an interview, and it turned out to be in the wrong place, DC should not be HUB. There is no waiting room, so it's hot outside. ️ …"
52, Slow  
53," It took a long time to arrive, not according to the date! …"
54, Courier gathering place and shope warehousing  
55," Send goods from Surabaya to Kota Kediri for more than 4 days, the goods have not arrived, even when the goods are checked through Ngawi. Wow, so slow what are you doing? …"
56, It's so lame. I'm tired  
57," DELIVERY SERVICE IS NOT CLEAR. The payment is the same as the other expedition cake but it's slow, sorry!! …"
58, Already brought the package there but was told to go to raya park... Well... …
59," Thank God it really helps in the Shoppi application especially during a pandemic like this, thank you …"
60," This expedition is really crazy, why is there this expedition? Very bad service, really slow!!! Is it true that one of the SOPs of this expedition is to deliver goods for a very long time and does not prioritize …"
61," THE PACKAGE HAS BEEN ONE MORE WEEK OF USING THE SHOPEE EXPRESS IT HAVE NOT HAVE ARRIVED, EVEN THOUGH THE CITY IS NEXT …"
62," ID019027516358 receipt number, the package was completed but there was no delivery of the kermh package, it should have been delivered first and then finished so that buyers don't contact here and there, it's scary …"
63, Lemoooooot mot ....  
64, the slowest delivery service heuhuehuehue  
65, slow  
66," Oh my goodness, when I opened Google the rating was really bad.. I haven't received the item but there is a notification that the order has been received.. Where is there no contact that can be contacted.. I have to …"
67," Delivery by shopee is the slowest than the others, it's only right if you lose the competition …"
68, This is a scam account gess.... i swear i'm not lying.... the problem is that i finished the chat and said i got a shopeepay gift when i asked for my username he didn't know and my number was immediately blocked …
69, The picture that  
70, warehouse turns out  
71," from yesterday it said my package was delivered to its destination, but it didn't arrive, it said that the recipient wasn't even there, even though the door to the house was always open, bad !!!! …"
72, Densely crawls like a leech.  
73, The shipping time is so long  
74, Experienced and AMANA  
75, really cute shopee express courier. you can use a fake photo of receipt. I initially chatted with the seller how come the status of the item was received even though it had not yet arrived turns out to be someone …
76," Because it failed to send to the original destination address, I took the initiative to the Hub. Service OK. Communicative courier, calls many times...responsibility for delivery...Good …"
77, Is there any job vacancies?  
78," Where has my package not been received, how come the status is successful???? …"
79," From the last date the delivery date of 12 weeks has not arrived, Sampek is currently being tracked back by a courier. A, Klaw doesn't intend to be a courier. …"
80," It's been 5 days hasn't come the right one, jkt-sby dad was dug come or not, want to use Eid, regret using Shopee Express …"
81, This is really a shopee express regret using this bet Usually using JNT is really fast. Please improve the performance again so that …
82," Please please send my package even though I haven't Nerima yet but the package has been received, please send us the same ""no harm to each other …"
83," Yesterday using Shopee Express when shopping at Shopee, the package was sent all day to the recipient's address, until 9 pm suddenly the package was just received by the courier, even though I had not received the …"
84," Disappointedaaaaaaa pwolll, package slowttttttttttt Gatau what, if I really need it. Bad oath. I'm lazy …"
85," It's so long, it's original ... it's always a long time to pkek this service huuuuuhuuu …"
86," long delivery! shopee delivery service can not be selected instead automatically using this, yes, it's jammed in Surabaya. The expedition had no intention. …"
87," DELIVERY IS NOT CLEAR AH BEFORE SURABAYA TO MALANG Usually this SMPE DAY FOR 4 days, it's not clear what's going on in Surabaya, what's going on, ah, just fix it, the service is annoying …"
88," The delivery status by the courier but the delivery status suddenly changes the problem package is stored in the warehouse, what's the story? …"
89, Chip info  
90," This item has been courier since noon, I can't receive it .. …"
91," My order didn't reach me, even though the status was received. Better if it takes a long time the brang will still arrive. This item doesn't know where else "
92, 👎 bad shopee  
93," Sby to Sidoarjo for 3 days, my goodness .... 👎👎👎  "
94, Crowded regularly  
95, Pay attention to the welfare of the courier ... Per package it only pays 1400 which people can just refuse to pay for the goods and take time to pay for the goods …
96," Really annoyed and disappointed with Shopee Express, SBY's delivery was really slow. Admin is chatting, you don't reply, you don't call it. I have given the spare to order online so it is not tight, it's still just …"
97, The goods come according to estimates😍  The courier is friendly and always confirms …
98, slow  
99," sda-sby how come 3 days? really far, huh? even though the item is important …"
100," It took a long time to send, you can't choose what to send to use at Shopee, please improve the delivery again, the order period in North Jakarta continues to stop in West Jakarta until e 3 days😏 …"
101," I thought that Pos Indonesia was the slowest, in fact Shopee Express was much, much, much slower …"
