,Unnamed: 0,Shopee ID Reviews
0,0,"Shope expres tai, barang saya bisa ilang gitu gmna ceritanya woi! Ga amanah bgt! Kapok bgt pake shope expres!!!"
1,1,Ngga ada pergerakan selama sehari padahal udah di Bandung dan aku pengiriman ke Cimahi loh
2,2,"Lama banget di gudang dc bandung, paket saya di apain si disitu biasanya jakarta-bandung sehari nyampe kalo pake ekspedisi j*t. Aku aja buru buru ini ke seller untuk dikirim saat itu juga. Eh malah lamanya di ekspedisi. Baru kali ini pake …"
3,3,Lilaaaaaaaa barg mau d pake hari ini g sampe2. Boasanya juga sehari dateng pagi. Ini baru d first mile hub ga gerak2.. ancurrrr
4,4,"Kacaauu ,, kurir nyaa ga amanah"
5,5,bintang 0 bgt hrsnya pengiriman nya bisa dua minggu 😡😡😡😡😡😡
6,6,Udh 2x barang ngga sampai tp d kertrang nya barang d Terima oleh pemilik akun
7,7," The courier did not have an initial confirmation of the package, just put it carelessly, but the recipient in question, what about it? What if something is lost? …"
8,8,"Pengiriman super lama parah banget dari jumat siang di input, barang sampe bandung sabtu subuh jam 5 malah dikirim kurir hari minggu jam 7 pagi dan belon sampe sampe siang ini, kerjaan jadi ngegantung karena paket sparepart belon keterima"
9,9," VERY BAD.... IF I CAN CHOOSE A MINUS MINUS STAR VALUE, I WILL CHOOSE MINUS 5 STARS …"
10,10," It's better to just delete the courier expedition from Shopee, it's a shame the customer is disappointed. …"
11,11," The worst shipping service expedition in the archipelago, the delivery is very durable like being pounded on the first night, the courier doesn't have an attitude, doesn't excuse me / doesn't scream, the package goes …"
12,12,"Sdh hari ke-3 diterima kurir tp gak nyampe2 k alamat yg dituju. Hari pertama gagal dg alasan penerima tdk bs dihubungi, pdhal gak ad yg menghubungi sy. Alasan ngasal nih! Biasanya kurir dg jasa ekspedisi lain sllu WA sy jika diperlukan. …"
13,13," The status has been received, even though the item has not been received, the photo evidence is the courier's own hand. Haixx..... Bad x shopee courier,..... …"
14,14," I'm really lazy with this shopee express, if you forget, don't replace the one you ordered, you won't want to use shopee express again Messy long delivery, the courier who dropped the point was lazy to pick up on …"
15,15," This receipt number is SPXID023038951142, please send it, I want to use it, it's not sent …"
16,16," I'm not used to knowing that shopee exspress misses this cake, hadeuhhhh …"
17,17, Great 👍👍  
18,18, It's been 2 days the package is in the courier but the package is not sent to the destination. …
19,19," It's been almost a week the item is stuck here, really annoyed …"
20,20," It's been a long time, it's been stored for a long time, sent to the address or not, tired of shopping at shopee …"
21,21, Very long stupid courier  
22,22," The courier wasn't very polite, he swore at his attitude, just playing sneaking into the house, even though the terrace of the house was really new, where the shoes were dirty!!! Even though once you call ""package"" …"
23,23," Please include the branch office's phone/whatsapp number so I can ask for the courier number because the courier didn't confirm/call, because the information I have received myself is in fact there is no package at …"
24,24, Packages for playing Taro at people's homes just like that. …
25,25," What's this, my package for three days is stuck here, it's a bitch …"
