,Late reviews
58,waiting item delivered long time need order item item delivered day use didnt catch later use service anymore disappointed ...
83,destination collected slow waiting pick since morning still havent arrived online check riding motorcycle trying pay expensive shipping fee ...
86,lat krabang area delivery slow cant compete transport management weak ...
106,terrible slow delivery available closed
107,difficult contact call pick hang cant contact delivery slow call number leave message receive hang immediately ...
110,suck kerry firework rotten stuff doesnt deliver system say phone number correct take long deliver summary rotten item delivered ...
146,send fruit kerry nakhon nayok system said march turn employee deliver good customer according kerry lot product lately causing ...
149,notifying product delivered today waiting late call accept work service work ...
163,slow delivery nation service staff terrible transportation extremely bad use service every day worse service call according call center wait call ...
177,delivery long damaged good sent backboard ...
185,contact deliver late worst week
199,long wait slow service parking
202,pay high price delivery slow
