,Late reviews
18,order online shop deliver company encountered problem failing send round bad slow dont understand fail ...
20,waiting parcel long time staff said car broken didnt come deliver item scheduled day wait next day delivery like one sender ...
33,suck slow delivery pickled item delivery recommend using transportation service waste time stop using name ninja appropriate changing logistic turtle ...
36,pickled item good dont send item dont call latest ordered bounced back sender wait day bad ...
44,shipping slow calling ask clear wait day ...
45,bad long ineffective irresponsible item left branch long time since ordering online company worst necessary item missing ...
48,slow delivery ruined soon
50,slow send dont call item cant lost night bad worst logistics ive ever seen ...
55,slow delivery call slow service
58,bad service ordering lot thing cant really find company slow delivery called make appointment didnt come let u wait ...
61,slow delivery called said would deliver ask address end didnt come didnt call also postponed system customer informed postponement ...
63,slow delivery said pressed wrong button really refused deliver day delivered next day next day still hasnt arrived
67,slow delivery wait youre discouraged
81,worst far tell straight slow doesnt fit system ...
92,slow delivered company pick good call advance crazy finally delivered instead sending faster returning time ...
101,dont want give star delivery late wait day think next round would use service ...
112,transport worst service worst slowest received item april april still receive good calling whole big center courier speaking ...
116,service bad delivery good slow preserved warehouse system contact recipient one contacted yet took good back new warehouse ...
119,slow recommended avoided avoided order china first bangkok rajyuri take day customer curse morning lunch evening ...
122,delivery company slow horrible
123,extremely slow transportation channel give point company drool tell many company choose would recommend anyone use ...
125,ordered seed pay express delivery package yet arrived late ...
139,good service staff havent met employee bad manner yet may delivered later others ...
140,bad transport slow delivery employee call postpone ...
143,system terrible product sent day day still something else ordered later kerry flash delivered still hasnt arrived use service thinking good bad ...
151,transportation system low never used transport anything received slow delivery nakhon pathom samut prakan took hour received parcel transport ...
156,bad late delivery added false state unable contact recipient despite contacted good sent oclock oclock customer contact waiting another day ...
168,terrible slow transportation delivery date delayed day still enough call inform delivery date system back notifying change date ...
271,late delivery unable send time calling customer delivery status unsuccessful call back pm say delivered tomorrow tomorrow true another day passed get item must call ...
367,system push tell delivery person even though courier call adjusts impressed longer used system bad pity delivery person good polite ...
391,shop shoppi reported delivered item ninja wait another day receive item sooner slow broken one star box slightly bothered ...
471,slow delivery take convenience postpone delivery date time appointment appointment u one oclock afternoon come send u five oclock ...
