,Ninjavan TH Reviews
0, Thank you very much  
1,Always wrong delivery!!!  How do you even train your staff? How could you even deliver wrong address every time????? Please train your worker!!!!!!!!
2, The delivery man is very bad. It's the worst transport.  
3, Please call the recipient and send it to the recipient's hand. …
4," I don't know what other people's are, but mine, 1 day, received items. Very fast delivery. …"
5, Where do  
6," At first the app said it was shipping. Call the center to ask and tell them it's in the warehouse. After a while, I called to say that I will send it to you today 2/2/65 A few minutes passed. say send failed Allow …"
7, It's been in Rattanathibet for a long time. will claim to open the new year But others can send it. Can you add staff? will be able to do more efficiently …
8, Delivered more than 2 days ago and still haven't received it. …
9,"I don’t like this ninja Van company delivery staff…. The staff should have common sense that the item is heavy or not… if the item is heavy, they need to put on the floor. Not inside the small basket… my small basket is already crooked, …"
10,Worst company I have dealt with.  delay in delivery.  Difficulty communicating with support
11, .2 This item is from another seller...just the wrong postcode...but only delivered to..Ninja..I just bounced back..... …
12, send past the specified date  
13," Very slow. From Bangkok, it takes almost 4 days to deliver. If it's fish, it's marinated until it's salty. …"
14," The worst, the worst, the delivery does not reach the customer's hand. Thomas came only for 4 seconds. and leave it to someone else Then Master tells us one more time. claiming that we can't contact us and hurry back …"
15, Rattaphum Branch  
16," The service is very bad, the staff sign their own but do not receive the item. …"
17," Rama 4 branch, why do you keep stuff? Why didn't you send it and tell me the wrong address, some wrong phone number? The status check is up but I can't contact the recipient. What is it? I'm waiting for items. Hurry …"
18, Order online from the shop and deliver with this company. I encountered the problem of failing to send all 4 rounds. It's very bad. Very slow. I don't understand how to fail. …
19," Very bad, hit things back, didn't say a word.  "
20," Waiting for the parcel for a long time, the staff said the car was broken, so they didn't come to deliver the items on the scheduled day and wait for the next day delivery like this? Is there only one sender? …"
21, Paid but didn't get the product and the staff came in to pick up the items in the house and left. …
22," It's a very poor management company. The delivery worker is very tired and tired. Only a few baht per piece. If you have a holiday, you can't stop. You get broken. No reason. Telling the reason is like sending it to a …"
23," Tell me that the parcel has been delivered. Where did you send it to, you signed the parcel yourself or you dropped the parcel, I don't know what the fuck …"
24, Very slow delivery 
25," Sent by a pod. That pan. That's good news that it's growing 3 times. Spit. I recommend you to go to work with other camps. Kerry, JT, etc., come to Khon Kaen. He never exceeds 3 times. Jak An. There is only this camp. …"
26, very bad  
27," Really bad. Management is very bad. Items have arrived for 3 days. Still haven't received the item. Check the status. Can't contact the recipient. Which way do you contact? Mail or telegram, always carry phone because …"
28," Very slow delivery, status information is not updated at all. …"
29," SHNV085531120 The customer is waiting for the parcel at home all day. Checking the parcel, it says that the customer has changed the delivery date and time. The person who is waiting is waiting for the transport staff …"
30, Slowly  
31," It's been a week and I still haven't been able to. Check the parcel number, there is no movement at all. There is nothing that can be contacted to help at all. It's really the worst of the transportation system. …"
32," Very late, made an appointment today.  "
33, Sucks. Slow delivery. Pickled items. No delivery. I do not recommend using this transportation service. It's a waste of time. Stop using the name Ninja. It's not appropriate. Changing to a logistic turtle should be …
34, The parcel was unpacked.  
35, nice big warehouse  
36," Pickled items are very good, don't send items, don't call, the latest we ordered has been bounced back to the sender to wait for 7 days. Very bad. …"
37, There is a subsidiary in Kasetsomboon District. Chaiyaphum Province? …
38," The product came in unpacked the box and it looked broken. The ordered item was not exactly the same, it was enough to see that the product was broken again. …"
39, Not able to deliver but claiming to be unable to call the recipient even though there is no incoming call …
40, Bangchak Branch. Products are delivered very quickly. Polite staff. Call to inform before coming to deliver. …
41," The delivery staff did not arrive, did not contact the customer, did not come back again. Better to close the company …"
42, ninj van Kabinburi has not been contacted yet. The status says that the delivery was unsuccessful due to the customer requesting to adjust the delivery time. what is it …
43, Parcels are being processed at the Ninja Van Warehouse - Ninja Van Sorting Facility. …
44, Shipping is very slow. Calling to ask is not clear. Wait for 7 days. …
45," Too bad, too long, ineffective irresponsible Items have been left at the branch for a long time. Since ordering online from this company the worst All necessary items are missing 😡😡😡 …"
46, Does this company like pickles? How long is it from Bang Phli? Go to Thung Khru …
47, Very bad. I've been waiting for items in Bangkok for 5 days. relayed all the time I can only say that the coordination for 1-2 days is the same. The part of the postponement is delivered on a day to day basis. …
48," Very slow delivery, it will be ruined soon  "
49," I'll tell you Cancellation notification, did not receive the product for 2 rounds to return the sender …"
50," Very slow, send it, don't call Items can't be lost in the night. It's so bad. It's the worst logistics I've ever seen. …"
51," Ordered for a week and still haven't received it yet, bad, bad, bad. …"
52, Very poor delivery I don't know how many calls did not come according to his own appointment And do not call to tell wait a day Do not use it no responsibility …
53, very slow delivery will preserve the product for  
54," Delivery origin on 21 July 64 There are 5 boxes of items. When they arrive at the destination, there are 4 boxes of items. Items arrive at the destination. 24 July 64 …"
55," Very slow delivery, no calls at all, slow service  "
56," It's a very bad transport. There was another branch called to inform that the item would come at 1pm, but it didn't come. The next day, I called back to the same number and told the different branch responsible for …"
57," Item arrived quickly but the service provider is very bad. Come to send, do not call in advance, arrive at the house and then call Said that he wasn't at home, but his daughter lived and didn't leave the money for the …"
58," Very bad service, ordering a lot of things, can't really find this company. Slow delivery Called to make an appointment but didn't come and let us wait. …"
59," Fast delivery, 3 days to arrive. very good transport At first, I thought I wouldn't be able to get items anymore because I saw all the negative reviews. …"
60,Edit: 23/07/2021  บริการดีขึ้นและส่งของตรงเวลาค่ะ …
61," Very slow delivery, called and said they would deliver. Ask where the address is. In the end, he didn't come, didn't call, and was also postponed in the system that the customer informed the postponement of the …"
62, Rama 4 branch. Very bad. Sent many times delayed. Follow until you don't know how to follow. Not responsible. …
63," Very slow delivery, said that I pressed the wrong button, but really refused to deliver that day. will be delivered the next day The next day still hasn't arrived "
64, Drive to the parking lot and shout out of the car that you've come to deliver me...... and let the recipient walk to pick up the goods and pay the car Is this a delivery service? …
65," Very slow, withdraw from the shop. Random delivery. Meet the nemesis ninja. Sending items to adults is much slower than other transports. 😒🙄😤👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎 …"
66, I was informed that the item had been received for 2 days. have not received Tell the wrong address even though the address is the same address Wasting time waiting …
67," Slow delivery, wait until you're discouraged  "
68, Is not sending the rate for 1-2 days and then came to say that he could not be contacted even though he was waiting to receive it and then suddenly returned to the store that did not inform us at all .. very bad …
69, The parcel arrived at the destination. The status of delivery. 7 days have passed and still haven't received the item. and then there is a …
70, Secondary items have been here for several days and have not arrived yet. There is a notification that the item will be delivered on the 12th. This is the 14th day and still haven't contacted me. The delivery is very …
71, Very bad. Pickled. Very good stuff. Don't call the child and say that he can't contact the child. Transport. Arrange delivery for customers from 12 to 14 and still haven't got it. …
72," Received this item from this transport twice. The delivery man spoke harshly both times. Call and ask for directions, not local people, don't know where this address is, there is no alley. Ask Tring why other …"
73," The delivery of this item occurred from the fact that I ordered the product through an online store, which the company shop was. Partner with Ninja Transportation. The delivery of the goods I ordered took a very long …"
74," The parcel called to say that it will be delivered by Thursday when the office is closed. We asked to postpone Friday and the status is up for sure that it's really Friday. But in the end, I waited all day, so I …"
75," Made a purchase from Shopee, got hit back for the 1st time saying that the recipient could not be contacted even though he had not received a call from the staff at all. And call the Call center the second time will …"
76," Sent the item successfully. But who is the recipient, I don't know. signed our name Ours is not important in it is baby milk powder. Let's eat rice first, baby. Because that's the money that I have saved to stock up …"
77," Check the parcel, the status says "
78, The parcel arrived at the destination. The status of delivery. 3 days have passed and still have not received the item. …
79, I can postpone the delivery. Boring. I haven't sent it yet. Is there any responsibility? …
80," Ordered the product on 27 May. July 64 in the system, it says received the parcel successfully. Waited from 28 until the 2nd day. Still haven't arrived. Bangkok-Prachuap, how long will it take? Other companies just …"
81, Worst As far as I can tell you straight It's very slow and it doesn't fit in the system at all. …
82," No staff contacted, no delivery. but into the system that ""Unable to contact recipient"" Terrible. Not delivered in time and then blame the customer …"
83, Not yet. but in shopee system Says sent but can't contact the recipient. But no one has contacted me yet. So confused and writes that it's shipping again. Around 4 p.m. Um. 4 p.m. K sucks. …
84," On May 28, 1964 There was an office worker bringing the parcel to the house. The office worker will take a picture of us claiming to be delivered to the company. will know who is the recipient We refuse to take …"
85," Really sent quickly, but sent to anyone who doesn't know. Plus sign our name as well …"
86, Slow  
87, Shouldn't even get a star Can deliver one piece Very bad experience The address of the responsible person. Turns out to be sending items to the sender. Crazy. Tell us to pick up and send again. .... Complain to the …
88, Very bad  
89," Did not update the product at all. Where is it. Delivered very late, 2 days has not arrived. …"
90," Worst of all, I am waiting to pick you up throughout the delivery from the origin of the delivery to your transport company. Tell the item to be delivered within 20 May - 22 May until today. 21. Items should arrive in …"
91, Very slow transport  
92," Very slow, delivered at 20.00 at the company, who will be there, pick up the goods, and there is no call in advance. Crazy, finally delivered again instead of sending faster than before. Returning to the same time. …"
93, The shop has sent the goods from the 11th until the 14th and has not received the item yet. …
94," At first, it was good..but the latest item was not received .. has not been received. …"
95," Ten days, I tell you, so desperate. I recommend it. I use other brands to finish it. …"
96," Very slow, the delivery shop gave the 6th day. Now, on the 10th day, we still haven't got anything yet. Not far In the metropolitan too …"
97, Very slow  
98, I have been waiting for three days. Said that the rain can't come to deliver. It's an excuse. You can't just do this. You can't go to sleep at home. …
99, The shop's reputation is valuable ... Do not come with this transport. Eliminated every time It's a shepherd boy every now and then. …
100, Denied much responsibility Claimed that in Bangkok sent one day I have been waiting for a week. …
101," I don't want to give a star at all. Delivery is very late, wait 7 days. Think about it. The next round would not use the service and …"
102," The system is increasingly bad in the system that cannot be contacted by numbers. We called to change the number. For fear of bouncing Then sat and waited for a week In the end, I can't tell if I can't contact the …"
103, The delivery is very slow. Say it will be sent within 3-4 business days. Never called But it shows up as if Unable to contact the recipient .. Home of you .. 29/4/64 
104," The delivery was very slow, many shots did not come.  "
105," Honestly, I don't want to give a star Very bad delivery man Ninja Van Thung Khru Before shipping, you have to call the customer first, right? This one is calling, but it is close to calling. We went out to eat. So we …"
106," I am confused. Ordering things, the phone number is attached to the front of the box. But the status says The sender has arrived at the residence but cannot contact the receiver. Calling and not calling the shop all …"
107," Said that the product will be delivered within today But did not deliver, but said that he could not contact the recipient Even though I didn't call once We'll just wait. Going to check again, the delivery can't …"
108," Very bad I don't have one. If you know that you are not ready, you can not tell what is not true. Since ordering things, I have never met Which shipping company was so bad …"
109," Terrible and awful. Said that 4 intersections and then turn right, but went to 3 intersections and then turn right Is it really inseparable? 3 separate and 4 separate? Tell me the way to the house 3 times, I think I …"
110," Transport, do not call Suddenly, the delivery was successful, the item was not interrupted, hurry to deal with …"
111," Delivered very late, all others have delivered. Ninja Van is still at the warehouse. …"
