,Late reviews
11,lazada seller lost lot ninja delivery service trustworthy long hand package always return reason clear week good finally return good ...
26,delivery bekasi cikarang maybe day another courier online store would choose another courier slowness sting death give choosing courier ...
30,bad expedition estimate late
52,problem long delivery normal disappointed one ninjaid courier seemed cheat deliver package night paid thousand courier said ...
62,delivery took long time one contact c dont recommend ...
65,bad long time status still way hadeeuh employee gave star sure ...
68,hoax ninja ad work slow like snail ...
75,package delivery failed twice send last night failed lateness next day priority ...
88,tried call c waiting long time one pick bad delivery service always wrong pickup month running always wrong reprimanded start ...
94,im little disappointed delivery really slow
110,first time used ninja really disappointed wouldnt use another delivery service longest one week jakarta ...
117,real badly slow ninja nearly week stuff ...
122,name express ninja changed snail ninja delivery took long unclear
129,wow bad package took really long time stop moving want use work sad
134,worth long delivery like jne jt tiki lex sicepat ...
135,good arrived please provide info ninja express balikpapan package take long arrive even though already balikpapan parcel sent checked ...
153,shoope delivery service cant choose right ordered yesterday got ninja xpress swear many people keep sending take long time safe ...
170,bro package package really late got email supposed arrive yesterday instead failed send xpress trade hadehhh gimna si ...
173,ninja express took long time ship march really bad order old stuff arrives ...
174,day package cakung latest update ...
195,bad old service like expedition outside city one day city really long ...
197,bad service lack information solution late delivery
200,longest original shipping expedition disappointed badly ...
232,expedition feature call center slow clear delivery hasnt arrived even though jakarta depok outside jabodetabrk could ...
237,longest expeditionary service pdhal send together one j problem bring lot good courier also bring lot stuff anyway give jt ...
239,worse come package didnt arrive didnt move using service arrived using severe express ninja service change name slow ninja ...
252,ninja express slow deliver seler pick good jakarta cmn bandar lampung still jakarta sorry use ninja express disappointedaaaaaaaaa ...
258,disappointed many time delivery expedition really long even though sent seller monday bandung friday afternoon courier telephoned asking address ...
261,umpteenth time disappointed xpress ninja package always take long time pick ask pickup thursday hasnt picked yet tlp c already ad dont change ...
265,package hasnt arrived im sorry used service long time couldnt move fast ...
297,many new expedition time disappointed package picked according schedule took directly partner turned took long time pick huftt ...
