username,date,variation,rating,comment
ardysadewo,2022-03-24 14:28:37,(PERBOX) DUCK HITAM,5,"Bahan:bagus lembut
Kualitas:lumayan lah
Harga:standar lah

Jangan begitu sodara sodara, kalo sodara sodara ingin sukses, maka sodara sodara harus sering bertemu sodara sodara karna kalo sodara sodara tidak bertemu dengan sodara sodara maka sodara sodara tidak punya sodara, maka dari itu sodara sodara harus menghormati sesama sodara sodara agar sodara sodara"
tetehellaaa,2022-03-12 15:29:04,(PERBOX) DUCK PUTIH,5,"Bahan:okeh
Kualitas:oke
Harga:murah

Langganan aku sih 
Cuma pengiriman lama banget 
Seller juga kurang garcep"
a*****n,2022-03-11 12:28:58,(PERBOX) DUCK PUTIH,5,"Harga:oke
Bahan:tebal
Kualitas:mantap

Buat yang item maskernya tebalk, kl buat yang putih di bagian idungnya ga tebel ga tipis mantapppp sii tapi lebih mantap lagi masker putih yang sebelumnya aku pesen itu tebel tebel bngt, kl buat masker itemnya dia konsisten selalu tebal"
nurfajrins916,2022-03-11 23:30:29,(PERBOX) DUCK PUTIH,5,"Bahan:Bagus
Kualitas:Bagus
Harga:Terjangkau

Pembelian kedua aku nih. Yang pertama cuma beli 1 box yang warna hitam. Eh di minta sama saudara aku. Yaudah, aku beli lagi aja. 3 box sekaligus. Buat stock, sama buat mbah - mbah aku. Yeay. Terimakasih admin. Thank you. Nanti kalau udah habis, di jamin balik kesini lagi sih. Tunggu orderan aku lagi"
a*****p,2022-03-14 08:32:53,(PERBOX) DUCK PUTIH,4,"Bahan:spons
Kualitas:terjangkau
Harga:murah

Untuk bahan maskernya tipis ya bestihh, dipakai tapi enak bisa pas di wajahh 
Mmmmmmmmmmm"
f*****4,2022-03-19 17:03:22,(isi 10) KF ABU,5,"Bahan:baik
Kualitas:baik
Harga:terjangkau

Udah ke sekian kali beli di toko ini dan harga engga pernah ngecewain. Langganan terus nih heheh
Terimakasih 🙏🏻😊"
z*****a,2022-03-14 09:37:34,(PERBOX) DUCK HITAM,5,"Bahan:bagus
Kualitas:bagus
Harga:bagus

Barangnya sesuai pict, aslii bagus nhwbhehehehe tngkiuu louv"
n*****8,2022-03-19 10:38:34,(PERBOX) DUCK PUTIH,4,"Harga:baik
Bahan:lumayan
Kualitas:baik

Bahanya lbh bagus yg putih, yg hitam tipis bgt"
t*****_,2022-03-09 19:24:03,(PERBOX) DUCK PUTIH,5,"Harga:murah
Bahan:bagus
Kualitas:bagus

Bagus dan sesuai dengan yang diinginkan 
Tidak mengecewakan"
8*****q,2022-03-23 04:08:12,(isi 10) KF PUTIH,5,"Bahan:bagus lembut
Kualitas:ori
Harga:terjangkau

Real pick banget dah makasih ya sudah sampai pketnya dengan baik 
Maaf y gk smpat foto n vidio yg aq kirim foto lain🤭🤭"
dsr11,2022-03-16 12:59:44,(PERBOX) DUCK PUTIH,5,"Bahan:tidak tipis
Kualitas:bagus
Harga:terjangakau

Cucok"
n*****n,2022-03-15 13:41:49,(PERBOX) DUCK HITAM,5,"Bahan:sangat baguss
Kualitas:baik
Harga:mantap

suka banget, lumayan, pokonya kalyan harus beli"
agusyusfiantoo,2022-03-11 15:32:54,(PERBOX) DUCK PUTIH,4,"Bahan:maskernya bagus
Kualitas:warn yang kf94 aja kurang bagus
Harga:murah banget

Untuk barangnya semua bagus ga ada cacat cuma plis untuk adiminnya jgn slow respon . Di chat ga di bales bales 
Di batalin pesanan baru di responnya atutude nya di perbaiki ya  tq."
anne_hardbox,2022-03-19 19:40:45,(PERBOX) DUCK HITAM,5,"Harga:bersahabat
Bahan:bahan bagus
Kualitas:okke

Bagus dan pas di muka"
p*****r,2022-03-21 12:50:48,(PERBOX) DUCK PUTIH,5,"Harga:Ter MURAH
Bahan:tebal dan aman digunakan
Kualitas:ok

Masker ini berguna untuk melindungi dari debudan kotoran"
r_cvvm79qm,2022-03-23 15:09:45,(PERBOX) DUCK PUTIH,5,"Bahan:lumayan lah dengan harga yang sesuai tidak rugi juga
Kualitas:bagus
Harga:terjangkau"
knnisarmdhni2004,2022-03-24 15:17:19,(PERBOX) DUCK HITAM,5,"Bahan:bagus
Kualitas:bagus
Harga:murah

bagus saya suka"
kh72oirul,2022-03-10 07:09:27,(PERBOX) DUCK HITAM,5,"Bahan:kyk masker pda umumny
Kualitas:bagus
Harga:terjangkau

Maskernya ada yg rusak 1 tpi gpp, aku suka bgt maskerny bagus.. maaf"" ftony gk sesuai"
ferryandy777,2022-02-27 13:23:23,(PERBOX) DUCK PUTIH,3,"Bahan:standart
Kualitas:lumayan
Harga:standart

barang tidak sesuai pada gambar/foto"
riandintrllzr,2022-03-16 18:27:04,(PERBOX) DUCK HITAM,4,"Bahan:bagus
Kualitas:premium
Harga:terjangkau

Barang mendarat dengan selamat"
l*****i,2022-03-05 21:21:35,(PERBOX) DUCK HITAM,5,"Bahan:good
Kualitas:good
Harga:good

Dateng juga maskernya
Bahannya bagus , kemasannya jg rapih
Kerdus nya tidak sobek
Makasih"
vanialubis_,2022-03-10 13:55:23,(PERBOX) DUCK PUTIH,5,"Harga:terjangkau
Bahan:nyaman dipakai
Kualitas:bagus

Pokoknya bagus deh barang nya"
knnisarmdhni2004,2022-03-14 09:20:02,(isi 10) KF ABU,5,"Harga:murah
Bahan:lumayan tipis
Kualitas:bagus

bungkusan nya kurang bagus"
wirdatuljannah361,2022-03-13 16:33:23,(PERBOX) DUCK PUTIH,5,"Bahan:tebal
Kualitas:Bagus
Harga:Murah

Bagus, rekomended banget..terimakasih toko.selalu amanah"
wiwiksriwidayati20,2022-03-08 21:46:50,(PERBOX) DUCK PUTIH,4,"Harga:murah
Bahan:agak tipis
Kualitas:lumayan

Masker nya agak tipis mudah mudahan ngga cepet putus xlo dipake harga lumayan murah pengirimannya agak lama"
annisapbrynti,2022-03-10 11:13:31,(PERBOX) DUCK PUTIH,4,"Kualitas:lumayan
Harga:terjangkau
Bahan:tipis bgt

Kurang 1 maskernya, dan sebagian beda maskernya ada juga yg kusut²😩. Tpis bener maskernya ya ampunnn. Tpi ya harga ga mmbohongi"
a*****n,2022-03-06 14:34:07,(PERBOX) DUCK PUTIH,5,"Bahan:bagus
Kualitas:bagus
Harga:murah

barang sampai dengan selamt...barang oke semoga awet..sukses dan jaya selalu"
,2022-03-02 10:56:31,(PERBOX) DUCK HITAM,5,"Bahan:bagus
Kualitas:bagus
Harga:murah

Harga murah dan produknya juga bagus banget gak nyesel deh Kolok beli di dini dan pengirimannya lumayan cepat dan kurir juga ramah"
s*****3,2022-02-26 17:51:50,(PERBOX) DUCK PUTIH,5,"Bahan:baguss
Kualitas:bagus
Harga:murmer

bagus...murah lagi suka banget trimakasih banyak"
dedisdeka,2022-02-13 11:21:40,(isi 10) KF HITAM,5,"Bahan:halus
Kualitas:baik
Harga:murah standar

thanks ya, produk diterima dengan baik dan aman 👌
jaya terus di darat, laut, dan udara 🚀"
p*****_,2022-03-03 14:18:51,(PERBOX) DUCK PUTIH,5,Alhamdulillah sampe juga barang nya.. Bagus tebel tapi ga engap maskernya. Bagus banget pokoknya ga nyesel order disini
n*****y,2022-02-19 00:35:43,(PERBOX) DUCK HITAM,5,"Bahan:lumayan tebal
Kualitas:bagus
Harga:terjangkau

Bagus sih ini maskernyaa ngga tipis ga tebel jugaa, pas dimukaa. Untuk harga sgini udah worth it banget, trimaksyii"
p*****8,2022-02-25 15:21:44,(PERBOX) DUCK PUTIH,5,"Bahan:masker
Kualitas:oke lumayan
Harga:murah

Bagus untuk harga murah pakingan lumayan kecepatan juga lumayan"
100689rina,2022-02-27 16:11:58,(isi 10) KF ABU,5,"Bahan:bagus
Kualitas:ok
Harga:terjangkau

Barang bagus, harga terjangkau👍👍👍👍👍👍"
mirdanurfauzi,2022-01-16 23:03:30,(isi 10) KF PUTIH,5,"Bahan:agak tebal
Kualitas:ok
Harga:ok banget

Pokoknya recommended banget, bagus semuaa, next order lg disiini"
c*****e,2022-02-18 14:05:51,(PERBOX) DUCK PUTIH,5,"Kualitas:bagus banget
Harga:murahhhh banget
Bahan:bagus banget

Top bgt pkoknya recomended murah dan bahan nya jg ok"
tetehellaaa,2022-01-29 15:46:04,(PERBOX) DUCK PUTIH,5,"Bahan:ok
Kualitas:ok
Harga:murah

Langganan beli dsni ❤️"
bratasukanda,2022-02-17 17:05:18,(PERBOX) DUCK PUTIH,5,"Bahan:Oke standart nya bagus banget
Kualitas:bagguuss banget
Harga:murce

Pasti recomended good sekali 🤙🤙🤙👍"
imandadevina,2022-01-14 21:04:35,(PERBOX) DUCK PUTIH,5,"Kualitas:bagusss
Harga:oke dong
Bahan:lumayan tebal bagus

masker nya gak tipis dan gak terlalu tebal warna nya soft sukkaaaaa 
Seller ramah kurir juga baik makasih ya next orderr disini lagi tq thakyou yaaa 
Semoga suksesss terusss lancar usaha nya yaaa 
Semangat terussss jualan nya kak  banyak rezekinya yaaa  ma a sks shs. Samalos d xjx s sna a sms x xnxj"
dysagy,2022-01-15 12:59:24,(PERBOX) DUCK PUTIH,4,"Bahan:lumayan
Kualitas:lumayan
Harga:lumayan

maskernya udah sampe ternyata tipis yaa
lumayan lah sesuai dengan harga
Terima kasih"
p*****w,2022-02-15 12:57:48,(PERBOX) DUCK HITAM,5,"Harga:murah
Bahan:ok terlalu harum
Kualitas:lumayan tebal

Mantap sesuai pesanan recomed trimakasii"
purnomobagus,2022-01-21 20:37:26,(PERBOX) DUCK HITAM,5,"Bahan:kain
Kualitas:mantap
Harga:standar

Barang cepat sampai
Thx shopee"
mariskaaa_0207,2022-01-31 18:32:22,(PERBOX) DUCK HITAM,3,"Harga:lumayan
Bahan:baik
Kualitas:lumayan

Maskernya bagus, tapi kotak nya udah ga bagus dan pengirimannya lama banget, kasih bintang tiga karna maskernya bagus, ga terlalu tipis dan pas di muka, tapi untuk pengiriman dll saya kasih bintang dua"
brina2005,2022-01-29 12:49:33,(PERBOX) DUCK PUTIH,5,"Kualitas:lumyn
Harga:dpt hrg promo 15k
Bahan:sesuai harga

brg sdh ampe 
sdh dhitung  n pas 50pc
thx sellerrr........................."
f*****p,2022-01-31 15:27:10,(PERBOX) DUCK HITAM,5,"Bahan:bagus
Kualitas:baguas
Harga:mumer

Allhamdullilah udah sampai kemuaskan 🤩🤩"
irwantoirwan129,2022-01-18 10:36:35,(PERBOX) DUCK HITAM,5,"Harga:terjangkau
Bahan:bagus
Kualitas:bagus

Harga terjangkau, tp proses pengiriman lama trims"
vitalokabrbarus,2022-01-12 12:32:33,(PERBOX) DUCK PUTIH,5,"Bahan:bagus
Kualitas:oke
Harga:terjangkau

Udah sering belanja 
Sesuai dengan dengan pesanan
Trima kasih 🙏🙏🙏"
leginakapee,2022-01-09 19:13:38,(PERBOX) DUCK PUTIH,5,"Bahan:tebel
Kualitas:bagus
Harga:oke murmer

nyesel banget knp ga kmren kmren belu disini"
gelapterang,2022-01-04 14:44:13,(PERBOX) DUCK PUTIH,5,"Harga:murah
Bahan:non woven
Kualitas:standar

Ukurannya pas, nggak terlalu sempit. Cuma ujungnya banyak yg kelipet karena dikirim di dalam plastik. Pengiriman cepat. Thanks seller!"
yusriarnadi08,2022-01-14 23:55:45,(PERBOX) DUCK PUTIH,5,"Harga:murah
Bahan:bagus
Kualitas:bagus

Bagus bangetttt
Sesuai expetasi sumpah, keren siiiii
Ini mah harus di check out gaskeun"
uansoumbeh,2022-01-08 16:40:37,(PERBOX) DUCK HITAM,5,"Harga:murah
Bahan:tebal
Kualitas:bagus

barang bagus dengan harga segini worth it banget, tapi kerasa kaya kekecilan gitu atau emang masker duckbill kecil gini ya? overall bagus sih, tali nya kenceng masker nya tebel 👍🏻👍🏻👍🏻"
rens_store24,2022-01-13 23:46:19,(PERBOX) DUCK PUTIH,5,"Harga:Harga worth it, ongkirnya agak mahal
Bahan:Not bad! So so, paslah buat harian
Kualitas:Cukuplah ya

Bersih putih"
h*****a,2022-01-04 14:36:10,(isi 10) KF HITAM,5,"barangnya bagus bgt dan cpt juga nyampenyaa
makasih bnyk kakk"
m*****p,2021-12-30 16:00:33,(isi 10) KF PUTIH,5,"Bahan:lumayan sesuai harga
Kualitas:sesuai harga
Harga:okelah

Terimakasih kak ... Jumlah maskernya sesuai (10pcs) bahannya sama kaya masker biasanya jadi ga tebel dan ga tipis juga.
Amanah terus ya kak.
Pengiriman cepet."
gdjikgfsnnw5415,2022-01-30 12:05:01,(PERBOX) DUCK HITAM,5,"Bahan:bagus
Kualitas:sedang
Harga:terjangkau

Sangat nyaman d pakai"
vitalokabrbarus,2022-01-03 12:40:06,(PERBOX) DUCK PUTIH,5,"Bahan:sangat bagus
Kualitas:bagus
Harga:terjangkau

Senang belanja disini n kurirnya ramah"
idaprilianto,2021-12-22 18:33:40,(PERBOX) DUCK PUTIH,5,"Bahan:bagus
Kualitas:bagus
Harga:murah segini mah

Terimakasih barang sudah diterima barang nya bagussssss"
.*****.,2022-01-05 14:17:20,(PERBOX) DUCK PUTIH,4,"Harga:murah dan terjangkau
Bahan:lumayan oke
Kualitas:standar

Lumayan bgt buat harga segitu maskernya bisa buat sehari hari.
Pengiriman ny agak lama ya tp gapapa yg penting barangnya nyampe dgn aman.
Makasih seller"
sukmadindayanti278_,2021-12-26 21:38:51,(PERBOX) DUCK PUTIH,5,"Bahan:tebal,halus
Kualitas:sangat bagus
Harga:Murmer banget

Maskernya bagus gak nerawang halus pas di muka, costumernya ramah toko nya amanah banget, kurirnya jugak ramah,cuman tadi agak kaget aja kok di kotaknya maskernya warna hitam, pokonya bagus deh"
z*****a,2022-01-07 15:20:25,(PERBOX) DUCK HITAM,5,"Bahan:keren
Kualitas:bagus
Harga:mantap

Keren keknya gua langganan deh ahahah hahaha, maksud dari fotonya coba mereka pake masker dari tokoh ini pasti gantengnya nambah🔥🥵"
