username,date,variation,rating,comment
chuen03,2022-03-19 12:32:40,,3,"Bahan:tebel
Kualitas:baik
Harga:sesuai

Maskernya bgus tpi agak tebel ya trs talinya itu gampang putus🥵 kotak nya digulung susah benerinnya pengemasannya pkek plastik tipis"" tpi baik"" isinya pengirimannya lama xixixi makasi kk"
2*****l,2022-03-20 01:18:48,,5,"Bahan:bagus
Kualitas:mntab bngt
Harga:murce

Thnks y smoga shat sllu seler dn pk kurir.. jgn lupa protokol ksehatan  smoga rezeki mlimpah berkah halal   mskernya bgus tebel. Kek sensi, cman adak rapuh tal8linya  but its okey krena tebel. 
Sip dah"
t*****a,2022-02-27 18:17:23,,5,"Bahan tebal
Semoga konsumen syukak
Dan kmbli order lg d sy
Tengkyuuu shopee n seller"
p*****a,2022-03-05 18:31:02,,5,"Harga:sangat baik
Bahan:bagus bener mirip sensi
Kualitas:baik

makasih seller maskernya bagus cuman talinya kurang panjang"
1*****q,2022-03-02 22:20:44,,5,"Kualitas:bagus
Harga:worth buying
Bahan:ngga kaku

pengiriman cepet banget, kualitas maskernya juga bagus nyaman juga, intinya buat yg lagi cari"" masker mending beli disini dech ♡'
minus cm packagingnya aj sie itu sobek 

makasih"
elanurel,2022-03-06 11:45:07,,5,"Bahan:halus
Kualitas:lumayan bagus, sesuai harga
Harga:terjangkau"
fschannel181,2022-02-28 20:24:35,,5,"Bahan:tebell
Kualitas:bagusss syekalii
Harga:murah bangett

Pas kalo dipakai bahannya adem harganya sangat terjangkau pengiriman cepat sipp"
r*****7,2022-02-13 07:56:05,,5,"Bahan:baguss
Kualitas:baguss
Harga:murah.

Sesuai bgt sama apa yg ada di gambar"
s*****_,2022-02-07 13:50:41,,4,"Bahan:sedikit tipis
Kualitas:lumayan
Harga:sesuai dengan barang

bagus, cuma bnya yg terlipat"" maskernya"
s*****a,2022-02-09 19:53:39,,5,"Bahan:tebal
Kualitas:bagus polll
Harga:murah

alhamdulillah paket sudah datang. ga nyangka si maskernya diluar ekspektasi banget bagus pol. pokoknya rekomend banget deh beli masker ditoko ini makasiiiii🖤"
l*****1,2022-01-28 20:51:45,,5,"Bahan:kurang lembut tp bagus
Kualitas:lumayan
Harga:mumer

Bahan nya aga kasar,tapi luamayan lah sesuai harga 👍😁"
a*****.,2022-02-06 13:39:03,,4,"Bahan:lumayan
Kualitas:lumayan
Harga:murah banget

Pengirimannya agak lama paketnya stadytour dulu bahan lumayan lah"
lailaeni,2022-01-11 07:08:16,,5,"Bahan:lumayan
Kualitas:lumayan
Harga:bersaing

Karetnya cepet putus yg item tebel dibanding yg putih tapi dengan harga segitu okeelah termasuk murah banget, pengiriman cepett bentuknya bagus pas dimuka"
irmadwiyanti_1234,2021-12-24 20:01:21,,5,"Bahan:tebell
Kualitas:oke
Harga:terjangkau

Barang sudah sampai dengan aman 👍, maskernya tebel, wadah maskernh di kasih 3"
l*****6,2021-12-04 11:07:18,,5,"Harga:terjangkau
Bahan:teballl
Kualitas:baik

Best juga nih maskernya, tebal lembut engga kaku, harganya oke, next order ya, thnkyu 👍"
n*****i,2021-12-06 16:34:24,,5,"Harga: sesuai dan murah
Bahan: cantik
Kualitas:bagus

Makasi ya kk bahan nya cantik"
