username,date,variation,rating,comment
momashel31,2021-12-12 16:01:06,HITAM,5,"Harga:murah
Kualitas:lumayan
Ukuran:lumayan 

barang lumayan bagus cuman udah dipasangnya capek lepas lagi lepas lagi...."
hermayani63,2021-11-20 19:48:10,HITAM,5,"Harga:murah 
Kualitas:baik
Ukuran:sedang

Udah nyampei..mantap packing nya rapi ..toko nya nggak pelit sama buble..mantap Poko nya ..the best ...👍👍sukses terus ya"
qilanjani,2021-12-17 23:07:09,BIRU,5,"Ukuran:pas
Kualitas:terjamin
Harga:terjangkau

Kurirnya baik harganya terjangkau kualitasnya terjamin pokoknya mantul"
8zw001wbt9,2021-10-08 17:00:13,Biru,5,"Harga:murah tp ga murahan
Kualitas:oke
Ukuran:pas

Kualitas nya bagus,harga murah tp ga murahan..cuma pengiriman nya aja agak lama tp oke lah barang sampe"
h*****n,2021-09-15 01:09:35,Hitam,3,"Kualitas:kurang baik soalnya ada yang bengkok
Ukuran:kecil

Bagus si tapi ada 1 yang rusak udh gitu gampang copotnya, kalo untuk pengiriman nya lumayan yaa..."
e*****n,2021-09-19 15:20:32,Hitam,5,Barang udah sampai pengirimn lumayn cepet datang nya tapi belom di buka
chikitaat,2022-02-24 15:18:20,HITAM,5,"Ukuran:sedeng, ga terlalu gede
Kualitas:ada yg rusak retak di penyangga plastiknya
Harga:murah

Raknya bagus dengan harga segini, tapi ada retak di penyangga plastiknya. Terus pas dipasang kurang kokoh suka ada beberapa yg gampang copot, ini saya di selotip lagi tiap ujung2nya. Tapi worth it kok buat yg mau beli👍🏻"
ekajunir.suwarno190697,2021-10-09 14:22:12,Biru,5,"Harga:murahhh
Kualitas:bagus
Ukuran:lumayan

BagznsgzksvzksbajakbznavskabsvjvuTgohhzhh jjsraoklghsyuldts kftarglbh fsyrll jvtarrojhYh kartlhlj"
elizaelvo,2022-03-20 22:02:39,HITAM,5,"Ukuran:lumayan
Kualitas:baik
Harga:murah

Allhamdulilah cepat sekali sampai nya
Pengemasan ny juga sefty ya
Semoga awet... 
Maaf vidio ny beda 😅"
o*****1,2022-02-18 18:08:22,HITAM,5,"Ukuran:sesuai deskripsi
Kualitas:oke
Harga:kurang bersahabat 😁😁

Harga nya sih agak miring ya ..tpi ongkir nya mahal gays
Thanks seller, gapapa kok
Yg penting sesuai deskripsi"
j*****t,2022-02-19 00:02:01,HITAM,5,
y*****5,2022-03-03 19:15:58,HITAM,5,"Ukuran:gak terlalu besar, tapi untuk satu orang, cukuplah rak sepatunya 4 susun
Kualitas:bagus
Harga:terjangkau. tidak terlalu mahal, barang bagus.

pas pemasangannya aja nanti harus hati2, kadang2 suka copot sendiri besinya, krna ada yg agak beda ukurannya"
