username,date,variation,rating,comment
e*****a,2022-03-19 20:57:58,NICE 180 sheet,5,"Ketebalan:lumayan
Kelembutan:standar
Daya serap:lumayan

Mantap gan God bless you sampai ketemu di harbolnas lagi ciyeee di ruang server Shopee pay"
nyess_01,2022-03-24 12:16:44,NICE 180 sheet,4,"Ketebalan:bagus
Kelembutan:lembut
Daya serap:baik

Kelembutan bagus, daya serap air bagus... Keterlambatan sampai di alamat"
r*****7,2022-03-21 08:29:31,NICE 180 sheet,5,"Ketebalan:tebal
Kelembutan:lembut
Daya serap:baik

Terimakasih sdh dtg dgn aman .. Tissue nice lembut tekstur nya sehingga nyaman dikulit .. 🥰"
a*****h,2022-02-28 18:41:44,NICE 180 sheet,4,"Ketebalan:oke
Kelembutan:oke
Daya serap:oke

Packingan sampe rumah sobek jd ada tissu yang sobek 2 pack
Pengiriman cepet banget
Harga nya lebih murah"
far.daster.shop,2022-02-10 05:01:36,NICE 180 sheet,5,"Ketebalan:bagus
Kelembutan:bagus
Daya serap:bagus

maaf kak fto gk sesuai... sudah di jual lagii.... smua lengkap bagus"
isna14awalia,2022-03-04 16:36:40,NICE 180 sheet,5,"Daya serap:bagus
Ketebalan:oke
Kelembutan:lembut

sip"
rrreetnooo,2022-03-02 18:36:28,NICE 180 sheet,5,"Ketebalan:ok
Kelembutan:sip
Daya serap:ok

packing rapi, harga ok banget nanti kalau ada promo lagi pasti beli lagi sering sering ya di adain promo lagi ya"
marlinahot,2022-02-11 17:49:54,NICE 180 sheet,5,"Ketebalan:Baik
Kelembutan:Baik
Daya serap:Baik

Baik, cepat, sesuai, aman, bagus, semoga awet untuk jangka panjang. terimakasih pelayanan toko dan kurir nya."
d*****9,2022-01-30 12:15:12,NICE 180 sheet,4,"Ketebalan:ok
Kelembutan:ok
Daya serap:om

Tengkyu seller, tlg sdh 3x saya beli, tp msh aja packing bermslh. Jd saya jualan tissue rugi ya.. byk yg sobek, akhir pk sendiri. Ga bs ke jual. Sobeknya parah ka. Tlg jgn sepeeti ini lg ya ka. Sukses."
roha72,2022-02-16 20:37:25,NICE 180 sheet,5,"Ketebalan:lumayan
Kelembutan:baik
Daya serap:baik

Harganya murah ....respon reseller sangat baik...trm ksh"
s*****1,2022-01-17 13:19:04,NICE 180 sheet,5,"Ketebalan:blm dipakai
Kelembutan:blm dibuka dr packingny
Daya serap:semoga saja kualitas nice

Alhamdulillah.... Barangnya udah sampe... Harga nya murah bangetttt"
n*****3,2022-01-07 00:43:59,NICE 180 sheet,3,"Ketebalan:standar
Kelembutan:standar
Daya serap:bagus

Tisu nice dgn harga ekonomis sesuai kebutuhan,, tp sayang pengiriman nya lama , pengemasan juga kurang aman karna plastiknya teramat sangat tipis jd tolong diperbaiki"
rahmaanggunnisa,2022-01-13 11:40:18,NICE 180 sheet,4,"Kelembutan:oke
Daya serap:oke
Ketebalan:oke

Packing ga rapih, plastik nya robek. Untung tisu nya aman."
rinigumilar06,2021-12-08 08:46:18,NICE 180 sheet,5,"Kelembutan:lumayan
Daya serap:cukup
Ketebalan:lumayan lah

Tisu yang dengan harga murah,,dengan ketebalan lumayan menyerap,, pengiriman nya cepat..."
defebsws,2021-11-30 11:04:55,NICE 180 sheet,5,"Kelembutan:lembuuut cocok utk wajah
Daya serap:baik.
Ketebalan:ada 2 lapis tisu

Tisunya pengirimannyacepat, harga murah meriah dibanding toko lain, tisu bersih, bungkus aman. Mantaaaaaap"
mamanyaalvi,2021-12-26 16:44:44,NICE 180 sheet,5,"Ketebalan:tebal
Kelembutan:lembut
Daya serap:baik

Kualitas produk sangat baik, produk original.. harga murah tapi kualitas produk ngga murahan...pengemasan dan pengiriman cepat...oke banget,, terimakasih 🙏"
