username,date,variation,rating,comment
putri_042618,2022-03-05 23:37:00,Odol Strawberry,4,"Bahan:silicon
Ukuran:untuk 2thn'an karna buat setaun masih kegedean
Bentuk:huruf U

Ga niad packing.. ms bgini sii bentuk nya 🤦jd ga higienis dehh.. jd curiga ini second/barang return atau ory..
Untuk usia baby di bawah 2thn ga rekomen yaa,, masih kegedean.. baby ku 1.5thn ga muad di mulutnya"
firdakyn9,2022-03-08 10:37:01,6-12 pink,5,"Bahan:bagusss
Ukuran:pas untuk adek saya
Bentuk:bentuk U

Buat anak yang susah buat sikat gigi cocok banget pake ini,biar ga susah susah buat buka mulutnyaa👍🏻"
mamahfajri296,2022-03-11 17:44:47,Odol Strawberry,5,"Bahan:lembut
Ukuran:pas
Bentuk:lucu

Bagus sekali anak ku suka bgt dgn sikat gigi nya terimakasih"
fahrunnisanisa,2022-03-08 12:00:34,6-12 biru,5,"Ukuran:standar
Bentuk:U
Bahan:silicon

Bagus,,, gelasnya lucu🤭 mantap bgt👍"
r*****3,2022-02-28 15:03:30,Odol Strawberry,5,"Bahan:bagus
Ukuran:pas
Bentuk:sesuai

Bagus ya, pengen cepet mau cobain di anak.👍👍"
iko1976,2022-02-07 11:37:29,6-12 pink,5,"Bahan:karet
Ukuran:standar
Bentuk:u

Barang sudah datang sesuai pesanan harga murah di toko ini"
joshuaonny27,2022-01-30 23:46:42,6-12 pink,5,"Ukuran:Oke
Bentuk:Oke
Bahan:Oke

Barang udh sy terima dgn keadaan baik, anak saya suka banget. Makasih gan n sukses selalu"
kartikha88putri,2022-02-12 20:10:05,6-12 pink,5,"Ukuran:2_6 6_12
Bentuk:U
Bahan:silikon

Bahan bagus anak ku juga seneng banget di beliin sikat gigi bentuk u pokonya ga nyesel beli di toko ini Aku langsung beli 3"
rara220620,2022-02-04 22:42:48,2-6 Biru,5,"Bentuk:oke bangus
Bahan:oke lembut
Ukuran:engga tau

Makasih sikat gigi nya sudah sampai dengan selamat ditempat tujuan rumah ku. 
Sikat nya lumayan empuk. 
Lucu, unik dan aku suka. 
Pengiriman cepat. 
Kualitas juga oke banget. 
Semoga toko ini rezeki nya lancar selalu 🙏🏻🥰"
m*****5,2022-01-25 16:48:51,Odol Strawberry,5,"Bentuk:🪚🪚🪚🪚
Bahan:elastis
Ukuran:sedang

Perbaiki sholat, sampai kamu gelisah ketika mau meninggalkannya."
shakeela_azzahra,2022-01-05 21:06:00,2-6 Biru,5,"Ukuran:pas untuk dipegang anak
Bentuk:Sikat U
Bahan:plastik

Bahan bagus buat sikat gigi anak ,apalagi yg susah buat gosok giginya😂 pake ini aja tinggal geser2 udah pokoknya baguss 👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼"
yuliartiyulia,2021-12-17 22:58:50,2-6 Pink,5,"Bentuk:lucu
Bahan:lembut
Ukuran:pas

Makasih ka barang sudah datang sesuai"
hendritrioni,2022-01-22 16:26:27,6-12 pink,5,Bahan:blm di coba semoga sesuai tdk mengecewakan 🙏
l*****r,2021-12-12 23:46:07,6-12 biru,5,"Bahan:karet dan plastik
Ukuran:standart
Bentuk: U

Terimakasih barangnya udh sampai,blm dicoba lg sy rendam dl dgn air hangat biar steril bt anak2 smoga cocok utk anak sy,pengiriman cepat walaupun hari minggu kurir ttp kirim barang...thx ya seller,shopee n babang kurir pertahankan pelayanannya👍"
w*****0,2021-11-27 12:00:04,Pink,4,"Bahan:kuat
Ukuran:standar
Bentuk:lucu 

Recommended bgt sii buat anak"" 
Adek ku jdi gampang sikat gigi, praktis bgt.
Nnti beli lagi insyaallah."
anindita_naila,2021-12-17 17:50:11,2-6 Pink,5,"Bahan:empuk
Ukuran:sesuai
Bentuk:lucu

Tekstur empuk dan lentur, bentuk unik dan lucu 😍😘"
w*****0,2021-11-19 22:21:02,Pink,4,"Bahan:plastik
Ukuran:pas
Bentuk:lucuu

Recommended bgt sii, pas buat adek akuu, kapan"" beli lagi"
utarinandya,2021-12-08 19:16:53,2-6 Pink,5,"Pengiriman sangat cepat, harga bersahabat, kualitas barang sesuai dengan harga."
f*****_,2022-03-11 16:04:01,6-12 pink,5,"Bahan:baik
Ukuran:lumayan
Bentuk:baik

Alhamfulillah paket sampai dgn selamat dan sesuai pesanan. 
Dtang belum tidak pake kotak cuma pake buble tidak masuk kotaknya. 
Terima kasih sudah amanah dan smoga berkah tokonya.."
u*****6,2022-03-07 07:31:44,6-12 pink,5,"Bahan:belum dicoba
Ukuran:belum dicoba
Bentuk:sesuai gambar

Alhamdulillah, sikat gigi & odolnya udah sampe dengan aman, bubble wrapnya dipake in, sesuai pesenan juga, harga produk lumayan, kecepatan pengiriman sesuai estimasi, respon penjual baik, makasih ya.."
aisyahrhma1406,2022-03-11 17:52:47,Odol Strawberry,4,"Bentuk:U
Bahan:Silikon
Ukuran:2-6

Pketnya da smpeee blm di coba si smoga aja berfungsi dgn bnr mksh seller 🤗"
kianisroom,2022-01-25 11:30:30,Odol Strawberry,5,"Ukuran:2-6th
Bentuk:sesuai
Bahan:sesuai harga

Bahan sikat gigi sesuai dengan harganya, cetakan pegangan kurang halus"
