username,date,variation,rating,comment
_sh0pping_,2022-03-07 12:48:41,ZW7-7L KUNING,5,"Harga:terjangkau
Kualitas:baik dan bagus
Desain:tidak ada desain motif bagus

Bahan bagus
Kualitas baik
Packing rapi
Bahan nyaman
Tepat waktu
Harga terjangkau"
herlindawatikiswoy0,2022-03-01 18:39:45,W71 PROMO PUTIH 3mm,3,"Harga:standar
Kualitas:standar
Desain:bagus

Kurang lengket lem nya, jd ngga nempel di tembok, butuh perjuangan bgt, desain baguss..."
_sh0pping_,2022-01-03 17:41:13,W714 PROMO PUTIH 4MM,5,"Desain:menarik
Harga:terjangkau
Kualitas:baik dan bagus

Produk baik
Kualitas baik
Packing rapi
Sampai dengan baik
Kurir baik
Barang aman 
Pakai ID expres pengiriman 2 hari sampai"
irarabmawati,2021-12-30 17:46:20,W71 PROMO PUTIH 3mm,5,"Barang nya ok makanya saya beli lagi..murah LG, pengiriman juga ok"
a*****8,2021-12-14 11:19:57,W61 PUTIH 5-6MM,5,"Harga:mantap
Kualitas:bagus
Desain:oke

Mantap buat desain apapun di ruangan"
r*****r,2021-12-10 00:36:44,W71 PROMO PUTIH 3mm,3,"Harga:standar
Kualitas:sesuai harga

Tipis, agak susah dipasang , gk sinkron antara satu sma yg lainx garisnya jd kurang rapi.. ukurannya jg selisih satu sma lain 
Ada yg sobek ujungnya selembar"
elynsusiana,2021-11-05 15:11:39,W71 PROMO PUTIH 3mm,5,"Harga:murah sesuai dengan produk 
Kualitas:bagus bahannya gk begitu tipis 
Desain:keren packingnya jga rapi 

Mkasih yaa"
elynsusiana,2021-11-05 15:16:29,W71 PROMO PUTIH 3mm,5,"Harga:murah sesuai bahan gk bgtu tipis jga 
Kualitas:bagus dan pengiriman begitu cepat 
Desain:lumayan bagus 👍

Terima kasih bnyak yaa"
alviesiiputricabelita,2021-11-24 19:17:05,W51 PUTIH 4.5mm,5,"Harga:murah
Kualitas:lumayan
Desain:biasa

Cpt bngt pengirimannya, respon penjual jga cepet
Trimakasih..."
s*****n,2021-11-25 20:05:52,BATA PUTIH 3mm 70X38,5,"untuk kedua kalinya pesan di toko ini, bagus sih sesuai dengan harga hehe"
elynsusiana,2021-11-05 15:14:33,W71 PROMO PUTIH 3mm,5,"Harga:murah 
Kualitas:lumayan bagus wlaupun agak tipis sesuai sma harganya 
Desain:bagus Oke bgt "
dhienfebridiana,2021-11-14 01:05:28,W52 PINK 4.5mm,5,"Kualitas:ok
Desain:mantappp

Haruss sabar ngerjainnya,,,krna kalo dah nmpel susah bukanya,,jadi  masang nya harus teliti yaaaah"
dhienfebridiana,2021-11-10 21:45:58,"BK310 CAT 3,5mm",5,"Kualitas:oke
Desain:bagus bangettt

Lem nya kuat,bahan agak tipis sih,tapi sesuai dg harga...pokok e mantapp..!!!"
azrilmandala2009,2021-08-23 14:22:21,W57 KUNING 4.5mm,5,"Harga:standart
Kualitas:lumayan
Desain:netral

paket sudah diterima sesuai alamat pesanan jumlahnya sesuai belanja di shopee mall toko ini bagus kwalitas ori sellernya baik chat dibalas pengirimn sesuai antrian orderan packing aman fungsi normal terimakasih"
gilangramadhan12328,2021-09-23 15:52:58,W71 PROMO PUTIH 3mm,5,"Harga:murah
Kualitas:standar,buat harga segitu mantap si
Desain:keren abhiss

Keren banget kalau beli di toko offline harganya mahal  proses masangnya lumayan gampang cuman 4 ngelupas kertasnya harus hati-hati karena lem yang lengket banget overall bagus banget ruang kucing gua jadi keren abis respon admin bagus banget ramah next bakal order lagi pokoknya bakal jadi langganan"
asihnarsih30,2021-10-21 17:56:31,BATA PUTIH 3mm 70X38,5,"Harga:sangat murah 
Kualitas:bagus
Desain:bagus

Worth it banget walpaper sebagus ini dengan harga yang sangat murah"
h*****7,2021-09-23 16:56:03,W71 PROMO PUTIH 3mm,5,"Harga:mantap
Kualitas:mantap
Desain:mantap

Bagus bgt sesuai ga nyesel deh mantap👍"
r*****d,2021-11-14 19:52:13,W71 PROMO PUTIH 3mm,5,"Bagus.. pasangnya juga gampang
Keluhannya cuma warnanya beda
Putihnya ga sama, ada yg putih brsih ada yg kecoklatan"
bishry4hmad,2021-10-27 19:21:30,"BK35 ANIMAL 3,5mm",5,"Harga:👍
Kualitas:👍
Desain:👍 Anak suka, lgsg dijadiin basecamp santai"
a*****6,2021-11-17 11:36:40,W61 PUTIH 5-6MM,5,"Harga:terjangkau
Kualitas:bagus
Desain:mewah

Suka sekali terimakasih 🥰"
n*****1,2021-10-11 08:35:53,W71 PROMO PUTIH 3mm,4,"Harga:murah bgt
Kualitas:lumayan
Desain:baguss

Cuma bahannya agak tipis, lem nya nempel kemana mana wkwk"
emahgustiani,2021-11-13 17:10:02,RIB30-B PUTIH 3MM,5,"Harga:muraaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaahh
Kualitas:ookkkeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
Desain:okkkkkkeeeeeeeeeeeeeeeeeeee

Okkkeeeeeeeee"
s*****z,2021-09-29 19:39:00,W76 PROMO ABU 3mm,3,"Harga:harga oke lah, murah sesuai dgn produknya
Kualitas:kualitas cetaknya bagus rapih
Desain:desain bagus dan rapih

Sangat di sayngkan barangnya sesui dgn harga, kualitas bagus, hanya sj pemotongannya yg SANGAT MENGECEWAKAN karna tdk diperhatikan dgn baik, yg susah skrng pembeli saat oemasangan karna ada bagian sisi yg kecil dan ad jg yg besar, walaupun dipotong ttp akan tidak merata jg . Tlong agar di perhatikan"
d*****y,2021-10-04 08:27:30,W61 PUTIH 5-6MM,5,"Harga:sesuai
Kualitas:sesuai
Desain:sesuai

Kualitasnya bagus, produknya sangat baik"
a*****6,2021-09-28 14:37:44,W73 PROMO BIRU 3mm,5,"Harga:biasa
Kualitas:lumayan bagus
Desain:ya sesuai ekspektasi

Respon penjual cepat pengiriman cepat. mudah mudahan tidak mengecewakan jika order berulang kali di sini"
arcell_131019,2021-10-08 11:36:30,W71 PROMO PUTIH 3mm,5,"Harga:murah
Kualitas:ok
Desain:bagus

Sudah sekian kalibeli disini,tdk pernah mengecewakan barangnya 👍🏻👍🏻👍🏻"
