username,date,variation,rating,comment
d*****u,2022-02-05 13:02:12,"KLEM LED STRIP ALL,METERAN",3,"Kualitas:setandar
Harga:agak mahal
Daya listrik:v12

Bahan plastik, tdk terlalu transparan
Harga nya agk mahal, 900 hanya untuk 1 buah
Kualitas baik
Saya harap harga bisa lebih murah"
roy_alfarizy226,2022-02-02 21:50:16,"UNGU,METERAN",5,"Kualitas:Bagus
Harga:murah
Daya listrik:hemat

Bagus Rekomended"
n*****n,2021-12-01 19:49:58,"SOKET WATERPROOF,METERAN",5,"Mkasih kak... 
Harga murah
Kualitas bagus
Pengiriman cepat
Seneng bgt, Dapurku jadi cantik..."
mbahmunkaligrafi,2021-12-11 09:56:22,"PUTIH,METERAN",5,"Harga:lumayan murah dan terjangkau...
Daya listrik:lumayan irit ..
Kualitas:Alhamdulillah sesuai yang diharapkan"
l*****o,2021-11-23 19:19:05,"BIRU,METERAN",5,"Harga:murah
Daya listrik:hemat
Kualitas:baik

Nyala semua sipppppp"
nailaamaniella,2021-11-15 12:58:46,"PIN JARUM COVER,METERAN",5,"Harga:murah tak kira panjang bgt heheh sesuai harga murah
Daya listrik:gk tau 
Kualitas:bagus udh nyala 

Assalamu Alaikum kk brang tlah sampai dgn slmat gk ada yg ccat kok kk nyala smua"
ezra.christa,2021-10-18 21:54:03,"SOKET BIASA,METERAN",5,"Harga:murah sekali
Daya listrik:hemat
Kualitas:sangat bagus

Barang sudah sampai dengan selamat dan aman.  Kulitas barang bagus. Packing rapi... Mantaaaaf pokok e.."
alyanisa071105,2021-11-16 16:48:40,"SOKET WATERPROOF,METERAN",5,"Harga:sesuai
Daya listrik:bagus
Kualitas:bagus

Bagus warnanya"
g*****_,2021-11-16 20:17:21,"ICE BLUE,METERAN",4,"Harga:oke juga
Daya listrik:em lumayan
Kualitas:oke

Trimakasih lampunya sudah mendarat dengan selamat"
angdamesfa,2021-09-14 09:19:26,"SOKET WATERPROOF,METERAN",5,"Harga:terjangkau
Daya listrik:aman standart
Kualitas:bagus banget

Udah 2 kali beli di store ini bagus bgt terjamin"
i*****i,2021-09-28 11:54:41,"SOKET WATERPROOF,METERAN",5,"Harga:terjangkau
Daya listrik:sedang
Kualitas:baguus

Alhamdulillah paket lampu LED nya sudah diterima, pas dinyalain semua nyala gak ada yg rusak,puaas deh belanja disini,pokoknya mantaap👍👍"
endrikori85,2021-10-23 19:13:04,"SOKET BIASA,METERAN",5,"Harga:terjangkauu
Daya listrik:belum dipasang
Kualitas:baikkkkk bagusss

Bagusss bakal langganan dsiniii 😍😍😍"
s*****_,2021-09-04 08:24:57,"KLEM LED STRIP ALL,METERAN",5,"Harga:pas
Daya listrik:belum
Kualitas:bagus

Pas terang bagus lah pokok nya mantap"
r*****7,2022-03-18 17:54:58,"SOKET 5050 ~1 METER~,METERAN",5,"Kualitas:Normal
Harga:Murah
Daya listrik:-

Terimakasih Sudah dtg dengan Aman dan Cepat .
Suka lampunya bagus terang .. ❤"
novelwaa,2022-03-06 20:27:24,"TUTUP LAMPU KECIL,METERAN",5,"Kualitas:bagus banget demi apaaaaa
Harga:kalo itungannya per meter murah banget ye kan, cuma 5rb an.
Daya listrik:gatau

Udah was2 sebenarnya karena digalerry pembeli tu ada aja yg kurang gitu kan. Tapi ini engga dongggg. Bersyukur banget sumpahh. Tapi ini keknya lebih ke ice blue sih bukan blue, tp gpp bingung jg sebenarnya beli blue apa ice blue, yg dtg kek gini suka2 aja."
yantosilorayanto,2022-02-17 13:00:56,"PIN JARUM COVER,METERAN",4,"Paket suda di terima. Cukup lumayan lampu yah bagus banget. Tapi satu sayah minta 19 meter datang cuma 18 meter setengah.
Tapi tra apa2👍"
echygramezazi,2021-08-27 19:14:16,"SOKET BIASA,METERAN",5,"Harga:terjangkau banget
Daya listrik:oke banget
Kualitas:sangat bagus

Sudah order kesekian kalinya dan selalu puas puas.. para pelanggan ku selalu puaaas.. terimakasih 🙏🙏 next order lagi"
avaqanita,2021-10-03 13:52:45,"KLEM LED STRIP ALL,METERAN",5,"Harga:murce syekali
Daya listrik:hemat banget
Kualitas:bagus banget

Yaa walaupun klemnya kurang 1 tpi tetep okeh deh pokoknya respon adminnya juga cepet sabar ngadepin aku yg banyak tanya🥰"
b*****w,2021-10-21 08:51:20,"PINK,METERAN",5,"Harga:harga lumayan murah
Daya listrik:dya listrik sangat irit sekli
Kualitas:barangnya sangat bagus"
khafidurroziqin,2021-11-14 10:01:22,"TUTUP LAMPU KECIL,METERAN",5,"Harga:murah banget
Daya listrik:oke
Kualitas:sangat bagus

Pengiriman cepet banget, harga sangat murah, barang juga oke, bakalan order disini lagi, cuma packaging aja kurang safety cuma dibungkus sama plastik aja, mungkin bisa ditambah bubble wrap/kardus. But overall mantap lahh ."
a*****9,2021-10-29 14:33:04,"SOKET WATERPROOF,METERAN",2,"Packingnya cm pake plastik dan walhasil yg dilakban pun lepas karna kepanasan
Trus pengiriman jg lama. Hihi ."
