username,date,variation,rating,comment
yasir_ba_68,2022-03-14 18:23:13,35ML.Bubble Gum,4,"Ketahanan:Bertahan 2 Jam
Kemasan:Bagus dan Rapih
Wangi:Tahan lama

Barang bagus barang original barang tidak ada cacatnya penjualnya baik penjualnya responsif dan baik pengiriman sangat cepat packingnya rapi dan baik terima kasih"
anisalisti08,2022-03-24 17:12:22,35ML.Peach Baby,5,"Wangi:wanginya enak banget gak nyengat
Ketahanan:belum coba
Kemasan:pengemasan aman pake banget bubble wrap tebel

Baru coba udah suka banget besok² mau beli sini lagi deh"
0*****g,2022-03-17 17:04:03,35ML.JnhsonBabyy,5,"Wangi:banget
Ketahanan:blm coba
Kemasan:aman

wangi” bgtt💘
agak lama pengiriman nya👍🏻"
puteriaurelia61,2022-02-27 21:06:49,35ML.Aigner Blue,5,"Wangi:enak semuanya masyaallah
Ketahanan:2 jam
Kemasan:bagussss

kali ini ada beberapa yg alkoholnya tuh buanyak bgt dan sakkit gitu di idung. sama stikernya ada yg ga rapi"
sfdlla__,2022-03-14 15:07:34,35ML.Dior sauvage,2,"baccarat nya pecah terus Gucci blom nya ga pecah cuma tumpah dikit""pas di buka tapi kalo di blg lumayan juga sih"
tyt6n_57jr,2022-02-09 06:11:09,35ML.Baccarat,5,"Wangi:Enak bangett akuu mau repeat order hehehe
Ketahanan:Nggak tahan lama si emang
Kemasan:Pake botol kaca tutupnya besi

Kualitas produk sangat baik, produk original, harga produk sangat baik, kecepatan pengiriman sangat baik, respon penjual sangat baik, cuman pengemasannya aja yang lama dikit, kemarin beliin temen eh akhirnya pengen beli juga, mana murah lagi"
faisal_helm,2022-03-08 20:03:46,35ML.Dior sauvage,5,"Wangi:lumayan
Ketahanan:tidak lama
Kemasan:menarik

Sesuai harga lah"
siti_senailah,2022-03-03 15:21:12,35ML.Peach Baby,5,"Ketahanan:gak trlalu lama
Kemasan:bagus
Wangi:wangi

Senyum kaba semangan akuSenyum kaba Senyum kaba semangan aku akuSenyum kaba semangasemangann akusemangan
Senyum kaba Senyum kaba semangan aku ak"
justitiasusila,2022-02-16 15:02:58,35ML.Avril Lavigne,5,"Wangi:wangi banget
Ketahanan:lamaaa
Kemasan:kemasan sangat bagus"
n*****y,2022-02-17 11:53:51,35ML.Black Opium,5,"Wangi:semoga wanginya awet
Ketahanan:belum d coba
Kemasan:kemasan rapi

Harga terjangkau"
r.a.p2019,2022-02-22 16:24:10,35ML.Bvlgari Man,5,"Wangi:Wangi banget
Ketahanan:belum dicoba semoga awet
Kemasan:dikemas dengan rapi dan aman"
yolanenda,2022-02-09 20:33:54,35ML.DiamorWoman,5,"Wangi:wangi semua
Ketahanan:sesuai harga jadi ya tahan juga
Kemasan:bagus

Bagus packing aman semua sesuai"
ezieca,2022-02-16 07:15:56,35ML.White Musk,5,"Wangi:kurang
Ketahanan:disemprot aja wanginya gaada
Kemasan:kaca

wanginya enak tapi ga tahan lama banget gitu, disemprot juga ga terlalu nyegat bau nya, tapi ua harga segini maklum si gapapa trims pengiriman cepet bgt"
kumaladla22,2022-02-07 19:23:24,35ML.Vs aqua kiss,5,"Kemasan:bagus, aman
Wangi:enak, kalem
Ketahanan:lumayan

bagus banget, walaupun murah gak bau alkohol sama sekali. good"
pyz9__xuwc,2022-02-11 19:19:47,35ML.DiamorWoman,5,Wangi bangettt ❤️udah langganan sih beli disini❤️❤️❤️❤️❤️❤️❤️
t*****_,2022-01-25 08:08:36,35ML.Aigner Blue,5,"Wangi:baik
Ketahanan:baik
Kemasan:aman sentosa

Terima kasih ya. Sudah sampai. Tapi pavkingnya longgar sekali...
Trima kasih.. Smpai dengan aman"
azizahula,2022-02-18 19:26:05,35ML.Avril Lavigne,4,"Wangi:segar
Ketahanan:lumayan
Kemasan:baik

sesuai dengan harga"
4i00hrqoi5bazs8lm7apjyd4i8kf,2022-02-20 23:28:19,35ML.Black Opium,5,"Wangi:lembut, tidak menyengat, enak
Ketahanan:lumayan
Kemasan:rapi

Thank you seller, paket sudah sampai, packing rapi, kurir ramah, produk datang sesuai pesanan,"
vhanshant,2022-01-19 17:55:39,35ML.Nagita Slavina,5,"Udah sampek , pengiriman cepatt , rekomended Udah sampek , pengiriman cepatt , rekomended Udah sampek , pengiriman cepatt , rekomended Udah sampek , pengiriman cepatt , rekomended Udah sampek , pengiriman cepatt , rekomended Udah sampek , pengiriman cepatt , rekomended Udah sampek , pengiriman cepat"
fidiaawati123,2022-01-21 13:23:12,35ML.Dunhill blue,5,"Kemasan:baik
Wangi:baik
Ketahanan:baik

Maaf g smpt fto tp bgus smua brang ditokonya min..thanks"
fidiaawati123,2022-01-21 13:23:12,35ML.Dunhill blue,5,"Kemasan:baik
Wangi:baik
Ketahanan:baik

Maaf g smpt fto tp bgus smua brang ditokonya min..thanks"
t*****_,2022-01-25 16:28:21,35ML.Twilly D,5,"Ketahanan:baik
Kemasan:baik
Wangi:baik

Baik terima kasih ya saller. Sudah sampai dengan an selamat ya. Makasih.."
meisyabilqishadina178,2022-02-05 12:18:56,35ML.Dior sauvage,5,"Wangi:wangi banget
Ketahanan:ga lama lama banget, mungkin cuma 2-3 jam, tapi harum banget
Kemasan:rapih"
,2022-02-04 16:46:42,35ML.White Musk,5,"Wangi:Nagita soft, baccarat nyengat, garuda soft, white musk sedikit nyengat
Ketahanan:Sedikit tahan lama
Kemasan:Kaca, elegan, lucu

Alhamdulillah sudah sampai dengan selamat. Lengkap. Murah meriah❤️❤️"
,2022-02-04 16:44:23,35ML.Nagita Slavina,5,"Wangi:Nagita soft, baccarat nyengat, garuda soft, white musk sedikit nyengat
Ketahanan:Sedikit tahan lama
Kemasan:Kaca, elegan, lucu

Alhamdulillah sudah sampai dengan selamat. Lengkap. Murah meriah❤️❤️"
elsafidya,2022-01-30 09:54:10,35ML.Switbabies,5,"Wangi:soft
Ketahanan:agak lama
Kemasan:aman

Paket udah datang, pengririman agak lama, barang aman,"
fidiaawati123,2022-01-21 13:30:06,35ML.Bubble Gum,5,"Ketahanan:baik
Kemasan:baik
Wangi:baik

Maaf g smpt fto tp bgus smua brang ditokonya min..thanks"
itakktak,2022-01-04 19:49:06,35ML.Giorgio Armani,5,"Wangi:wangi
Ketahanan:belum coba sama sekali
Kemasan:baik

Lain kali di perbaiki ya kak utk mslh botol, warna serta bauknya. Memang respon penjual ramah dan bisa di kembalikan barang/dana meskipun masa garansi shopee habis, tapi kita pakai jasa kirim sendiri dan ongkir senidri. Padahal sebelumnya saya pernah order disini tidak kecewa."
tiascantik1307_,2022-01-29 09:16:16,35ML.Jo malone,5,"Wangi:aroma baccarat Dan jo Malone London
Ketahanan:sesuai pesanan
Kemasan:baik

Bisa di pakai kemana mana harga nya juga terjangkau"
diahsari14,2022-01-06 15:54:48,35ML.JnhsonBabyy,5,"Kemasan:rapi dan aman tak ada yg pecah utk botolnya
Wangi:belum dicoba semoga awet
Ketahanan:belum tahu

Saya suka....
Untuk pengemasan rapi dan aman sehingga parfum TDK ada yg pecah Sama sekali.
Next bisa order disini LG
Gomawo"
irma_joe,2022-01-07 14:13:35,35ML.Twilly D,5,"Wangi:wangi2 bgd
Ketahanan:belum coba
Kemasan:ok

Wah awalnya gapercaya sih perfume hrga nya miring, order banyak sekalian dan wangi2,,,, next order lagi, tks ya👍"
