username,date,variation,rating,comment
z*****a,2022-03-15 15:48:11,,5,"Alhamdulillah sampai juga dengan aman tv nya,bagus banget deh pokoknya...pengemasan aman,makasih seller 🙏
Insyaallah beli lagi..."
adk.id,2022-03-12 09:41:03,,4,Baru kali 8lini beli tv online.. tapi alhamdulillahbdatang dengan baik.. sem9ga awet gk ada apa apa
nadiselarassenja,2022-03-15 19:23:40,,5,"Warna nya terang bgt, audio Oke, pengiriman cepat, seller ramah sekali, kurir mantep bgt mau anterin sampe ke unit. Tp ada bagian yg pegang di deket kakinya, but gpp msh bisa kok, thanksss."
maradava,2022-01-25 19:53:59,,5,"Mantap ga ada yang cacat atau retak padahal dari Banjarmasin
👌👌👌👍👍👍😀"
j5kg89hlsx,2022-01-16 19:03:24,,5,"bagus ♡♡
pesanan langsung diproses nunggu semingguan baru nyampe rumah
packing cuma pakai bubble wrap barangnya tetap aman tidak ada lecet atau pecah
☆☆☆☆☆"
dhytttt,2022-01-09 12:34:28,,4,"Setelah sabar menunggu, akhirnya dateng jugaaaa 😄😄 meskipun 2hari ketahan di ekspedisi kurir yak tp alhamdulillah produk tiba dgn selamat mulus dan very good."
i*****8,2022-01-03 11:18:21,,5,Alhamdulilah brangnya datang dengan selamat  kirain datanya 30 hri trnyata cuman 1 minggu udah dteng  😍😍😍😍😍😍😍😍😍😍😍😍😍semoga awetttt luvvvvvvvvvvvvvvvv
h*****6,2021-11-23 10:03:17,,5,Kualitas produk baik. Harga produk dapat flash sale 11.11 . Pengemasan lebih recomend pake tambahan kayu cuman 35rb lebih safety kualitas layar ok baik cerah dan udah digital. Sempat cemas karna ada penilaian buruk.
anasafitri90,2021-11-29 23:04:59,,5,"Pengiriman cepat 👍, aman nyampe rumah tanpa lecet sedikit pun.
Pokoknya gak nyesel dah baru pertama kali order elektronik gak ngecewain. 👍👍👍"
readi650,2021-12-11 18:50:28,,5,"Makasih shoppy & seller barang nya aman sampai. D tempat, dan selamat tanks selllerrrrrrr🥳🥳"
richardrere,2021-12-05 21:03:25,,5,"Penjual ramah banget, suka ngasih solusi jadinya gampang beli"
g*****1,2021-11-16 22:30:53,,5,"Alhamdulillah mendarat di kalimantan dgn keadaan baik,walaupun sempat kawatir karna jarak kirim yg jauh
Semoga awet dan tidak pernah rewel
Trims"
imamfauzi1981,2021-11-03 20:22:51,,4,"Barang sampai dgn selamat, cepat sesuai dgn pesanan, semoga awet, tinggal setting salurannya"
junniardii,2021-10-31 22:27:19,,5,"barang sesuai gambar , pengiriman cepat , semoga barang awett . terimakasih"
nuraenizen0912,2020-10-04 09:55:33,,3,"Produk kualitas baik, hampir frameless dan semua fitur komplit dr android tv dgn google playstore jd bisa tambah aplikasi (hardisk internal tv-nya 4,6G). Sudah ada netflix ma yutube juga. Harga diskon plus fitur melimpah Koneksi bloototh, wifi  chromcast dr hp. Jangan telat kirim lg yh😊"
geran_ramadhan,2022-03-16 13:09:25,,5,"TV nya bagus bgt, harga d jamin paling murah tapi kualitas mantap, pengiriman nya cepat dan packing aman no lecet sama sekali.
The best 👍"
anggaraaa15,2022-02-26 19:25:28,,5,"Sempet ragu beli online, karena jarak nya jauh, tapi gk di sangka 3 hari sudah sampe rumah, 
Barang ori layar jernih,,, thanks"
w*****s,2022-01-24 23:03:26,,5,"Trimaksih gan paket sudah kterima,,,,maaf 😔gan 🙏kelupaan kasih penilaian pokok nya ok benget dan baru kali ini pakai changhong smart TV mantul pisan next order lagi 🔄ya 👍gan"
makhqiehaqiqi,2022-02-05 19:37:03,,5,"Bagus sih ini, harga terjangkau, suara jelas, semoga awet deh"
r*****4,2022-01-15 23:23:44,,5,"Sempat khawatir juga pas kurirnya mau nganterin pas ujan2 .karna ga di bungkus bubblewrap .terpaksa ngambil sendiri ke depan karna si kurirnya ga bawa payung soalnya agak lumayan jauh kerumah .
Note untuk seller : kasih aja bubble wrap karna lagi musim hujan kaya gini takut dusnya tembus kehujanan"
dorisutrisno12,2022-01-21 14:37:12,,5,Bru kasih nilai abis hilaf sama produk nya yg bikin anak2 betah dirumah tq changhong tv nya oke punya mudah2n awet yak sukses sllu Changhong 😇🙏
ukiukungulu85,2022-01-09 16:27:03,,5,Mantappppppl betul cepat sampai paking aman pakai kayu ongkir murah harga super murah saya senang sekali nanti order lagi ajibbbbbb
jhonrangkuti,2022-01-03 20:56:02,,5,"Barang sudah sampai, sesuai pesanan packing kayu,mantap."
d*****1,2021-10-07 20:43:29,,5,"alhamdulillah paket mendarat dengan aman... 
pengiriman cepat, penjual juga ramah
barang aman tidak ada yg lecet
anak saya syyyuuuukkkaaaa.... 

mkasih kaka 
mkasih shoppy"
v*****n,2021-08-28 18:52:01,,4,Tv aman sampe tujuan.. cuma colokan belakangnya mendem tapi masih aman bisa di gunain👌🏻
fadhil_hakim23,2021-09-01 10:03:04,,5,"mantap, keren deh tvnya, smart tv dengan harga segini keren,"
siti_nurhasanah19,2022-03-19 15:10:55,,5,"Nyampe nya sekitar semingguan , baguss , gampang banget setting nya, lngsung connect WiFi , stell YouTube , pencarian saluran tv analog juga gampang, sip. Makasih seller , dpat pas harga flash sale pula"
amiyuliandara25,2022-03-10 19:05:40,,5,Bagus ga ada yg cacat gambar jernih suara mantep 👍👍 admin nya juga ramah sekali  kalo ada bintang 10 saya kasih
b*****5,2022-03-14 15:20:16,,5,"Oke sesuai pesanan, packingnya bagus
Barang berfungsi dengan baik, terimakasih 🙏🙏👍👍"
fidyaheriyantisudewo,2022-03-19 09:39:36,,5,"Maaf baru ngasih penilaian, super cepat untuk pengirimannya hanya 1 hari sampai barangnya. Barang aman sentosa tdk pakai bubble wrap dan mulus untuk barangnya tdk ada penyok² 🙏🙏🙏"
yusuf.almabriend,2022-03-18 09:58:55,,5,"Barang diterima dengan baik, aman dan ga ada masalah di ekspedisi 
Sudah dicoba nyalakan tv berfungsi baik , semoga awet"
valentina.fitria,2022-03-16 19:03:20,,5,"Packing aman, kualitas gambar oke, terimakasih seller nya🥰🥰"
harummahsun,2022-03-11 18:27:18,,5,"Alhamdulillah lancar perjalanan nya,, barang aman  insyaallah gak ada yang cacat,,, semoga awet"
rachmandafachrur,2022-03-16 15:54:33,,5,"siipp mantap.. pengiriman tidak lama standart sempat waswas soalnya baru pertama beli elektronik lewat online dan untungnya pilih lewat cargo jadi diantar sampek rumah pakek mobil aman ada kayunya juga.
gambar jernih suara bagus. agak susah awalnya buat otak atik atur chanel dan lainya."
abrahamyusuf326,2022-03-15 12:55:22,,5,Terimakasih pihak Shopee dan juga semoga toko ini selalu lancar usaha nya karena sudah amanah menjual produk di toko ini
kaspreeshop,2022-03-09 16:03:09,,5,"Mantap sampai dengan selamat dan pengemasan nya menakutkan sekali, tapi tidak ada kerusakan lecet dll sama sekali, mantap berfungsi semua semoga awet 😁👍"
nenkkjennonk,2022-02-23 00:39:12,,5,"Barangnya udah nyampe kak
Bagus banget loh, Semoga awet ya
Respon seller bagus banget"
elyanahd,2022-02-06 08:56:27,,4,Alhamdulillah barang diterima dengan baik. Semoga awet 🙏
chintyadinaamalia,2022-02-04 20:15:50,,5,"Alhamdullilah barang selamat sampw ditangan pengirman hanya 3hari , 
Tapi ko rcti , mnctv ga terdeteksi"
y*****i,2022-01-23 10:47:32,,5,"Pengiriman cepat, respon admin cepat tanggap, sesuai pesanan juga. Dan Alhamdulillah nya selamat sampai Jogja. Thx Changhong ❤️"
nurulfatkhurrizki,2022-01-14 00:39:39,,5,"Alhamdulillah barang sudah sampai
Pengiriman cepat banget padahal estimasi semingguan ini cuma 3 hari
Awalnya takut sama packingnya soalnya cuma pake bubble warp aja nggak pake kayu tapi aman kok nggak ada lecet sedikitpun barangnya semua juga bekerja normal
Pokoknya rekomeded lahh mantap"
