username,date,variation,rating,comment
ocha_bima,2022-02-19 16:19:58,OLL-1189,5,"Harga:murah
Kualitas:baik
Kegunaan:sangat bermanfaat

Harga amat sangat murah
Packing aman
Cm pengemasan dan pengiriman yang lama
Selebihnya aman..."
savanabrin_,2021-12-09 12:13:23,OLL-1188,5,"Harga:murah
Kegunaan:bermanfaat
Kualitas:lumayan

Bagus bagus"
yennyta755,2021-12-16 22:35:04,OLL-1189,5,"Harga:murah
Kualitas:bagus
Kegunaan:dispenser odol

Bagus banget"
norarazan,2021-11-04 09:49:07,OLL-1189,4,"Harga:standar
Kegunaan: bisa dipake buat anak-anak
Kualitas:lumayan"
e*****a,2021-11-02 12:57:55,OLL-1189,5,"Harga:bersahabat
Kualitas:bagus

Harga g nguras kantong,kwalitas bagus,kurir sangat2 ramah,the best seller an thanx shoppe"
rohanzhaers,2021-11-08 19:04:31,OLL-1189,5,"Harga:Sangat terjangkau
Kegunaan:Untuk pompa air galon
Kualitas:Baik"
nurlisis,2021-11-16 09:30:34,OLL-1189,5,"Harga:murah
Kegunaan:sangat bermanfaat
Kualitas:ok

Sikat gigi dan odolnya tersusun rapi dan aman.. sangat berguna"
s*****i,2021-08-22 09:26:32,OLL-1189,5,"Harga:sama
Kegunaan:simple
Kualitas:bagus

Terimakasih barang sudah sampai dengan selamat dan ada satu yg agak bermasalah mohon diperhatikan kalau kirim barang di cek dulu dlmnya spy menyenangkan pelanggan yg jauh2 minat beli. untungnya saya beli lebih jadi stok yg tdk baik saya simpan.terimakasih sukses selalu kakak, kurir dan shopee"
anisafitriani4,2021-11-13 20:20:25,OLL-1189,5,"Harga:sangat murah
Kegunaan:untuk pasta gigi
Kualitas:bagus"
a*****o,2022-03-16 18:34:05,OLL-1189,5,"Kegunaan:dispenser odol dan sikat gigi.
Harga:murah
Kualitas:bagus

Ga perlu ribet pencet² odol yang bikin bletetan kemana² karena kebanyakan.
Tinggal tekan, otomatis odol keluar dengan takaran yang pas.
Ditambah kompartemen sikat gigi jadi rapi buat menaruh sikat gigi.
Rekomended banget deh, baik barangnya maupun penjualnya.
Semoga makin lancar dan makin sukses."
jonriko123,2022-03-19 18:24:30,OLL-1189,4,Kualitas:bagus
s*****4,2022-03-21 18:02:00,OLL-1189,5,"Mantaapp banget, worth it buat mudahin hidup, makasi seller"
bumicahaya,2022-03-15 13:03:17,OLL-1189,5,"Harga:baik
Kualitas:baik
Kegunaan:baik

Barang sudah sampai walau kelihatan nya dus nya rikes sama banyak debu mungkin karna penyimpanan lama tapi ok terimakasih 😊👍🙏🏻"
ayudianty405,2022-03-18 19:05:41,OLL-1189,5,"Harga:murah bnget
Kualitas:bagus
Kegunaan:buat tmpt odol & sikat ggi

Mkasi psenanku sudh smpe..bgussss bngt lucu,jadi rapi sikat GG ku...odol juga kluar lncar ,Oia.tips buat yg odolnya ga keluar caranya.di teken trus sambil di pencet odolnya sampai bunyi,nah itu anginnya udh kluar..baru deh lncar kluar odolnya...mkasi dpt wrn hitam juga good"
b*****_,2022-02-04 19:22:44,OLL-1189,5,"Kualitas:baik
Kegunaan:sangat berguna
Harga:worth it bgt untuk barang² yg imut² ini

Bgss .. cuma sayang kirain dispenser sikat gigi nya warna hitam atau putih tau nya warna hijau 😭😭"
e*****i,2021-12-14 13:45:35,OLL-1188,5,"Harga:worth it dengan barang
Kualitas:plastik

Pengemasan dan pengiriman sangat cepat, bagian penutup tempat sikat gigi agak miring dapat perekat juga. Ternyata tdk awet, krn perekatnya gampang lepas, terimakasih banyak"
m*****4,2021-11-13 18:12:07,OLL-1189,5,"Harga:sangat terjangkau
Kegunaan:untuk dispenser pasta gigi
Kualitas:bagus

Ayo berbelanja di online shop semua kebutuhan ada pokoknya top top top top top👍👍👍👍👍."
ikhsan_110,2021-11-14 00:01:28,OLL-1188,2,"Harga:gak sesuai sama kualitas 
Kegunaan:gak bisa di guna in 
Kualitas:buruk, bahan plastik nya tipis banget"
hari_villa,2021-11-16 19:02:08,OLL-1188,4,"Harga:lumayan 
Kegunaan:blm dicoba
Kualitas:sesuai harga "
r*****h,2021-11-07 18:07:12,OLL-1189,5,"Harga:ga mahal mahal banget
Kegunaan:insyaallah berguna
Kualitas:lumayan

bagusssss"
a*****1,2021-11-12 12:52:16,OLL-1189,5,"Harga:mantep
Kegunaan:maksimal
Kualitas:produk

mantep gk nyesel beli disini"
l*****2,2021-11-14 20:34:34,OLL-1188,5,"Harga:murah
Kegunaan:ok
Kualitas:baik

Barang sampe dengan selamat pengiriman cepat"
