username,date,variation,rating,comment
a*****3,2022-03-13 02:33:13,DARK GRAY,5,"Harga:harganya murah daripada toko yg lain
Kualitas:sangat bagus
Pengemasan:sangat aman,rapi

alhamdulillah paket nyampenya cpt,tapi baru ksih penilaian hampir 2/3minggu setelah paket sampai karna masih diluar kota,aman,bagus,sesuai pesanan,amanah juga,dikasih bambu juga biar kertasnya ga letoy"
defianshop.id,2022-03-06 18:41:45,HOT PINK,5,"Kualitas:good
Pengemasan:kurang rapi sekarang mah ga pakai kardus pada penyok
Harga:murce

Bagus , sdh langganan,tp kenapa sekarang ga dikasih kardus yah kak kan jd lecek2 deh.. huhu"
f*****a,2022-03-12 08:05:32,BLUE,5,"Harga:MURAHHH
Kualitas:BAGUS BGTTTTTT
Pengemasan:RAPIH PAKE KERDUSSSSS

sumpah bagus polllll, aku bikin bucket bunganya sendiri itu jg gampang dibuattt, cpt sampe, ga bakal diraguinn makasi seller"
andisabrina1112,2022-03-04 17:50:01,DARK GRAY,5,"Bagusss, recommended, murah lagi, syukak pokoknya, ga nyesel beli"
niyah_17,2022-03-14 12:54:06,BLUE,5,"Harga:murah bangett🥰
Kualitas:bagus

makasihhh, murah banget dan safety ko... yu liat² dulu buket murah😍 bisa liat² di ig:mdscraft.bandung yaaaa insyaalloh amanah 🥰"
niyah_17,2022-03-17 12:22:14,LAVENDER,5,"Harga:murah
Kualitas:bagus
Pengemasan:baik

murah makasihh banyakkk bakal langganan, pembelian ke dua nih btw"
kittymimi12___,2022-02-25 01:42:24,TRANSPARANT,5,"Harga:mumer sekali bestie 😍
Kualitas:oke bgt
Pengemasan:sangat memuaskan"
t*****n,2022-02-14 22:28:25,KHAKI,5,"Murah. Bagus, kualitas bagus, pengirimsn aman dan ceoat, tidak lecek. Yang mau order bisa chat aku ya bucket tumbasyin semarang"
l2shop.tasikmalaya,2022-02-06 09:45:46,HOT PINK,5,"Harga:murah sekali
Kualitas:bagus
Pengemasan:rapi

Pengemasan dan pengiriman cepat dan aman"
salmacutetcutet,2022-01-19 16:49:09,HOT PINK,5,"Kualitas:bagus
Pengemasan:biasa aja
Harga:setandar

Sukses terus puat pelapaknya semoga bermanfaat"
kristiati_,2021-12-19 16:27:19,HOT PINK,5,"maaf barunkasih ulasan ..
pengiriman cepat, kurir sudah langganan ..
thank you, semoga selalu amanah"
wanitahebat__,2022-03-19 11:21:40,ROSE PINK,5,"Harga:murah meriah
Kualitas:bagus
Pengemasan:aman

Keren sih dikasih penyanggah biar gaa lecek gtu, bagus"
t*****b,2022-03-01 19:16:24,BLUE,5,"Harga:murah
Kualitas:bagus

Sesuai pesanan, tidak ada yang cacat, pengemasan baik😍 pengiriman cepat😙"
n*****5,2022-02-22 11:42:05,BLUE,5,"thank youuu! pengemasan pengiriman cepat, packagingnya walopun cuma pake bubblewrap dan bambu tetap aman dan ga lecek👍"
d*****a,2022-02-11 11:40:30,TRANSPARANT,5,"Kualitas:bagus
Pengemasan:aman
Harga:murah

Bagusss siss buat buket bunga"
c*****s,2022-01-31 06:50:17,BLUE,5,"Harga:murah
Kualitas:baik
Pengemasan:aman

Produk yang dikirim sesuai pesanan, pengiriman terhitung cepat, makasih seller semoga usahanya berkah sukses selalu, sering sering adakan diskon.. yuk yg mau belajar bikin buket snack mampir ke channel youtube Kreasi Tias Bekti"
a*****7,2021-12-09 08:57:01,MAROON,5,"Harga:terjangkau
Pengemasan:amaan banget
Kualitas:baguus

Makaasi seller, toop"
serba_serbi.31,2021-10-18 23:17:33,TIFFANY BLUE,5,"Harga:terjangkau
Pengemasan:rapih
Kualitas:okee

Barang sampe dengan aman. seller konfirmasi dulu kalau barangnya kosong jdi bisa diganti yg lain. tengkyuuu"
anna230101,2022-03-09 12:45:19,TRANSPARANT,5,"Harga:baik
Kualitas:baik
Pengemasan:baik sekali

Kertas dibungkus dg Bublé wrap dan dikasih penyangga Bambu jadi ga bikin tegak dan gabikin kusut kertas, sangat puas dg produk dan pengemasan nya. Terimakasih seller"
bela_sport,2022-03-14 09:56:56,BLUE,5,"Makasih reseler selalu puas order di sini 
Pengemasan rapih 
Pengiriman cepet 
Harga murah"
dianaarafah91,2022-03-03 14:36:05,TRANSPARANT,5,"Harga:murce
Kualitas:bagus
Pengemasan:aman

Recomend puas lah   bagus Good Mantap  Asli order lagi nanti"
a*****i,2022-03-07 09:27:22,DARK GRAY,5,"Harga:Murah
Kualitas:Oke bangettt
Pengemasan:Rapih ..

Alhamdulillah barang sampai sesuai dengan yg dipesan,gg ada yg kurang satupun .. kedua kalinya pesan dtoko ini sllu puas , mksih bnyak seller smoga tokonya sllu laris manis , pkonya buat siapapun jgn ragulah belanja dtoko ini amanah bgt, sukses terus buat tokonya tetap amanah  .."
y*****7,2022-02-18 19:27:20,MAROON,5,"Harga:lumayan
Kualitas:bagus banget
Pengemasan:bagus

Sempet khawatir bgt takut lecek/robek, tapi nyatanya engga.. Malah bagus bgt aku suka,, di pertahankan yaa kakak, Next bakalan Order lagi ya 🙏 Makasih.."
sharedtojoy_stj1,2022-02-24 22:25:44,BLUE,5,"Harga:murah banget
Kualitas:lumayan bagus sih, cuma ada beberapa kertas yang sedikit kotor gitu tapi msh oke lah
Pengemasan:pakai kerdus gitu semoga soon bisa di sediain kardus selosong nya ya 🤗"
l2shop.tasikmalaya,2022-02-20 20:56:05,BLUE,5,Pengemasan rapi pengiriman cepat selalu belanja disini puas banget
j*****4,2022-02-20 21:48:19,BLUE,5,"Harga:murah
Kualitas:bagus
Pengemasan:bagus

Sori baru sempat kasih ulasan. Bagus ternyata bahannya seperti plastik yg tipis jadi waterproof / anti air. Packing aman rapi dilapisi box kardus dan bubble wrap jadi extra aman. Pengiriman cepat. Thanks seller, Shoppe dan Pak kurir 🙏👍😊"
akhwtunk28,2022-02-02 11:14:57,HOT PINK,5,"Harga:murah
Kualitas:bagus
Pengemasan:aman

Bagussssss✋🏻"
sugar_plum21,2022-01-28 18:15:39,TRANSPARANT,5,"Harga:murah
Kualitas:baik
Pengemasan:rapih

Alhamdulillah pembelian yang kesekian kalinya selalu amanah, seneng bngt belanja disini"
rahmawati_cii,2022-02-03 03:31:40,BLUE,5,"Kertas cellophane di toko ini murah bgt, hargnya jauh bgt ketimbang beli di offline store. Fix bakal langaanan sih di toko ini"
