username,date,variation,rating,comment
ayurahmaaa46,2022-02-05 17:52:20,Black,5,paket mendarat dgn selamat pengirimnya cepet harga berkualitas dan terjangkau thx yh reseller
herlina_utami,2022-01-08 18:33:44,White Solid,5,Alhamdulillah barang cepet sampenya🥰 warnanya lengkap👌🏼uda murah terus bagus. uda 2x beli ditoko ini. semoga jadi langganan yaaa🤗  terimakasih 🤗
s*****i,2022-01-22 10:47:29,Black,4,Disarankan kan pesan dengan dus packing agar kertas sampai tidak kusut
d*****e,2021-12-08 21:53:15,Purple,5,"Paket sdh sampai.
Packing rapi n aman.
Kertas nya bgs bgt,jd cantik buncket money nya.
Thanks seller n shopee."
talitadanie,2021-12-03 15:14:39,Maroon,5,"Waw, packingan nya bagus sekalih... Barangnya jg bagus, sesuai pesanan. Terimakasih, semoga berkah dan lancar terus usahanya... Aamiin..."
l*****a,2021-11-28 22:48:20,Blue,5,"Kualitas barang dari toko ini mantap, buket ini aku inspirasi dari komentar yg ada ditoko ini yaitu kak @alfianurandiny terimakasih ya kak🙏 oh iya ini 40lembar pakai gambus kering ukuran batu bata 2pcs"
fetiwidyasari,2021-11-26 17:28:54,Yellow,5,"Pesanan saya sudah sampai dengan selamat
.
✔Pengiriman sangat cepat
✔Packing rapih
✔Produk (bagus dan sesuai harapan)
✔Kualitas sesuai dengan harga
✔Sesuai dengan foto 
.
Lain kali saya akan belanja disini lagi, terima kasih"
sripriatni4,2021-12-14 13:44:46,Maroon,5,"Bahannya bagus
Kualitasnya bagus
Harganya murmer banget
Lembuh pokoknya is the best"
heti_vioni,2021-12-03 11:41:13,Black,5,Suka banget. Pengemasannya luar biasa walaupun beli dikit pengemasan nya ekstra banget  kejaga dan barang ngg rusak suka. Suka harga terjangkau
r*****o,2021-09-09 21:35:07,Khaki,5,Packing rapih. Gulungan rapih. Ada palstik pelindung. Kertas diterima kondisi baik. Cepat &  tepat. Tidak mengecewakan. Puas tidak kapok. Mau lanjut ke pembelian berikutnya. Karena puas & suka. Toko fokus pada kwalitas jualannya ⭐⭐⭐⭐⭐ 👍👍👍👍👍 segala Jenis kertas untuk bunga lengkap ada di toko in
t*****5,2021-10-27 15:28:04,Blue,5,Toko paling cepet banget proses nyaa selalu beli di sini terimakasih ❤
ayusintya01,2021-09-05 08:24:05,Dark Gray,5,Udah yang kedua kalinya order dsnii ... Bisa veli ecer dengan harga lebih murah dri toko yg lainn ... Pengirimannnya cepet banget woyy demi apaa 🤧🤧 vikss bakal langganan disinii .. selernya ramahh bangett best pokoknya thankss yaa ❤️😘😘
rizka_alliya,2022-02-13 01:11:35,Tiffany,5,"Listnya cantik banget warna emas,cuma agak nerawang apalagi yang warna terang.
Yuk yang mau pesan snack bucket murah mulai dari 10k @smasha.project"
hakkagoldnglow,2021-12-05 20:35:34,Peach,5,"Pesanan sampai dengan baik.

Maaf numpang promo..
Hai cantik para pecinta MS GLOW..
Yuk mampir ke toko kami jual produk MS GLOW Ori karna saya reseller MS GLOW.
Dan juga d toko kami sedang ada promo beli paket wajah MS GLOW bisa dapatin emas logam mulia minigold lho cantik...
Toko : hakkagoldnglow"
s*****9,2021-12-05 13:55:20,Maroon,5,"Selalu langganan dengan toko ini,senang bgt deh... 👍🏻👍🏻👍🏻"
mardianti2203,2021-12-01 21:25:41,Tiffany,5,Mantulll.. Bagus* bgt.. Packingnya rapi bgt.. Suka pokoknya 🥰❣️❣️❣️
stwerna,2021-11-05 20:14:03,Gray,5,"Bagus packing aman, udah langganan juga disini. Selalu puas"
lopshoply,2021-10-03 22:48:37,Tiffany,5,Pengemasan bagus pengiriman cepat bisa dijual lagi pengemasan bagus bnget safety bnget makasih seller pokonya
kinarahma,2021-09-12 21:57:17,Khaki,5,"Nyampe nya cepet dong, packing rapi, bagus, real picture, sesuai ekspektasi pokoknya hehe makasih yaaa"
y*****t,2021-09-17 13:01:00,Tiffany,5,"Seller ramah 🌸✨
Pengiriman cepat 💮
Semogaa bagus bouquet kuu nanti aamiin🌸✨
Arigatou gozaimasu 🌸✨"
diahsafriani30,2021-09-19 01:52:32,White Solid,5,"Semua brangny bagus packingan juga rapiii
Tapi pengiriman lama amatttt pengemasan jugaaa
Thankyou seller"
h*****5,2021-10-21 14:37:27,Black,5,Pengemasan nya baik sih tapi kayanya espektasi saya yg terlalu tinggi bakal dapet kertas buket yg harganya 3rban dapet nya gede hehehe sory min
a*****a,2021-10-20 10:33:00,White Solid,5,"Barang yang diterima lengkap, bagus dan pengemasan juga lumayan cepat."
mandaalvionita,2022-03-11 22:06:43,Nude,4,gemoy sekali bisa samaan sama warna sprei kuu hehehe jd ga sabar mo coba bikin
tarigusti09,2022-03-17 23:01:12,White Solid,5,Murah meriah.pengemasan rapi bgt padahal belanjanya under 20k.pengiriman ok.reapon penjual baik.bestlah buat toko ini
khairunnisalubis9511,2022-03-16 19:57:58,Red Bean,5,Lumayan tebal ya min. Semoga lebih banyak promonya ya. Hehehe
a*****3,2022-03-23 09:26:59,White Solid,5,
tri_nurjanaah,2022-03-16 14:48:59,Peach,5,"maaf kak baru sempet beri nilai,,,,dtg sesuai pesanan dan sesuai expetasi bagus pengiriman aman cm ada lecek dikit tp ya gpp lah....thanks ya kak sukses terus tokonya...."
